dis2ts_3MBPP1_18Cr2_pr_counts	dis2ts_3MBPP1_18Cr2gb_counts	dis2ts_3MBPP1_18Cr2term_counts	dis2ts_3MBPP1_18Cr2pr_map	dis2ts_3MBPP1_18Cr2gb_map	dis2ts_3MBPP1_18Cr2term_map	dis2ts_3MBPP1_18Cr2pr_density	dis2ts_3MBPP1_18Cr2pr_densityRPKM	dis2ts_3MBPP1_18Cr2gb_density	dis2ts_3MBPP1_18Cr2gb_densityRPKM	dis2ts_3MBPP1_18Cr2pause_index_CI_low	dis2ts_3MBPP1_18Cr2pause_index_CI_high	dis2ts_3MBPP1_18Cr2pause_index_scaled	dis2ts_3MBPP1_18Cr2pause_index_CI_low_scaled	dis2ts_3MBPP1_18Cr2pause_index_CI_high_scaled	dis2ts_3MBPP1_18Cr2_ExpPR	dis2ts_3MBPP1_18Cr2_ExpGB	dis2ts_3MBPP1_18Cr2Fexact_Pval
SPAC24B11.14	3	4	35	100	596	300	0.03	15.2333907801426	0.00671140939597315	3.40791740047932	0.133893566820236	3.94140253599159	4.47	0.798005658248606	23.4907591145099	0	103	1
SPAC24B11.13	12	520	129	100	2075	300	0.12	60.9335631205703	0.250602409638554	127.250814548982	0.01241628680344	0.041867129425985	0.478846153846154	0.25763795117138	0.868742935589189	22	90	1
SPNCRNA.625	3	25	4	100	1669	300	0.03	15.2333907801426	0.0149790293588975	7.60604692437715	0.0288991736999246	0.415829500379834	2.0028	0.482327209051742	6.94019436133943	1	102	1
SPNCRNA.627	1	15	6	100	761	300	0.01	5.07779692671419	0.0197109067017083	10.0087981472684	0.00328192270549487	0.476785931797302	0.507333333333333	0.024975431788816	3.62834094097747	1	100	1
SPNCRNA.144	1	13	6	100	431	300	0.01	5.07779692671419	0.0301624129930394	15.315860799834	0.00375396436557918	0.55840707127902	0.331538461538462	0.0161795864156463	2.40673447721258	2	99	1
SPNCRNA.628	2	30	6	100	1566	300	0.02	10.1555938534284	0.0191570881226054	9.72758031937584	0.011019937571277	0.285599406220113	1.044	0.172572222366198	4.47248670140697	1	101	1
SPNCRNA.145	3	15	6	100	719	300	0.03	15.2333907801426	0.0208623087621697	10.5934567316708	0.046101519525487	0.73204421859004	1.438	0.331469925388252	5.26339793166239	2	101	1
SPAC806.05	1	123	1	100	2921	300	0.01	5.07779692671419	0.0421088668264293	21.382027455866	0.000421290135410667	0.0534261867289411	0.237479674796748	0.0123058848553456	1.56057891435237	4	97	1
SPAC806.07	20	59	77	100	469	300	0.2	101.555938534284	0.125799573560768	63.8784688008821	0.197587136293059	0.576537172031152	1.58983050847458	0.926683669214449	2.7039593368261	13	107	1
SPNCRNA.630	1	212	1	100	2184	300	0.01	5.07779692671419	0.0970695970695971	49.2899701677385	0.000245179928673997	0.0308454509491701	0.103018867924528	0.00535472964224009	0.673664648729874	8	93	1
SPNCRNA.631	2	5	2	100	863	300	0.02	10.1555938534284	0.00579374275782155	2.94194491698389	0.0538788235081954	2.30512923539502	3.452	0.464974246875726	19.893265301459	0	102	1
SPAC1F5.11c	9	876	47	100	11254	300	0.09	45.7001723404277	0.0778389905811267	39.525058715138	0.00499579611528801	0.0203518621098574	1.15623287671233	0.562226894814512	2.29039856184335	7	102	1
SPNCRNA.633	9	56	1	100	947	300	0.09	45.7001723404277	0.0591341077085533	30.0270990386478	0.0742392799741713	0.336275973477931	1.52196428571429	0.703045981355402	3.18453346883601	6	103	1
SPAC1F5.09c	2	28	6	100	1569	300	0.02	10.1555938534284	0.0178457616316125	9.06171535678759	0.0117687294574852	0.307314068338505	1.12071428571429	0.184651365187943	4.82175773223115	1	101	1
SPAC1F5.08c	5	84	40	100	1608	300	0.05	25.3889846335709	0.0522388059701493	26.5258048410443	0.0213107206138277	0.152281477872927	0.957142857142857	0.342676387470349	2.44868616419667	5	100	1
SPAC1F5.07c	28	56	8	100	1526	300	0.28	142.178313947997	0.036697247706422	18.6341171622539	0.309771744165275	0.803671097121715	7.63	4.7271168159621	12.2640209420774	4	124	5.41850458299986e-09
SPAC1F5.05c	2	43	9	100	731	300	0.02	10.1555938534284	0.0588235294117647	29.869393686554	0.00779588264304348	0.195667063440159	0.34	0.0569879021206479	1.43032623374756	5	97	1
SPAC1F5.04c	5	543	29	100	5667	300	0.05	25.3889846335709	0.0958178930651138	48.6543802930264	0.0033752222337015	0.0229508789741404	0.52182320441989	0.191273843983864	1.30062631146454	9	96	1
SPAC1F5.03c	9	289	22	100	1926	300	0.09	45.7001723404277	0.150051921079958	76.1933183707373	0.0150319742941147	0.0621706839380228	0.599792387543253	0.289515824904649	1.19740737264632	14	95	1
SPNCRNA.148	0	0	0	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	0	2	2	100	506	300	0	0	0.00395256916996047	2.00703435838505	0.0514242900386907	4.05388820080272	0	0.260206907595775	20.5126742960618	0	100	1
SPAC18B11.09c	2	55	24	100	960	300	0.02	10.1555938534284	0.0572916666666667	29.0915448926334	0.00613821781293066	0.151580113120863	0.349090909090909	0.0589268910041343	1.45516908596029	5	97	1
SPAC18B11.08c	10	46	48	100	553	300	0.1	50.7779692671419	0.0831826401446655	42.2384554482555	0.103047888575393	0.446061266574113	1.20217391304348	0.569854823821924	2.46671880415485	8	102	1
SPAC18B11.07c	43	192	65	100	957	300	0.43	218.34526784871	0.200626959247649	101.874295708372	0.15861704396718	0.315246423890299	2.14328125	1.51796511076591	3.01690827663017	23	120	1
SPAC18B11.03c	8	119	39	100	1723	300	0.08	40.6223754137135	0.0690655832849681	35.0701006546134	0.0304879823477366	0.141958209651403	1.15831932773109	0.525307935851502	2.44593995229368	6	102	1
SPAC18B11.02c	25	121	28	100	1187	300	0.25	126.944923167855	0.101937657961247	51.7618726312061	0.131077388305876	0.323380275352505	2.45247933884298	1.55588859919075	3.83852386843423	11	114	1
SPAC12G12.16c	10	32	18	100	1991	300	0.1	50.7779692671419	0.0160723254645907	8.16120048492486	0.143998434723198	0.661231461053324	6.221875	2.86700883533886	13.1651183895717	1	109	0.213010161831899
SPNCRNA.637	6	12	5	100	1253	300	0.06	30.4667815602851	0.00957701516360734	4.86301381648605	0.167633137742897	1.42985037844287	6.265	2.1004432159185	17.9160252418892	1	105	1
SPAC12G12.14c	3	93	47	100	1844	300	0.03	15.2333907801426	0.0504338394793926	25.6092795110857	0.00817162613264579	0.105162099392827	0.594838709677419	0.150684785885988	1.93918911280374	4	99	1
SPAC12G12.13c	11	322	55	100	2129	300	0.11	55.8557661938561	0.151244715829028	76.7989953218398	0.017773109836918	0.0638889802294447	0.727298136645963	0.378389508427984	1.36019638908488	14	97	1
SPAC12G12.11c	2	59	18	100	1362	300	0.02	10.1555938534284	0.0433186490455213	21.9963302992759	0.00573195183624123	0.14098889810648	0.461694915254237	0.0780691840096055	1.92026879221026	4	98	1
SPAC12G12.17	0	16	9	100	508	300	0	0	0.031496062992126	15.9930611865014	0.00576104614150375	0.317064970660191	0	0.029266114398839	1.61069005095377	3	97	1
SPAC12G12.07c	16	109	26	100	1327	300	0.16	81.244750827427	0.0821401657874906	41.7091081395514	0.0836673760886623	0.253825213857773	1.94788990825688	1.11026608069655	3.36826058789265	8	108	1
SPAC12G12.06c	9	91	76	100	1638	300	0.09	45.7001723404277	0.0555555555555556	28.2099829261899	0.0466373974495474	0.202406692971365	1.62	0.763920570223587	3.31542163087095	5	104	1
SPAC12G12.05c	26	75	1	100	1251	300	0.26	132.022720094569	0.0599520383693046	30.4424276181906	0.216387648062266	0.552171677573839	4.3368	2.70700947725894	6.90766768644873	7	119	0.000572125735246632
SPNCRNA.639	0	2	2	100	1545	300	0	0	0.00129449838187702	0.657319990513163	0.0514242900386907	4.05388820080272	0	0.794505281097772	62.6325727024021	0	100	1
SPNCRNA.640	1	2	1	100	565	300	0.01	5.07779692671419	0.00353982300884956	1.79745023954485	0.0179700152612445	6.97865092307548	2.825	0.101530586226032	39.4293777153765	0	101	1
SPAC12G12.01c	1	202	24	100	3100	300	0.01	5.07779692671419	0.0651612903225806	33.0875799740731	0.000257263385625675	0.0323833270792099	0.153465346534653	0.00797516495439593	1.00388313945551	6	95	1
SPAC630.03	6	262	74	100	1646	300	0.06	30.4667815602851	0.159173754556501	80.8252001700557	0.00921726777277857	0.0531420323746343	0.376946564885496	0.151716227539935	0.874717852886481	14	92	1
SPAC630.05	6	229	23	100	2562	300	0.06	30.4667815602851	0.0893832943013271	45.3870217102868	0.0105305426272615	0.0608940355512293	0.671266375545852	0.269792502110441	1.56010519082249	8	98	1
SPNCRNA.641	0	0	4	100	428	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC630.15	1	35	4	100	2081	300	0.01	5.07779692671419	0.0168188370975493	8.54026393248422	0.00145382362789627	0.193368363637487	0.594571428571429	0.0302540696965214	4.0239956472961	1	100	1
SPAC630.10	176	20	9	100	1094	300	1.76	893.692259101697	0.0182815356489945	9.28299255340802	5.43926648425269	14.3890181102651	96.272	59.5055753377245	157.4158581263	4	272	2.67029291428895e-121
SPAC630.11	3	21	21	100	944	300	0.03	15.2333907801426	0.0222457627118644	11.2959465530718	0.0339686860725813	0.502880009415215	1.34857142857143	0.320664396525167	4.74718728887963	2	101	1
SPAC630.12	11	69	23	100	1506	300	0.11	55.8557661938561	0.0458167330677291	23.2648066363399	0.0798173244260131	0.310484084847484	2.40086956521739	1.20204890585576	4.67589031780311	4	107	1
SPAC1751.04	0	180	52	100	1652	300	0	0	0.108958837772397	55.3270851579028	0.000505570397087246	0.0267413747224137	0	0.0083520229598813	0.441767510414274	9	91	1
SPAC1751.03	28	281	54	100	1374	300	0.28	142.178313947997	0.204512372634643	103.847229723922	0.0662004520614408	0.149019270000198	1.3691103202847	0.909594211324197	2.04752476980272	21	107	1
SPAC31A2.02	11	31	25	100	783	300	0.11	55.8557661938561	0.0395913154533844	20.1036659933767	0.168036637177115	0.733796495673799	2.77838709677419	1.31572686909681	5.74562656112585	4	107	1
SPAC31A2.03	13	69	19	100	898	300	0.13	66.0113600472844	0.076837416481069	39.0164797264231	0.0993598571337522	0.350467128617361	1.69188405797101	0.892251517061094	3.14719481498391	8	105	1
SPAC31A2.06	1	220	1	100	4811	257	0.01	5.07779692671419	0.0457285387653295	23.2200233605721	0.000236300838498178	0.0297164668801387	0.218681818181818	0.0113684333401473	1.42965922160347	4	97	1
SPAC31A2.08	4	34	18	100	777	300	0.04	20.3111877068568	0.0437580437580438	22.219446011362	0.0354822917966518	0.346682715801129	0.914117647058823	0.275697407259984	2.69372470177477	4	100	1
SPAC31A2.10	0	22	5	100	1783	300	0	0	0.0123387549074593	6.26536917485766	0.00417368066078422	0.226956323474185	0	0.0744167261817827	4.04663124754472	1	99	1
SPAC31A2.12	4	227	96	100	2450	300	0.04	20.3111877068568	0.0926530612244898	47.0473429536376	0.00559251017013197	0.0489720375148181	0.431718061674009	0.137016499168233	1.19981491911304	8	96	1
SPAC31A2.14	21	477	68	100	3306	300	0.21	106.633735460998	0.144283121597096	73.2640391422465	0.0276897055965634	0.0692812760870838	1.45547169811321	0.915421667022385	2.29043898743899	15	106	1
SPAC31A2.16	6	123	14	100	3850	300	0.06	30.4667815602851	0.0319480519480519	16.2225719996323	0.0194172757609807	0.114571013035513	1.8780487804878	0.747565116797758	4.41098400186726	3	103	1
SPAC13C5.02	40	131	31	100	1441	300	0.4	203.111877068568	0.0909090909090909	46.1617902428563	0.210877628821786	0.440727792832838	4.4	3.03874663132194	6.35088749472119	11	129	3.47903515238306e-07
SPAC13C5.03	6	121	63	100	2441	300	0.06	30.4667815602851	0.0495698484227775	25.1705623978868	0.0197314632383848	0.116508345473847	1.2104132231405	0.481645017648973	2.8439687130166	5	101	1
SPAC13C5.04	23	142	94	100	743	300	0.23	116.789329314426	0.191117092866756	97.0453786801366	0.101584340768073	0.256122257850604	1.20345070422535	0.754771651906781	1.90298837582999	19	104	1
SPNCRNA.05	2	4	3	100	539	300	0.02	10.1555938534284	0.00742115027829314	3.7683094075801	0.0638181358093923	3.14803144559117	2.695	0.343979752012624	16.9678894917364	0	102	1
SPAC13C5.07	1	706	87	100	4610	300	0.01	5.07779692671419	0.153145336225597	77.7640917626945	7.38431771441125e-05	0.00921852262269291	0.0652974504249292	0.00340417046634359	0.424973892906143	13	88	1
SPAC23E2.01	8	1102	147	100	3301	300	0.08	40.6223754137135	0.33383823083914	169.516274257469	0.00336629468116133	0.0149700732998878	0.239637023593466	0.111121387425136	0.494162119629296	27	81	1
SPAC23E2.02	16	218	27	100	3817	300	0.16	81.244750827427	0.0571129159025413	29.000778884561	0.0426128816904893	0.124500882622741	2.80146788990826	1.62653369412598	4.75219868971003	6	110	1
SPNCRNA.650	0	21	6	100	1924	300	0	0	0.0109147609147609	5.54229394287931	0.00437456871201282	0.238242196120647	0	0.0841667020191266	4.58377985336125	1	99	1
SPRRNA.11	1	0	2	47	4	300	0.0212765957446809	10.8038232483281	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	0	8	19	100	759	300	0	0	0.0105401844532279	5.35209162236015	0.0116892782926356	0.673070909790981	0	0.088721622241104	5.10860820531355	1	99	1
SPAC24H6.12c	5	65	21	100	1684	300	0.05	25.3889846335709	0.0385985748218527	19.5995724605951	0.0273209956157447	0.198558815139882	1.29538461538462	0.46008556616914	3.34373044695561	3	102	1
SPAC24H6.11c	3	1093	263	100	4261	300	0.03	15.2333907801426	0.25651255573809	130.251866719047	0.000707692348810225	0.00876365989835189	0.116953339432754	0.0301547709828037	0.373419548268774	21	82	1
SPAC24H6.10c	140	157	34	100	992	300	1.4	710.891569739986	0.158266129032258	80.3643263602951	0.70557172134458	1.12687682372234	8.84585987261146	6.99927147573823	11.1786180913256	32	208	2.78569918218062e-41
SPNCRNA.653	0	10	2	100	1202	300	0	0	0.00831946755407654	4.22445667779883	0.00929728784483565	0.525639636497703	0	0.111753399894924	6.31818843070239	0	100	1
SPNCRNA.551	2	2	4	100	427	300	0.02	10.1555938534284	0.00468384074941452	2.37835921625957	0.101199373606884	9.88148408788154	4.27	0.432121325301393	42.1939370552542	0	102	1
SPAC24H6.02c	0	11	2	100	943	300	0	0	0.0116648992576882	5.92319896011199	0.00843437698064696	0.473726222726494	0	0.0795361749275008	4.46723828031084	1	99	1
SPAC24H6.01c	3	36	29	100	2002	300	0.03	15.2333907801426	0.017982017982018	9.13090356452102	0.0204905718519324	0.281535855854755	1.66833333333333	0.410221248475686	5.6363478342122	1	102	1
SPAPB21F2.02	16	657	106	100	5340	300	0.16	81.244750827427	0.123033707865169	62.4740183680004	0.0143200789286809	0.0407720341978401	1.30045662100457	0.764692214791558	2.17722662616466	12	104	1
SPAPB21F2.03	11	46	39	100	758	300	0.11	55.8557661938561	0.0606860158311346	30.8151264681864	0.116970780454063	0.477470088958952	1.81260869565217	0.886638515841798	3.61922327430886	6	105	1
SPNCRNA.655	17	148	9	100	2648	300	0.17	86.3225477541412	0.0558912386706949	28.3804359952304	0.0671715058013578	0.193781038648175	3.04162162162162	1.77870147361996	5.13132190340369	6	111	1
SPNCRNA.656	3	2	13	100	301	300	0.03	15.2333907801426	0.00664451827242525	3.37395144632172	0.205434456268421	12.7771333780473	4.515	0.618357713367946	38.4591714679223	0	103	1
SPAC227.04	1	40	30	100	726	300	0.01	5.07779692671419	0.0550964187327824	27.976842571428	0.00127611792778602	0.168327520214101	0.1815	0.00926461615572648	1.22205779675438	5	96	1
SPAC227.05	12	13	28	100	247	300	0.12	60.9335631205703	0.0526315789473684	26.7252469827063	0.395394878199986	2.14938378664494	2.28	0.976625349153965	5.30897795301301	5	107	1
SPAC227.06	18	70	39	100	873	300	0.18	91.4003446808554	0.0801832760595647	40.7154392749133	0.147922978335175	0.442083349271013	2.24485714285714	1.29136760086608	3.85938763913595	8	110	1
SPNCRNA.657	3	41	6	100	607	300	0.03	15.2333907801426	0.0675453047775947	34.2981341013644	0.018097258027843	0.24546147865685	0.444146341463415	0.109850356229007	1.48995117544708	6	97	1
SPAC227.09	16	51	10	100	2018	300	0.16	81.244750827427	0.0252725470763132	12.8328861874343	0.171837772658904	0.565664202074256	6.33098039215686	3.46768625225668	11.4151035978585	2	114	0.00108076227409081
SPAC227.10	19	106	55	100	920	300	0.19	96.4781416075696	0.115217391304348	58.5050515469243	0.106546882598873	0.298271610328234	1.64905660377358	0.980231319909634	2.74409881501976	12	107	1
SPAC227.12	1	61	5	100	1511	300	0.01	5.07779692671419	0.0403706154864328	20.4993787246569	0.000843223890509038	0.109017573252971	0.247704918032787	0.0127411129855916	1.64725553185239	3	98	1
SPNCRNA.658	0	5	2	100	737	300	0	0	0.0067842605156038	3.44490971961614	0.0190383591688732	1.16008855872718	0	0.140312707074595	8.54985267781934	0	100	1
