Cdk9as_3MBPP1r2_pr_counts	Cdk9as_3MBPP1r2gb_counts	Cdk9as_3MBPP1r2term_counts	Cdk9as_3MBPP1r2pr_map	Cdk9as_3MBPP1r2gb_map	Cdk9as_3MBPP1r2term_map	Cdk9as_3MBPP1r2pr_density	Cdk9as_3MBPP1r2pr_densityRPKM	Cdk9as_3MBPP1r2gb_density	Cdk9as_3MBPP1r2gb_densityRPKM	Cdk9as_3MBPP1r2pause_index_CI_low	Cdk9as_3MBPP1r2pause_index_CI_high	Cdk9as_3MBPP1r2pause_index_scaled	Cdk9as_3MBPP1r2pause_index_CI_low_scaled	Cdk9as_3MBPP1r2pause_index_CI_high_scaled	Cdk9as_3MBPP1r2_ExpPR	Cdk9as_3MBPP1r2_ExpGB	Cdk9as_3MBPP1r2Fexact_Pval
SPAC1F8.01	0	17	0	100	1598	300	0	0	0.0106382978723404	0.864114306201794	0.00541762860743838	0.297388981119444	0	0.0865737051468654	4.75227591828871	1	99	1
SPNCRNA.139	0	4	15	100	685	300	0	0	0.00583941605839416	0.474316757856751	0.0240893601812892	1.52670069174082	0	0.165012117241831	10.4578997384246	0	100	1
SPNCRNA.605	0	300	19	100	2889	300	0	0	0.103842159916926	8.43476062128439	0.000303192259372212	0.0160124953855865	0	0.00875922437326321	0.462600991689595	9	91	1
SPAC1F8.05	0	61	43	100	977	300	0	0	0.0624360286591607	5.07147536515976	0.00149545868574188	0.0796917976497406	0	0.0146106313596981	0.778588863037965	5	95	1
SPAC1F8.06	19	1075	118	100	1314	300	0.19	15.433081508764	0.818112633181126	66.4526260591258	0.010906421438053	0.0282968929793265	0.232241860465116	0.143310377696017	0.37182117374835	53	66	1
SPAC1F8.08	3	283	34	100	957	300	0.03	2.43680234348906	0.295715778474399	24.0200300664369	0.00272032632962739	0.0340354029381063	0.101448763250883	0.0260335229745341	0.325718806117677	23	80	1
SPAC11D3.19	52	111	9	100	1210	300	0.52	42.2379072871437	0.0917355371900826	7.45137906686737	0.332478983753518	0.658936822384699	5.66846846846847	4.02299570341756	7.97313555085485	12	140	1.5118327847413e-12
SPNCRNA.608	1	359	0	100	2549	300	0.01	0.812267447829686	0.140839544919576	11.4399377705319	0.000145038491557287	0.0181646214519154	0.0710027855153203	0.00369703114979524	0.463016200809323	12	89	1
SPAC11D3.05	176	2696	10	100	1753	300	1.76	142.959070818025	1.53793496862521	124.921451189323	0.0558765907448222	0.0762389358773115	1.14439169139466	0.979516635756733	1.33646854592927	167	109	1
SPAC11D3.06	23	768	12	100	1521	300	0.23	18.6821513000828	0.504930966469428	41.0138987464299	0.0193102978033705	0.0460276384722005	0.4555078125	0.293709629589266	0.70008038116217	41	82	1
SPAC11D3.09	2	74	18	100	1729	300	0.02	1.62453489565937	0.0427993059572007	3.47644830187373	0.0045921824636759	0.111713485708446	0.467297297297297	0.0793988347969563	1.93152616789903	4	98	1
SPAC11D3.10	5	251	1	100	4126	300	0.05	4.06133723914843	0.0608337372758119	4.94132645189654	0.00726484608821317	0.0499289190804132	0.821912350597609	0.299747549599675	2.06006720125785	6	99	1
SPAC11D3.13	4	574	172	100	920	300	0.04	3.24906979131875	0.623913043478261	50.6784255493739	0.00222412209919717	0.0192447011261491	0.0641114982578397	0.0204619233126139	0.177051250360572	39	65	1
SPNCRNA.609	77	448	5	100	4138	300	0.77	62.5445934828859	0.108264862252296	8.79400233513049	0.133925115711348	0.220285040658655	7.1121875	5.54182128813559	9.11539498245514	17	160	7.22709236807088e-26
SPNCRNA.147	6	4	24	100	333	300	0.06	4.87360468697812	0.012012012012012	0.975696634029653	0.376784068761011	6.3029714817381	4.995	1.25469094897417	20.9888950341879	1	105	1
SPAC11D3.15	45	1472	12	100	3921	300	0.45	36.5520351523359	0.375414435093088	30.4936925071486	0.0224525487779348	0.0414875297108772	1.19867527173913	0.880364437582825	1.62672603996349	39	106	1
SPAC11D3.17	27	755	39	100	3291	300	0.27	21.9312210914015	0.22941355211182	18.6345160471411	0.0238681528742593	0.0532037007219333	1.17691390728477	0.785500911091874	1.75093379075882	23	104	1
SPNCRNA.611	19	146	19	100	1474	300	0.19	15.433081508764	0.0990502035278155	8.04552560265497	0.0782175609276469	0.214080654721727	1.91821917808219	1.15292684807352	3.15554885059825	10	109	1
SPAC5H10.01	8	46	9	100	687	300	0.08	6.49813958263749	0.0669577874818049	5.43876311501682	0.0759372133709383	0.382613704101175	1.19478260869565	0.521688655858346	2.62855614717507	6	102	1
SPNCRNA.613	5	84	16	100	416	300	0.05	4.06133723914843	0.201923076923077	16.4015542350225	0.0213107206138277	0.152281477872927	0.247619047619048	0.0886525977535232	0.633490947951376	17	88	1
SPAC5H10.03	0	2212	326	100	3193	300	0	0	0.6927654243658	56.2710803194258	4.10937751899315e-05	0.00216601255385863	0	0.00131212424181451	0.0691607808447061	40	60	1
SPAC5H10.04	164	482	19	100	2498	300	1.64	133.211861444069	0.192954363490793	15.6730548380268	0.283853577504614	0.40770074270977	8.49941908713693	7.09066236606527	10.1843645528901	42	222	1.39861034333557e-52
SPAC5H10.07	11	60	15	100	453	300	0.11	8.93494192612655	0.132450331125828	10.7585092427773	0.0911430199685144	0.359758830373942	0.8305	0.41287788045737	1.62970750159396	12	99	1
SPNCRNA.614	21	219	86	100	1475	300	0.21	17.0576164044234	0.148474576271186	12.0601065135391	0.0596180801894854	0.152701112892894	1.41438356164384	0.87936668279491	2.25234141517018	15	106	1
SPAC5H10.10	26	312	12	100	1554	300	0.26	21.1189536435718	0.200772200772201	16.3080723116385	0.0546453834335467	0.12615962383353	1.295	0.849189258557315	1.96052055437305	21	105	1
SPAC5H10.11	2	37	3	100	1565	300	0.02	1.62453489565937	0.0236421725239617	1.92037671371875	0.0090128876830177	0.228949768930256	0.845945945945946	0.141051692239227	3.58306388375851	2	100	1
SPNCRNA.616	2	17	8	100	497	300	0.02	1.62453489565937	0.03420523138833	2.77837960022227	0.018791857082423	0.52761009643784	0.584705882352941	0.0933955296996423	2.62222217929606	3	99	1
SPNCRNA.617	61	206	4	100	3975	300	0.61	49.5483143176109	0.0518238993710692	4.20948664787208	0.220201299509718	0.397530106530423	11.7706310679612	8.7530016555113	15.8018217345843	7	154	9.22468168213608e-31
SPSNORNA.49	6	52	68	100	159	300	0.06	4.87360468697812	0.327044025157233	26.5647215642413	0.0446704309649143	0.279423243257117	0.183461538461538	0.0710259852342137	0.444282956778816	26	80	1
SPNCRNA.141	110	320	59	100	604	300	1.1	89.3494192612655	0.529801324503311	43.0340369711092	0.275137230962517	0.429189541938626	2.07625	1.6618288750136	2.5923048333093	72	138	0.010887811078362
SPAC13G6.03	110	1348	21	100	3896	300	1.1	89.3494192612655	0.345995893223819	28.1041201148464	0.0668519601578373	0.0995249163331296	3.17922848664688	2.60455236774934	3.87749074033873	53	157	4.94715044118616e-12
SPAC13G6.04	74	760	602	100	505	300	0.74	60.1077911393968	1.5049504950495	122.242229772388	0.0761134595189478	0.124373371562558	0.491710526315789	0.384372970570687	0.628085526390919	104	70	1
SPAC13G6.08	1	98	66	100	2130	300	0.01	0.812267447829686	0.0460093896713615	3.73719295245583	0.000527778249978962	0.0672557567881182	0.21734693877551	0.0112416767245519	1.43254761958692	4	97	1
SPAC13G6.09	27	752	4	100	1572	300	0.27	21.9312210914015	0.478371501272265	38.8565598452878	0.0239626927490033	0.0534174922184668	0.564414893617021	0.376693530014331	0.839722977674297	41	86	1
SPAC13G6.13	2	0	2	100	147	300	0.02	1.62453489565937	0	0	0.246676758328458	19.4460633145857	NA	0.362614834742833	28.585713072441	0	102	1
SPAC13G6.14	40	3151	81	100	1272	300	0.4	32.4906979131875	2.47720125786164	201.214994348376	0.00916960877492415	0.0175046255988726	0.161472548397334	0.116637423617035	0.22265883761766	99	41	1
SPAC24B11.05	113	1035	62	100	1489	300	1.13	91.7862216047546	0.695097380792478	56.4604975489406	0.0894614736738724	0.133137647192691	1.62567149758454	1.33208134300396	1.98241956669917	87	126	1
SPNCRNA.622	22	733	6	100	2388	300	0.22	17.8698838522531	0.306951423785595	24.9326649606013	0.0191509771258019	0.0465853183910895	0.716725784447476	0.457325333764149	1.11245740317922	28	94	1
SPNCRNA.142	15	665	91	100	597	300	0.15	12.1840117174453	1.11390284757119	90.478702312687	0.0130237295805136	0.0383973726909534	0.134661654135338	0.0777516655956661	0.229232314964992	60	55	1
SPAC24B11.09	15	3241	285	100	2741	300	0.15	12.1840117174453	1.18241517694272	96.0437358050351	0.00268533617525145	0.00783887276129488	0.126858994137612	0.0736050645636423	0.214863502387093	62	53	1
SPAC24B11.14	10	31	307	100	596	300	0.1	8.12267447829686	0.0520134228187919	4.22488102059065	0.148208341412642	0.684754973422762	1.92258064516129	0.883321714819348	4.08113964159966	5	105	1
SPAC24B11.13	86	4347	60	100	2075	300	0.86	69.855000513353	2.09493975903614	170.165137142923	0.0158835233503919	0.0246110891571784	0.410512997469519	0.329583109520632	0.510680100011452	125	61	1
SPNCRNA.625	3	63	1	100	1669	300	0.03	2.43680234348906	0.0377471539844218	3.06607844297605	0.0119540699724486	0.156920667685371	0.794761904761905	0.199513427840167	2.61900594366883	3	100	1
SPNCRNA.627	2	89	30	100	761	300	0.02	1.62453489565937	0.116951379763469	9.49957987606335	0.00383050818803978	0.0925031062647578	0.171011235955056	0.0291501673109828	0.703948638674807	10	92	1
SPNCRNA.144	6	80	32	100	431	300	0.06	4.87360468697812	0.185614849187935	15.0768899829176	0.0295256868882607	0.178300942468825	0.32325	0.127255710488403	0.768477062040636	16	90	1
SPNCRNA.628	7	76	17	100	1566	300	0.07	5.6858721348078	0.0485312899106003	3.94203869955659	0.0389194832722647	0.206920264705202	1.44236842105263	0.609479108043665	3.24037134528347	4	103	1
SPNCRNA.145	5	28	15	100	719	300	0.05	4.06133723914843	0.0389429763560501	3.16321120156206	0.0606239640628098	0.485184415038693	1.28392857142857	0.435886301611603	3.48847594412821	3	102	1
SPAC806.05	2	335	0	100	2921	300	0.02	1.62453489565937	0.114686751112633	9.31563146261366	0.00102966721902654	0.0242105026715625	0.174388059701493	0.0300765794677652	0.707188783036341	10	92	1
SPAC806.07	203	936	470	100	469	300	2.03	164.890291909426	1.99573560767591	162.107106858974	0.185786146778285	0.253103286747844	1.0171688034188	0.871337028390157	1.18705441484739	201	102	1
SPNCRNA.630	4	913	2	100	2184	300	0.04	3.24906979131875	0.418040293040293	33.9560521917813	0.00140021375894825	0.0120804406088341	0.095684556407448	0.0305806684954297	0.263836822896937	30	74	1
SPNCRNA.631	1	5	4	100	863	300	0.01	0.812267447829686	0.00579374275782155	0.470606864327744	0.00883974757390515	1.74105855180368	1.726	0.0762870215628015	15.0253353020658	0	101	1
SPAC1F5.11c	39	2794	86	100	11254	300	0.39	31.6784304653578	0.248267282743913	20.165943213401	0.0100370695819894	0.019332327533681	1.57088761632069	1.12957181075709	2.17566014064046	27	112	1
SPNCRNA.633	4	38	6	100	947	300	0.04	3.24906979131875	0.0401267159450898	3.25936251505048	0.0319431751180627	0.307974443683006	0.996842105263158	0.302501868368053	2.91651798167807	4	100	1
SPAC1F5.09c	8	83	147	100	1569	300	0.08	6.49813958263749	0.052899936265137	4.29688962204359	0.0432523853261741	0.205854403667958	1.51228915662651	0.678629925767672	3.22985559355026	5	103	1
SPAC1F5.08c	26	980	95	100	1608	300	0.26	21.1189536435718	0.609452736318408	49.5038618702172	0.0175967559255785	0.0397002077851459	0.426612244897959	0.282955835283302	0.638379341185147	47	79	1
SPAC1F5.07c	27	459	26	100	1526	300	0.27	21.9312210914015	0.300786369593709	24.4318976771839	0.0390818565070667	0.0879212381763855	0.897647058823529	0.596389130297838	1.34167809457164	29	98	1
SPAC1F5.05c	24	399	31	100	731	300	0.24	19.4944187479125	0.545827633378933	44.3358018719624	0.0389178899433248	0.0921950780445098	0.439699248120301	0.284489775485704	0.673946020505367	43	81	1
SPAC1F5.04c	28	3314	37	100	5667	300	0.28	22.7434885392312	0.584789130051174	47.5005174185209	0.00571303150915265	0.0124106158411266	0.478805069402535	0.323757495623681	0.703309599716642	47	81	1
SPAC1F5.03c	36	3310	11	100	1926	300	0.36	29.2416281218687	1.71858774662513	139.595288282257	0.00771533727812218	0.0152607710978948	0.209474320241692	0.148597395976633	0.293922451345455	85	51	1
SPNCRNA.148	0	0	3	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	0	9	3	100	506	300	0	0	0.0177865612648221	1.44474447242434	0.0103569347612096	0.590306163886248	0	0.0524060898917204	2.98694918926441	1	99	1
SPAC18B11.09c	3	151	19	100	960	300	0.03	2.43680234348906	0.157291666666667	12.7762900648211	0.00507011293360218	0.0642065370819103	0.190728476821192	0.0486730841625809	0.616382755986339	13	90	1
SPAC18B11.08c	84	564	236	100	553	300	0.84	68.2304656176937	1.01989150090416	82.842466650261	0.117608197338264	0.188385159486459	0.823617021276596	0.650373331280599	1.04176993196012	92	92	1
SPAC18B11.07c	142	1187	137	100	957	300	1.42	115.341977591815	1.24033437826541	100.748323988907	0.100119260926894	0.142862711390039	1.14485256950295	0.958141327070378	1.36719614800268	133	109	1
SPAC18B11.03c	44	489	392	100	1723	300	0.44	35.7397677045062	0.283807312826465	23.0527441664955	0.0652527891537243	0.123669776096691	1.55034764826176	1.12430555711867	2.13083024214599	31	113	1
SPAC18B11.02c	108	1203	53	100	1187	300	1.08	87.7248843656061	1.01347935973041	82.3216292956287	0.0733525829923613	0.109782476482747	1.06563591022444	0.870695160119329	1.30311799585021	104	104	1
SPAC12G12.16c	34	177	12	100	1991	300	0.34	27.6170932262093	0.0889000502260171	7.22106169090178	0.130737359275511	0.28096892622029	3.8245197740113	2.60298082317542	5.59409132104596	10	124	6.17938042585879e-05
SPNCRNA.637	2	52	49	100	1253	300	0.02	1.62453489565937	0.0415003990422985	3.37094232140013	0.00648283335729948	0.160629404222807	0.481923076923077	0.0812299019669625	2.01268643491177	4	98	1
SPAC12G12.14c	7	668	289	100	1844	300	0.07	5.6858721348078	0.362255965292842	29.4248728389496	0.00457246948923303	0.0227397648391688	0.193233532934132	0.0843163373814571	0.419321263634273	28	79	1
SPAC12G12.13c	45	1666	44	100	2129	300	0.45	36.5520351523359	0.782527007984969	63.5621215633752	0.0198488131081808	0.0366362983815159	0.575060024009604	0.422581231073169	0.779986792542474	63	82	1
SPAC12G12.11c	2	451	16	100	1362	300	0.02	1.62453489565937	0.331130690161527	26.8966680595586	0.00076567151311862	0.0179583592850127	0.0603991130820399	0.0104284460086756	0.244592853461873	25	77	1
SPAC12G12.17	3	183	44	100	508	300	0.03	2.43680234348906	0.360236220472441	29.2608155418962	0.00419224178040932	0.0528495832940336	0.0832786885245902	0.0212965882444794	0.268475883133691	27	76	1
SPAC12G12.07c	32	1350	101	100	1327	300	0.32	25.99255833055	1.01733232856066	82.6345934114602	0.0164127768818186	0.034045244003596	0.314548148148148	0.217797549221732	0.451780387927719	66	66	1
SPAC12G12.06c	34	1974	284	100	1638	300	0.34	27.6170932262093	1.20512820512821	97.8886411487058	0.0120779003980071	0.0244388044574563	0.282127659574468	0.197836008519356	0.400307617013135	73	61	1
SPAC12G12.05c	74	559	9	100	1251	300	0.74	60.1077911393968	0.446842525979217	36.2955638158909	0.103071654937229	0.169772867564059	1.65606440071556	1.28942640326473	2.12385857322638	53	121	1
SPNCRNA.639	2	67	7	100	1545	300	0.02	1.62453489565937	0.0433656957928803	3.52245430450414	0.00506189698319274	0.123700714732445	0.461194029850746	0.0782063083903279	1.91117604261627	4	98	1
SPNCRNA.640	2	19	8	100	565	300	0.02	1.62453489565937	0.0336283185840708	2.73151885110868	0.0169524113891639	0.46686156027615	0.594736842105263	0.095781124348776	2.63776781556025	3	99	1
SPAC12G12.01c	40	1201	27	100	3100	300	0.4	32.4906979131875	0.38741935483871	31.4688130594662	0.0239772194930972	0.0460823023885749	1.03247293921732	0.743293804286014	1.42855137404582	39	101	1
SPAC630.03	44	4046	155	100	1646	300	0.44	35.7397677045062	2.45808019441069	199.661852607467	0.00798246096834033	0.014764751878809	0.17900148294612	0.131391307538882	0.243027815925196	102	42	1
SPAC630.05	53	1171	21	100	2562	300	0.53	43.0501747349734	0.457064793130367	37.1258853008807	0.0340185509775829	0.0600643635508012	1.15957301451751	0.871555276045673	1.53884899417153	47	106	1
SPNCRNA.641	2	14	33	100	428	300	0.02	1.62453489565937	0.0327102803738318	2.65694959570458	0.0224451794089099	0.655283897988541	0.611428571428571	0.0960653678701345	2.80461508339096	3	99	1
SPAC630.15	1	142	2	100	2081	300	0.01	0.812267447829686	0.0682364247957713	5.54262266178834	0.000365277484745459	0.0462052383730063	0.146549295774648	0.00760142445755301	0.961531010542261	6	95	1
SPAC630.10	1767	208	47	100	1094	300	17.67	1435.27658031506	0.190127970749543	15.4434761561769	7.34056804634467	9.83447617702795	92.9374038461539	80.3058144270107	107.589169376686	298	1569	0
SPAC630.11	16	456	114	100	944	300	0.16	12.996279165275	0.483050847457627	39.2366479036374	0.0205744269863906	0.0589142668306584	0.331228070175439	0.194222590751527	0.556150678881415	37	79	1
SPAC630.12	49	499	31	100	1506	300	0.49	39.8011049436546	0.331341301460823	26.913775329815	0.0723841462250555	0.132844182160465	1.4788376753507	1.09010524214934	2.00063338333661	37	112	1
SPAC1751.04	1	1533	51	100	1652	300	0.01	0.812267447829686	0.927966101694915	75.3756657096192	3.40308752196433e-05	0.00424079110134038	0.0107762557077626	0.000562190058628508	0.0700578689941431	48	53	1
SPAC1751.03	468	5557	218	100	1374	300	4.68	380.141165584293	4.04439592430859	328.513115545092	0.0765468124262322	0.0926495403847533	1.1571567392478	1.05175320273643	1.27300468488651	455	113	1
SPAC31A2.02	41	317	139	100	783	300	0.41	33.3029653610171	0.40485312899106	32.8849017831431	0.092110369493458	0.180965785086861	1.01271293375394	0.721224193133776	1.41696209723012	40	101	1
SPAC31A2.03	68	866	27	100	898	300	0.68	55.2341864524187	0.964365256124722	78.3322505368049	0.0608476184381463	0.101156600777657	0.705127020785219	0.546411613574554	0.908386274983363	82	86	1
SPAC31A2.06	9	1138	2	100	4811	257	0.09	7.31040703046718	0.236541259613386	19.2134765252584	0.00384884964398366	0.0156524282459855	0.380483304042179	0.185168156372054	0.753038322914361	20	89	1
SPAC31A2.08	35	420	47	100	777	300	0.35	28.429360674039	0.540540540540541	43.9063485313344	0.0580836447048813	0.119004343981728	0.6475	0.451309919356927	0.924663752738025	47	88	1
SPAC31A2.10	2	389	5	100	1783	300	0.02	1.62453489565937	0.218171620863713	17.7213705667834	0.000887257438990484	0.020833981704695	0.0916709511568123	0.0158198001372003	0.371469893794711	18	84	1
SPAC31A2.12	23	2380	108	100	2450	300	0.23	18.6821513000828	0.971428571428571	78.9059806463124	0.00625877671666962	0.0147858004814076	0.236764705882353	0.153340029558406	0.362252111794487	60	63	1
SPAC31A2.14	80	2032	55	100	3306	300	0.8	64.9813958263749	0.614640048396854	49.9252103445228	0.0312769115248748	0.0494894737368518	1.30157480314961	1.03401469501236	1.63612200174032	68	112	1
SPAC31A2.16	5	854	18	100	3850	300	0.05	4.06133723914843	0.221818181818182	18.0175688427676	0.0021494954441635	0.0145673277161646	0.225409836065574	0.0827555746002948	0.560842117072337	19	86	1
SPAC13C5.02	457	599	121	100	1441	300	4.57	371.206223658167	0.415683553088133	33.7646218771674	0.674231934459344	0.863287658850513	10.9939398998331	9.71568217555915	12.4399751640359	163	394	6.16533465399898e-110
SPAC13C5.03	40	174	195	100	2441	300	0.4	32.4906979131875	0.0712822613682917	5.79002605171509	0.16052912084614	0.328085598409936	5.61149425287356	3.91851583985427	8.00856945718653	9	131	1.8247972047487e-10
SPAC13C5.04	46	300	868	100	743	300	0.46	37.3643026001656	0.403768506056528	32.7968013928541	0.110994647115472	0.211200626206626	1.13926666666667	0.824690228067959	1.56922065271523	41	105	1
SPNCRNA.05	0	0	4	100	539	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13C5.07	0	3330	14	100	4610	300	0	0	0.72234273318872	58.6735488345522	2.72962057606888e-05	0.0014386069720834	0	0.00125835508556776	0.0663197814130447	41	59	1
SPAC23E2.01	47	4534	187	100	3301	300	0.47	38.1765700479953	1.37352317479552	111.566816372608	0.00768937696754955	0.0139313026521851	0.34218570798412	0.253826333698811	0.459872300548631	85	62	1
SPAC23E2.02	20	1551	26	100	3817	300	0.2	16.2453489565937	0.406340057636888	33.0056801567682	0.00807036310849369	0.0203729456566486	0.492198581560284	0.308045759851204	0.777635335714276	34	86	1
SPNCRNA.650	0	4	3	100	1924	300	0	0	0.00207900207900208	0.168870571274363	0.0240893601812892	1.52670069174082	0	0.463479289888005	29.3737213090934	0	100	1
SPRRNA.11	0	0	1	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	0	41	111	100	759	300	0	0	0.0540184453227932	4.38774247180726	0.00222893830759859	0.119437073139709	0	0.0169176417546733	0.906527385130393	5	95	1
SPAC24H6.12c	18	757	30	100	1684	300	0.18	14.6208140609344	0.449524940617577	36.5134476251231	0.0144451212055577	0.0386308351971739	0.400422721268164	0.243255841101592	0.650543264720408	36	82	1
SPAC24H6.11c	0	1729	388	100	4261	300	0	0	0.405773292654307	32.9596436821762	5.25748881694319e-05	0.00277140996756935	0	0.00224021598489949	0.11808977871813	28	72	1
SPAC24H6.10c	257	2635	215	100	992	300	2.57	208.752734092229	2.65625	215.75854082976	0.0856224988619149	0.111075432900011	0.967529411764706	0.849375188710196	1.10186829436811	259	98	1
SPNCRNA.653	1	79	8	100	1202	300	0.01	0.812267447829686	0.0657237936772047	5.33852981518679	0.000653273939375048	0.083726477547001	0.152151898734177	0.00785235275128808	1.00639226011495	6	95	1
SPNCRNA.551	3	49	10	100	427	300	0.03	2.43680234348906	0.114754098360656	9.32110186034066	0.0152478106937568	0.203683022181668	0.261428571428571	0.0651081516623414	0.869726504715722	10	93	1
SPAC24H6.02c	2	289	25	100	943	300	0.02	1.62453489565937	0.306468716861082	24.893456248439	0.0011927480908835	0.0280882937954901	0.0652595155709343	0.0112476144970314	0.264872610491472	23	79	1
SPAC24H6.01c	10	262	161	100	2002	300	0.1	8.12267447829686	0.130869130869131	10.6300734930758	0.0191498398482138	0.0737140476326632	0.76412213740458	0.383379793761239	1.47575523360592	12	98	1
SPAPB21F2.02	154	3290	91	100	5340	300	1.54	125.089186965772	0.616104868913858	50.0441929468103	0.0396858193017491	0.0551814671823214	2.49957446808511	2.1192227507134	2.94669034753596	96	158	4.96267100404346e-09
SPAPB21F2.03	16	427	88	100	758	300	0.16	12.996279165275	0.563324538258575	45.7570184991129	0.0219581205701047	0.0629558179095357	0.284028103044496	0.166442553921394	0.47720509975428	41	75	1
SPNCRNA.655	37	480	5	100	2648	300	0.37	30.0538955696984	0.181268882175227	14.7238812295411	0.0543419475783032	0.10887301143028	2.04116666666667	1.43897477187347	2.88295734267383	21	116	1
SPNCRNA.656	2	52	131	100	301	300	0.02	1.62453489565937	0.172757475083056	14.0325273379215	0.00648283335729948	0.160629404222807	0.115769230769231	0.0195133284054714	0.48349450671065	15	87	1
SPAC227.04	28	204	126	100	726	300	0.28	22.7434885392312	0.28099173553719	22.8240439886028	0.0905469169049202	0.206753478694724	0.996470588235294	0.657370616729721	1.5010302553237	28	100	1
SPAC227.05	41	196	245	100	247	300	0.41	33.3029653610171	0.793522267206478	64.4552306779832	0.14719461251894	0.296286269030948	0.516683673469388	0.363570692921782	0.731827084506441	62	79	1
SPAC227.06	157	1170	106	100	873	300	1.57	127.525989309261	1.34020618556701	108.860585791607	0.113182400679589	0.159017731071232	1.17146153846154	0.988082357932812	1.38822479225185	147	110	1
SPNCRNA.657	27	123	11	100	607	300	0.27	21.9312210914015	0.202635914332784	16.4594556973726	0.141468333298958	0.338497867691623	1.33243902439024	0.858712783124676	2.05468205688815	21	106	1
SPAC227.09	17	438	11	100	2018	300	0.17	13.8085466131047	0.217046580773043	17.6299872224679	0.0231285872944841	0.0642156529208741	0.78324200913242	0.466734891602689	1.29587187594324	20	97	1
SPAC227.10	167	539	43	100	920	300	1.67	135.648663787558	0.585869565217391	47.5882776500218	0.259450657318499	0.369863885241234	2.85046382189239	2.38694604733019	3.40274774421935	98	169	4.74068874475394e-11
SPAC227.12	22	630	7	100	1511	300	0.22	17.8698838522531	0.416942422236929	33.8668757202318	0.0222578337581732	0.0542619167767973	0.527650793650794	0.336315868085997	0.819897562497407	35	87	1
