Cdk9as_3MBPP1_combined_pr_counts	Cdk9as_3MBPP1_combinedgb_counts	Cdk9as_3MBPP1_combinedterm_counts	Cdk9as_3MBPP1_combinedpr_map	Cdk9as_3MBPP1_combinedgb_map	Cdk9as_3MBPP1_combinedterm_map	Cdk9as_3MBPP1_combinedpr_density	Cdk9as_3MBPP1_combinedpr_densityRPKM	Cdk9as_3MBPP1_combinedgb_density	Cdk9as_3MBPP1_combinedgb_densityRPKM	Cdk9as_3MBPP1_combinedpause_index_CI_low	Cdk9as_3MBPP1_combinedpause_index_CI_high	Cdk9as_3MBPP1_combinedpause_index_scaled	Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	Cdk9as_3MBPP1_combined_ExpPR	Cdk9as_3MBPP1_combined_ExpGB	Cdk9as_3MBPP1_combinedFexact_Pval
SPAC11D3.17	48	1266	59	100	3291	300	0.48	23.8343204879918	0.384685505925251	19.1014950735577	0.0281011510883976	0.0510037652696293	1.24777251184834	0.924808882319164	1.6785339150235	41	107	1
SPNCRNA.611	32	259	33	100	1474	300	0.32	15.8895469919945	0.175712347354138	8.72496750111641	0.0840370989364983	0.180707547438867	1.8211583011583	1.23870683832398	2.66362924924891	19	113	1
SPAC5H10.01	10	68	10	100	687	300	0.1	4.9654834349983	0.098981077147016	4.91488898951796	0.0712389741925303	0.294790548487985	1.01029411764706	0.489411752702684	2.02521106811245	9	101	1
SPNCRNA.613	12	143	26	100	416	300	0.12	5.95858012199796	0.34375	17.0688493078066	0.044335039656252	0.155173271077697	0.349090909090909	0.184433764970008	0.645520807683218	28	84	1
SPAC5H10.03	0	3377	533	100	3193	300	0	0	1.05762605699969	52.5162466645451	2.69162809513316e-05	0.00141857953355118	0	0.000859436850776019	0.0452952445062891	51	49	1
SPAC5H10.04	297	738	24	100	2498	300	2.97	147.474858019449	0.295436349079263	14.6698429744946	0.350910971473757	0.461470014653288	10.0529268292683	8.76575606741446	11.5275209660391	90	307	5.28867941903418e-89
SPAC5H10.07	25	108	20	100	453	300	0.25	12.4137085874957	0.23841059602649	11.8382386529761	0.146161151763881	0.364080895181913	1.04861111111111	0.662110017490382	1.64928645517406	24	101	1
SPNCRNA.614	37	358	165	100	1475	300	0.37	18.3722887094937	0.24271186440678	12.0518174218942	0.0725468763774056	0.146616857789662	1.52444134078212	1.07006642656673	2.16259865239751	26	111	1
SPAC5H10.10	43	622	25	100	1554	300	0.43	21.3515787704927	0.4002574002574	19.874714907136	0.0500996604236112	0.0950663983255421	1.07430868167203	0.778548722982917	1.47733182997892	40	103	1
SPAC5H10.11	13	57	6	100	1565	300	0.13	6.45512846549778	0.0364217252396166	1.80851473351376	0.119008650782591	0.429046180088237	3.56929824561404	1.86248538474755	6.71457271838091	3	110	1
SPNCRNA.616	4	21	10	100	497	300	0.04	1.98619337399932	0.0422535211267606	2.0980915922528	0.0554542706831016	0.585207244627966	0.946666666666667	0.275607725295015	2.90848000580099	4	100	1
SPNCRNA.617	78	332	5	100	3975	300	0.78	38.7307707929867	0.0835220125786164	4.14727169916839	0.182143188127964	0.302664796535157	9.33885542168675	7.24019172808658	12.0309256622725	13	165	1.11071307877906e-32
SPSNORNA.49	17	90	119	100	159	300	0.17	8.4413218394971	0.566037735849057	28.1065100094243	0.108521606645522	0.324588255128262	0.300333333333333	0.172549354566381	0.516095325653937	42	75	1
SPNCRNA.141	156	542	91	100	604	300	1.56	77.4615415859734	0.897350993377483	44.5578149299516	0.239886254073209	0.345195660860512	1.73845018450184	1.44891297460218	2.08498179159749	121	135	0.331501167473697
SPAC13G6.03	156	2127	36	100	3896	300	1.56	77.4615415859734	0.545944558521561	27.1087866176627	0.0621195009359863	0.0865511428605286	2.85743300423131	2.42017575646602	3.3720325258462	90	166	2.06233454860803e-12
SPAC13G6.04	125	1431	814	100	505	300	1.25	62.0685429374787	2.83366336633663	140.705085059061	0.0724359216747102	0.105266759505692	0.441125087351502	0.365801404457287	0.531597135503745	166	59	1
SPAC13G6.08	2	134	100	100	2130	300	0.02	0.993096686999659	0.0629107981220657	3.12382525957639	0.0025577848125621	0.0610199548015803	0.317910447761194	0.0544808165075728	1.29972503727366	6	96	1
SPAC13G6.09	45	1397	10	100	1572	300	0.45	22.3446754574923	0.888676844783715	44.1271015184009	0.0236520258208033	0.0437259194488235	0.506370794559771	0.371809845903027	0.687371453735506	68	77	1
SPAC13G6.13	2	0	2	100	147	300	0.02	0.993096686999659	0	0	0.246676758328458	19.4460633145857	NA	0.362614834742833	28.585713072441	0	102	1
SPAC13G6.14	60	5839	100	100	1272	300	0.6	29.7929006099898	4.59040880503145	227.93598881254	0.00789822214934642	0.0133401989006448	0.130707312896044	0.100465385739686	0.169687330016202	131	29	1
SPAC24B11.05	197	1659	103	100	1489	300	1.97	97.8200236694664	1.11417058428475	55.3239558002832	0.102147193708397	0.137996286129948	1.76813140446052	1.52097171431803	2.05476470047493	156	141	0.0235702973076652
SPNCRNA.622	50	1326	9	100	2388	300	0.5	24.8274171749915	0.555276381909548	27.5721567621765	0.028124600867431	0.0504144123562509	0.900452488687783	0.671615468714252	1.20389616706727	53	97	1
SPNCRNA.142	20	1052	115	100	597	300	0.2	9.93096686999659	1.76214405360134	87.498971082382	0.0118813719510758	0.0300806972065054	0.113498098859316	0.0709317905479224	0.179581762322837	76	44	1
SPAC24B11.09	20	5091	580	100	2741	300	0.2	9.93096686999659	1.85735133163079	92.2264727018472	0.0024638701591677	0.00619333001828978	0.107680219996071	0.0675346810627868	0.169759175801323	78	42	1
SPAC24B11.14	18	61	428	100	596	300	0.18	8.93787018299693	0.102348993288591	5.08212230763248	0.168334818491562	0.511774952052694	1.75868852459016	1.00327551820971	3.05017871423405	10	108	1
SPAC24B11.13	126	7175	93	100	2075	300	1.26	62.5650912809785	3.4578313253012	171.698041668013	0.0146638198607684	0.0210158159124564	0.364390243902439	0.304274262110944	0.436078180183469	175	51	1
SPNCRNA.625	5	116	3	100	1669	300	0.05	2.48274171749915	0.0695026962252846	3.45114486794369	0.0155497545291082	0.109343110304399	0.719396551724138	0.259525403090816	1.82493651098041	6	99	1
SPNCRNA.627	3	216	47	100	761	300	0.03	1.48964503049949	0.283837056504599	14.0938820231226	0.0035570979432509	0.0446963057708491	0.105694444444444	0.0270695153481393	0.340138886916162	22	81	1
SPNCRNA.144	13	200	47	100	431	300	0.13	6.45512846549778	0.464037122969838	23.04168647331	0.0354736107936779	0.116637332558453	0.28015	0.152891262520752	0.502706903326933	35	78	1
SPNCRNA.628	10	122	28	100	1566	300	0.1	4.9654834349983	0.0779054916985951	3.86838428524771	0.0405394276839398	0.160720775154852	1.28360655737705	0.634847437530497	2.51688733892499	7	103	1
SPNCRNA.145	9	44	26	100	719	300	0.09	4.46893509149847	0.0611961057023644	3.03868249151495	0.0931490031031492	0.43464471577696	1.47068181818182	0.669741332311643	3.12509550643634	6	103	1
SPAC806.05	4	609	1	100	2921	300	0.04	1.98619337399932	0.208490243067443	10.3525484831015	0.0020967429723938	0.0181343576006343	0.191855500821018	0.061245862223623	0.529704585514529	17	87	1
SPAC806.07	345	1560	770	100	469	300	3.45	171.309178507441	3.32622601279318	165.16320167585	0.196464396526428	0.248912783673323	1.03721153846154	0.921418019708948	1.16740095542789	342	103	1
SPNCRNA.630	12	1443	3	100	2184	300	0.12	5.95858012199796	0.660714285714286	32.8076584098102	0.00449454141312449	0.0150166258075014	0.181621621621622	0.0981607844626389	0.32796310763583	44	68	1
SPNCRNA.631	2	7	4	100	863	300	0.02	0.993096686999659	0.00811123986095017	0.40276227166846	0.0410868912536841	1.48812327873763	2.46571428571429	0.354579871519294	12.8425038955058	0	102	1
SPAC1F5.11c	76	4741	146	100	11254	300	0.76	37.737674105987	0.421272436467034	20.9182130489843	0.0126912232391707	0.0202177078935267	1.80405821556634	1.42827026333628	2.27530084633749	52	124	0.686133804464883
SPNCRNA.633	6	70	8	100	947	300	0.06	2.97929006099898	0.0739176346356917	3.67036790337783	0.0335929980770936	0.204778247038997	0.811714285714286	0.318125691790076	1.9392499994593	7	99	1
SPAC1F5.09c	8	187	274	100	1569	300	0.08	3.97238674799864	0.119184193753983	5.91807139799032	0.0195764542815	0.089473234526782	0.671229946524064	0.307154567676734	1.40383504972521	11	97	1
SPAC1F5.08c	80	1594	141	100	1608	300	0.8	39.7238674799864	0.991293532338308	49.2225161404682	0.0398227456924231	0.0631654903058693	0.80702634880803	0.640349750734163	1.01570108411838	89	91	1
SPAC1F5.07c	39	806	45	100	1526	300	0.39	19.3653853964934	0.528178243774574	26.2266032018914	0.0345972176095276	0.0674008647082773	0.738387096774194	0.527953540721391	1.02853719544831	48	91	1
SPAC1F5.05c	39	654	53	100	731	300	0.39	19.3653853964934	0.894664842681259	44.4244345620915	0.0425602808386752	0.083220062250419	0.435917431192661	0.311115652930716	0.608338655050563	65	74	1
SPAC1F5.04c	47	5642	61	100	5667	300	0.47	23.337772144492	0.995588494794424	49.435781789766	0.00618120020712383	0.0111919444768815	0.47208259482453	0.350288615737708	0.634247493504875	73	74	1
SPAC1F5.03c	52	5572	16	100	1926	300	0.52	25.8205138619911	2.89304257528557	143.653549843253	0.0070302198908426	0.0123553793686333	0.179741564967696	0.135402035097629	0.237964606639878	112	40	1
SPNCRNA.148	0	0	4	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	0	10	3	100	506	300	0	0	0.0197628458498024	0.981320836956185	0.00929728784483565	0.525639636497703	0	0.0470442764948684	2.65973656067838	1	99	1
SPAC18B11.09c	6	295	34	100	960	300	0.06	2.97929006099898	0.307291666666667	15.2585168054635	0.00819523550597807	0.0471407188616327	0.195254237288136	0.0786742608573894	0.452550901071674	24	82	1
SPAC18B11.08c	182	931	368	100	553	300	1.82	90.371798516969	1.68354430379747	83.5961135259207	0.166227385272253	0.229818872804253	1.08105263157895	0.919237440555558	1.27089836660752	176	106	1
SPAC18B11.07c	220	1931	205	100	957	300	2.2	109.240635569963	2.01776384535005	100.191729498241	0.0988459504857016	0.131279840296775	1.09031589849819	0.945955746148164	1.25634807164014	213	107	1
SPAC18B11.03c	82	850	618	100	1723	300	0.82	40.716964166986	0.493325594892629	24.4960006950003	0.0763823188733157	0.121686436804956	1.66218823529412	1.31606735418723	2.0966573061494	60	122	1
SPAC18B11.02c	175	2104	81	100	1187	300	1.75	86.8959601124702	1.77253580454928	88.0149717543085	0.071065324235973	0.0973079808801368	0.987286121673004	0.843545398681	1.15504573304722	175	100	1
SPAC12G12.16c	50	335	23	100	1991	300	0.5	24.8274171749915	0.168257157207433	8.35478126933415	0.109593846514203	0.202738265601989	2.97164179104478	2.18201348409779	4.03651886813561	21	129	0.000112195571011514
SPNCRNA.637	6	91	80	100	1253	300	0.06	2.97929006099898	0.0726256983240224	3.60621701983117	0.0260556365168899	0.156094369401541	0.826153846153846	0.326477125556631	1.95586244860131	7	99	1
SPAC12G12.14c	10	1136	508	100	1844	300	0.1	4.9654834349983	0.616052060737527	30.5899630268876	0.00446009060161387	0.0168267520324255	0.162323943661972	0.0822440706937597	0.310285307477927	41	69	1
SPAC12G12.13c	63	3289	73	100	2129	300	0.63	31.2825456404893	1.54485674025364	76.7096055317492	0.0148028151950853	0.0247369044169822	0.40780480389176	0.315151935503366	0.526648695037551	98	65	1
SPAC12G12.11c	3	855	31	100	1362	300	0.03	1.48964503049949	0.627753303964758	31.1709863210245	0.000904269736479196	0.0112091921001343	0.0477894736842105	0.0123161538108466	0.152669196403829	39	64	1
SPAC12G12.17	5	337	69	100	508	300	0.05	2.48274171749915	0.663385826771654	32.9403133384729	0.00542392281373299	0.037089025111656	0.0753709198813056	0.0275535278937636	0.188412247567213	41	64	1
SPAC12G12.07c	38	2540	161	100	1327	300	0.38	18.8688370529935	1.91409193669932	95.0439180474429	0.0107075178213242	0.0208139848473761	0.198527559055118	0.142088761488972	0.276201578924681	90	48	1
SPAC12G12.06c	67	3382	433	100	1638	300	0.67	33.2687390144886	2.06471306471306	102.522985208573	0.0154325865486583	0.0253849815710439	0.324500295683028	0.252785767667023	0.415805998133699	112	55	1
SPAC12G12.05c	123	981	17	100	1251	300	1.23	61.075446250479	0.784172661870504	38.9379636269651	0.103466606587353	0.151836688241715	1.56853211009174	1.29436724840778	1.89947696990385	98	125	1
SPNCRNA.639	6	110	10	100	1545	300	0.06	2.97929006099898	0.0711974110032362	3.53529564951335	0.0216590119801752	0.128454226171968	0.842727272727273	0.334631735093706	1.98461779435691	7	99	1
SPNCRNA.640	2	26	11	100	565	300	0.02	0.993096686999659	0.0460176991150442	2.28500122672488	0.0126267060000113	0.332593862792864	0.434615384615385	0.0713408889000637	1.87915532477968	4	98	1
SPAC12G12.01c	55	2104	35	100	3100	300	0.55	27.3101588924906	0.678709677419355	33.7012166039884	0.0198066894051793	0.034416432950024	0.810361216730038	0.614007371560557	1.06690942145074	62	93	1
SPAC630.03	58	6453	304	100	1646	300	0.58	28.7998039229901	3.92041312272175	194.667464192248	0.00687756503030411	0.0117196436376782	0.147943592127693	0.113204720398806	0.192905334276183	125	33	1
SPAC630.05	76	1891	33	100	2562	300	0.76	37.737674105987	0.738095238095238	36.6499967821303	0.0317293577826133	0.0508322504158899	1.02967741935484	0.812906146390552	1.3023222556551	74	102	1
SPNCRNA.641	2	28	43	100	428	300	0.02	0.993096686999659	0.0654205607476635	3.24844710700823	0.0117687294574852	0.307314068338505	0.305714285714286	0.0503701620780368	1.3153042124888	6	96	1
SPAC630.15	1	221	5	100	2081	300	0.01	0.49654834349983	0.106198942815954	5.2732909136695	0.000235235966788581	0.0295811282468903	0.0941628959276018	0.00489526046887037	0.615583278817788	9	92	1
SPAC630.10	2492	344	78	100	1094	300	24.92	1237.39847200158	0.314442413162706	15.613585938203	6.46203293944965	8.12217166731213	79.2513953488372	70.6946403575792	88.8565580403947	620	1972	0
SPAC630.11	31	698	161	100	944	300	0.31	15.3929986484947	0.739406779661017	36.7151211613222	0.0304456978605551	0.0644174358820463	0.419255014326648	0.28740738780364	0.608100594726517	55	76	1
SPAC630.12	101	803	47	100	1506	300	1.01	50.1513826934828	0.533200531208499	26.475984052481	0.101690170890435	0.15543017508716	1.89422166874222	1.53145397360995	2.34077843681262	69	132	0.0766802113751622
SPAC1751.04	3	2523	81	100	1652	300	0.03	1.48964503049949	1.5272397094431	75.8348347851132	0.000306871163885272	0.00379236653740799	0.0196432818073722	0.0050695116273847	0.0626498951979799	62	41	1
SPAC1751.03	680	9727	378	100	1374	300	6.8	337.652873579884	7.07933042212518	351.522979419421	0.0646280987372132	0.0756162797830985	0.960542818957541	0.887990076649309	1.03896768421977	683	97	1
SPAC31A2.02	78	525	230	100	783	300	0.78	38.7307707929867	0.670498084291188	33.2934713074598	0.116251387853293	0.189624818207877	1.16331428571429	0.910248366891286	1.48476232656768	71	107	1
SPAC31A2.03	113	1459	35	100	898	300	1.13	56.1099628154807	1.62472160356347	80.675282089783	0.0636484640171541	0.094169913300729	0.695503769705278	0.571563206874044	0.845645821440547	131	82	1
SPAC31A2.06	12	1889	2	100	4811	257	0.12	5.95858012199796	0.39264186239867	19.4965666362747	0.00343543039161348	0.0114639624550093	0.305622022233986	0.165278556140525	0.551531233710497	31	81	1
SPAC31A2.08	48	771	67	100	777	300	0.48	23.8343204879918	0.992277992277992	49.2713993356974	0.0459788399187506	0.0840513524704766	0.483735408560311	0.357255586168692	0.653079008695603	73	75	1
SPAC31A2.10	3	646	9	100	1783	300	0.03	1.48964503049949	0.36231071228267	17.9904784016203	0.00119600723413236	0.0148476121974672	0.0828018575851393	0.0213248089845799	0.26473292548084	27	76	1
SPAC31A2.12	34	4027	142	100	2450	300	0.34	16.8826436789942	1.64367346938776	81.6163338479108	0.00592974505190098	0.0119606987410196	0.206853737273405	0.145278753771574	0.293037119154981	83	51	1
SPAC31A2.14	98	3338	78	100	3306	300	0.98	48.6617376629833	1.0096793708409	50.1354619056997	0.0238861450193222	0.0360489202100467	0.970605152786099	0.789675954338793	1.19177730214415	99	99	1
SPAC31A2.16	17	1480	22	100	3850	300	0.17	8.4413218394971	0.384415584415584	19.0880921657077	0.00689245103034157	0.0188690773543865	0.44222972972973	0.265359364668151	0.72645947814388	32	85	1
SPAC13C5.02	708	1101	197	100	1441	300	7.08	351.556227197879	0.764052741151978	37.9389122965519	0.584448914430822	0.70751372457825	9.26637602179837	8.42190885694814	10.1952727711726	349	459	2.80931963873365e-115
SPAC13C5.03	65	287	308	100	2441	300	0.65	32.2756423274889	0.117574764440803	5.83815545204634	0.171395897223319	0.298777981465084	5.52839721254355	4.18377385122123	7.29317052756269	17	148	1.34594920084087e-16
SPAC13C5.04	73	483	1395	100	743	300	0.73	36.2480290754876	0.650067294751009	32.2789838372029	0.117222215015125	0.194582953792937	1.12296066252588	0.87096105756238	1.44575134668152	68	105	1
SPNCRNA.05	0	0	7	100	539	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13C5.07	1	5951	29	100	4610	300	0.01	0.49654834349983	1.29088937093275	64.0988978778197	8.77032504017867e-06	0.00109168365157468	0.00774659721055285	0.000404311984352237	0.0503266163375928	56	45	1
SPAC23E2.01	87	7318	289	100	3301	300	0.87	43.1997058844852	2.2169039684944	110.079999325409	0.00956542997333436	0.0147576233694486	0.392439191035802	0.315754843419767	0.487149147425498	128	59	1
SPAC23E2.02	26	2641	33	100	3817	300	0.26	12.9102569309956	0.691904637149594	34.3564101436481	0.00655194621682857	0.0146805359471907	0.375774327906096	0.250087787096347	0.560356057104269	51	75	1
SPNCRNA.650	0	10	4	100	1924	300	0	0	0.0051975051975052	0.258081259615296	0.00929728784483565	0.525639636497703	0	0.178879818134638	10.1133066062158	0	100	1
SPRRNA.11	0	0	2	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	1	75	240	100	759	300	0.01	0.49654834349983	0.0988142292490119	4.90660418478093	0.000687699619117278	0.0882776649076593	0.1012	0.00521964010910014	0.670027476649134	9	92	1
SPAC24H6.12c	34	1370	51	100	1684	300	0.34	16.8826436789942	0.81353919239905	40.3961538357937	0.0173793332765251	0.0352614489016094	0.41792700729927	0.292667972376683	0.593802799503103	60	74	1
SPAC24H6.11c	0	2661	594	100	4261	300	0	0	0.624501290776813	31.0095081448732	3.41592972611718e-05	0.00180040916083231	0	0.00145552765629853	0.0767154343430648	38	62	1
SPAC24H6.10c	374	4473	344	100	992	300	3.74	185.709080468936	4.50907258064516	223.897252063986	0.0751308997640677	0.0930400624231497	0.829438855354348	0.745298525659551	0.922957419237645	387	87	1
SPNCRNA.653	1	132	9	100	1202	300	0.01	0.49654834349983	0.10981697171381	5.45294353926602	0.000392761497281498	0.0497438018327129	0.0910606060606061	0.00472099319732361	0.597920498029209	9	92	1
SPNCRNA.551	7	81	19	100	427	300	0.07	3.47583840449881	0.189695550351288	9.41930112962206	0.0365971710681345	0.193685229500198	0.369012345679012	0.156269920460934	0.827035929965844	17	90	1
SPAC24H6.02c	2	554	38	100	943	300	0.02	0.993096686999659	0.587486744432662	29.1715569776146	0.000623685702723739	0.0146085904601442	0.034043321299639	0.00588135617668486	0.13775900803916	37	65	1
SPAC24H6.01c	14	435	257	100	2002	300	0.14	6.95167680899761	0.217282717282717	10.7891373337875	0.0181509375302283	0.0559884724629715	0.64432183908046	0.363381769355171	1.12088921870869	20	94	1
SPAPB21F2.02	246	5231	142	100	5340	300	2.46	122.150892500958	0.979588014981273	48.6412806151238	0.041293073031841	0.0535444468648172	2.51125979736188	2.20505009990031	2.85927346258124	171	175	4.94732160078604e-12
SPAPB21F2.03	22	852	153	100	758	300	0.22	10.9240635569963	1.12401055408971	55.8125578709571	0.0164914554819967	0.0400405779033438	0.195727699530516	0.125005232553535	0.303507580507346	64	58	1
SPNCRNA.655	72	828	10	100	2648	300	0.72	35.7514807319877	0.312688821752266	15.5265116472001	0.0678184646793154	0.111321020924498	2.30260869565217	1.79583294470827	2.94778063408071	40	132	0.00191261891619416
SPNCRNA.656	5	88	187	100	301	300	0.05	2.48274171749915	0.292358803986711	14.5170279827193	0.0203674679576783	0.145157376322844	0.171022727272727	0.0613060785526117	0.43692370273176	23	82	1
SPAC227.04	43	305	198	100	726	300	0.43	21.3515787704927	0.420110192837466	20.8605020340838	0.101068060103884	0.196018908886454	1.02354098360656	0.733754116354197	1.42309727851566	42	101	1
SPAC227.05	69	395	410	100	247	300	0.69	34.2618357014882	1.59919028340081	79.4075286163695	0.134106672282649	0.227181319997197	0.43146835443038	0.331243480538143	0.561137860393076	103	66	1
SPAC227.06	281	1924	145	100	873	300	2.81	139.530084523452	2.20389461626575	109.434022095495	0.128602348817926	0.165832565560242	1.27501559251559	1.12269850518049	1.44771829734091	262	119	1
SPNCRNA.657	46	184	20	100	607	300	0.46	22.8412238009922	0.303130148270181	15.0518772988416	0.178538430860206	0.349116887728149	1.5175	1.08372827532145	2.11913950850987	33	113	1
SPAC227.09	32	722	21	100	2018	300	0.32	15.8895469919945	0.357779980178394	17.7655056494984	0.0305738240158941	0.0639011387282004	0.894404432132964	0.616979768640742	1.28952497953508	34	98	1
