V4	mcs6as_3MBPP1r2_pr_counts	mcs6as_3MBPP1r2gb_counts	mcs6as_3MBPP1r2term_counts	mcs6as_3MBPP1r2pr_map	mcs6as_3MBPP1r2gb_map	mcs6as_3MBPP1r2term_map	mcs6as_3MBPP1r2pr_density	mcs6as_3MBPP1r2pr_densityRPKM	mcs6as_3MBPP1r2gb_density	mcs6as_3MBPP1r2gb_densityRPKM	mcs6as_3MBPP1r2pause_index_CI_low	mcs6as_3MBPP1r2pause_index_CI_high	mcs6as_3MBPP1r2pause_index_scaled	mcs6as_3MBPP1r2pause_index_CI_low_scaled	mcs6as_3MBPP1r2pause_index_CI_high_scaled	mcs6as_3MBPP1r2_ExpPR	mcs6as_3MBPP1r2_ExpGB	mcs6as_3MBPP1r2Fexact_Pval
SPAC1071.10c	1461	30115	976	100	4273	300	14.61	1725.5450348357	7.04774163351275	832.388472451249	0.0460158302100629	0.0511469759672178	2.07300448281587	1.96625642487599	2.18551028307922	1367	194	6.40001981795674e-11
SPAC1071.11	60	1373	30	100	2136	300	0.6	70.864272477852	0.642790262172285	75.9181071411445	0.0334415984384611	0.0569845310371666	0.933430444282593	0.714312542645528	1.21718958295388	62	98	1
SPAC1071.12c	6	164	34	100	736	300	0.06	7.0864272477852	0.222826086956522	26.3173475687675	0.0146388683433927	0.08544217218687	0.269268292682927	0.10774207100737	0.628854387295363	19	87	1
SPAC1071.13	14	2420	146	100	3378	300	0.14	16.5349969114988	0.716400236826525	84.6119693094542	0.0032870024120369	0.00998687771797568	0.195421487603306	0.111034941478606	0.337356729313218	47	67	1
SPAC1093.01	237	4471	37	100	5223	300	2.37	279.913876287515	0.856021443614781	101.102228045337	0.046411277321013	0.0605269498572555	2.76862223216283	2.42406101447651	3.16132259104446	155	182	5.71379512450993e-15
SPAC1093.02	290	627	78	100	992	300	2.9	342.510650309618	0.632056451612903	74.6503676808017	0.401427569322557	0.532840002586063	4.58819776714514	3.98216148767977	5.28577282565374	151	239	9.02059499169574e-34
SPAC1093.03	28	677	73	100	3353	300	0.28	33.0699938229976	0.201908738443185	23.846859761162	0.0277863131175585	0.0611515908631432	1.38676514032496	0.931675078831738	2.05041284164119	21	107	1
SPAC1093.04c	26	608	10	100	4949	300	0.26	30.7078514070692	0.122853101636694	14.5098261152199	0.0282700598671552	0.0642055368842643	2.11634868421053	1.39908526282551	3.17753202040224	13	113	1
SPAC1093.05	274	1019	65	100	2479	300	2.74	323.613510982191	0.411052843888665	48.5482678868705	0.234773405135135	0.307911144123214	6.66580961727184	5.82003271329999	7.63311726281447	108	266	2.45796822445282e-58
SPAC1093.06c	10	2307	55	100	12942	300	0.1	11.810712079642	0.178256838201205	21.0534019222177	0.00219951906338432	0.00827267487826677	0.560988296488947	0.284661757183198	1.07064958274529	16	94	1
SPAC1093.07	0	280	17	100	1791	300	0	0	0.156337241764377	18.4645414980444	0.000324866055943212	0.0171599510196313	0	0.00581835106194293	0.307334722761597	13	87	1
SPAC10F6.01c	188	7643	276	100	4905	300	1.88	222.04138709727	1.55820591233435	184.035213913769	0.0212247753359941	0.0284956925980543	1.20651576606045	1.04107523023051	1.39771372193456	175	113	1
SPAC10F6.02c	15	675	54	100	3591	300	0.15	17.716068119463	0.18796992481203	22.2005866158684	0.0128319481141956	0.0378249793770768	0.798	0.460795256780762	1.35829500943083	18	97	1
SPAC10F6.03c	232	2225	291	100	2113	300	2.32	274.008520247694	1.05300520586843	124.367413048762	0.0908627747884307	0.119623041331031	2.20321797752809	1.91993043127954	2.52763486332469	170	162	1.56273794541667e-07
SPAC10F6.04	2	636	9	100	2665	300	0.02	2.3621424159284	0.238649155722326	28.1861646628604	0.000543454669894099	0.0127197156494507	0.0838050314465409	0.0144830669526777	0.338980422057862	19	83	1
SPAC10F6.05c	2	632	86	100	2025	300	0.02	2.3621424159284	0.312098765432099	36.8610865893024	0.000546886453473899	0.0128004515287534	0.0640822784810127	0.0110744506828465	0.259209143457256	24	78	1
SPAC10F6.06	411	1584	797	100	890	300	4.11	485.420266473286	1.77977528089888	210.204134091606	0.232435668937226	0.289619318795109	2.3092803030303	2.06867745354131	2.57761193727647	327	184	5.16198243002769e-10
SPAC10F6.07c	17	69	33	100	366	300	0.17	20.0782105353914	0.188524590163934	22.2660965435874	0.139671429741074	0.429336932316932	0.901739130434783	0.511197432852331	1.57137317227997	18	99	1
SPAC10F6.08c	159	484	21	100	983	300	1.59	187.790322066308	0.492370295015259	58.1524379099362	0.273495669685188	0.394444220892704	3.22927685950413	2.68846243300539	3.87738669137528	85	174	6.46811651748219e-14
SPAC10F6.09c	37	1030	243	100	3689	300	0.37	43.6996346946754	0.279208457576579	32.9765070263791	0.0254989694344995	0.0503843709091083	1.32517475728155	0.940656982438686	1.85867944283701	29	108	1
SPAC10F6.10	52	463	34	100	1670	300	0.52	61.4157028141384	0.277245508982036	32.7446688196062	0.0833983008525128	0.150867584226033	1.8755939524838	1.39275162423696	2.51948865657475	32	120	1
SPAC10F6.11c	16	623	18	100	2545	300	0.16	18.8971393274272	0.244793713163065	28.9118806507543	0.0150963360813944	0.0430126008797322	0.653611556982344	0.384201753271487	1.09467069238918	22	94	1
SPAC10F6.12c	40	166	34	100	987	300	0.4	47.242848318568	0.168186423505572	19.8640142372905	0.167989110628977	0.344474293805088	2.37831325301205	1.65805252190801	3.39996127985622	20	120	0.270584775590168
SPAC10F6.13c	383	1321	200	100	1199	300	3.83	452.350272650288	1.10175145954962	130.12469272066	0.258326628501267	0.325369126141177	3.47628311884936	3.09733627573019	3.90117582243271	253	230	7.04481608863548e-26
SPAC10F6.14c	116	493	393	100	1579	300	1.16	137.004260123847	0.31222292590247	36.8757508249747	0.19118774055243	0.289378600153415	3.71529411764706	3.01885442332287	4.56928809642243	51	165	3.07449166520156e-15
SPAC10F6.15	2	22	1	100	1234	300	0.02	2.3621424159284	0.0178282009724473	2.10563748583569	0.0147820536946115	0.398037829225762	1.12181818181818	0.182410542591506	4.9117868126459	1	101	1
SPAC10F6.16	133	1183	175	100	1061	300	1.33	157.082470659239	1.11498586239397	131.687769936065	0.0935781954349714	0.134987745872944	1.19284023668639	0.992864653565047	1.43221998371193	122	111	1
SPAC10F6.17c	27	435	49	100	1801	300	0.27	31.8889226150334	0.24153248195447	28.5267060224557	0.0412118394685912	0.0928324049404058	1.11786206896552	0.742225228829328	1.67191161297671	24	103	1
SPAC110.01	2	5383	316	100	5792	300	0.02	2.3621424159284	0.929385359116022	109.76702887554	6.43369297868841e-05	0.00149905045389313	0.0215195987367639	0.00372639497325633	0.0868250022894898	49	53	1
SPAC110.02	139	706	711	100	3853	300	1.39	164.168897907024	0.183233843758111	21.6412217187315	0.163435326346794	0.237050903048307	7.58593484419263	6.29716312414197	9.13357129445125	37	202	5.68419144087805e-44
SPAC110.03	163	1938	151	100	1448	300	1.63	192.514606898165	1.33839779005525	158.074309463717	0.0714406485377306	0.0989746115520803	1.21787409700722	1.03446059082634	1.43315237527412	150	113	1
SPAC110.04c	113	3334	109	100	2755	300	1.13	133.461046499955	1.21016333938294	142.9289077079	0.0279670547257163	0.0410415666589136	0.93375824835033	0.770492357693483	1.13069516145307	116	97	1
SPAC110.05	4	176	194	100	1707	300	0.04	4.7242848318568	0.103104862331576	12.1774184300937	0.00719377910477479	0.0633544274207554	0.387954545454545	0.122797809318506	1.08146007607229	9	95	1
SPAC1142.01	525	612	4	100	1904	300	5.25	620.062384181205	0.321428571428571	37.963003113135	0.762129621783705	0.965561571551078	16.3333333333333	14.5109479987618	18.3842923223325	152	473	1.76197919360553e-165
SPAC1142.02c	255	725	103	100	1080	300	2.55	301.173158030871	0.671296296296296	79.284872756856	0.304151469008006	0.406662746379315	3.79862068965517	3.28483586528647	4.39195766089661	142	213	1.70698806797823e-24
SPAC1142.03c	47	442	625	100	2243	300	0.47	55.5103467743174	0.197057512260366	23.273895404377	0.0777700999133461	0.144964631240356	2.38509049773756	1.74438334105635	3.25155667872118	24	123	0.0367929430332601
SPAC1142.04	19	1198	217	100	2169	300	0.19	22.4403529513198	0.55232826187183	65.2339007441729	0.00979092055870586	0.0253802456533229	0.343998330550918	0.21236506691833	0.550497528220575	42	77	1
SPAC1142.05	84	322	92	100	969	300	0.84	99.2099814689928	0.332301341589267	39.247154691896	0.203652739097672	0.333800263628604	2.52782608695652	1.97339504185644	3.23452455456118	45	139	8.49212268072277e-05
SPAC1142.06	45	955	103	100	1508	300	0.45	53.148204358389	0.633289124668435	74.7959551462739	0.0345205540794242	0.0641102233410386	0.710575916230367	0.520569955517717	0.966782167982863	56	89	1
SPAC1142.07c	69	353	45	100	1016	300	0.69	81.4939133495298	0.34744094488189	41.0352496467876	0.149707209913015	0.254821619357218	1.98594900849858	1.52102525271623	2.58898765266933	43	126	0.295902159067156
SPAC1142.08	156	759	103	100	2324	300	1.56	184.247108442415	0.326592082616179	38.5728505527034	0.172334583435259	0.24501862443529	4.77660079051383	4.00505571903541	5.69423283187614	63	193	5.79870793675321e-28
SPAC1142.09	40	0	130	100	3	300	0.4	47.242848318568	0	0	8.16383039402754	437.641695325288	NA	0.244914911820826	13.1292508597586	0	140	1
SPAC11D3.01c	22	8	49	100	130	300	0.22	25.9835665752124	0.0615384615384615	7.26813051054892	1.16577805128148	6.70687051460428	3.575	1.51551146666593	8.71893166898556	7	115	1
SPAC11D3.02c	264	274	141	100	450	300	2.64	311.802798902549	0.608888888888889	71.9141135515979	0.810800924378345	1.14495211894122	4.33576642335766	3.64860415970255	5.1522845352355	137	227	5.13050359669859e-24
SPAC11D3.03c	5	45	59	100	1284	300	0.05	5.905356039821	0.0350467289719626	4.13926825221098	0.0388580920456653	0.291842519643574	1.42666666666667	0.498937901866343	3.7472579522235	3	102	1
SPAC11D3.04c	1	314	18	100	1836	300	0.01	1.1810712079642	0.171023965141612	20.1991481100631	0.000165764496629939	0.0207797548543226	0.0584713375796178	0.00304343615812567	0.381516299125364	14	87	1
SPAC11D3.05	170	2316	43	100	1753	300	1.7	200.782105353914	1.32116371933828	156.038842991733	0.0626146144882369	0.0860116953503413	1.28674438687392	1.09763419197879	1.50778501949148	153	117	1
SPAC11D3.06	20	410	23	100	1521	300	0.2	23.621424159284	0.269559500328731	31.8368964671481	0.030275764815569	0.0777323305906465	0.741951219512195	0.460494382844804	1.18230874828373	25	95	1
SPAC11D3.07c	48	1064	22	100	4030	300	0.48	56.6914179822816	0.264019851116625	31.1826244484841	0.0334008381173114	0.060751678031447	1.81804511278195	1.34605377612765	2.44829262466731	30	118	1
SPAC11D3.08c	9	503	135	100	3214	300	0.09	10.6296408716778	0.156502800248911	18.4840951339761	0.00867701339283793	0.0355447638201586	0.57506958250497	0.278879210445811	1.1424087091799	14	95	1
SPAC11D3.09	2	41	15	100	1729	300	0.02	2.3621424159284	0.0237131289762869	2.8006893884634	0.00816331069656794	0.205632495298649	0.843414634146341	0.14114364194366	3.55538584371365	2	100	1
SPAC11D3.10	5	236	2	100	4126	300	0.05	5.905356039821	0.0571982549684925	6.75552120890817	0.00772198195449758	0.0531373821020338	0.874152542372881	0.31860897544257	2.19244838552991	5	100	1
SPAC11D3.11c	27	280	20	100	2151	300	0.27	31.8889226150334	0.130172013017201	15.3742416657357	0.0635989751655232	0.145210276843132	2.07417857142857	1.3680139558104	3.12347305489577	14	113	1
SPAC11D3.13	2	344	139	100	920	300	0.02	2.3621424159284	0.373913043478261	44.161792993444	0.00100284030499323	0.0235737457300954	0.0534883720930232	0.00922613080593768	0.216878460716878	27	75	1
SPAC11D3.14c	19	983	4	100	4308	300	0.19	22.4403529513198	0.228180129990715	26.9496981761562	0.0119224232081654	0.0309578604271152	0.832675483214649	0.513617991807767	1.33366462720012	22	97	1
SPAC11D3.15	45	765	10	100	3921	300	0.45	53.148204358389	0.195103289977047	23.043087837098	0.0430182124795777	0.0801762993122485	2.30647058823529	1.68674411132424	3.14371269603326	23	122	0.0808205197355946
SPAC11D3.16c	96	720	117	100	945	300	0.96	113.382835964563	0.761904761904762	89.9863777496533	0.107114659415674	0.165806616957324	1.26	1.01223353147812	1.56687253024671	84	112	1
SPAC11D3.17	12	755	69	100	3291	300	0.12	14.1728544955704	0.22941355211182	27.0953741116065	0.00857034675915254	0.0287699718903783	0.523072847682119	0.28205011184371	0.946819774912351	20	92	1
SPAC11D3.18c	54	261	26	100	2031	300	0.54	63.7778452300668	0.128508124076809	15.1777245336611	0.152620634969989	0.279854908372588	4.20206896551724	3.09972509624047	5.68385318904725	17	137	1.12587710855423e-09
SPAC11D3.19	59	178	6	100	1210	300	0.59	69.6832012698878	0.147107438016529	17.37443595187	0.244198569051899	0.449134444706492	4.01067415730337	2.95480268552798	5.43452678094855	20	139	3.49492564282239e-09
SPAC11E3.01c	62	989	49	100	3812	300	0.62	73.2264148937804	0.259443861490031	30.6421674888928	0.0480731732140496	0.0815876299761191	2.38972699696663	1.83254936291957	3.11012045468966	33	129	0.00217324191873784
SPAC11E3.02c	21	1051	36	100	3850	300	0.21	24.8024953672482	0.272987012987013	32.241710118711	0.0126357571359735	0.0312683962317561	0.769267364414843	0.486476649734981	1.20383325492261	25	96	1
SPAC11E3.03	4	102	18	100	987	300	0.04	4.7242848318568	0.103343465045593	12.2055991096604	0.0123066344300045	0.110388695496229	0.387058823529412	0.121466481824145	1.08953642454778	9	95	1
SPAC11E3.04c	56	538	104	100	714	300	0.56	66.1399876459952	0.753501400560224	88.993880936238	0.0782500083323038	0.138148340807812	0.743197026022305	0.558705059492649	0.986379153367777	67	89	1
SPAC11E3.05	35	551	60	100	3997	300	0.35	41.337492278747	0.137853390042532	16.2814669899493	0.0444240483063837	0.0904002263188612	2.53892921960073	1.77562921080616	3.61329704596488	16	119	0.086820010210468
SPAC11E3.06	19	118	90	100	1847	300	0.19	22.4403529513198	0.0638873849485652	7.54555509148758	0.0961032476634673	0.266805608271701	2.97398305084746	1.77502698434424	4.92789958477832	7	112	1
SPAC11E3.07	348	863	264	100	1208	300	3.48	411.012780371541	0.714403973509934	84.3761963967801	0.355346805343536	0.457548857645245	4.87119351100811	4.29258940854992	5.52719020035456	186	262	2.16821380844917e-41
SPAC11E3.08c	56	245	19	100	1531	300	0.56	66.1399876459952	0.160026126714566	18.9002250784604	0.169109971698901	0.308306313895917	3.49942857142857	2.58907366671018	4.7201696657465	21	135	3.2716192260891e-07
SPAC11E3.09	4	348	28	100	1333	300	0.04	4.7242848318568	0.261065266316579	30.8336669446018	0.0036597683295477	0.0318283109314506	0.153218390804598	0.0487847118328708	0.424271384716236	21	83	1
SPAC11E3.10	35	776	104	100	1069	300	0.35	41.337492278747	0.725912067352666	85.7353842264003	0.0316434255618332	0.0639826346134749	0.48215206185567	0.338268219255997	0.683974364018047	56	79	1
SPAC11E3.11c	63	1033	38	100	3255	300	0.63	74.4074861017446	0.317357910906298	37.4822291191096	0.0468803914000896	0.0791854324949831	1.9851403678606	1.52595674007292	2.5774858277117	39	124	0.244309027078963
SPAC11E3.12	103	287	1	100	2724	300	1.03	121.650334420313	0.105359765051395	12.4437384980075	0.284688197831152	0.452095204337124	9.77602787456446	7.75490650892058	12.3150733661433	19	184	2.32309099066986e-41
SPAC11E3.13c	632	6366	169	100	2103	300	6.32	746.437003433374	3.02710413694722	357.522553965768	0.0914049909498979	0.107821515745086	2.08780395852969	1.92224695967635	2.26748647611917	550	182	3.2947754813666e-09
SPAC11E3.14	89	1308	102	100	2681	300	0.89	105.115337508814	0.487877657590451	57.6218254389098	0.0545578990888692	0.0847632912646309	1.82422782874618	1.46269727457258	2.27250383880475	61	128	0.311923150895149
SPAC11E3.15	679	4193	3452	100	406	300	6.79	801.947350207691	10.3275862068966	1219.76147167337	0.149197016642851	0.175755021830256	0.657462437395659	0.605739887569976	0.713565388630841	710	69	1
SPAC11G7.01	164	3774	568	100	2966	300	1.64	193.695678106129	1.27242076871207	150.28195343415	0.0370451921307716	0.0509507543701654	1.28888182299947	1.09876039859869	1.5111993746191	147	117	1
SPAC11G7.02	321	1730	108	100	2923	300	3.21	379.123857756508	0.591857680465275	69.9026065610012	0.164408588005084	0.209375968160132	5.42360115606936	4.80566302738862	6.12005954932065	156	265	4.06141382482068e-51
SPAC11G7.03	50	777	88	100	1164	300	0.5	59.05356039821	0.667525773195876	78.839547129569	0.0478138427353229	0.0863675706758415	0.749034749034749	0.556553129439159	1.00531852266679	60	90	1
SPAC11G7.04	243	1211	990	93	363	300	2.61290322580645	308.602476919678	3.33608815426997	394.015766623869	0.174402842609374	0.230818577627188	0.783223675448177	0.680733675991427	0.900937028802895	258	78	1
SPAC11G7.05c	21	607	10	100	1975	296	0.21	24.8024953672482	0.307341772151899	36.2992518093301	0.021805850614882	0.0543246787050722	0.6832784184514	0.43066554964392	1.07291240442518	28	93	1
