Isk1as_3MBPP1r2_pr_counts	Isk1as_3MBPP1r2gb_counts	Isk1as_3MBPP1r2term_counts	Isk1as_3MBPP1r2pr_map	Isk1as_3MBPP1r2gb_map	Isk1as_3MBPP1r2term_map	Isk1as_3MBPP1r2pr_density	Isk1as_3MBPP1r2pr_densityRPKM	Isk1as_3MBPP1r2gb_density	Isk1as_3MBPP1r2gb_densityRPKM	Isk1as_3MBPP1r2pause_index_CI_low	Isk1as_3MBPP1r2pause_index_CI_high	Isk1as_3MBPP1r2pause_index_scaled	Isk1as_3MBPP1r2pause_index_CI_low_scaled	Isk1as_3MBPP1r2pause_index_CI_high_scaled	Isk1as_3MBPP1r2_ExpPR	Isk1as_3MBPP1r2_ExpGB	Isk1as_3MBPP1r2Fexact_Pval
SPAC977.10	0	219	8	100	2712	300	0	0	0.0807522123893805	39.1400819759313	0.000415445810806694	0.0219594777334821	0	0.0112668903890775	0.595541036132034	7	93	1
SPNCRNA.19	0	1	1	100	225	300	0	0	0.00444444444444444	2.15419385730544	0.120791776113059	17.3080587281839	0	0.271781496254383	38.9431321384138	0	100	1
SPAC977.11	15	19	0	100	105	0	0.15	72.7040426840588	0.180952380952381	87.7064641902931	0.381565594144481	1.62542658029578	0.828947368421053	0.400643873851706	1.70669790931057	17	98	1
SPAC977.12	0	19	29	0	377	300	NA	NA	0.0503978779840849	24.4275298142726	0.00484054272324269	0.264551414760663	NA	NA	NA	0	0	1
SPAC977.15	3	4	1	100	712	300	0.03	14.5408085368118	0.00561797752808989	2.72299785333553	0.133893566820236	3.94140253599159	5.34	0.95332219576008	28.0627860562601	0	103	1
SPAC977.17	13	235	20	100	3396	300	0.13	63.0101703261843	0.0691990577149588	33.5403416387001	0.0302741412361952	0.098979059448037	1.87863829787234	1.02810983638119	3.36132885885534	7	106	1
SPNCRNA.137	2	0	5	100	155	300	0.02	9.6938723578745	0	0	0.246676758328458	19.4460633145857	NA	0.382348975409109	30.1413981376079	0	102	1
SPAC1F8.01	0	4	0	100	1598	300	0	0	0.00250312891113892	1.21325060799431	0.0240893601812892	1.52670069174082	0	0.384947975697002	24.3966770540183	0	100	1
SPNCRNA.139	0	4	2	100	685	300	0	0	0.00583941605839416	2.83032769572978	0.0240893601812892	1.52670069174082	0	0.165012117241831	10.4578997384246	0	100	1
SPNCRNA.605	0	102	11	100	2889	300	0	0	0.0353063343717549	17.1127549412115	0.000893028017049197	0.047373298583352	0	0.0257995794125513	1.36861459607304	3	97	1
SPAC1F8.05	0	12	15	100	977	300	0	0	0.0122824974411464	5.95324812151965	0.00771806013949717	0.431135285113533	0	0.0754054475628873	4.21219173555922	1	99	1
SPAC1F8.06	6	61	16	100	1314	300	0.06	29.0816170736235	0.0464231354642314	22.5009974821288	0.0383475594601961	0.236355971349353	1.29245901639344	0.503886931306976	3.10571746353049	4	102	1
SPAC1F8.08	3	46	9	100	957	300	0.03	14.5408085368118	0.0480668756530825	23.2977078611404	0.0162045937853622	0.21757191633012	0.624130434782609	0.155077962525916	2.08216323927925	4	99	1
SPAC11D3.19	12	38	2	100	1210	300	0.12	58.163234147247	0.031404958677686	15.2217830412905	0.156359038115374	0.625662271429199	3.82105263157895	1.89194436119602	7.57051348429331	3	109	1
SPNCRNA.608	0	213	7	100	2549	300	0	0	0.0835621812475481	40.5020559479653	0.000427160737851624	0.0225806908822957	0	0.0108883272078379	0.575581810589716	7	93	1
SPAC11D3.05	84	603	26	100	1753	300	0.84	407.142639030729	0.343981745579007	166.725756754088	0.110112839941116	0.176021731174942	2.44199004975124	1.93027808416776	3.08566094749674	47	137	9.33185018697398e-05
SPAC11D3.06	6	197	9	100	1521	300	0.06	29.0816170736235	0.129520052596976	62.7775428830137	0.0122187182255068	0.0709264108500013	0.463248730964467	0.185846704209958	1.07879070902852	12	94	1
SPAC11D3.09	0	28	5	100	1729	300	0	0	0.0161943319838057	7.84928935860284	0.00327211992868732	0.176722244865318	0	0.0565749535670038	3.05552761372135	1	99	1
SPAC11D3.10	1	64	0	100	4126	300	0.01	4.84693617893725	0.0155113911778963	7.51827230857935	0.000804249148526225	0.103792408019431	0.6446875	0.033183319868192	4.28247475488172	1	100	1
SPAC11D3.13	1	44	23	100	920	300	0.01	4.84693617893725	0.0478260869565217	23.1809991166564	0.00116244621996113	0.152524184436484	0.209090909090909	0.0106945052236424	1.40322249681565	4	97	1
SPNCRNA.609	15	208	5	100	4138	300	0.15	72.7040426840588	0.0502658289028516	24.3635264673501	0.0410893360116713	0.124460921246494	2.98413461538462	1.70027672416296	5.15019292117992	5	110	1
SPNCRNA.147	2	5	0	100	333	300	0.02	9.6938723578745	0.015015015015015	7.27768195035623	0.0538788235081954	2.30512923539502	1.332	0.179416482282291	7.67608035386541	1	101	1
SPAC11D3.15	21	121	1	100	3921	300	0.21	101.785659757682	0.0308594746238205	14.9573904017191	0.106107689617915	0.281205194217191	6.80504132231405	4.16048250991844	11.026055665256	3	118	2.22377055444775e-06
SPAC11D3.17	5	320	16	100	3291	300	0.05	24.2346808946863	0.0972348830142814	47.1291272336652	0.00570993888220791	0.0390754385238123	0.51421875	0.187914088613462	1.28597268181866	9	96	1
SPNCRNA.611	9	16	6	100	1474	300	0.09	43.6224256104353	0.0108548168249661	5.26126043846649	0.230193580176871	1.34657467398394	8.29125	3.39305337180707	19.8485106945233	1	108	0.122806307877912
SPAC5H10.01	6	4	6	100	687	300	0.06	29.0816170736235	0.00582241630276565	2.82208802267089	0.376784068761011	6.3029714817381	10.305	2.58850655238814	43.3014140795408	0	106	1
SPNCRNA.613	0	3	4	100	416	300	0	0	0.00721153846153846	3.49538666750282	0.0327971598819604	2.22593021867193	0	0.136436185108955	9.25986970967525	0	100	1
SPAC5H10.03	0	353	104	100	3193	300	0	0	0.11055433761353	53.584981871746	0.000257641793293185	0.0136021773821224	0	0.00822650245985138	0.434317523811168	9	91	1
SPAC5H10.04	26	215	14	100	2498	300	0.26	126.020340652369	0.0860688550840673	41.7170247586673	0.0787161457854643	0.184467189779813	3.02083720930233	1.9663293217209	4.60799040069972	9	117	0.0716775091982595
SPAC5H10.07	0	19	6	100	453	300	0	0	0.0419426048565121	20.3293128917898	0.00484054272324269	0.264551414760663	0	0.0219276585362894	1.19841790886581	4	96	1
SPNCRNA.614	8	78	33	100	1475	300	0.08	38.775489431498	0.0528813559322034	25.6312557259055	0.0459229986225795	0.219574638240483	1.51282051282051	0.677364229683048	3.23872591404712	5	103	1
SPAC5H10.10	15	146	16	100	1554	300	0.15	72.7040426840588	0.093951093951094	45.537495632229	0.0580692237617665	0.178803960377493	1.59657534246575	0.902395737257851	2.77861354426625	9	106	1
SPAC5H10.11	10	35	4	100	1565	300	0.1	48.4693617893725	0.0223642172523962	10.8397933714252	0.132693539475417	0.599395316870303	4.47142857142857	2.07665389279028	9.38053670902025	2	108	1
SPNCRNA.616	0	1	2	100	497	300	0	0	0.00201207243460765	0.975238667794216	0.120791776113059	17.3080587281839	0	0.600335127281903	86.0210518790741	0	100	1
SPNCRNA.617	15	70	2	100	3975	300	0.15	72.7040426840588	0.0176100628930818	8.53548509498384	0.117728970221258	0.384173957631706	8.51785714285714	4.67972656629502	15.2709148158603	1	114	3.94380362315208e-05
SPSNORNA.49	5	10	13	100	159	300	0.05	24.2346808946863	0.0628930817610063	30.483875339228	0.149264175161072	1.58487800229192	0.795	0.237330038506105	2.51995602364415	6	99	1
SPNCRNA.141	32	117	30	100	604	300	0.32	155.101957725992	0.193708609271523	93.8893266449765	0.181371398112441	0.410552996178359	1.65196581196581	1.09548324459914	2.47974009691729	21	111	1
SPAC13G6.03	32	302	13	100	3896	300	0.32	155.101957725992	0.0775154004106776	37.5712198675321	0.0722941118766084	0.154490997686948	4.1282119205298	2.81657859871266	6.01896926988349	9	123	1.46321301917678e-05
SPAC13G6.04	38	90	109	100	505	300	0.38	184.183574799616	0.178217821782178	86.3810408127431	0.283828077622382	0.626231421344596	2.13222222222222	1.43333179199303	3.16246867779021	20	118	1
SPAC13G6.08	0	17	14	100	2130	300	0	0	0.007981220657277	3.86844671558372	0.00541762860743838	0.297388981119444	0	0.115395489338438	6.33438529784415	0	100	1
SPAC13G6.09	11	85	1	100	1572	300	0.11	53.3162979683098	0.0540712468193384	26.2079882448897	0.0653778142652239	0.249645017405388	2.03435294117647	1.02773924024932	3.9244196736127	5	106	1
SPAC13G6.13	2	0	1	100	147	300	0.02	9.6938723578745	0	0	0.246676758328458	19.4460633145857	NA	0.362614834742833	28.585713072441	0	102	1
SPAC13G6.14	28	317	47	100	1272	300	0.28	135.714213010243	0.249213836477987	120.792356031691	0.0588084717578985	0.131806630139547	1.12353312302839	0.748043760760469	1.67658033537504	25	103	1
SPAC24B11.05	43	195	37	100	1489	300	0.43	208.418255694302	0.130960376091336	63.4756584884328	0.156254106704698	0.310240012541141	3.2834358974359	2.32662364883295	4.61947378673758	16	127	0.000105185641591662
SPNCRNA.622	22	187	4	100	2388	300	0.22	106.63259593662	0.0783082077051926	37.9554885034031	0.073653990953085	0.186202935742506	2.80941176470588	1.75885730395967	4.44652610553105	8	114	0.72774815552639
SPNCRNA.142	14	107	30	100	597	300	0.14	67.8571065051215	0.179229480737018	86.8713854516392	0.0718304050852831	0.234096713299065	0.781121495327103	0.42882751835914	1.39755737839542	17	97	1
SPAC24B11.09	14	623	72	100	2741	300	0.14	67.8571065051215	0.227289310470631	110.16567820058	0.0127081542350996	0.0389829057810284	0.615955056179775	0.348330507584081	1.06852144745799	21	93	1
SPAC24B11.14	1	17	137	100	596	300	0.01	4.84693617893725	0.0285234899328859	13.8251535305257	0.0029153350293855	0.415929044001673	0.350588235294118	0.0173753967751376	2.47893710224997	2	99	1
SPAC24B11.13	71	617	49	100	2075	300	0.71	344.132468704545	0.297349397590361	144.123355296592	0.0892922286071639	0.148064728741697	2.38776337115073	1.85281374359865	3.07234312139022	39	132	0.000908746064414502
SPNCRNA.625	1	12	3	100	1669	300	0.01	4.84693617893725	0.00718993409227082	3.48491516760018	0.0040448521341888	0.610617545978525	1.39083333333333	0.067508582119611	10.1912068423816	0	101	1
SPNCRNA.627	2	273	15	100	761	300	0.02	9.6938723578745	0.358738501971091	173.878262398143	0.00126228675848175	0.0297454415928168	0.0557509157509158	0.00960600223204613	0.226362810521336	26	76	1
SPNCRNA.144	10	266	12	100	431	300	0.1	48.4693617893725	0.617169373549884	299.138056519097	0.0188654580921439	0.0725910318052393	0.16203007518797	0.08131012437714	0.312867347080582	41	69	1
SPNCRNA.628	7	37	6	100	1566	300	0.07	33.9285532525608	0.0236270753512133	11.4518926322272	0.0770802406679355	0.442389864639154	2.9627027027027	1.20707656885987	6.92782528024916	2	105	1
SPNCRNA.145	5	16	6	100	719	300	0.05	24.2346808946863	0.0222531293463143	10.7859497723221	0.100317443392901	0.906568351282525	2.246875	0.721282417994955	6.51822644572136	2	103	1
SPAC806.05	0	73	0	100	2921	300	0	0	0.0249914412872304	12.1131920938863	0.0012488776032341	0.0664281626427554	0	0.0364797147904682	1.94036663079488	2	98	1
SPAC806.07	35	79	55	100	469	300	0.35	169.642766262804	0.168443496801706	81.6434878754889	0.291775861119622	0.670520896523022	2.07784810126582	1.36842878865102	3.14474300469297	19	116	1
SPNCRNA.630	0	214	0	100	2184	300	0	0	0.097985347985348	47.4928728155939	0.000425162583674014	0.0224747260505853	0	0.00928555082744047	0.490848016944784	8	92	1
SPNCRNA.631	0	1	1	100	863	300	0	0	0.00115874855156431	0.561638027686819	0.120791776113059	17.3080587281839	0	1.0424330278557	149.368546824227	0	100	1
SPAC1F5.11c	12	755	18	100	11254	300	0.12	58.163234147247	0.0670872578638706	32.5167657286087	0.00857034675915254	0.0287699718903783	1.78871523178808	0.964506824275027	3.23777263654318	7	105	1
SPNCRNA.633	3	16	4	100	947	300	0.03	14.5408085368118	0.0168954593453009	8.18912131605027	0.0435109966500877	0.680481866290363	1.775625	0.412049138276331	6.44416327376973	1	102	1
SPAC1F5.09c	1	25	9	100	1569	300	0.01	4.84693617893725	0.0159337157425112	7.72297032972793	0.00201502960057811	0.275223236161762	0.6276	0.0316158144330706	4.31825257537804	1	100	1
SPAC1F5.08c	9	110	44	100	1608	300	0.09	43.6224256104353	0.068407960199005	33.1569017215857	0.0388066389384321	0.166410103188357	1.31563636363636	0.624010754129988	2.67587445926879	6	103	1
SPAC1F5.07c	23	44	11	100	1526	300	0.23	111.479532115557	0.0288335517693316	13.9754385238033	0.306143269042273	0.887711825487608	7.97681818181818	4.67174628558509	13.5464824569409	3	120	2.10579438318396e-07
SPAC1F5.05c	28	43	11	100	731	300	0.28	135.714213010243	0.0588235294117647	28.5113892878662	0.393905777629197	1.07313405824872	4.76	2.87945123446943	7.84460996579817	7	121	0.000201807268780325
SPAC1F5.04c	17	424	12	100	5667	300	0.17	82.3979150419333	0.0748191282865714	36.264353976873	0.0238845515812764	0.0663580795794209	2.27214622641509	1.35353753811093	3.76051236976578	8	109	1
SPAC1F5.03c	35	403	10	100	1926	300	0.35	169.642766262804	0.209241952232606	101.418238842768	0.0604977576436161	0.124099582133677	1.6727047146402	1.16518681221605	2.39015795189462	23	112	1
SPNCRNA.148	0	0	1	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	0	7	1	100	506	300	0	0	0.0138339920948617	6.70524767837169	0.0134151780994594	0.782741335671289	0	0.0678808011832648	3.96067115849672	1	99	1
SPAC18B11.09c	7	49	24	100	960	300	0.07	33.9285532525608	0.0510416666666667	24.7395700799922	0.0592120318150078	0.32777572531953	1.37142857142857	0.568435505424075	3.14664696306749	5	102	1
SPAC18B11.08c	22	84	83	100	553	300	0.22	106.63259593662	0.151898734177215	73.6243470218317	0.15916519345749	0.427463643783932	1.44833333333333	0.880183519819918	2.36387395012514	16	106	1
SPAC18B11.07c	120	219	26	100	957	300	1.2	581.63234147247	0.22884012539185	110.917348295429	0.435877659045817	0.688530836841675	5.24383561643836	4.17134919706847	6.58924010857483	40	180	9.67654057059182e-23
SPAC18B11.03c	15	177	34	100	1723	300	0.15	72.7040426840588	0.10272780034823	49.7915092090478	0.0481251578508474	0.146766472843969	1.46016949152542	0.8291964697701	2.52878632710159	10	105	1
SPAC18B11.02c	24	116	13	100	1187	300	0.24	116.326468294494	0.0977253580454928	47.3668573510296	0.129956329719022	0.326924350140015	2.45586206896552	1.54258163376479	3.88059203616197	11	113	1
SPAC12G12.16c	8	69	10	100	1991	300	0.08	38.775489431498	0.0346559517830236	16.7975186512642	0.0516654516037551	0.249499092729628	2.30840579710145	1.02865914143076	4.9675269362469	3	105	1
SPNCRNA.637	3	11	9	100	1253	300	0.03	14.5408085368118	0.00877893056664006	4.25509161758258	0.060516818949439	1.0484994078404	3.41727272727273	0.758275741436471	13.1376975802403	0	103	1
SPAC12G12.14c	0	78	67	100	1844	300	0	0	0.0422993492407809	20.5022246180643	0.0011685921826045	0.0621201799630321	0	0.0215488398472269	1.14549611851831	4	96	1
SPAC12G12.13c	22	222	24	100	2129	300	0.22	106.63259593662	0.104274307186473	50.541091203573	0.0622880282217903	0.156209019171733	2.10981981981982	1.32611212084192	3.32569001816619	11	111	1
SPAC12G12.11c	0	58	9	100	1362	300	0	0	0.0425844346549192	20.6404036988517	0.00157310823633282	0.0838787505311741	0	0.0214257341788531	1.14242858223459	4	96	1
SPAC12G12.17	2	24	4	100	508	300	0.02	9.6938723578745	0.047244094488189	22.8989110815933	0.0136196282081625	0.36239285157422	0.423333333333333	0.0691877112974657	1.84095568599704	4	98	1
SPAC12G12.07c	21	84	42	100	1327	300	0.21	101.785659757682	0.0633006782215524	30.6814347423308	0.15042237316373	0.411839960564545	3.3175	1.99610489188269	5.46511627669151	7	114	0.200918398927468
SPAC12G12.06c	22	193	70	100	1638	300	0.22	106.63259593662	0.117826617826618	57.1098096785647	0.0714197841654415	0.1802698086555	1.86715025906736	1.16985606462993	2.95281946577708	12	110	1
SPAC12G12.05c	38	103	3	100	1251	300	0.38	184.183574799616	0.0823341326938449	39.9068286515217	0.249908172930368	0.542910513862168	4.61533980582524	3.1263512433589	6.79181052841572	10	128	4.45044445947964e-07
SPNCRNA.639	1	4	0	100	1545	300	0.01	4.84693617893725	0.00258899676375405	1.25487020813909	0.0106420142837121	2.34682041637603	3.8625	0.164419120683352	36.2583754330096	0	101	1
SPNCRNA.640	3	8	2	100	565	300	0.03	14.5408085368118	0.0141592920353982	6.86291848345097	0.0790706961718822	1.54345429461482	2.11875	0.446749433371135	8.72051676457375	1	102	1
SPAC12G12.01c	2	235	14	100	3100	300	0.02	9.6938723578745	0.0758064516129032	36.7429032919437	0.00146516086515093	0.0345925103596693	0.263829787234043	0.0454199868196787	1.07236782114975	7	95	1
SPAC630.03	24	311	40	100	1646	300	0.24	116.326468294494	0.188942891859052	91.5794138304669	0.0497537139682374	0.118711632665168	1.27022508038585	0.818946131917188	1.95399347366866	19	105	1
SPAC630.05	26	194	8	100	2562	300	0.26	126.020340652369	0.0757220921155347	36.7020147819604	0.0870155779889325	0.204968640409957	3.43360824742268	2.22933910807645	5.25129656730311	8	118	0.00953219576734724
SPNCRNA.641	0	7	8	100	428	300	0	0	0.0163551401869159	7.92723206835532	0.0134151780994594	0.782741335671289	0	0.0574169622656864	3.35013291667312	1	99	1
SPAC630.15	3	43	4	100	2081	300	0.03	14.5408085368118	0.0206631427198462	10.0152934019367	0.0172895015262644	0.23349064468298	1.45186046511628	0.359794526761563	4.85894031585282	2	101	1
SPAC630.10	2355	39	22	100	1094	300	23.55	11414.5347013972	0.0356489945155393	17.2788401260103	43.5803639888688	84.0126525306682	660.607692307692	476.769182038225	919.09841868551	84	2371	0
SPAC630.11	9	97	20	100	944	300	0.09	43.6224256104353	0.102754237288136	49.8043230250967	0.0438434784952864	0.189466163848636	0.875876288659794	0.413882436995504	1.78856058673113	10	99	1
SPAC630.12	14	106	19	100	1506	300	0.14	67.8571065051215	0.0703851261620186	34.1152214453751	0.0724841963746252	0.236386638666881	1.98905660377358	1.09161199740186	3.55998277832323	7	107	1
SPAC1751.04	0	300	35	100	1652	300	0	0	0.181598062953995	88.0194221356644	0.000303192259372212	0.0160124953855865	0	0.00500873612482894	0.264526423769889	15	85	1
SPAC1751.03	97	519	61	100	1374	300	0.97	470.152809356913	0.377729257641921	183.082960470774	0.1495447090277	0.233364193173871	2.56797687861272	2.05474430204059	3.20642401420899	54	143	4.23116918829604e-06
SPAC31A2.02	14	47	50	100	783	300	0.14	67.8571065051215	0.0600255427841635	29.0939974980908	0.156656617583607	0.557664583435226	2.33234042553191	1.22662131567964	4.36651368829782	6	108	1
SPAC31A2.03	37	103	10	100	898	300	0.37	179.336638620678	0.114699331848552	55.5940341236678	0.242352032044726	0.530670108814941	3.22582524271845	2.17632124776164	4.76541757715817	14	123	0.00248177915233962
SPAC31A2.06	45	248	0	100	4811	257	0.45	218.112128052176	0.0515485346081896	24.9852457363633	0.130334485488078	0.251867126035144	8.72963709677419	6.27039209683142	12.1173274335508	7	138	7.51813634318286e-19
SPAC31A2.08	9	43	17	100	777	300	0.09	43.6224256104353	0.0553410553410553	26.823456331313	0.095169569218974	0.445492685559469	1.62627906976744	0.739467552831428	3.46147816679708	5	104	1
SPAC31A2.10	1	62	7	100	1783	300	0.01	4.84693617893725	0.0347728547392036	16.8541807680376	0.00082981925837066	0.107218374424161	0.28758064516129	0.0147956773767489	1.91170361598278	3	98	1
SPAC31A2.12	14	337	36	100	2450	300	0.14	67.8571065051215	0.137551020408163	66.6701017266063	0.0233681647316312	0.0724660434385273	1.01780415430267	0.572520035924964	1.77541806424392	13	101	1
SPAC31A2.14	35	322	13	100	3306	300	0.35	169.642766262804	0.0973986690865094	47.2085132975739	0.0754378098023125	0.155900359522416	3.59347826086957	2.49397399206445	5.15406588581108	11	124	8.72569001256624e-05
SPAC31A2.16	10	180	4	100	3850	300	0.1	48.4693617893725	0.0467532467532468	22.6610003171092	0.0277143384719046	0.107945387663632	2.13888888888889	1.06700203116833	4.15589742504984	4	106	1
SPAC13C5.02	103	142	35	100	1441	300	1.03	499.234426430537	0.0985426786953505	47.7630074537883	0.558420184757961	0.941859422339156	10.452323943662	8.04683486236221	13.5721942759072	18	185	1.67386009060741e-39
SPAC13C5.03	20	87	70	100	2441	300	0.2	96.938723578745	0.0356411306841458	17.2750285771217	0.137072869173223	0.381823017218484	5.61149425287356	3.34594873651837	9.32029985030318	4	116	0.000163955645778728
SPAC13C5.04	53	57	168	100	743	300	0.53	256.887617483674	0.0767160161507402	37.1837634184957	0.629417505915319	1.37325839816319	6.90859649122807	4.67657206895082	10.2033098983525	10	143	8.14619965848542e-14
SPNCRNA.05	0	1	1	100	539	300	0	0	0.00185528756957328	0.899246044329731	0.120791776113059	17.3080587281839	0	0.651067673249387	93.2904365449114	0	100	1
SPAC13C5.07	0	760	13	100	4610	300	0	0	0.164859002169197	79.9061062037378	0.000119627474631508	0.0063091711219556	0	0.0055148265805125	0.290852788722153	14	86	1
SPAC23E2.01	25	936	167	100	3301	300	0.25	121.173404473431	0.28355043926083	137.435088260687	0.0175631294894468	0.0402956778793125	0.88167735042735	0.57975890444664	1.33016032679611	27	98	1
SPAC23E2.02	17	236	14	100	3817	300	0.17	82.3979150419333	0.0618286612522924	29.9679575118992	0.0425699537437954	0.120206715150372	2.74953389830508	1.62489513440067	4.58829031728969	6	111	1
SPNCRNA.650	0	2	1	100	1924	300	0	0	0.00103950103950104	0.503839519640047	0.0514242900386907	4.05388820080272	0	0.98940334034441	77.9968089834444	0	100	1
SPRRNA.11	0	0	0	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	0	13	26	100	759	300	0	0	0.0171277997364954	8.30173522084114	0.00711390234765344	0.395564521747562	0	0.0539945188186896	3.002334720064	1	99	1
SPAC24H6.12c	8	133	15	100	1684	300	0.08	38.775489431498	0.078978622327791	38.2804341923191	0.0273494005384782	0.126663547864869	1.01293233082707	0.460563905067973	2.1330141460444	7	101	1
SPAC24H6.11c	0	396	70	100	4261	300	0	0	0.0929359305327388	45.0454524022331	0.000229649826999269	0.0121217916416705	0	0.00978537912843887	0.51650954185158	8	92	1
SPAC24H6.10c	44	236	35	100	992	300	0.44	213.265191873239	0.237903225806452	115.310175224717	0.133301667589092	0.259965497320415	1.84949152542373	1.32235254248379	2.57885773341851	27	117	1
SPNCRNA.653	0	29	0	100	1202	300	0	0	0.024126455906822	11.693939200431	0.00315841214605714	0.170434554760817	0	0.0379641139956068	2.04862334822503	2	98	1
SPNCRNA.551	2	16	2	100	427	300	0.02	9.6938723578745	0.0374707259953162	18.1618217477742	0.0198698862921535	0.564288735510909	0.53375	0.0848444144674955	2.40951290063158	3	99	1
SPAC24H6.02c	1	39	5	100	943	300	0.01	4.84693617893725	0.0413573700954401	20.0456533381286	0.00130809652203615	0.172803354535776	0.241794871794872	0.0123353502028009	1.62953563327237	4	97	1
SPAC24H6.01c	10	91	35	100	2002	300	0.1	48.4693617893725	0.0454545454545455	22.0315280860784	0.053863632616733	0.217536077024671	2.2	1.07834992498699	4.35507226203392	4	106	1
SPAPB21F2.02	29	586	46	100	5340	300	0.29	140.56114918918	0.109737827715356	53.1892247351541	0.0334388023211253	0.0727799927142762	2.64266211604096	1.78563204394809	3.88645161094235	12	117	0.175102586097216
SPAPB21F2.03	12	58	25	100	758	300	0.12	58.163234147247	0.0765171503957784	37.0873744562481	0.105523620314907	0.39710541120564	1.56827586206897	0.799869041986997	3.01005901693875	7	105	1
SPNCRNA.655	14	124	5	100	2648	300	0.14	67.8571065051215	0.0468277945619335	22.6971331642077	0.0622811062617269	0.200989964755745	2.98967741935484	1.64920369381053	5.32221426673212	5	109	1
SPNCRNA.656	3	12	39	100	301	300	0.03	14.5408085368118	0.0398671096345515	19.3233336037365	0.0561284050394271	0.94654079953273	0.7525	0.168946499168675	2.84908780659352	3	100	1
SPAC227.04	8	69	29	100	726	300	0.08	38.775489431498	0.0950413223140496	46.0659223618003	0.0516654516037551	0.249499092729628	0.841739130434783	0.375091178643262	1.8113634132171	9	99	1
SPAC227.05	11	13	53	100	247	300	0.11	53.3162979683098	0.0526315789473684	25.5101904154592	0.354376355780542	2.00867598351841	2.09	0.87530959877794	4.96142967929047	5	106	1
SPAC227.06	38	82	36	100	873	300	0.38	184.183574799616	0.0939289805269187	45.5267773966615	0.309713380558828	0.691452183084578	4.04560975609756	2.70379781227857	6.03637755832836	11	127	2.25674061280901e-05
SPNCRNA.657	6	24	5	100	607	300	0.06	29.0816170736235	0.0395387149917628	19.1641628162264	0.0917598386399533	0.642865332009817	1.5175	0.556982220544517	3.90219256529959	4	102	1
SPAC227.09	9	59	4	100	2018	300	0.09	43.6224256104353	0.0292368681863231	14.1709234171109	0.0706542358311219	0.318252389293506	3.07830508474576	1.42580247907204	6.42233321594295	3	106	1
SPAC227.10	39	88	45	100	920	300	0.39	189.030510978553	0.0956521739130435	46.3619982333128	0.29863904974804	0.655859892551856	4.07727272727273	2.74747925768197	6.03391101147707	12	127	1.09106326894177e-05
SPAC227.12	11	50	8	100	1511	300	0.11	53.3162979683098	0.0330906684315023	16.0388358005865	0.108207931116905	0.436680267586461	3.3242	1.63502183917643	6.59823884323143	3	108	1
SPNCRNA.658	0	2	0	100	737	300	0	0	0.00271370420624152	1.31531510961662	0.0514242900386907	4.05388820080272	0	0.378997017585151	29.8771560399161	0	100	1
SPAC227.14	0	66	9	100	2392	300	0	0	0.0275919732441472	13.3736533365325	0.00138178273757893	0.0735710521596386	0	0.033052243082888	1.75981956765856	2	98	1
SPAC227.15	26	212	198	100	3140	300	0.26	126.020340652369	0.067515923566879	32.7245372590668	0.0798034730208968	0.18714144761354	3.85094339622641	2.50582905285616	5.87624145506515	7	119	0.00122645319779196
