Cdk9as_spt5_T1A_1min_3MBPP1_r1_pr_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1term_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1term_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_density	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_densityRPKM	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_density	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_densityRPKM	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_low	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_high	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_low_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_high_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1_ExpPR	Cdk9as_spt5_T1A_1min_3MBPP1_r1_ExpGB	Cdk9as_spt5_T1A_1min_3MBPP1_r1Fexact_Pval
SPAC11D3.05	61	334	1	100	1753	300	0.61	581.526707805709	0.190530519110097	181.637025433783	0.13765994565265	0.241848912194273	3.20158682634731	2.41317884729095	4.2396114307656	25	136	9.25265324744026e-07
SPAC11D3.06	1	32	7	100	1521	300	0.01	9.53322471812638	0.0210387902695595	20.0567515437241	0.00158636952447218	0.212316189610862	0.4753125	0.0241286804672219	3.22932924398121	2	99	1
SPAC11D3.09	0	3	1	100	1729	300	0	0	0.00173510699826489	1.65411649244529	0.0327971598819604	2.22593021867193	0	0.567062894359095	38.4863334808377	0	100	1
SPAC11D3.10	0	18	0	100	4126	300	0	0	0.00436257876878332	4.15894437533385	0.00511285240857114	0.280011224227739	0	0.210956290377645	11.5532631116365	0	100	1
SPAC11D3.13	1	85	11	100	920	300	0.01	9.53322471812638	0.0923913043478261	88.0787066348633	0.000607646510904272	0.0777163283726937	0.108235294117647	0.00559034790031931	0.714990221028782	8	93	1
SPNCRNA.609	12	62	4	100	4138	300	0.12	114.398696617517	0.0149830836152731	14.2837103074876	0.0990845241623516	0.370014447614146	8.00903225806452	4.10011760983811	15.3111978422734	1	111	0.00195228778449459
SPNCRNA.147	0	4	1	100	333	300	0	0	0.012012012012012	11.4513209827344	0.0240893601812892	1.52670069174082	0	0.0802175694036931	5.08391330349693	1	99	1
SPAC11D3.15	1	83	0	100	3921	300	0.01	9.53322471812638	0.0211680693700587	20.1799962153657	0.000622130592304054	0.0796215011770904	0.472409638554217	0.024393740524242	3.12195906115371	2	99	1
SPAC11D3.17	0	76	7	100	3291	300	0	0	0.0230932847158918	22.015347267627	0.00119943495785576	0.0637745380674321	0	0.039473404463033	2.09882004779919	2	98	1
SPNCRNA.611	2	13	3	100	1474	300	0.02	19.0664494362528	0.00881953867028494	8.40786440540318	0.0240005686740661	0.712651641747209	2.26769230769231	0.353768382255734	10.5044851993539	0	102	1
SPAC5H10.01	1	7	0	100	687	300	0.01	9.53322471812638	0.0101892285298399	9.71362052793081	0.00660323359662749	1.14229470290644	0.981428571428571	0.0453642148088309	7.84756460896721	1	100	1
SPNCRNA.613	1	1	1	100	416	300	0.01	9.53322471812638	0.00240384615384615	2.29164055724192	0.027408528703162	36.4849938072245	4.16	0.114019479405154	151.777574238054	0	101	1
SPAC5H10.03	0	156	15	100	3193	300	0	0	0.048856874412778	46.5763562802291	0.000583461492795509	0.0308793979910613	0	0.0186299254649606	0.985979177854587	4	96	1
SPAC5H10.04	16	25	1	100	2498	300	0.16	152.531595490022	0.0100080064051241	9.54085740404962	0.326588232340727	1.24503264826293	15.9872	8.15817404387136	31.100915553608	1	115	1.86907675204093e-08
SPAC5H10.07	1	1	1	100	453	300	0.01	9.53322471812638	0.0022075055187638	2.10446461768794	0.027408528703162	36.4849938072245	4.53	0.124160635025324	165.277021946727	0	101	1
SPNCRNA.614	2	22	9	100	1475	300	0.02	19.0664494362528	0.0149152542372881	14.2190470372054	0.0147820536946115	0.398037829225762	1.34090909090909	0.21803529199552	5.87105798107998	1	101	1
SPAC5H10.10	3	30	7	100	1554	300	0.03	28.5996741543791	0.0193050193050193	18.4039087222517	0.0243559280368764	0.341769974278403	1.554	0.37849112169306	5.31110540028638	1	102	1
SPAC5H10.11	1	8	0	100	1565	300	0.01	9.53322471812638	0.00511182108626198	4.87321391341923	0.00586171689225921	0.973546520057376	1.95625	0.0917358693638567	15.2360030388979	0	101	1
SPNCRNA.616	3	7	0	100	497	300	0.03	28.5996741543791	0.0140845070422535	13.4270770677836	0.0880775067426534	1.82748877281164	2.13	0.437745208510987	9.08261920087386	1	102	1
SPNCRNA.617	1	34	0	100	3975	300	0.01	9.53322471812638	0.00855345911949685	8.15420479034709	0.0014954740609025	0.199297297707355	1.16911764705882	0.0594450939208742	7.92206758386738	0	101	1
SPSNORNA.49	1	1	14	100	159	300	0.01	9.53322471812638	0.00628930817610063	5.99573881643168	0.027408528703162	36.4849938072245	1.59	0.0435795606380276	58.011140153487	0	101	1
SPNCRNA.141	8	66	5	100	604	300	0.08	76.265797745011	0.109271523178808	104.170998575553	0.0539127606956085	0.261369151789308	0.732121212121212	0.325633074601475	1.57866967680742	10	98	1
SPAC13G6.03	8	135	8	100	3896	300	0.08	76.265797745011	0.0346509240246407	33.0335045417623	0.0269530238247053	0.124743426802146	2.30874074074074	1.05008980821052	4.86000390821159	3	105	1
SPAC13G6.04	4	63	33	100	505	300	0.04	38.1328988725055	0.124752475247525	118.929338067715	0.0196776916573705	0.181294313351474	0.320634920634921	0.0993723428697211	0.915536282424943	11	93	1
SPAC13G6.08	1	22	5	100	2130	300	0.01	9.53322471812638	0.0103286384976526	9.84652318304133	0.0022789459676721	0.315231910448174	0.968181818181818	0.0485415491114157	6.71443969254611	1	100	1
SPAC13G6.09	5	75	3	100	1572	300	0.05	47.6661235906319	0.0477099236641221	45.4829423574732	0.0237896750051642	0.171182288922594	1.048	0.373973691081181	2.69098558186318	4	101	1
SPAC13G6.13	0	0	0	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	13	143	2	100	1272	300	0.13	123.931921335643	0.112421383647799	107.173831343716	0.0492497619902545	0.164388456033704	1.15636363636364	0.626456972516037	2.09102116074871	11	102	1
SPAC24B11.05	7	74	6	100	1489	300	0.07	66.7325730268846	0.0496977837474815	47.378014045759	0.039933102935157	0.212734288000735	1.40851351351351	0.594603902704488	3.16761354833095	5	102	1
SPNCRNA.622	4	40	0	100	2388	300	0.04	38.1328988725055	0.016750418760469	15.9685506166271	0.0304258483424129	0.291683834732845	2.388	0.726569258416821	6.96540997342033	1	103	1
SPNCRNA.142	3	35	2	100	597	300	0.03	28.5996741543791	0.0586264656616415	55.8899271581948	0.0210472709909155	0.290058926591398	0.511714285714286	0.125652207815765	1.73165179175065	5	98	1
SPAC24B11.09	3	221	22	100	2741	300	0.03	28.5996741543791	0.080627508208683	76.8640154215954	0.00347727629466796	0.0436753917885814	0.372081447963801	0.0953121432368489	1.19714248892502	7	96	1
SPAC24B11.14	2	9	55	100	596	300	0.02	19.0664494362528	0.0151006711409396	14.3958091381103	0.0332058119471448	1.09402338033518	1.32444444444444	0.197906639204983	6.52037934679768	1	101	1
SPAC24B11.13	14	257	27	100	2075	300	0.14	133.465146053769	0.123855421686747	118.074156749806	0.0305325743960377	0.0953783599805621	1.13035019455253	0.633550918717783	1.97910096959666	12	102	1
SPNCRNA.625	1	6	1	100	1669	300	0.01	9.53322471812638	0.00359496704613541	3.42716287050679	0.00755953402951306	1.38050834161111	2.78166666666667	0.126168622952573	23.0406842214894	0	101	1
SPNCRNA.627	0	58	4	100	761	300	0	0	0.076215505913272	72.6579544876912	0.00157310823633282	0.0838787505311741	0	0.0119713536784928	0.638317291542235	7	93	1
SPNCRNA.144	2	56	4	100	431	300	0.02	19.0664494362528	0.129930394431555	123.865564783081	0.00603134616359581	0.148785962361529	0.153928571428571	0.0259951019650979	0.641267497778189	11	91	1
SPNCRNA.628	2	25	2	100	1566	300	0.02	19.0664494362528	0.0159642401021711	15.2190688348122	0.0131043842240231	0.346856126123875	1.2528	0.205214656948202	5.43176693509988	1	101	1
SPNCRNA.145	1	15	2	100	719	300	0.01	9.53322471812638	0.0208623087621697	19.8885077568701	0.00328192270549487	0.476785931797302	0.479333333333333	0.0235970242525081	3.4280908496226	2	99	1
SPAC806.05	1	66	1	100	2921	300	0.01	9.53322471812638	0.0225950017117426	21.5403228824492	0.000780207771224561	0.100578560278423	0.442575757575758	0.0227898689974694	2.93789974573274	2	99	1
SPAC806.07	15	23	12	100	469	300	0.15	142.998370771896	0.0490405117270789	46.7514218586155	0.324257638766477	1.30149001626685	3.05869565217391	1.52076832581478	6.10398817629151	5	110	1
SPNCRNA.630	1	35	0	100	2184	300	0.01	9.53322471812638	0.016025641025641	15.2776037149461	0.00145382362789627	0.193368363637487	0.624	0.0317515080332546	4.22316506184271	1	100	1
SPNCRNA.631	1	0	0	100	863	300	0.01	9.53322471812638	0	0	0.0577765545925511	8.27870929775896	NA	0.498611666133716	71.4452612396598	0	101	1
SPAC1F5.11c	8	481	13	100	11254	300	0.08	76.265797745011	0.0427403589834725	40.7453446722835	0.00768526064303103	0.0344259141303909	1.87176715176715	0.864899232766712	3.87429237623419	4	104	1
SPNCRNA.633	3	16	1	100	947	300	0.03	28.5996741543791	0.0168954593453009	16.1068210654722	0.0435109966500877	0.680481866290363	1.775625	0.412049138276331	6.44416327376973	1	102	1
SPAC1F5.09c	1	22	9	100	1569	300	0.01	9.53322471812638	0.0140216698534098	13.3671729635934	0.0022789459676721	0.315231910448174	0.713181818181818	0.0357566622327752	4.94598867493185	1	100	1
SPAC1F5.08c	9	72	14	100	1608	300	0.09	85.7990224631374	0.0447761194029851	42.6860808274315	0.0584291737620343	0.258237238998579	2.01	0.939541114093511	4.15245480309714	4	105	1
SPAC1F5.07c	5	24	8	100	1526	300	0.05	47.6661235906319	0.0157273918741809	14.9932760966601	0.0698308803258869	0.574457008750159	3.17916666666667	1.06561923377303	8.76621395352742	1	104	1
SPAC1F5.05c	1	31	0	100	731	300	0.01	9.53322471812638	0.0424076607387141	40.4281759592227	0.00163609062693161	0.219484423903823	0.235806451612903	0.0119598224828701	1.60443113873695	4	97	1
SPAC1F5.04c	9	321	12	100	5667	300	0.09	85.7990224631374	0.0566437268395977	53.9997376834051	0.0135482095207585	0.0559085218058757	1.5888785046729	0.767777033541387	3.16833593073898	5	104	1
SPAC1F5.03c	5	143	13	100	1926	300	0.05	47.6661235906319	0.0742471443406023	70.7814711678127	0.0126617784660798	0.0883250751188701	0.673426573426574	0.243865853256696	1.70114094678944	7	98	1
SPNCRNA.148	1	0	0	100	18	300	0.01	9.53322471812638	0	0	0.0577765545925511	8.27870929775896	NA	0.0103997798266592	1.49016767359661	0	101	1
SPNCRNA.635	0	1	0	100	506	300	0	0	0.00197628458498024	1.88403650555857	0.120791776113059	17.3080587281839	0	0.611206387132078	87.5787771646107	0	100	1
SPAC18B11.09c	2	24	7	100	960	300	0.02	19.0664494362528	0.025	23.8330617953159	0.0136196282081625	0.36239285157422	0.8	0.13074843079836	3.47897137511251	2	100	1
SPAC18B11.08c	17	52	9	100	553	300	0.17	162.064820208148	0.0940325497287523	89.6433427382589	0.181991939246918	0.58071051339248	1.80788461538462	1.00641542403546	3.21132913906042	10	107	1
SPAC18B11.07c	27	89	5	100	957	300	0.27	257.397067389412	0.0929989550679206	88.6579937213425	0.192583773710091	0.475152896521552	2.90325842696629	1.84302671440557	4.54721321971125	10	117	0.226098499801803
SPAC18B11.03c	1	45	23	100	1723	300	0.01	9.53322471812638	0.0261172373766686	24.8981492928431	0.00113712356732569	0.149026177050859	0.382888888888889	0.0195926390650217	2.5677210305863	2	99	1
SPAC18B11.02c	7	132	6	100	1187	300	0.07	66.7325730268846	0.111204717775906	106.013956427353	0.0227513230275552	0.117189563393212	0.629469696969697	0.27005820433708	1.39104011747742	10	97	1
SPAC12G12.16c	4	35	13	100	1991	300	0.04	38.1328988725055	0.017579105976896	16.7585567621508	0.0345259525222105	0.336123682860994	2.27542857142857	0.68741171471721	6.6922225257624	1	103	1
SPNCRNA.637	10	7	1	100	1253	300	0.1	95.3322471812638	0.00558659217877095	5.32582386487507	0.502708675185817	4.14723902250747	17.9	6.29893970007829	51.9649049520186	0	110	0.000596307322409441
SPAC12G12.14c	0	38	18	100	1844	300	0	0	0.0206073752711497	19.645473931063	0.00240594623539958	0.129094305004205	0	0.0443656485807683	2.38049898427753	2	98	1
SPAC12G12.13c	3	270	11	100	2129	300	0.03	28.5996741543791	0.126820103334899	120.90045438676	0.00285043007567464	0.0356870043474355	0.236555555555556	0.060685656311113	0.759776322556902	11	92	1
SPAC12G12.11c	1	40	3	100	1362	300	0.01	9.53322471812638	0.0293685756240822	27.9977231075665	0.00127611792778602	0.168327520214101	0.3405	0.0173807261764455	2.29262082531606	2	99	1
SPAC12G12.17	0	28	5	100	508	300	0	0	0.0551181102362205	52.5453330920352	0.00327211992868732	0.176722244865318	0	0.0166223692377316	0.897749003915815	5	95	1
SPAC12G12.07c	1	147	11	100	1327	300	0.01	9.53322471812638	0.110776186887717	105.605428301777	0.000352929139911527	0.0446182536198615	0.0902721088435374	0.00468336968662596	0.592084225535562	10	91	1
SPAC12G12.06c	2	118	21	100	1638	300	0.02	19.0664494362528	0.072039072039072	68.6764662233768	0.00290043216673799	0.0694210785788352	0.277627118644068	0.0475090788911683	1.13711726712132	6	96	1
SPAC12G12.05c	9	56	0	100	1251	300	0.09	85.7990224631374	0.0447641886490807	42.6747069716289	0.0742392799741713	0.336275973477931	2.01053571428571	0.928733392476883	4.20681242820892	4	105	1
SPNCRNA.639	1	1	2	100	1545	300	0.01	9.53322471812638	0.000647249190938511	0.617037198584232	0.027408528703162	36.4849938072245	15.45	0.423461768463853	563.693154321619	0	101	1
SPNCRNA.640	0	0	0	100	565	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC12G12.01c	1	119	7	100	3100	300	0.01	9.53322471812638	0.0383870967741935	36.5952819824851	0.00043534421464806	0.055243744050271	0.260504201680672	0.0134956706540899	1.7125560655584	3	98	1
SPAC630.03	3	179	46	100	1646	300	0.03	28.5996741543791	0.108748481166464	103.672370871484	0.00428498278654318	0.0540445387517484	0.27586592178771	0.0705308166665008	0.889573107853779	10	93	1
SPAC630.05	7	78	7	100	2562	300	0.07	66.7325730268846	0.0304449648711944	29.0238691652559	0.0379560584954742	0.201415220906042	2.29923076923077	0.972434218654048	5.1602579596128	3	104	1
SPNCRNA.641	0	1	0	100	428	300	0	0	0.00233644859813084	2.22738895283327	0.120791776113059	17.3080587281839	0	0.516988801763892	74.0784913566272	0	100	1
SPAC630.15	2	3	1	100	2081	300	0.02	19.0664494362528	0.00144161460836136	1.37432360184426	0.0782648165603505	4.86773260028688	13.8733333333333	1.62869083262089	101.29751541197	0	102	1
SPAC630.10	298	24	4	100	1094	300	2.98	2840.90096600166	0.0219378427787934	20.9138385041164	8.06589840356393	19.2722667493854	135.838333333333	88.2409285349894	210.838598238277	8	390	2.08206211383562e-190
SPAC630.11	0	53	6	100	944	300	0	0	0.0561440677966102	53.5234014894807	0.00172214121145853	0.0919284576549814	0	0.0162570130361686	0.867804640263025	5	95	1
SPAC630.12	3	37	6	100	1506	300	0.03	28.5996741543791	0.0245683930942895	23.4216012331126	0.0199625666080716	0.273498472796944	1.22108108108108	0.300636253117559	4.11888700032198	2	101	1
SPAC1751.04	0	106	4	100	1652	300	0	0	0.0641646489104116	61.1696017022637	0.000859257958166075	0.0455702794857351	0	0.0141949414689036	0.752821017104344	6	94	1
SPAC1751.03	59	234	6	100	1374	300	0.59	562.460258369456	0.170305676855895	162.356228823986	0.18751474611858	0.338399422032742	3.46435897435897	2.57645261166928	4.64960805872988	23	136	2.34899166190329e-07
SPAC31A2.02	8	46	5	100	783	300	0.08	76.265797745011	0.0587484035759898	56.006173312109	0.0759372133709383	0.382613704101175	1.36173913043478	0.594588380694447	2.9958653031122	5	103	1
SPAC31A2.03	4	60	2	100	898	300	0.04	38.1328988725055	0.066815144766147	63.6963789629825	0.0206281308405525	0.190713393890283	0.598666666666667	0.185240614948161	1.71260627713475	6	98	1
SPAC31A2.06	2	93	0	100	4811	257	0.02	19.0664494362528	0.0193307004780711	18.4283911616245	0.00366826053377003	0.0884470202213198	1.03462365591398	0.176480014279676	4.2551861428477	1	101	1
SPAC31A2.08	7	48	4	100	777	300	0.07	66.7325730268846	0.0617760617760618	58.8925079112054	0.0603782279264116	0.335014835715109	1.133125	0.469138830988218	2.6030652735064	6	101	1
SPAC31A2.10	0	35	2	100	1783	300	0	0	0.0196298373527762	18.7135650664287	0.00261349347422073	0.140450384980723	0	0.0465985886453556	2.50423036420628	1	99	1
SPAC31A2.12	3	202	28	100	2450	300	0.03	28.5996741543791	0.0824489795918367	78.6004650229195	0.00380143374255943	0.0478265396362182	0.363861386138614	0.0931351266927061	1.17175022108735	7	96	1
SPAC31A2.14	7	156	15	100	3306	300	0.07	66.7325730268846	0.0471869328493648	44.9843634612134	0.0193130750589665	0.0988172163351856	1.48346153846154	0.638490261449432	3.26689717204124	4	103	1
SPAC31A2.16	1	114	1	100	3850	300	0.01	9.53322471812638	0.0296103896103896	28.2282498147119	0.000454287800892566	0.0576973078617017	0.337719298245614	0.0174900803343638	2.22134635267552	2	99	1
SPAC13C5.02	76	58	16	100	1441	300	0.76	724.525078577605	0.0402498265093685	38.371064097941	0.918837217476247	1.87001379757978	18.8820689655172	13.2404443038327	26.9468988231246	6	170	7.74993707038939e-42
SPAC13C5.03	7	23	20	100	2441	300	0.07	66.7325730268846	0.00942236788201557	8.98255503961109	0.119006582197197	0.745207834956032	7.42913043478261	2.90495067143357	18.1905232512767	0	107	1
SPAC13C5.04	3	43	70	100	743	300	0.03	28.5996741543791	0.0578734858681023	55.172094600193	0.0172895015262644	0.23349064468298	0.518372093023256	0.128460996340145	1.73483548999454	5	98	1
SPNCRNA.05	0	0	0	100	539	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13C5.07	0	376	19	100	4610	300	0	0	0.0815618221258134	77.7547178745232	0.000241872468293608	0.0127681227825447	0	0.0111503207883353	0.588610460275312	7	93	1
SPAC23E2.01	2	399	103	100	3301	300	0.02	19.0664494362528	0.120872462890033	115.230435096408	0.000865100204303992	0.0203094508007098	0.16546365914787	0.0285569577440748	0.67041497093143	10	92	1
SPAC23E2.02	6	116	8	100	3817	300	0.06	57.1993483087583	0.0303903589206183	28.9718120854771	0.0205632941232057	0.121650830995752	1.97431034482759	0.784900936682763	4.64341221910784	3	103	1
SPNCRNA.650	0	0	1	100	1924	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPRRNA.11	0	0	0	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	0	9	13	100	759	300	0	0	0.0118577075098814	11.3042190333514	0.0103569347612096	0.590306163886248	0	0.0786091348375805	4.48042378389662	1	99	1
SPAC24H6.12c	2	61	6	100	1684	300	0.02	19.0664494362528	0.0362232779097387	34.5324648340682	0.00554834001928696	0.136229324244619	0.552131147540984	0.0934340459247924	2.29410182027939	3	99	1
SPAC24H6.11c	0	114	33	100	4261	300	0	0	0.0267542830321521	25.5054592317861	0.000798841240028825	0.0423468476702617	0	0.0340386252376282	1.80439917922985	2	98	1
SPAC24H6.10c	13	203	8	100	992	300	0.13	123.931921335643	0.204637096774194	195.085142921336	0.0349589673973095	0.114880701662621	0.635270935960591	0.34679295658131	1.1396165604932	19	94	1
SPNCRNA.653	0	13	1	100	1202	300	0	0	0.0108153078202995	10.3104759846625	0.00711390234765344	0.395564521747562	0	0.0855091062187944	4.7546855514057	1	99	1
SPNCRNA.551	0	7	1	100	427	300	0	0	0.0163934426229508	15.6282372428301	0.0134151780994594	0.782741335671289	0	0.0572828104846918	3.3423055033164	1	99	1
SPAC24H6.02c	0	43	1	100	943	300	0	0	0.0455991516436903	43.4706959575222	0.00212472625826863	0.113763425024706	0	0.0200361686154732	1.07278909798298	4	96	1
SPAC24H6.01c	1	27	16	100	2002	300	0.01	9.53322471812638	0.0134865134865135	12.8569963730975	0.00187061064467936	0.253746874604382	0.741481481481481	0.0374496251064807	5.08001242957974	1	100	1
SPAPB21F2.02	12	325	39	100	5340	300	0.12	114.398696617517	0.0608614232209738	58.0205624230538	0.0197828912656315	0.067281225384237	1.97169230769231	1.05640639358472	3.59281743551826	6	106	1
SPAPB21F2.03	6	56	20	100	758	300	0.06	57.1993483087583	0.0738786279683377	70.430156228902	0.0416203524587688	0.258493007170715	0.812142857142857	0.315482271637467	1.95937699435402	7	99	1
SPNCRNA.655	5	36	3	100	2648	300	0.05	47.6661235906319	0.013595166163142	12.9605774113501	0.047976302371859	0.369952422653469	3.67777777777778	1.27041248680683	9.79634015186386	1	104	1
SPNCRNA.656	1	7	4	100	301	300	0.01	9.53322471812638	0.0232558139534884	22.1702900421544	0.00660323359662749	1.14229470290644	0.43	0.0198757331258487	3.43830705574837	2	99	1
SPAC227.04	0	36	10	100	726	300	0	0	0.0495867768595041	47.2721886849242	0.00254044356681343	0.136449384104687	0	0.0184436202950655	0.99062252860003	4	96	1
SPAC227.05	6	30	32	100	247	300	0.06	57.1993483087583	0.121457489878543	115.788154471171	0.0748451473982823	0.503086370931363	0.494	0.184867514073757	1.24262333620047	11	95	1
SPAC227.06	28	50	0	100	873	300	0.28	266.930292107539	0.0572737686139748	54.6003706650995	0.343624003548241	0.909199108888815	4.8888	2.99983755097614	7.93730822059936	6	122	7.52368190399336e-05
SPNCRNA.657	1	17	0	100	607	300	0.01	9.53322471812638	0.028006589785832	26.6993114016719	0.0029153350293855	0.415929044001673	0.357058823529412	0.01769608362837	2.52468929709015	2	99	1
SPAC227.09	5	35	0	100	2018	300	0.05	47.6661235906319	0.0173439048562934	16.5343342484848	0.0492607912738172	0.381281846450909	2.88285714285714	0.994082767905631	7.69426766137934	1	104	1
SPAC227.10	11	57	5	100	920	300	0.11	104.86547189939	0.0619565217391304	59.0645444492613	0.0956686965822437	0.379840898609665	1.77543859649123	0.880152008556642	3.49453626720892	6	105	1
SPAC227.12	1	31	0	100	1511	300	0.01	9.53322471812638	0.0205162144275314	19.5585682502924	0.00163609062693161	0.219484423903823	0.48741935483871	0.0247213293729367	3.31640964518677	2	99	1
SPNCRNA.658	0	3	3	100	737	300	0	0	0.00407055630936228	3.88055280249378	0.0327971598819604	2.22593021867193	0	0.241715068330048	16.4051057116122	0	100	1
