Mcs6as_Cdk9as_3MBPP1r1_pr_counts	Mcs6as_Cdk9as_3MBPP1r1gb_counts	Mcs6as_Cdk9as_3MBPP1r1term_counts	Mcs6as_Cdk9as_3MBPP1r1pr_map	Mcs6as_Cdk9as_3MBPP1r1gb_map	Mcs6as_Cdk9as_3MBPP1r1term_map	Mcs6as_Cdk9as_3MBPP1r1pr_density	Mcs6as_Cdk9as_3MBPP1r1pr_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1gb_density	Mcs6as_Cdk9as_3MBPP1r1gb_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high	Mcs6as_Cdk9as_3MBPP1r1pause_index_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1r1_ExpPR	Mcs6as_Cdk9as_3MBPP1r1_ExpGB	Mcs6as_Cdk9as_3MBPP1r1Fexact_Pval
SPAC24B11.13	82	1465	28	100	2075	300	0.82	180.745531232056	0.706024096385542	155.622805321753	0.0445141222403033	0.0702887654298412	1.16143344709898	0.923668036486293	1.45849188266921	75	107	1
SPNCRNA.625	2	46	1	100	1669	300	0.02	4.40842759102576	0.0275614140203715	6.0751249007545	0.00730283643198064	0.182405882134092	0.725652173913043	0.121884340049757	3.044354172818	2	100	1
SPNCRNA.627	1	397	26	100	761	300	0.01	2.20421379551288	0.521681997371879	114.989865547781	0.000131187305172087	0.0164196470069115	0.019168765743073	0.000998335392359583	0.124953513722597	34	67	1
SPNCRNA.144	12	379	27	100	431	300	0.12	26.4505655461546	0.879350348027842	193.827616821202	0.0169912232845311	0.0575992844481009	0.13646437994723	0.0732321723563292	0.248252915971315	52	60	1
SPNCRNA.628	8	54	7	100	1566	300	0.08	17.6337103641031	0.0344827586206897	7.60073722590649	0.065270252253	0.322760045088218	2.32	1.02213215028198	5.05442230608149	3	105	1
SPNCRNA.145	2	24	10	100	719	300	0.02	4.40842759102576	0.0333796940194715	7.35759820477179	0.0136196282081625	0.36239285157422	0.599166666666667	0.0979251268166886	2.60560460281864	3	99	1
SPAC806.05	4	164	0	100	2921	300	0.04	8.81685518205153	0.0561451557685724	12.3755926896307	0.00771343777850229	0.0680571627195633	0.712439024390244	0.225309517510052	1.98794972303844	5	99	1
SPAC806.07	58	281	149	100	469	300	0.58	127.844400139747	0.599147121535181	132.064835082968	0.15396192512658	0.276164262514788	0.968042704626335	0.722081428843659	1.29521039119435	59	99	1
SPNCRNA.630	2	228	0	100	2184	300	0.02	4.40842759102576	0.104395604395604	23.0110231399696	0.0015098621918123	0.0356630154481362	0.191578947368421	0.0329753902691806	0.778880257387295	9	93	1
SPNCRNA.631	1	1	1	100	863	300	0.01	2.20421379551288	0.00115874855156431	0.255412954288862	0.027408528703162	36.4849938072245	8.63	0.236535602708288	314.865496556347	0	101	1
SPAC1F5.11c	9	1102	52	100	11254	300	0.09	19.8379241596159	0.0979207392926959	21.5838244415781	0.00397421894580954	0.0161653226982723	0.919110707803993	0.447258600161406	1.81924541646357	9	100	1
SPNCRNA.633	0	23	6	100	947	300	0	0	0.0242872228088701	5.35342315700066	0.00399043342974737	0.216691035021888	0	0.0377894045797076	2.05206410165728	2	98	1
SPAC1F5.09c	1	50	54	100	1569	300	0.01	2.20421379551288	0.0318674314850223	7.02426321068477	0.00102543367718739	0.133694516307104	0.3138	0.0160890543950701	2.09766696085846	3	98	1
SPAC1F5.08c	27	234	24	100	1608	300	0.27	59.5137724788478	0.145522388059701	32.0762455317173	0.0758245868691862	0.174404871415441	1.85538461538462	1.21925935685651	2.80443033236029	16	111	1
SPAC1F5.07c	8	196	20	100	1526	300	0.08	17.6337103641031	0.128440366972477	28.3110028781471	0.018691112449323	0.0852985763115237	0.622857142857143	0.285226375976669	1.30165627451385	12	96	1
SPAC1F5.05c	15	106	8	100	731	300	0.15	33.0632069326932	0.14500683994528	31.9626077051116	0.0791847359110999	0.24886555342779	1.03443396226415	0.57884041951014	1.81920719555714	14	101	1
SPAC1F5.04c	26	1384	16	100	5667	300	0.26	57.3095586833349	0.244220928180695	53.8315139048849	0.0124798116916767	0.0280662219807683	1.0646098265896	0.707230928567319	1.59051279965014	24	102	1
SPAC1F5.03c	33	1076	0	100	1926	300	0.33	72.7390552519251	0.558670820353063	123.142992937272	0.0213343852795474	0.0438577490661238	0.590687732342008	0.410900260484082	0.844700247013545	47	86	1
SPNCRNA.148	2	0	3	100	18	300	0.02	4.40842759102576	0	0	0.246676758328458	19.4460633145857	NA	0.0444018164991224	3.50029139662543	0	102	1
SPNCRNA.635	0	0	2	100	506	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC18B11.09c	3	51	20	100	960	300	0.03	6.61264138653865	0.053125	11.7098857886622	0.014670351198998	0.195367709223204	0.564705882352941	0.14083537151038	1.87553000854276	5	98	1
SPAC18B11.08c	31	197	60	100	553	300	0.31	68.3306276608993	0.35623869801085	78.5226252651063	0.105710384176621	0.233005638911255	0.870203045685279	0.584578424496715	1.28852118317924	34	97	1
SPAC18B11.07c	166	502	50	100	957	300	1.66	365.899490055138	0.524555903866249	115.623335981971	0.276358059688673	0.395530557855221	3.16458167330677	2.6447466312206	3.78522743867447	91	175	1.04450060913105e-13
SPAC18B11.03c	31	199	101	100	1723	300	0.31	68.3306276608993	0.115496227510157	25.4578378007582	0.104676927461729	0.230598612259601	2.68407035175879	1.80358346016558	3.97321408923293	13	118	0.137907917544114
SPAC18B11.02c	36	510	34	100	1187	300	0.36	79.3516966384637	0.429654591406908	94.7050577684557	0.0495666584850073	0.100074420325784	0.837882352941176	0.588356236217036	1.18788336926705	40	96	1
SPAC12G12.16c	17	93	15	100	1991	300	0.17	37.471634523719	0.0467101958814666	10.2959258153038	0.105171759865009	0.313647397638934	3.6394623655914	2.09396973891234	6.24471968699117	5	112	0.268241165768313
SPNCRNA.637	3	28	21	100	1253	300	0.03	6.61264138653865	0.0223463687150838	4.92561742014052	0.0259902678375337	0.367995764389791	1.3425	0.325658056004298	4.61098692780408	2	101	1
SPAC12G12.14c	2	251	148	100	1844	300	0.02	4.40842759102576	0.136117136659436	30.0031270430441	0.00137229572483626	0.0323714700306982	0.146932270916335	0.0253051331659806	0.596929907366075	12	90	1
SPAC12G12.13c	37	851	26	100	2129	300	0.37	81.5559104339766	0.399718177548145	88.1064321268888	0.0308232415561652	0.0610609346512503	0.925652173913043	0.656226812730757	1.29998729872512	39	98	1
SPAC12G12.11c	6	210	15	100	1362	300	0.06	13.2252827730773	0.154185022026432	33.9856752612118	0.0114716067557166	0.0664771396180735	0.389142857142857	0.15624328401286	0.90541864159816	14	92	1
SPAC12G12.17	1	80	16	100	508	300	0.01	2.20421379551288	0.15748031496063	34.7120282757934	0.000645199401115408	0.0826610619985175	0.0635	0.00327761295766627	0.419918194952469	13	88	1
SPAC12G12.07c	49	751	77	100	1327	300	0.49	108.006475980131	0.565938206480784	124.744880213276	0.0483218799287307	0.087849351478068	0.865818908122503	0.641231346654256	1.16576089411396	53	96	1
SPAC12G12.06c	45	869	99	100	1638	300	0.45	99.1896207980797	0.530525030525031	116.939059114817	0.0379101146832804	0.0705051555335119	0.848216340621404	0.620967678512134	1.15487444763892	50	95	1
SPAC12G12.05c	33	277	15	100	1251	300	0.33	72.7390552519251	0.221422861710631	48.8063326424515	0.0815950750946922	0.173080024733145	1.49036101083032	1.0207543894346	2.16523110941164	24	109	1
SPNCRNA.639	2	17	3	100	1545	300	0.02	4.40842759102576	0.0110032362459547	2.42534851286207	0.018791857082423	0.52761009643784	1.81764705882353	0.290334191923435	8.15157598996463	1	101	1
SPNCRNA.640	3	7	6	100	565	300	0.03	6.61264138653865	0.0123893805309735	2.73088434842304	0.0880775067426534	1.82748877281164	2.42142857142857	0.497637913095992	10.3253115663858	1	102	1
SPAC12G12.01c	9	472	3	100	3100	300	0.09	19.8379241596159	0.152258064516129	33.5609326284542	0.00924306747299718	0.0378958672368624	0.591101694915254	0.286535091662913	1.17477188434273	14	95	1
SPAC630.03	46	1164	68	100	1646	300	0.46	101.393834593593	0.707168894289186	155.875143254981	0.0290874282243748	0.0535218875032601	0.650481099656357	0.478779068573209	0.880970268303661	60	86	1
SPAC630.05	36	447	5	100	2562	300	0.36	79.3516966384637	0.174473067915691	38.4575943245222	0.0564582345278342	0.114372742337773	2.06335570469799	1.44645996860311	2.93022965869375	20	116	1
SPNCRNA.641	0	12	19	100	428	300	0	0	0.0280373831775701	6.18003867900808	0.00771806013949717	0.431135285113533	0	0.0330332973970479	1.84525902028592	2	98	1
SPAC630.15	11	86	2	100	2081	300	0.11	24.2463517506417	0.0413262854396925	9.10919684834733	0.0646469510360751	0.246623416986078	2.66174418604651	1.34530305106072	5.13223330748028	4	107	1
SPAC630.10	3760	124	33	100	1094	300	37.6	8287.84387112844	0.113345521023766	24.983776110018	25.2652723337695	36.41808660166	331.729032258065	276.402079331438	398.413867422161	392	3468	0
SPAC630.11	11	172	32	100	944	300	0.11	24.2463517506417	0.182203389830508	40.1615225453618	0.0329633830428568	0.120785374548385	0.603720930232558	0.311174335924568	1.14021393573675	17	94	1
SPAC630.12	18	156	23	100	1506	300	0.18	39.6758483192319	0.103585657370518	22.8324934993366	0.0685640618014069	0.191781919730847	1.73769230769231	1.03257477072919	2.88823571114656	11	107	1
SPAC1751.04	2	541	41	100	1652	300	0.02	4.40842759102576	0.327481840193705	72.1839989934909	0.000638632903175535	0.0149608071108127	0.0610720887245841	0.0105502155604598	0.247152533470625	25	77	1
SPAC1751.03	126	1981	110	100	1374	300	1.26	277.730938234623	1.44177583697234	317.798218989157	0.0528937426534001	0.0764313617985496	0.873922261484099	0.726760024057717	1.05016691111207	133	93	1
SPAC31A2.02	13	118	61	100	783	300	0.13	28.6547793416675	0.150702426564496	33.2180367650728	0.0593620062650957	0.200349009234486	0.862627118644068	0.4648045090557	1.56873274230602	14	99	1
SPAC31A2.03	45	316	39	100	898	300	0.45	99.1896207980797	0.351893095768374	77.5647616238386	0.102863986611462	0.196543193043234	1.27879746835443	0.923718599770925	1.76495787352824	37	108	1
SPAC31A2.06	24	426	4	100	4811	257	0.24	52.9011310923092	0.0885470796092288	19.517669442704	0.036480298739631	0.0862813985011362	2.71042253521127	1.75506717236365	4.15099808188966	10	114	0.497059949362958
SPAC31A2.08	6	166	20	100	777	300	0.06	13.2252827730773	0.213642213642214	47.0913114614078	0.0144652240665669	0.0843954051396023	0.280843373493976	0.112394790997225	0.65575229793471	18	88	1
SPAC31A2.10	1	165	7	100	1783	300	0.01	2.20421379551288	0.092540661805945	20.3979403398556	0.000314637904235831	0.0397083945120995	0.108060606060606	0.00560999383252486	0.708000674150734	8	93	1
SPAC31A2.12	29	719	20	100	2450	300	0.29	63.9222000698736	0.293469387755102	64.6869273050515	0.0273008859544234	0.0592119452747508	0.98817802503477	0.668871705883374	1.45069265923139	29	100	1
SPAC31A2.14	39	521	8	100	3306	300	0.39	85.9643380250024	0.157592256503327	34.7367025850639	0.0532937542253933	0.104725388265095	2.47474088291747	1.7618915146915	3.46222133604404	18	121	0.0636095573838954
SPAC31A2.16	6	285	1	100	3850	300	0.06	13.2252827730773	0.074025974025974	16.316907317433	0.00848017510086411	0.0488111012009466	0.810526315789474	0.326486741383268	1.87922739623645	7	99	1
SPAC13C5.02	137	344	65	100	1441	300	1.37	301.977289985265	0.238723108952117	52.619677005998	0.325083911971494	0.487681147379413	5.73886627906977	4.68445917150923	7.02748533373734	45	192	9.01209929453238e-30
SPAC13C5.03	16	111	96	100	2441	300	0.16	35.2674207282061	0.0454731667349447	10.0232581442823	0.0822136285927189	0.249081774227297	3.51855855855856	2.00683467394827	6.08008610888832	5	111	0.537363553198097
SPAC13C5.04	66	109	338	100	743	300	0.66	145.47811050385	0.146702557200538	32.3363800418444	0.440940731571651	0.830704639997538	4.49889908256881	3.27618963557736	6.1721354751817	21	145	7.80519102486518e-11
SPNCRNA.05	0	0	0	100	539	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13C5.07	1	1378	12	100	4610	300	0.01	2.20421379551288	0.298915401301518	65.8873451240076	3.78562177017503e-05	0.00471830072715118	0.0334542815674891	0.00174517163605069	0.21751366352167	23	78	1
SPAC23E2.01	32	1631	122	100	3301	300	0.32	70.5348414564122	0.494092699182066	108.908594379931	0.0135952259825925	0.028158308532438	0.647651747394237	0.448778409685379	0.929505764655778	43	89	1
SPAC23E2.02	11	577	9	100	3817	300	0.11	24.2463517506417	0.1511658370448	33.3201823424399	0.00996607518760344	0.0354754587964744	0.727677642980936	0.380405089910824	1.35409826226143	14	97	1
SPNCRNA.650	0	9	0	100	1924	300	0	0	0.00467775467775468	1.03107713927318	0.0103569347612096	0.590306163886248	0	0.199267424805672	11.3574905931714	0	100	1
SPRRNA.11	0	0	1	47	4	300	0	0	0	0	NA	NA	NA	NA	NA	0	47	1
SPNCRNA.651	1	21	70	100	759	300	0.01	2.20421379551288	0.0276679841897233	6.09861524450204	0.00238298221596271	0.331279590579523	0.361428571428571	0.018086835019157	2.51441209249858	2	99	1
SPAC24H6.12c	12	345	20	100	1684	300	0.12	26.4505655461546	0.204869358669834	45.1575866657924	0.0186481110057666	0.0633380957540651	0.585739130434783	0.314034189337109	1.06661353249846	19	93	1
SPAC24H6.11c	1	460	75	100	4261	300	0.01	2.20421379551288	0.107955878901666	23.7957837581771	0.00011325564469606	0.0141638428614697	0.0926304347826087	0.00482582302049912	0.603521344327224	9	92	1
SPAC24H6.10c	44	884	114	100	992	300	0.44	96.9854070025668	0.891129032258065	196.423890648527	0.0363163486380293	0.0679890340350725	0.493755656108597	0.360258178489251	0.67445121762792	67	77	1
SPNCRNA.653	0	55	0	100	1202	300	0	0	0.045757071547421	10.0858368347095	0.0016592631470071	0.0885300344192424	0	0.0199443430270253	1.06413101371929	4	96	1
SPNCRNA.551	2	25	8	100	427	300	0.02	4.40842759102576	0.0585480093676815	12.9052329948061	0.0131043842240231	0.346856126123875	0.3416	0.0559557206365787	1.48107565854894	5	97	1
SPAC24H6.02c	0	155	17	100	943	300	0	0	0.164369034994698	36.2304494490452	0.000587231169265359	0.0310797877793071	0	0.00553758992617234	0.293082398758866	14	86	1
SPAC24H6.01c	1	103	42	100	2002	300	0.01	2.20421379551288	0.0514485514485514	11.3403606862051	0.000502381202177598	0.0639453086296244	0.194368932038835	0.0100576716675955	1.28018507876508	4	97	1
SPAPB21F2.02	43	796	36	100	5340	300	0.43	94.7811932070539	0.149063670411985	32.8568198731883	0.0392394219424715	0.0741106372777473	2.88467336683417	2.09538513172798	3.9575080306317	18	125	0.00070408891209394
SPAPB21F2.03	10	197	53	100	758	300	0.1	22.0421379551288	0.259894459102902	57.2862952131976	0.0253626697426219	0.0984664529989646	0.384771573604061	0.192249036649074	0.746375713732152	22	88	1
SPNCRNA.655	26	360	9	100	2648	300	0.26	57.3095586833349	0.13595166163142	29.9666528090875	0.0474639176612868	0.109091978035856	1.91244444444444	1.25684453967088	2.88875557838946	15	111	1
SPNCRNA.656	6	18	56	100	301	300	0.06	13.2252827730773	0.0598006644518272	13.1813449565554	0.118575044140478	0.88865760334922	1.00333333333333	0.35691088286284	2.67485938608115	5	101	1
SPAC227.04	13	95	36	100	726	300	0.13	28.6547793416675	0.130853994490358	28.8430179853614	0.0731894031111317	0.250799372015756	0.993473684210526	0.531355066586816	1.82080344083439	13	100	1
SPAC227.05	17	76	73	100	247	300	0.17	37.471634523719	0.307692307692308	67.8219629388579	0.127472503525583	0.387660100135828	0.5525	0.31485708370819	0.957520447335495	27	90	1
SPAC227.06	38	457	51	100	873	300	0.38	83.7601242294895	0.52348224513173	115.386678642541	0.0588456685378993	0.117013238042157	0.725908096280087	0.513722686335861	1.02152556810803	47	91	1
SPNCRNA.657	7	59	12	100	607	300	0.07	15.4294965685902	0.0971993410214168	21.4248128394168	0.0496274982626036	0.269507574431861	0.720169491525424	0.301238914454004	1.6359109768014	9	98	1
SPAC227.09	23	167	9	100	2018	300	0.23	50.6969172967963	0.0827552031714569	18.2410160480997	0.0868071194843721	0.21666939387195	2.77928143712575	1.75176767119463	4.37238836833595	9	114	0.673030004292501
SPAC227.10	41	248	22	100	920	300	0.41	90.3727656160282	0.269565217391304	59.4179370964342	0.117095950030276	0.232604609538474	1.52096774193548	1.07728274027854	2.13996240775396	29	112	1
