WT_3MBPP1r2_pr_counts	WT_3MBPP1r2gb_counts	WT_3MBPP1r2term_counts	WT_3MBPP1r2pr_map	WT_3MBPP1r2gb_map	WT_3MBPP1r2term_map	WT_3MBPP1r2pr_density	WT_3MBPP1r2pr_densityRPKM	WT_3MBPP1r2gb_density	WT_3MBPP1r2gb_densityRPKM	WT_3MBPP1r2pause_index_CI_low	WT_3MBPP1r2pause_index_CI_high	WT_3MBPP1r2pause_index_scaled	WT_3MBPP1r2pause_index_CI_low_scaled	WT_3MBPP1r2pause_index_CI_high_scaled	WT_3MBPP1r2_ExpPR	WT_3MBPP1r2_ExpGB	WT_3MBPP1r2Fexact_Pval
SPAC1F8.08	3	291	73	100	957	300	0.03	3.49118290121023	0.304075235109718	35.3860753832176	0.00264600447397651	0.0330929102806017	0.098659793814433	0.0253222628159552	0.316699151385358	24	79	1
SPAC11D3.19	50	154	11	100	1210	300	0.5	58.1863816868372	0.127272727272727	14.8110789748313	0.232939133768077	0.451536866330483	3.92857142857143	2.81856351859373	5.46359608259885	16	134	1.65555988597153e-07
SPNCRNA.608	4	583	5	100	2549	300	0.04	4.65491053494697	0.228717143978031	26.616446075658	0.00218991200863563	0.0189463991691431	0.174888507718696	0.0558208571001222	0.482943714821457	19	85	1
SPAC11D3.05	71	2557	53	100	1753	300	0.71	82.6246619953088	1.45864232743868	169.746238417847	0.0217694430572322	0.0353581894179364	0.486754008603833	0.381618336793281	0.619829060496426	101	70	1
SPAC11D3.06	12	533	46	100	1521	300	0.12	13.9647316048409	0.35042735042735	40.7801991309457	0.0121155241238396	0.0408386929821503	0.342439024390244	0.1842771219236	0.621156520258506	29	83	1
SPAC11D3.09	1	70	30	100	1729	300	0.01	1.16372763373674	0.0404858299595142	4.71144790986536	0.000736193769851976	0.0947130282636387	0.247	0.0127287902807407	1.63758825867831	3	98	1
SPAC11D3.10	8	359	1	100	4126	300	0.08	9.30982106989395	0.0870092098885119	10.1255021936862	0.0102752000687347	0.0462288785990473	0.919442896935933	0.423954754835994	1.90740353099669	8	100	1
SPAC11D3.13	3	244	200	100	920	300	0.03	3.49118290121023	0.265217391304348	30.8640807208441	0.00315192102760419	0.0395227400318519	0.113114754098361	0.0289976734539586	0.363609208293037	21	82	1
SPNCRNA.609	93	904	5	100	4138	300	0.93	108.226669937517	0.21846302561624	25.4231459859356	0.0826019727024094	0.127991645770463	4.25701327433628	3.4180696304257	5.29629430198174	34	159	5.01571119608667e-17
SPNCRNA.147	8	4	29	100	333	300	0.08	9.30982106989395	0.012012012012012	1.39787103151561	0.548872375795938	7.87086378182642	6.66	1.82774501140047	26.209976393482	1	107	1
SPAC11D3.15	32	1380	20	100	3921	300	0.32	37.2392842795758	0.35195103289977	40.9575142707653	0.0160574901792934	0.0333019423670589	0.909217391304348	0.629614189930096	1.30576916021238	34	98	1
SPAC11D3.17	9	743	62	100	3291	300	0.09	10.4735487036307	0.225767243998785	26.2731580633972	0.00588622688673217	0.0240114274212564	0.39864064602961	0.193715726842356	0.790216076433549	20	89	1
SPNCRNA.611	31	190	76	100	1474	300	0.31	36.075556645839	0.128900949796472	15.0005597293067	0.109494037596414	0.241840435680124	2.40494736842105	1.61394211417114	3.56472802192503	14	117	0.849877199098398
SPAC5H10.01	8	24	15	100	687	300	0.08	9.30982106989395	0.0349344978165939	4.06542404798862	0.138007017162321	0.777791749782136	2.29	0.948108207905145	5.34342932100327	3	105	1
SPNCRNA.613	7	33	38	100	416	300	0.07	8.1460934361572	0.0793269230769231	9.23149324839243	0.0857037375586203	0.500641405034297	0.882424242424242	0.356527548243861	2.08266824494267	7	100	1
SPAC5H10.03	2	1306	592	100	3193	300	0.02	2.32745526747349	0.409019730660821	47.5987563313557	0.000264959706919996	0.00618521820523777	0.0488973966309342	0.00846016344195546	0.197494017293242	29	73	1
SPAC5H10.04	134	1248	19	100	2498	300	1.34	155.939502920724	0.499599679743795	58.1397953123881	0.0894718317637111	0.12877495478032	2.68214743589744	2.2350063574575	3.21679837041238	77	157	2.10643469971034e-09
SPAC5H10.07	20	54	22	100	453	300	0.2	23.2745526747349	0.119205298013245	13.8722499385837	0.214514724256723	0.634135700822583	1.67777777777778	0.971751700882954	2.8726347247263	12	108	1
SPNCRNA.614	31	263	94	100	1475	300	0.31	36.075556645839	0.178305084745763	20.7498554354416	0.079735816017804	0.173294854715044	1.73859315589354	1.17610328626261	2.5560991070469	19	112	1
SPAC5H10.10	34	389	40	100	1554	300	0.34	39.5667395470493	0.25032175032175	29.130633817477	0.0605427974974351	0.125571294560709	1.35825192802057	0.940835073110142	1.95137791747341	26	108	1
SPAC5H10.11	30	77	8	100	1565	300	0.3	34.9118290121023	0.0492012779552716	5.7256886771712	0.249877142782821	0.604795020127095	6.0974025974026	3.91057728455115	9.46504206498904	6	124	7.36967767231688e-08
SPNCRNA.616	1	12	7	100	497	300	0.01	1.16372763373674	0.0241448692152917	2.80980515187946	0.0040448521341888	0.610617545978525	0.414166666666667	0.0201029151069183	3.03476920351327	2	99	1
SPNCRNA.617	49	364	0	100	3975	300	0.49	57.0226540531004	0.0915723270440252	10.6565247466711	0.0987239936019557	0.183058933400449	5.35096153846154	3.92427874567774	7.27659260266786	12	137	1.07191657189903e-12
SPSNORNA.49	9	34	139	100	159	300	0.09	10.4735487036307	0.213836477987421	24.8847418534901	0.118264584903222	0.574331488522987	0.420882352941176	0.188040689996124	0.913187066751549	19	90	1
SPNCRNA.141	90	523	155	100	604	300	0.9	104.735487036307	0.865894039735099	100.766482192768	0.13669302613579	0.216410457680869	1.03938814531549	0.82562587786017	1.30711916439245	88	102	1
SPAC13G6.03	90	1515	77	100	3896	300	0.9	104.735487036307	0.388860369609856	45.2527557780073	0.0477362270792934	0.0738445447937034	2.31445544554455	1.85980340700927	2.87698346516268	53	137	0.000139999952667989
SPAC13G6.04	60	151	538	100	505	300	0.6	69.8236580242046	0.299009900990099	34.7966084543066	0.291311777172968	0.541152832054526	2.00662251655629	1.47112447472349	2.73282180187536	36	124	1
SPAC13G6.08	0	142	64	100	2130	300	0	0	0.0666666666666667	7.75818422491162	0.000641076103730268	0.0339433348565579	0	0.0136549210094547	0.722993032444684	6	94	1
SPAC13G6.09	37	488	9	100	1572	300	0.37	43.0579224482595	0.310432569974555	36.1258960091305	0.0534622659907303	0.107065478689122	1.19188524590164	0.840426821374281	1.683069324993	32	105	1
SPAC13G6.13	0	0	2	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	29	824	143	100	1272	300	0.29	33.7481013783656	0.647798742138365	75.3861297326318	0.0238454241983752	0.0516150773677116	0.447669902912621	0.303313795803332	0.656543784117292	50	79	1
SPAC24B11.05	115	830	73	100	1489	300	1.15	133.828677879725	0.557421087978509	64.8686323708191	0.11343460874013	0.169110331098542	2.06307228915663	1.68904132414054	2.5180528300573	76	139	0.00213770792536281
SPNCRNA.622	13	363	16	100	2388	300	0.13	15.1284592385777	0.152010050251256	17.6898296083098	0.0197095783736762	0.0637028081603979	0.855206611570248	0.470664731563387	1.5212230588703	14	99	1
SPNCRNA.142	11	354	91	100	597	300	0.11	12.8010039711042	0.592964824120603	69.0049551662994	0.0161823020492701	0.0580542629275552	0.185508474576271	0.0966083432341424	0.346583949677504	41	70	1
SPAC24B11.09	11	1980	223	100	2741	300	0.11	12.8010039711042	0.722364100693178	84.0635065596042	0.00291682504117793	0.0102915044858278	0.152277777777778	0.0799501743786869	0.282090137956539	46	65	1
SPAC24B11.14	19	73	374	100	596	300	0.19	22.1108250409981	0.12248322147651	14.2537109501313	0.15198645690719	0.441200810534868	1.55123287671233	0.905839283166854	2.62955683078782	12	107	1
SPAC24B11.13	113	2448	246	100	2075	300	1.13	131.501222612252	1.17975903614458	137.291819151207	0.0380451295575652	0.055960599954469	0.957822712418301	0.789436438319478	1.16118244905523	115	98	1
SPNCRNA.625	5	98	5	100	1669	300	0.05	5.81863816868372	0.0587177950868784	6.83315207346919	0.0183382765769131	0.129956640532681	0.851530612244898	0.30606583606868	2.16897633049045	5	100	1
SPNCRNA.627	3	133	44	100	761	300	0.03	3.49118290121023	0.174770039421813	20.3384724424424	0.00574705832046667	0.0730343367574908	0.171654135338346	0.0437351138187514	0.555791302724505	15	88	1
SPNCRNA.144	6	114	44	100	431	300	0.06	6.98236580242046	0.264501160092807	30.7807309155426	0.0209160029612185	0.123837155983529	0.226842105263158	0.0901479727628518	0.533738142289008	22	84	1
SPNCRNA.628	14	114	12	100	1566	300	0.14	16.2921868723144	0.0727969348659004	8.47158047547821	0.0675646200915473	0.219229131227485	1.92315789473684	1.05806195063363	3.43312819502242	7	107	1
SPNCRNA.145	10	36	14	100	719	300	0.1	11.6372763373674	0.0500695410292072	5.82673085042041	0.129310328709406	0.581260037056538	1.99722222222222	0.929741263420626	4.17925966643651	5	105	1
SPAC806.05	4	362	2	100	2921	300	0.04	4.65491053494697	0.1239301609038	14.4220952897193	0.00351905508375832	0.0305892925737848	0.322762430939227	0.102791598996581	0.893513236080255	11	93	1
SPAC806.07	137	173	450	100	469	300	1.37	159.430685821934	0.368869936034115	42.9264137817605	0.628998946158592	0.996835232525141	3.71404624277457	2.9500050574838	4.67515724054291	63	174	3.5231883391756e-13
SPNCRNA.630	0	1180	16	100	2184	300	0	0	0.54029304029304	62.8753941304651	7.70401844287298e-05	0.00406181012309105	0	0.00168255762792346	0.0887099330883085	35	65	1
SPNCRNA.631	30	10	4	100	863	300	0.3	34.9118290121023	0.0115874855156431	1.34846771000781	1.40845325357194	6.54997013235042	25.89	12.1549515783258	56.5262422421841	1	129	1.91511867845782e-16
SPAC1F5.11c	35	3418	108	100	11254	300	0.35	40.730467180786	0.303714234938688	35.3440647957365	0.00722786368540874	0.0144369727578474	1.15239906377999	0.813423779155899	1.62473691416815	31	104	1
SPNCRNA.633	4	44	8	100	947	300	0.04	4.65491053494697	0.0464625131995776	5.40697105432067	0.0277861948499424	0.263769882112263	0.860909090909091	0.263135265228954	2.49790078360313	4	100	1
SPAC1F5.09c	5	105	54	100	1569	300	0.05	5.81863816868372	0.0669216061185468	7.78785223341989	0.0171427500998633	0.121080201010424	0.747142857142857	0.268969749066856	1.89974835385355	6	99	1
SPAC1F5.08c	44	449	218	100	1608	300	0.44	51.2040158844167	0.279228855721393	32.4946335539675	0.0709806082604761	0.13485133633094	1.57576837416481	1.14136818082846	2.16840948820152	31	113	1
SPAC1F5.07c	66	241	81	100	1526	300	0.66	76.8060238266251	0.157929226736566	18.3786605328018	0.206588669276686	0.362476302787324	4.17908713692946	3.15254309316223	5.53138838053456	22	144	2.97689580050965e-11
SPAC1F5.05c	25	156	52	100	731	300	0.25	29.0931908434186	0.213406292749658	24.834680008609	0.102584346419224	0.248522834585799	1.17147435897436	0.749891572324527	1.81670192082219	21	104	1
SPAC1F5.04c	38	2029	89	100	5667	300	0.38	44.2216500819963	0.35803776248456	41.6658438124555	0.0133957192467897	0.0260726368348132	1.06134056185313	0.759135409715575	1.47753632942887	36	102	1
SPAC1F5.03c	38	1800	20	100	1926	300	0.38	44.2216500819963	0.934579439252336	108.759591938013	0.0150939284793174	0.0294015407890084	0.4066	0.290709062511654	0.566273675596301	66	72	1
SPNCRNA.148	2	0	8	100	18	300	0.02	2.32745526747349	0	0	0.246676758328458	19.4460633145857	NA	0.0444018164991224	3.50029139662543	0	102	1
SPNCRNA.635	1	10	6	100	506	300	0.01	1.16372763373674	0.0197628458498024	2.29985698366945	0.00478667548335045	0.750794709134687	0.506	0.0242205779457533	3.79902122822152	1	100	1
SPAC18B11.09c	4	296	62	100	960	300	0.04	4.65491053494697	0.308333333333333	35.8816020402163	0.00429812529565569	0.0374647257511827	0.12972972972973	0.0412620028382946	0.359661367211354	24	80	1
SPAC18B11.08c	151	429	417	100	553	300	1.51	175.722872694248	0.775768535262206	90.2783281868107	0.29111105819659	0.425406719875987	1.94645687645688	1.60984415182714	2.35249916091421	109	142	0.0140111844141876
SPAC18B11.07c	116	772	147	100	957	300	1.16	134.992405513462	0.806687565308255	93.876461154103	0.12299866813042	0.183427349409089	1.4379792746114	1.17709725400812	1.75539973384498	96	120	1
SPAC18B11.03c	32	554	177	100	1723	300	0.32	37.2392842795758	0.321532211259431	37.4175919379081	0.0397487886312431	0.0834847998842781	0.995234657039711	0.684871628116319	1.43844310200611	32	100	1
SPAC18B11.02c	168	585	115	100	1187	300	1.68	195.506242467773	0.492839090143218	57.3530468185337	0.240986646228744	0.342099811859719	3.40882051282051	2.8605114907352	4.06072476677486	88	180	2.11956315359028e-16
SPAC12G12.16c	77	197	56	100	1991	300	0.77	89.6070277977292	0.0989452536413862	11.5145325889572	0.297711614298956	0.512612343216339	7.78208121827411	5.92743824069221	10.2061117534373	15	162	4.08799660827893e-26
SPNCRNA.637	22	37	29	100	1253	300	0.22	25.6020079422084	0.0295291300877893	3.43638646833675	0.339437398293459	1.03632155609075	7.45027027027027	4.25315060061704	12.9851090978171	3	119	2.59310420623142e-06
SPAC12G12.14c	8	430	267	100	1844	300	0.08	9.30982106989395	0.233188720173536	27.1368157541648	0.00859041576280337	0.038539262788702	0.34306976744186	0.158407266666094	0.710664005823666	20	88	1
SPAC12G12.13c	29	1401	89	100	2129	300	0.29	33.7481013783656	0.658055425082198	76.5797282698533	0.0140638104519597	0.0302715948702523	0.440692362598144	0.299418524522223	0.644482254787671	51	78	1
SPAC12G12.11c	3	303	43	100	1362	300	0.03	3.49118290121023	0.222466960352423	25.8890949355531	0.00254183647002723	0.0317731365781753	0.134851485148515	0.0346198127217709	0.432750120194748	18	85	1
SPAC12G12.17	5	75	48	100	508	300	0.05	5.81863816868372	0.147637795275591	17.1810182146173	0.0237896750051642	0.171182288922594	0.338666666666667	0.120851549026234	0.869606027726777	13	92	1
SPAC12G12.07c	37	371	183	100	1327	300	0.37	43.0579224482595	0.279577995478523	32.5352639123083	0.0700462628752491	0.141394186795257	1.32342318059299	0.929513908354555	1.87630085877306	29	108	1
SPAC12G12.06c	75	836	394	100	1638	300	0.75	87.2795725302557	0.51037851037851	59.3941576192868	0.0703095299092532	0.114303166230218	1.4694976076555	1.15167009991357	1.87228586285097	59	116	1
SPAC12G12.05c	91	240	4	100	1251	300	0.91	105.899214670044	0.191846522781775	22.3257099997457	0.295676969913271	0.485821447528546	4.743375	3.69891889361503	6.07762630858211	30	161	4.1745430164146e-17
SPNCRNA.639	2	9	6	100	1545	300	0.02	2.32745526747349	0.0058252427184466	0.677899592468006	0.0332058119471448	1.09402338033518	3.43333333333333	0.513029794583387	16.9026612261786	0	102	1
SPNCRNA.640	4	29	9	100	565	300	0.04	4.65491053494697	0.0513274336283186	5.97311528820629	0.0411868094997137	0.411235858753941	0.779310344827586	0.232705473673382	2.32348260195977	5	99	1
SPAC12G12.01c	39	1250	28	100	3100	300	0.39	45.385377715733	0.403225806451613	46.9245013603526	0.0223711226200128	0.043336336718715	0.9672	0.693504801220397	1.34342643828017	39	100	1
SPAC630.03	20	1245	291	100	1646	300	0.2	23.2745526747349	0.756379100850547	88.0219261240732	0.0100464518523196	0.0253996116118081	0.264417670682731	0.16536459748918	0.418077607130361	51	69	1
SPAC630.05	40	840	80	100	2562	300	0.4	46.5491053494697	0.327868852459016	38.1550043848113	0.0342025785370142	0.0660412078412224	1.22	0.876270062118303	1.69197574489212	34	106	1
SPNCRNA.641	0	12	24	100	428	300	0	0	0.0280373831775701	3.2627877581404	0.00771806013949717	0.431135285113533	0	0.0330332973970479	1.84525902028592	2	98	1
SPAC630.15	2	135	12	100	2081	300	0.02	2.32745526747349	0.0648726573762614	7.54941040626912	0.00253903773066691	0.0605618847516051	0.308296296296296	0.0528373751751783	1.2602928216809	6	96	1
SPAC630.10	637	79	83	100	1094	300	6.37	741.294502690306	0.0722120658135283	8.40351764764193	6.34463460433247	10.2611094412637	88.2124050632911	69.4103025713972	112.256537287425	49	688	8.13617703318942e-294
SPAC630.11	55	191	139	100	944	300	0.55	64.0050198555209	0.202330508474576	23.5457603859871	0.210878999615097	0.392426654701224	2.71832460732984	1.99069775636652	3.70450762037955	26	129	0.00116587630905994
SPAC630.12	77	301	89	100	1506	300	0.77	89.6070277977292	0.199867197875166	23.259098124486	0.197555314675228	0.330842560792363	3.85255813953488	2.97518303900893	4.98248896553299	29	148	1.85672262567896e-11
SPAC1751.04	1	1084	141	100	1652	300	0.01	1.16372763373674	0.656174334140436	76.3608205188033	4.81149253542178e-05	0.00599968449002314	0.015239852398524	0.000794858566851678	0.0991147877751823	40	61	1
SPAC1751.03	234	1905	332	100	1374	300	2.34	272.312266294398	1.38646288209607	161.346516904548	0.106980474434258	0.141001918417449	1.68774803149606	1.46991171872671	1.93736635905575	194	140	0.0719373133799804
SPAC31A2.02	63	160	149	100	783	300	0.63	73.3148409254148	0.204342273307791	23.7798750188862	0.291030787459697	0.531956667849864	3.0830625	2.27877106580943	4.16522070926443	27	136	1.35844461169786e-05
SPAC31A2.03	97	399	35	100	898	300	0.97	112.881580472464	0.444320712694877	51.7068291604633	0.193489989007549	0.305179004670621	2.18310776942356	1.73754010128779	2.74050746194218	60	137	0.002662684394684
SPAC31A2.06	10	757	0	100	4811	257	0.1	11.6372763373674	0.157347744751611	18.3109918673605	0.00668318138609455	0.0252904933711545	0.63553500660502	0.321527856485009	1.21672563608624	14	96	1
SPAC31A2.08	33	224	92	100	777	300	0.33	38.4030119133125	0.288288288288288	33.5489047563746	0.100415606640979	0.215087747642774	1.1446875	0.780229263600407	1.67123179918436	29	104	1
SPAC31A2.10	4	210	17	100	1783	300	0.04	4.65491053494697	0.117779024116657	13.70627050391	0.00604071170962882	0.0529812825026418	0.339619047619048	0.107705889782682	0.944656267022103	10	94	1
SPAC31A2.12	23	1352	460	100	2450	300	0.23	26.7657355759451	0.551836734693878	64.2187657474317	0.0110000170491401	0.026070923260361	0.416789940828402	0.269500417703932	0.638737619878844	43	80	1
SPAC31A2.14	75	1182	127	100	3306	300	0.75	87.2795725302557	0.357531760435572	41.606958955742	0.0498780241342054	0.0805991584499318	2.09771573604061	1.64896747787683	2.66460817835475	46	129	0.0178774120533505
SPAC31A2.16	18	643	39	100	3850	300	0.18	20.9470974072614	0.167012987012987	19.4357628179929	0.0169885038004633	0.0455284415598103	1.07776049766719	0.654057396317837	1.7528450000527	16	102	1
SPAC13C5.02	281	702	218	100	1441	300	2.81	327.007465080025	0.487161693268564	56.6923524554611	0.347707738215272	0.460743203068017	5.76810541310541	5.01046850768208	6.63930955621012	124	257	4.93368852816099e-47
SPAC13C5.03	89	261	235	100	2441	300	0.89	103.57175940257	0.106923392052438	12.4429706024289	0.266099758232235	0.436574469990222	8.32371647509579	6.49549509844885	10.6567828124613	18	171	5.2375767467522e-32
SPAC13C5.04	46	383	579	100	743	300	0.46	53.5314711518902	0.515477792732167	59.9875751980044	0.0873572834317547	0.164631359543614	0.892375979112272	0.649064615897937	1.22321100140905	49	97	1
SPNCRNA.05	1	1	4	100	539	300	0.01	1.16372763373674	0.00185528756957328	0.215904941324071	0.027408528703162	36.4849938072245	5.39	0.147731969710043	196.65411662094	0	101	1
SPAC13C5.07	1	3721	79	100	4610	300	0.01	1.16372763373674	0.807158351409978	93.9312478337185	1.40251132146057e-05	0.00174618375730355	0.0123891427035743	0.000646557719193324	0.0804990712116936	45	56	1
SPAC23E2.01	54	3723	238	100	3301	300	0.54	62.8412922217841	1.12784004847016	131.249863083971	0.0109786337777147	0.019114402386226	0.478791297340854	0.362404701002361	0.630966422769319	81	73	1
SPAC23E2.02	26	897	44	100	3817	300	0.26	30.2569184771553	0.235001309929264	27.3477518329017	0.0192154034206172	0.043395774035284	1.1063768115942	0.73345194856496	1.65641669492679	23	103	1
SPNCRNA.650	0	16	5	100	1924	300	0	0	0.00831600831600832	0.967756867972344	0.00576104614150375	0.317064970660191	0	0.110842527762532	6.10033003550207	0	100	1
SPRRNA.11	1	0	0	47	4	300	0.0212765957446809	2.47601624199307	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	0	60	60	100	759	300	0	0	0.0790513833992095	9.19942793467781	0.00152047587690972	0.0810402206892091	0	0.0115404119057448	0.615095275031097	7	93	1
SPAC24H6.12c	21	358	90	100	1684	300	0.21	24.4382803084716	0.212589073634204	24.7395779618619	0.0367727673583217	0.0926223714174516	0.987821229050279	0.619253402314138	1.55976073466988	21	100	1
SPAC24H6.11c	4	1818	452	100	4261	300	0.04	4.65491053494697	0.426660408354846	49.6516507423938	0.000704000819930988	0.00605891631958766	0.0937513751375137	0.0299974749372594	0.25817042437763	31	73	1
SPAC24H6.10c	282	920	220	100	992	300	2.82	328.171192713762	0.92741935483871	107.926353128811	0.267623057785253	0.351015839920816	3.04069565217391	2.65482073322971	3.48207713201449	183	199	4.33328999353856e-17
SPNCRNA.653	1	96	14	100	1202	300	0.01	1.16372763373674	0.0798668885191348	9.2943305190289	0.000538670895318782	0.0686779297793512	0.125208333333333	0.00647482416173176	0.825508715947802	7	94	1
SPNCRNA.551	4	43	23	100	427	300	0.04	4.65491053494697	0.100702576112412	11.7190370610492	0.0284022086979824	0.270236188283737	0.397209302325581	0.121277431140385	1.15390852397156	9	95	1
SPAC24H6.02c	0	90	26	100	943	300	0	0	0.095440084835631	11.1066264089403	0.00101239357055047	0.0537536843252837	0	0.0095468713702909	0.506897243187425	8	92	1
SPAC24H6.01c	30	259	183	100	2002	300	0.3	34.9118290121023	0.129370629370629	15.0552176392516	0.0778540049986242	0.171342670545347	2.31891891891892	1.55863718007246	3.43028026431784	14	116	1
SPAPB21F2.02	142	2604	208	100	5340	300	1.42	165.249323990618	0.487640449438202	56.7480666339041	0.0458821725322944	0.0647741988834335	2.91198156682028	2.45010801322452	3.45894222037535	79	163	2.6204039631673e-12
SPAPB21F2.03	23	184	212	100	758	300	0.23	26.7657355759451	0.242744063324538	28.2487974416307	0.0789941724093792	0.19612011763429	0.9475	0.598775826863094	1.48659049166792	24	99	1
SPNCRNA.655	64	466	21	100	2648	300	0.64	74.4785685591516	0.175981873111782	20.4794968776934	0.104806733391812	0.179644773866762	3.63673819742489	2.77528230021519	4.75699361199187	24	140	2.40004086025305e-09
SPNCRNA.656	4	38	78	100	301	300	0.04	4.65491053494697	0.12624584717608	14.691578100331	0.0319431751180627	0.307974443683006	0.316842105263158	0.0961489571053686	0.927003075485848	11	93	1
SPAC227.04	11	206	169	100	726	300	0.11	12.8010039711042	0.283746556473829	33.0203708746238	0.0276136718113712	0.100501236966113	0.387669902912621	0.200475257350555	0.72963898037398	24	87	1
SPAC227.05	49	50	99	100	247	300	0.49	57.0226540531004	0.202429149797571	23.5572395493268	0.649240745811113	1.47914355678863	2.4206	1.60362464215345	3.65348458526793	25	124	0.826274625399412
SPAC227.06	82	289	100	100	873	300	0.82	95.425665966413	0.331042382588774	38.5243168556608	0.220312204714411	0.36502021042966	2.47702422145329	1.92332554715681	3.18662643705093	45	137	0.000264452486213346
SPNCRNA.657	51	120	8	100	607	300	0.51	59.3501093205739	0.197693574958814	23.0061476191778	0.302168511263837	0.596626923430991	2.57975	1.83416286337149	3.62152542522612	24	127	0.0197999780902096
SPAC227.09	34	267	27	100	2018	300	0.34	39.5667395470493	0.132309217046581	15.3971892075179	0.087608322122053	0.18422098326415	2.56973782771536	1.76793594042303	3.71757944227055	15	119	0.123770056619739
SPAC227.10	157	499	171	100	920	300	1.57	182.705238496669	0.542391304347826	63.1195749168082	0.261883107643659	0.377848258507185	2.89458917835671	2.40932459032166	3.4762039782661	90	167	5.65870076949804e-11
