mcs6as_3MBPP1_combined_pr_counts	mcs6as_3MBPP1_combinedgb_counts	mcs6as_3MBPP1_combinedterm_counts	mcs6as_3MBPP1_combinedpr_map	mcs6as_3MBPP1_combinedgb_map	mcs6as_3MBPP1_combinedterm_map	mcs6as_3MBPP1_combinedpr_density	mcs6as_3MBPP1_combinedpr_densityRPKM	mcs6as_3MBPP1_combinedgb_density	mcs6as_3MBPP1_combinedgb_densityRPKM	mcs6as_3MBPP1_combinedpause_index_CI_low	mcs6as_3MBPP1_combinedpause_index_CI_high	mcs6as_3MBPP1_combinedpause_index_scaled	mcs6as_3MBPP1_combinedpause_index_CI_low_scaled	mcs6as_3MBPP1_combinedpause_index_CI_high_scaled	mcs6as_3MBPP1_combined_ExpPR	mcs6as_3MBPP1_combined_ExpGB	mcs6as_3MBPP1_combinedFexact_Pval
SPAC12G12.11c	3	630	36	100	1362	300	0.03	2.02722139372687	0.462555066079295	31.2567175244231	0.00122629469417279	0.0152259643290225	0.0648571428571429	0.0167021337346334	0.207377634161286	32	71	1
SPAC12G12.17	11	218	61	100	508	300	0.11	7.43314511033186	0.429133858267717	28.9983112750957	0.0261176905168441	0.0948772753032395	0.256330275229358	0.132677867825568	0.481976558540457	33	78	1
SPAC12G12.07c	50	1296	262	100	1327	300	0.5	33.7870232287812	0.976639035418237	65.9954515516208	0.0287720187839673	0.0515879616753708	0.51195987654321	0.381804689263246	0.68457225143217	74	76	1
SPAC12G12.06c	96	1556	619	100	1638	300	0.96	64.8710845992599	0.94993894993895	64.1912187350226	0.0499204226516191	0.0761724855984535	1.0105912596401	0.81769652303352	1.24770531410267	95	101	1
SPAC12G12.05c	155	611	10	100	1251	300	1.55	104.739772009222	0.488409272581934	33.0037908757559	0.211829311839581	0.303673645946886	3.17356792144026	2.64998469111316	3.79895731079555	83	172	8.68370172756852e-14
SPNCRNA.639	3	50	12	100	1545	300	0.03	2.02722139372687	0.0323624595469256	2.18686234490493	0.014953507709668	0.19943882178972	0.927	0.23103169411437	3.08132979665118	3	100	1
SPNCRNA.640	10	51	18	100	565	300	0.1	6.75740464575624	0.0902654867256637	6.09960419351448	0.0935517944717714	0.399518365545125	1.1078431372549	0.528567638765509	2.25727876532996	9	101	1
SPAC12G12.01c	96	1584	49	100	3100	300	0.96	64.8710845992599	0.510967741935484	34.5281579318641	0.0490434189621454	0.0748176714287686	1.87878787878788	1.52034598782651	2.31934781429183	66	130	0.0852637639564839
SPAC630.03	40	3467	384	100	1646	300	0.4	27.029618583025	2.10631834750911	142.332453868997	0.00833542234813632	0.015906115474525	0.189904816844534	0.137201051850324	0.261814660710682	94	46	1
SPAC630.05	95	1101	54	100	2562	300	0.95	64.1953441346843	0.429742388758782	29.0394321427698	0.0695622018464411	0.106918280151872	2.21062670299728	1.78218361130582	2.73924633749095	58	137	0.00055901168561416
SPNCRNA.641	5	22	53	100	428	300	0.05	3.37870232287812	0.0514018691588785	3.4734322945476	0.0755704612119276	0.63255218317964	0.972727272727273	0.32344157398705	2.70732334400886	5	100	1
SPAC630.15	1	159	13	100	2081	300	0.01	0.675740464575624	0.0764055742431523	5.16303382352351	0.000326443802447461	0.0412203829508322	0.130880503144654	0.00679329552893167	0.857796169206819	7	94	1
SPAC630.10	1353	220	64	100	1094	300	13.53	914.276848570819	0.20109689213894	13.5889307318681	5.32061075432628	7.11063514744676	67.281	58.2074816523295	77.7903485130676	243	1210	0
SPAC630.11	45	574	107	100	944	300	0.45	30.4083209059031	0.608050847457627	41.0884562146619	0.0571646780491157	0.107173156899156	0.74006968641115	0.539634560783652	1.01171460112803	54	91	1
SPAC630.12	107	599	54	100	1506	300	1.07	72.3042297095918	0.397742363877822	26.8770609748206	0.14461367690989	0.220472418561113	2.690183639399	2.17788197426295	3.32031462353036	58	149	1.43287301500329e-07
SPAC1751.04	3	1856	101	100	1652	300	0.03	2.02722139372687	1.12348668280872	75.9185412985689	0.000417045137680278	0.0051568076740745	0.0267025862068966	0.00688958567447819	0.0851904627757107	54	49	1
SPAC1751.03	444	4885	247	100	1374	300	4.44	300.028766271577	3.55531295487627	240.246882783983	0.082373488049778	0.100277998564338	1.248835209826	1.13181172580395	1.37781970027401	424	120	1
SPAC31A2.02	107	287	195	100	783	300	1.07	72.3042297095918	0.366538952745849	24.7685202213543	0.296723446213736	0.468126129989028	2.91919860627178	2.32334458385356	3.66542759781409	55	152	3.7514215024105e-08
SPAC31A2.03	113	696	38	100	898	300	1.13	76.3586724970455	0.775055679287305	52.3736484793579	0.13239845408134	0.198943065663649	1.45795977011494	1.18893811765043	1.78650872965957	93	120	1
SPAC31A2.06	28	998	2	100	4811	257	0.28	18.9207330081175	0.207441280399085	14.017646718904	0.018897976739804	0.0413731426213828	1.34977955911824	0.909181660951972	1.99046189151473	21	107	1
SPAC31A2.08	66	448	94	100	777	300	0.66	44.5988706619912	0.576576576576577	38.9616123719279	0.112771312399825	0.192127624078101	1.1446875	0.876233097346637	1.49283163908685	60	106	1
SPAC31A2.10	3	510	15	100	1783	300	0.03	2.02722139372687	0.286034772854739	19.3285270293645	0.00151381062395766	0.018823451280607	0.104882352941176	0.0269912434251652	0.335622136333222	22	81	1
SPAC31A2.12	30	2776	402	100	2450	300	0.3	20.2722139372687	1.1330612244898	76.565531822936	0.00740672869017277	0.015671870259416	0.264769452449568	0.181464852909233	0.383960821355692	69	61	1
SPAC31A2.14	126	1922	138	100	3306	300	1.26	85.1432985365286	0.581367211131276	39.2853349338884	0.0545080615135222	0.0787911945622785	2.16730489073881	1.80203651363704	2.60483689222893	83	143	7.13407127280652e-05
SPAC31A2.16	39	979	23	100	3850	300	0.39	26.3538781184493	0.254285714285714	17.1831146706373	0.0285233159404973	0.055411885441534	1.53370786516854	1.09814766370915	2.13335758949906	28	111	1
SPAC13C5.02	985	966	179	100	1441	300	9.85	665.604357606989	0.670367800138792	45.2994648702327	0.932143773647051	1.11541298001885	14.6934265010352	13.432191778254	16.0731010420716	435	650	6.83616708546537e-190
SPAC13C5.03	65	317	357	100	2441	300	0.65	43.9231301974155	0.129864809504302	8.77549067064616	0.155562575742661	0.269821107659657	5.00520504731861	3.79728247387836	6.58633323797224	18	147	8.2334128533525e-15
SPAC13C5.04	80	546	1198	100	743	300	0.8	54.0592371660499	0.73485868102288	49.6573746511831	0.115036860327336	0.18638080835904	1.08864468864469	0.854723872232107	1.38480940610767	76	104	1
SPNCRNA.05	0	7	14	100	539	300	0	0	0.012987012987013	0.877585018929382	0.0134151780994594	0.782741335671289	0	0.0723078099560864	4.21897579926824	1	99	1
SPAC13C5.07	1	7894	58	100	4610	300	0.01	0.675740464575624	1.71236442516269	115.711393218221	6.61187721308621e-06	0.00082293175157118	0.00583987838864961	0.000304807539523274	0.0379371537474314	63	38	1
SPAC23E2.01	73	4738	286	100	3301	300	0.73	49.3290539140205	1.43532262950621	96.9905580478433	0.0121392299114573	0.0195241236123686	0.508596454200084	0.400715979377204	0.644491320444288	101	72	1
SPAC23E2.02	39	1248	48	100	3817	300	0.39	26.3538781184493	0.326958344249411	22.0938983439973	0.0224067896801568	0.0434061473735038	1.1928125	0.855267162091584	1.65681264524664	34	105	1
SPNCRNA.650	2	27	1	100	1924	300	0.02	1.35148092915125	0.014033264033264	0.948284435735023	0.0121826294901788	0.319455719400293	1.42518518518518	0.23439379139104	6.14632804126164	1	101	1
SPRRNA.11	1	0	1	47	4	300	0.0212765957446809	1.43774566930984	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	2	69	139	100	759	300	0.02	1.35148092915125	0.0909090909090909	6.14309513250567	0.00491816603671483	0.12002119225046	0.22	0.0373288802186656	0.910960849180988	8	94	1
SPAC24H6.12c	48	567	52	100	1684	300	0.48	32.4355422996299	0.336698337292162	22.7520690863645	0.0623192916651883	0.114667401532561	1.42560846560847	1.04945687164177	1.93099904180832	37	111	1
SPAC24H6.11c	6	2258	578	100	4261	300	0.06	4.05444278745374	0.529922553391223	35.8090112417686	0.00107892540699372	0.00610778968858225	0.113224092116918	0.0459730115920026	0.26025291863049	36	70	1
SPAC24H6.10c	344	1914	272	100	992	300	3.44	232.454719814015	1.92943548387097	130.379763023966	0.159963684152908	0.201907010711436	1.78290491118077	1.58683974679685	2.00291754625745	292	152	0.00261277235705307
SPNCRNA.653	4	171	19	100	1202	300	0.04	2.7029618583025	0.142262895174709	9.6132794877231	0.0074015483679653	0.0652325874622846	0.281169590643275	0.0889666113829429	0.784095701296661	12	92	1
SPNCRNA.551	15	92	24	100	427	300	0.15	10.1361069686344	0.215456674473068	14.559279330435	0.0907351568651925	0.288388112068676	0.696195652173913	0.387439119814372	1.23141723853325	20	95	1
SPAC24H6.02c	0	386	35	100	943	300	0	0	0.409331919406151	27.6602141385144	0.000235602732042767	0.0124365653897955	0	0.00222173376316329	0.117276811625772	29	71	1
SPAC24H6.01c	41	434	265	100	2002	300	0.41	27.7053590476006	0.216783216783217	14.6489191621289	0.0676416727564041	0.13145989465949	1.89129032258065	1.35418628858321	2.631827091083	25	116	1
SPAPB21F2.02	231	3581	256	100	5340	300	2.31	156.096047316969	0.67059925093633	45.3151049371781	0.0563387178117605	0.0738396427425913	3.44468025691148	3.00848753114801	3.94303692245438	132	199	6.35753341635464e-23
SPAPB21F2.03	41	544	170	100	758	300	0.41	27.7053590476006	0.717678100263852	48.4964132888047	0.0541253416798543	0.104560984828702	0.571286764705882	0.410270089933296	0.792572265001559	58	83	1
SPNCRNA.655	37	857	36	100	2648	300	0.37	25.0023971892981	0.323640483383686	21.8696970597171	0.0306090074476083	0.0606302925089204	1.143243873979	0.810526517212668	1.60549014563621	33	104	1
SPNCRNA.656	18	69	200	100	301	300	0.18	12.1633283623612	0.229235880398671	15.4903960318	0.149942778560986	0.448878837718855	0.785217391304348	0.451327763468569	1.35112530153375	22	96	1
SPAC227.04	39	348	316	100	726	300	0.39	26.3538781184493	0.479338842975207	32.3908652441208	0.0793148498948939	0.157736156732597	0.813620689655172	0.57582581023693	1.14516449787865	45	94	1
SPAC227.05	112	188	306	100	247	300	1.12	75.6829320324699	0.761133603238866	51.432877465675	0.468273255446099	0.757588342612786	1.47148936170213	1.15663494095186	1.87124320625358	91	121	1
SPAC227.06	236	787	104	100	873	300	2.36	159.474749639847	0.901489117983963	60.9172675396353	0.258569182779314	0.347698282996307	2.61789072426938	2.25730896566341	3.03540601055776	159	177	5.52564981133945e-11
