ePRO_Lsk1as_Cdk9as_3MBPP1r2_pr_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r2term_counts	ePRO_Lsk1as_Cdk9as_3MBPP1r2pr_map	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_map	ePRO_Lsk1as_Cdk9as_3MBPP1r2term_map	ePRO_Lsk1as_Cdk9as_3MBPP1r2pr_density	ePRO_Lsk1as_Cdk9as_3MBPP1r2pr_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_density	ePRO_Lsk1as_Cdk9as_3MBPP1r2gb_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_low	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_high	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r2pause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1r2_ExpPR	ePRO_Lsk1as_Cdk9as_3MBPP1r2_ExpGB	ePRO_Lsk1as_Cdk9as_3MBPP1r2Fexact_Pval
SPAC11D3.06	6	213	18	100	1521	300	0.06	14.0241767457646	0.140039447731755	32.73229943949	0.0113119909545686	0.0655285149804168	0.428450704225352	0.172055382418988	0.99668871285214	13	93	1
SPAC11D3.09	1	20	8	100	1729	300	0.01	2.33736279096076	0.0115673799884326	2.70371635738666	0.00249697159993946	0.349045314408539	0.8645	0.0431726389629532	6.03499348612364	1	100	1
SPAC11D3.10	0	72	2	100	4126	300	0	0	0.0174503150751333	4.07877171471583	0.00126627693287426	0.0673624665384445	0	0.0522465862503919	2.77937536937622	1	99	1
SPAC11D3.13	0	192	134	100	920	300	0	0	0.208695652173913	48.7797452026594	0.000473935610523783	0.0250621351571512	0	0.0043602076168188	0.230571643445791	17	83	1
SPNCRNA.609	83	304	2	100	4138	300	0.83	194.001111649743	0.0734654422426293	17.1715391119399	0.212557280802122	0.3503161315162	11.2978289473684	8.79562027959179	14.4960815221404	12	171	1.2774474708234e-39
SPNCRNA.147	7	4	9	100	333	300	0.07	16.3615395367253	0.012012012012012	2.80764299214506	0.462279710456416	7.08729012833336	5.8275	1.53939143581986	23.6006761273501	1	106	1
SPAC11D3.15	39	466	6	100	3921	300	0.39	91.1571488474698	0.118847232848763	27.7789099869349	0.0594992633162529	0.117254541050842	3.28152360515021	2.33296611463028	4.5975505546035	14	125	0.000133944151395448
SPAC11D3.17	16	357	28	100	3291	300	0.16	37.3978046553722	0.108477666362808	25.3551661006683	0.0262135443341582	0.0754487886149258	1.47495798319328	0.862687744037145	2.48301963331721	11	105	1
SPNCRNA.611	13	39	10	100	1474	300	0.13	30.3857162824899	0.0264586160108548	6.18433845640908	0.169251797594514	0.645618870434725	4.91333333333333	2.49477149654314	9.51642215020784	2	111	0.1853308982644
SPAC5H10.01	1	14	10	100	687	300	0.01	2.33736279096076	0.0203784570596798	4.76318472684872	0.00350210863509423	0.514391103811047	0.490714285714286	0.0240594863230974	3.53386688318189	2	99	1
SPNCRNA.613	0	5	9	100	416	300	0	0	0.0120192307692308	2.80933027759707	0.0190383591688732	1.16008855872718	0	0.0791995741425125	4.82596840430508	1	99	1
SPAC5H10.03	0	436	345	100	3193	300	0	0	0.136548700281867	31.9163851192889	0.00020857029018775	0.0110073883592058	0	0.00665964936569487	0.35146591030944	12	88	1
SPAC5H10.04	85	451	6	100	2498	300	0.85	198.675837231665	0.180544435548439	42.1997845765935	0.148433617626385	0.239034565666881	4.7079822616408	3.7078717683071	5.97108345035869	28	157	1.95304669416841e-17
SPAC5H10.07	4	34	14	100	453	300	0.04	9.34945116384305	0.0750551876379691	17.5431202853567	0.0354822917966518	0.346682715801129	0.532941176470588	0.160734781838833	1.57047270257911	7	97	1
SPNCRNA.614	17	92	25	100	1475	300	0.17	39.735167446333	0.0623728813559322	14.5788052046366	0.106265137791085	0.317211657553847	2.72554347826087	1.5674107824185	4.67887194891924	6	111	1
SPAC5H10.10	11	110	9	100	1554	300	0.11	25.7109907005684	0.0707850707850708	16.5450390608548	0.0509725477458415	0.191092076817022	1.554	0.792113391970376	2.96957087373652	7	104	1
SPAC5H10.11	4	36	7	100	1565	300	0.04	9.34945116384305	0.0230031948881789	5.37668118048482	0.033619825441198	0.326187217317942	1.73888888888889	0.52615026815475	5.1048299510258	2	102	1
SPNCRNA.616	4	15	10	100	497	300	0.04	9.34945116384305	0.0301810865191147	7.05441486205462	0.0749300695813891	0.855217779850123	1.32533333333333	0.372402445819504	4.25043236585511	3	101	1
SPNCRNA.617	19	165	13	100	3975	300	0.19	44.4098930282545	0.0415094339622641	9.70226064172392	0.0694483979210141	0.188758341665127	4.57727272727273	2.76057381736031	7.50314408118881	4	115	0.00345916056012957
SPSNORNA.49	4	14	48	100	159	300	0.04	9.34945116384305	0.0880503144654088	20.5805528763841	0.0795907815169477	0.92609145582224	0.454285714285714	0.126549342611947	1.47248541475736	8	96	1
SPNCRNA.141	23	246	63	100	604	300	0.23	53.7593441920976	0.407284768211921	95.1972262543622	0.0594745412612788	0.145704507675381	0.564715447154472	0.359226229218124	0.880055226359303	35	88	1
SPAC13G6.03	23	677	32	100	3896	300	0.23	53.7593441920976	0.173767967145791	40.6158780667463	0.0218868615129996	0.0522610141343718	1.32360413589365	0.852712124546465	2.03608911067512	18	105	1
SPAC13G6.04	20	146	246	100	505	300	0.2	46.7472558192153	0.289108910891089	67.5752410852023	0.0833435075283735	0.222818074711001	0.691780821917808	0.420884713018286	1.12523127729056	26	94	1
SPAC13G6.08	0	37	19	100	2130	300	0	0	0.0173708920187793	4.06020766504921	0.00247136631781596	0.132669995524611	0	0.05264010256948	2.82587090467422	1	99	1
SPAC13G6.09	11	241	8	100	1572	300	0.11	25.7109907005684	0.153307888040712	35.833615306714	0.0236608665995413	0.0856865514760382	0.717510373443983	0.371948822944789	1.34699258920332	14	97	1
SPAC13G6.13	5	2	1	100	147	300	0.05	11.6868139548038	0.0136054421768707	3.18008542987859	0.433815156497564	18.5601677038827	3.675	0.63770828005142	27.2834465247076	1	104	1
SPAC13G6.14	20	800	70	100	1272	300	0.2	46.7472558192153	0.628930817610063	147.003949117029	0.0156021570288908	0.0396129076678126	0.318	0.198459437407491	0.503876185534577	46	74	1
SPAC24B11.05	12	465	40	100	1489	300	0.12	28.0483534915292	0.312290127602418	72.993532424228	0.013873369063712	0.046859655616115	0.384258064516129	0.206574465358672	0.697740272123952	26	86	1
SPNCRNA.622	17	393	3	100	2388	300	0.17	39.735167446333	0.164572864321608	38.4666489467161	0.0257480661564856	0.071651249735613	1.03297709923664	0.614863819816876	1.71103184368644	16	101	1
SPNCRNA.142	5	105	29	100	597	300	0.05	11.6868139548038	0.175879396984925	41.109395820918	0.0171427500998633	0.121080201010424	0.284285714285714	0.102342218096184	0.722848800032231	15	90	1
SPAC24B11.09	5	692	198	100	2741	300	0.05	11.6868139548038	0.252462604888727	59.0096698775939	0.00265097241916984	0.0179904894741368	0.198049132947977	0.0726631540094452	0.493119316486089	21	84	1
SPAC24B11.14	4	6	60	100	596	300	0.04	9.34945116384305	0.0100671140939597	2.35304978955782	0.158655326760933	2.65404002692664	3.97333333333333	0.945585747495159	15.8180785604828	1	103	1
SPAC24B11.13	16	1139	44	100	2075	300	0.16	37.3978046553722	0.548915662650602	128.301504525509	0.00828252469955582	0.0234526250681133	0.291483757682177	0.171862387515783	0.48664197016335	41	75	1
SPNCRNA.625	1	32	3	100	1669	300	0.01	2.33736279096076	0.0191731575793889	4.48146251112909	0.00158636952447218	0.212316189610862	0.5215625	0.0264765073634407	3.54355720460529	1	100	1
SPNCRNA.627	2	27	14	100	761	300	0.02	4.67472558192153	0.0354796320630749	8.29287718212098	0.0121826294901788	0.319455719400293	0.563703703703704	0.0927098104202606	2.43105802463623	3	99	1
SPNCRNA.144	2	19	13	100	431	300	0.02	4.67472558192153	0.0440835266821346	10.3039194961147	0.0169524113891639	0.46686156027615	0.453684210526316	0.0730648930872964	2.01217332479021	4	98	1
SPNCRNA.628	5	40	9	100	1566	300	0.05	11.6868139548038	0.0255427841634738	5.97027532812456	0.0434451744918805	0.330636380277413	1.9575	0.680351432542848	5.17776571514429	2	103	1
SPNCRNA.145	2	16	10	100	719	300	0.02	4.67472558192153	0.0222531293463143	5.20136365165121	0.0198698862921535	0.564288735510909	0.89875	0.142864482440584	4.05723600832344	2	100	1
SPAC806.05	0	221	4	100	2921	300	0	0	0.0756590208832592	17.6842580213053	0.00041168233411395	0.0217599332280359	0	0.0120252409794685	0.635607649590927	7	93	1
SPAC806.07	33	109	147	100	469	300	0.33	77.1329721017052	0.232409381663113	54.3225040969559	0.20114348675502	0.453757985029742	1.41990825688073	0.943362952881043	2.12812494978949	25	108	1
SPNCRNA.630	3	127	0	100	2184	300	0.03	7.01208837288229	0.0581501831501832	13.5918074382792	0.00601474882142959	0.0765421850936048	0.515905511811024	0.131362114260022	1.67168132244433	5	98	1
SPNCRNA.631	0	1	4	100	863	300	0	0	0.00115874855156431	0.27084157485061	0.120791776113059	17.3080587281839	0	1.0424330278557	149.368546824227	0	100	1
SPAC1F5.11c	13	1231	35	100	11254	300	0.13	30.3857162824899	0.109383330371423	25.5668526361534	0.00585498865847335	0.0186415423814026	1.18848090982941	0.658920423624591	2.09791917960305	11	102	1
SPNCRNA.633	0	37	7	100	947	300	0	0	0.0390707497360085	9.13225166478862	0.00247136631781596	0.132669995524611	0	0.0234038390297171	1.25638485761807	3	97	1
SPAC1F5.09c	4	37	53	100	1569	300	0.04	9.34945116384305	0.0235818992989165	5.51194539614712	0.0327600561833436	0.316819953322237	1.69621621621622	0.514005281516661	4.9709050676259	2	102	1
SPAC1F5.08c	8	398	77	100	1608	300	0.08	18.6989023276861	0.247512437810945	57.8526362439294	0.0092759062758114	0.0416627016910644	0.32321608040201	0.149156572915047	0.669936243192315	21	87	1
SPAC1F5.07c	30	136	16	100	1526	300	0.3	70.1208837288229	0.0891218872870249	20.8310183204891	0.145540504202527	0.332565812385031	3.36617647058824	2.22094809413056	5.07495429699557	10	120	0.00480959249733691
SPAC1F5.05c	8	100	27	100	731	300	0.08	18.6989023276861	0.136798905608755	31.9748671814058	0.0361125037612608	0.169774913900476	0.5848	0.263982402494816	1.24105462061248	12	96	1
SPAC1F5.04c	23	1017	13	100	5667	300	0.23	53.7593441920976	0.179460031762837	41.9463200707093	0.014605610880495	0.0347018872423689	1.28162241887906	0.827699968597654	1.96655595002504	18	105	1
SPAC1F5.03c	8	937	20	100	1926	300	0.08	18.6989023276861	0.4865005192108	113.712821138642	0.00395717250705608	0.0176152135444198	0.164439701173959	0.0762151424859002	0.339269012865526	35	73	1
SPNCRNA.148	0	0	4	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	0	12	6	100	506	300	0	0	0.0237154150197628	5.54315286393857	0.00771806013949717	0.431135285113533	0	0.0390533843058556	2.18154454267448	2	98	1
SPAC18B11.09c	0	91	5	100	960	300	0	0	0.0947916666666667	22.1562514559822	0.00100124109054505	0.0531570720799907	0	0.00961191446923252	0.510307891967911	8	92	1
SPAC18B11.08c	19	160	97	100	553	300	0.19	44.4098930282545	0.289330922242315	67.6271331923548	0.0715595664855534	0.194823239596626	0.6566875	0.39572440266511	1.07737251496934	26	93	1
SPAC18B11.07c	30	600	81	100	957	300	0.3	70.1208837288229	0.626959247648903	146.54312169033	0.034016275775056	0.0730554153646361	0.4785	0.325535759167286	0.699140325039567	50	80	1
SPAC18B11.03c	22	270	90	100	1723	300	0.22	51.4219814011368	0.156703424260012	36.6272753081489	0.0514091932572619	0.127939013316005	1.40392592592593	0.885780399822623	2.20438919943476	16	106	1
SPAC18B11.02c	24	335	49	100	1187	300	0.24	56.0967069830583	0.282224094355518	65.9660096859188	0.0462422309687423	0.110077634879651	0.850388059701493	0.548895281598971	1.30662152602146	27	97	1
SPAC12G12.16c	30	134	20	100	1991	300	0.3	70.1208837288229	0.0673028628829734	15.7311207427796	0.147628577816944	0.337727056169902	4.45746268656716	2.93928498433535	6.72414568834276	8	122	1.93346119245453e-05
SPNCRNA.637	13	26	21	100	1253	300	0.13	30.3857162824899	0.0207501995211492	4.85007442657461	0.243688900566336	1.0123703967351	6.265	3.05342192409619	12.6850010710908	2	111	0.0298138478451961
SPAC12G12.14c	2	226	83	100	1844	300	0.02	4.67472558192153	0.122559652928416	28.6466372427946	0.00152313939880033	0.0359811516272245	0.163185840707965	0.028086690513878	0.66349243600602	11	91	1
SPAC12G12.13c	10	688	40	100	2129	300	0.1	23.3736279096076	0.32315641146078	75.5333771808833	0.00735017579637099	0.0278398757496712	0.309447674418605	0.156485242704738	0.5927109547105	26	84	1
SPAC12G12.11c	2	180	18	100	1362	300	0.02	4.67472558192153	0.13215859030837	30.8902571492612	0.00190930398035104	0.045269117674078	0.151333333333333	0.0260047202123812	0.616565382720943	11	91	1
SPAC12G12.17	0	48	20	100	508	300	0	0	0.094488188976378	22.0853177098655	0.0019023677648798	0.101687091822644	0	0.0096640282455894	0.516570426459034	8	92	1
SPAC12G12.07c	10	351	99	100	1327	300	0.1	23.3736279096076	0.264506405425772	61.8247430012983	0.0143401807976579	0.0548372740331083	0.378062678062678	0.19029419918492	0.727690626419346	23	87	1
SPAC12G12.06c	36	560	119	100	1638	300	0.36	84.1450604745875	0.341880341880342	79.9098390072056	0.0451890074396454	0.0910409690732725	1.053	0.740195941861392	1.4912510734202	34	102	1
SPAC12G12.05c	54	131	3	100	1251	300	0.54	126.217590711881	0.104716227018385	24.4759812642574	0.296463276670269	0.572141072345658	5.15679389312977	3.70875559114507	7.15748481504418	14	140	8.53058818323833e-12
SPNCRNA.639	1	24	1	100	1545	300	0.01	2.33736279096076	0.0155339805825243	3.63085482090992	0.00209593717773238	0.287382877405496	0.64375	0.0323822293959653	4.44006545591491	1	100	1
SPNCRNA.640	2	17	14	100	565	300	0.02	4.67472558192153	0.0300884955752212	7.03277299935097	0.018791857082423	0.52761009643784	0.664705882352941	0.10617399251569	2.9809970448738	2	100	1
SPAC12G12.01c	11	487	22	100	3100	300	0.11	25.7109907005684	0.157096774193548	36.7192154579965	0.011794621484666	0.0420808285271169	0.700205338809035	0.365633266024645	1.30450568434062	15	96	1
SPAC630.03	11	911	111	100	1646	300	0.11	25.7109907005684	0.553462940461725	129.364368321097	0.00632630893241838	0.0224167556374107	0.198748627881449	0.104131045027606	0.368979797791779	39	72	1
SPAC630.05	23	431	11	100	2562	300	0.23	53.7593441920976	0.168227946916471	39.3209743522283	0.0342360887687365	0.0824408190106994	1.36719257540603	0.877128594255029	2.11213378305412	17	106	1
SPNCRNA.641	0	10	16	100	428	300	0	0	0.0233644859813084	5.46112801626347	0.00929728784483565	0.525639636497703	0	0.0397923919758966	2.24973764421017	2	98	1
SPAC630.15	0	89	9	100	2081	300	0	0	0.0427679000480538	9.99640982198501	0.00102379729694063	0.0543638405446951	0	0.0213052217493344	1.13131152173511	4	96	1
SPAC630.10	454	86	32	100	1094	300	4.54	1061.16270709619	0.0786106032906764	18.3741499106605	4.16783483900801	6.69402174816907	57.7530232558139	45.5961131387477	73.2325979249696	40	514	1.25608897930026e-217
SPAC630.11	15	135	57	100	944	300	0.15	35.0604418644115	0.143008474576271	33.4262687266635	0.0626641093925663	0.193812680940582	1.04888888888889	0.591549192665826	1.8295917080791	14	101	1
SPAC630.12	37	254	30	100	1506	300	0.37	86.4824232655483	0.168658698539177	39.421656633734	0.101553221268563	0.208094394706303	2.19377952755906	1.52939151230455	3.13390158427693	19	118	1
SPAC1751.04	2	472	53	100	1652	300	0.02	4.67472558192153	0.285714285714286	66.7817940274504	0.00073170901355503	0.0171562908646729	0.07	0.0120878329039291	0.283421925084397	22	80	1
SPAC1751.03	85	1308	140	100	1374	300	0.85	198.675837231665	0.951965065502183	222.508772239933	0.0518481126861098	0.0813492437510579	0.892889908256881	0.712393068307149	1.11773860913954	90	95	1
SPAC31A2.02	16	84	72	100	783	300	0.16	37.3978046553722	0.10727969348659	25.0751563781231	0.107413268484264	0.333070626793294	1.49142857142857	0.841045892231788	2.60794300779149	11	105	1
SPAC31A2.03	51	270	24	100	898	300	0.51	119.205502338999	0.300668151447661	70.277054962072	0.138396934774754	0.257172150486472	1.69622222222222	1.24280447427729	2.30940591136852	34	117	1
SPAC31A2.06	5	598	1	100	4811	257	0.05	11.6868139548038	0.124298482643941	29.053064830483	0.00306602511356931	0.0208307905730678	0.402257525083612	0.14750646821382	1.00216933447029	11	94	1
SPAC31A2.08	10	129	54	100	777	300	0.1	23.3736279096076	0.166023166023166	38.805637070005	0.0383949426931728	0.151767479550191	0.602325581395349	0.298328704725953	1.17923331610498	15	95	1
SPAC31A2.10	1	166	7	100	1783	300	0.01	2.33736279096076	0.0931015143017386	21.7612015310985	0.000312752777597662	0.0394671145725028	0.107409638554217	0.00557638202456632	0.703698652827724	8	93	1
SPAC31A2.12	8	841	97	100	2450	300	0.08	18.6989023276861	0.343265306122449	80.2335553958368	0.00440726559251095	0.0196336331093308	0.233055885850178	0.107978007016518	0.481024011178605	27	81	1
SPAC31A2.14	32	882	23	100	3306	300	0.32	74.7956093107444	0.266787658802178	62.3579546771746	0.0250640743558166	0.0522316025130401	1.19945578231293	0.828618298203297	1.72677677908111	27	105	1
SPAC31A2.16	5	366	2	100	3850	300	0.05	11.6868139548038	0.0950649350649351	22.220124194588	0.00499693869843498	0.0341293399685928	0.525956284153005	0.192382139889747	1.31397958879082	9	96	1
SPAC13C5.02	222	322	39	100	1441	300	2.22	518.89453959329	0.223455933379598	52.2297584100879	0.57896572091965	0.82089658448293	9.93484472049689	8.34289603845216	11.829119782399	58	264	3.0843616904487e-67
SPAC13C5.03	14	122	49	100	2441	300	0.14	32.7230790734507	0.0499795165915608	11.682026239132	0.0632706267545989	0.204391176178688	2.80114754098361	1.54443599907976	4.98918861052177	5	109	1
SPAC13C5.04	16	126	291	100	743	300	0.16	37.3978046553722	0.169582772543742	39.6376462531704	0.0727357836913728	0.218456413602208	0.943492063492063	0.5404268728269	1.62313115306441	16	100	1
SPNCRNA.05	0	2	3	100	539	300	0	0	0.00371057513914657	0.867296026330524	0.0514242900386907	4.05388820080272	0	0.277176923308543	21.8504574023267	0	100	1
SPAC13C5.07	0	1186	42	100	4610	300	0	0	0.257266811279826	60.1325872034591	7.66503634141175e-05	0.00404124564125473	0	0.00353358175339082	0.186301424061843	20	80	1
SPAC23E2.01	13	1620	69	100	3301	300	0.13	30.3857162824899	0.490760375643744	114.708504130761	0.0044523853616999	0.0141543221446668	0.264895061728395	0.146973240789714	0.467234173995449	37	76	1
SPAC23E2.02	9	660	8	100	3817	300	0.09	21.0362651186469	0.172910662824208	40.4154949445665	0.00662289208928165	0.0270464315611725	0.5205	0.25279579104788	1.03236229268995	16	93	1
SPNCRNA.650	0	10	1	100	1924	300	0	0	0.0051975051975052	1.21484552544738	0.00929728784483565	0.525639636497703	0	0.178879818134638	10.1133066062158	0	100	1
SPRRNA.11	1	0	3	47	4	300	0.0212765957446809	4.97311232119311	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	2	33	24	100	759	300	0.02	4.67472558192153	0.0434782608695652	10.1624469172207	0.0100598497413364	0.258222095273969	0.46	0.076354259536743	1.95990570312943	4	98	1
SPAC24H6.12c	10	291	21	100	1684	300	0.1	23.3736279096076	0.172802850356295	40.3902952594764	0.0172631882113364	0.0662799262709163	0.578694158075601	0.290712089478905	1.11615395840223	16	94	1
SPAC24H6.11c	3	675	125	100	4261	300	0.03	7.01208837288229	0.158413517953532	37.0269862449781	0.00114476112693334	0.0142077098735138	0.189377777777778	0.0487782716186296	0.605390517710423	14	89	1
SPAC24H6.10c	48	673	125	100	992	300	0.48	112.193413966117	0.678427419354839	158.573100636753	0.0526049010540689	0.0964188554259408	0.707518573551263	0.521840618456364	0.956475045825333	59	89	1
SPNCRNA.653	0	31	0	100	1202	300	0	0	0.0257903494176373	6.0281403094662	0.00295316473031761	0.159112070807008	0	0.0354970400584177	1.91252709110024	2	98	1
SPNCRNA.551	0	21	2	100	427	300	0	0	0.0491803278688525	11.4952268407906	0.00437456871201282	0.238242196120647	0	0.0186794084002947	1.01729417743516	4	96	1
SPAC24H6.02c	0	64	16	100	943	300	0	0	0.0678685047720042	15.8633317732226	0.00142511423979771	0.0759029537004353	0	0.0134388272812924	0.715764853395105	6	94	1
SPAC24H6.01c	6	103	49	100	2002	300	0.06	14.0241767457646	0.0514485514485514	12.0253929804675	0.0230947330545361	0.137419822014203	1.16621359223301	0.462356555751813	2.75114483672435	5	101	1
SPAPB21F2.02	42	1388	47	100	5340	300	0.42	98.1692372203521	0.259925093632959	60.753924229467	0.0219754128172367	0.0415144914382014	1.61585014409222	1.17348704444044	2.21687384279995	29	113	1
SPAPB21F2.03	3	139	47	100	758	300	0.03	7.01208837288229	0.183377308707124	42.8619298078557	0.00550218025351207	0.0698338752009312	0.163597122302158	0.0417065263216215	0.529340774023059	15	88	1
SPNCRNA.655	24	166	5	100	2648	300	0.24	56.0967069830583	0.0626888217522659	14.6526519372918	0.0919410968325162	0.225564997646988	3.82843373493976	2.43460024412503	5.97296113769224	7	117	0.00401099719690362
SPNCRNA.656	2	15	41	100	301	300	0.02	4.67472558192153	0.0498338870431894	11.6479873303693	0.0210791526483131	0.606412790019809	0.401333333333333	0.0634482494714225	1.82530249795962	4	98	1
SPAC227.04	8	122	56	100	726	300	0.08	18.6989023276861	0.168044077134986	39.2779973136657	0.0297562345042046	0.138377858759285	0.476065573770492	0.216030262500525	1.00462325459241	15	93	1
SPAC227.05	16	20	61	100	247	300	0.16	37.3978046553722	0.0809716599190283	18.9260145017066	0.395388246040124	1.61178196691357	1.976	0.976608967719105	3.98110145827652	8	108	1
SPAC227.06	52	270	79	100	873	300	0.52	121.54286512996	0.309278350515464	72.2895708544566	0.141482412963627	0.261545974752967	1.68133333333333	1.23514146517246	2.2832963595934	35	117	1
SPNCRNA.657	8	82	10	100	607	300	0.08	18.6989023276861	0.135090609555189	31.5755764182508	0.0437613595620258	0.208459715870641	0.59219512195122	0.265631452541497	1.26535047533479	12	96	1
