Isk1as_3MBPP1_combined_pr_counts	Isk1as_3MBPP1_combinedgb_counts	Isk1as_3MBPP1_combinedterm_counts	Isk1as_3MBPP1_combinedpr_map	Isk1as_3MBPP1_combinedgb_map	Isk1as_3MBPP1_combinedterm_map	Isk1as_3MBPP1_combinedpr_density	Isk1as_3MBPP1_combinedpr_densityRPKM	Isk1as_3MBPP1_combinedgb_density	Isk1as_3MBPP1_combinedgb_densityRPKM	Isk1as_3MBPP1_combinedpause_index_CI_low	Isk1as_3MBPP1_combinedpause_index_CI_high	Isk1as_3MBPP1_combinedpause_index_scaled	Isk1as_3MBPP1_combinedpause_index_CI_low_scaled	Isk1as_3MBPP1_combinedpause_index_CI_high_scaled	Isk1as_3MBPP1_combined_ExpPR	Isk1as_3MBPP1_combined_ExpGB	Isk1as_3MBPP1_combinedFexact_Pval
SPNCRNA.611	25	41	15	100	1474	300	0.25	33.1357295148956	0.0278154681139756	3.68674331101959	0.360115147450487	1.02831251906303	8.98780487804878	5.30809727342017	15.157326530989	3	122	5.61022249867649e-09
SPAC5H10.01	25	42	23	100	687	300	0.25	33.1357295148956	0.0611353711790393	8.10306049272555	0.352388389295087	1.0012842070686	4.08928571428571	2.42090823445725	6.87882250256128	7	118	0.0083095462149886
SPNCRNA.613	6	15	11	100	416	300	0.06	7.95257508357494	0.0360576923076923	4.77919175695609	0.138886946259937	1.09706997565187	1.664	0.577769696441338	4.56381109871176	3	103	1
SPAC5H10.03	0	1325	341	100	3193	300	0	0	0.414970247416223	55.001367500453	6.86079577586936e-05	0.00361700626993439	0	0.00219065209123509	0.115491010199005	29	71	1
SPAC5H10.04	80	682	37	100	2498	300	0.8	106.034334447666	0.273018414731785	36.1866573725521	0.0923882717118879	0.148739513539093	2.93020527859238	2.30785902736296	3.71551304820655	38	142	1.47008309523164e-07
SPAC5H10.07	8	70	37	100	453	300	0.08	10.6034334447666	0.154525386313466	20.481245616271	0.0509574273341032	0.24577803618711	0.517714285714286	0.230837145823488	1.11337450392761	14	94	1
SPNCRNA.614	26	302	115	100	1475	300	0.26	34.4611586954914	0.204745762711864	27.1376008501653	0.0564240132754793	0.130409924721752	1.26986754966887	0.83225419581332	1.92354638964584	21	105	1
SPAC5H10.10	49	485	55	100	1554	300	0.49	64.9460298491953	0.312097812097812	41.3663547354552	0.0744437432573581	0.136734346477534	1.5700206185567	1.15685577021934	2.12485174426088	35	114	1
SPAC5H10.11	23	112	9	100	1565	300	0.23	30.4848711537039	0.0715654952076677	9.48549956720333	0.127671503272253	0.327675062225543	3.21383928571429	1.99805902621076	5.12811472382974	8	115	0.121006394228953
SPNCRNA.616	3	5	4	100	497	300	0.03	3.97628754178747	0.0100603621730382	1.33342975915073	0.114091922497598	2.86178388725642	2.982	0.567036854813063	14.2230659196644	1	102	1
SPNCRNA.617	41	246	8	100	3975	300	0.41	54.3425964044287	0.0618867924528302	8.20265606104585	0.11802403880252	0.234544043888682	6.625	4.69145554240016	9.3231257445751	8	133	2.62805190998293e-13
SPSNORNA.49	13	30	58	100	159	300	0.13	17.2305793477457	0.188679245283019	25.008097747091	0.214619376149096	0.862160498872797	0.689	0.341244808077063	1.37083519320775	17	96	1
SPNCRNA.141	74	475	106	100	604	300	0.74	98.0817593640909	0.786423841059603	104.234910725665	0.120981555310108	0.200325111473577	0.940968421052632	0.730728594073054	1.2099636733004	76	98	1
SPAC13G6.03	74	1133	36	100	3896	300	0.74	98.0817593640909	0.290811088295688	38.5449502467933	0.0512445033295739	0.0831181719474854	2.54460723742277	1.9964858497202	3.23828397907403	39	135	4.60138279347885e-05
SPAC13G6.04	91	318	436	100	505	300	0.91	120.61405543422	0.62970297029703	83.4626691939548	0.22509890101814	0.363453524345881	1.44512578616352	1.1367494501416	1.8354402979467	73	118	1
SPAC13G6.08	2	56	48	100	2130	300	0.02	2.65085836119165	0.0262910798122066	3.48469643724723	0.00603134616359581	0.148785962361529	0.760714285714286	0.128467673284591	3.16914099830056	2	100	1
SPAC13G6.09	34	265	10	100	1572	300	0.34	45.064592140258	0.168575063613232	22.3434308433774	0.088255193696684	0.185642040341603	2.01690566037736	1.38737164491187	2.91829287417001	19	115	1
SPAC13G6.13	6	4	6	100	147	300	0.06	7.95257508357494	0.0272108843537415	3.60661001522673	0.376784068761011	6.3029714817381	2.205	0.553872581078685	9.26536807815501	2	104	1
SPAC13G6.14	81	1230	162	100	1272	300	0.81	107.359763628262	0.966981132075472	128.166500953841	0.0522390428323028	0.082906503316686	0.837658536585366	0.664480624826892	1.05457072218825	88	93	1
SPAC24B11.05	164	844	89	100	1489	300	1.64	217.370385617715	0.566823371390195	75.1284236684268	0.163785115336013	0.230434064123286	2.89331753554502	2.43876036735324	3.43116321479573	95	169	3.66536582635182e-12
SPNCRNA.622	67	477	6	100	2388	300	0.67	88.8037550999201	0.199748743718593	26.475281371198	0.107829832233594	0.182660053044247	3.35421383647799	2.57497639373822	4.36192206669663	27	140	2.1864993951224e-08
SPNCRNA.142	50	377	94	100	597	300	0.5	66.2714590297911	0.631490787269682	83.6996316724665	0.0976072152361546	0.179735277465388	0.791777188328913	0.582715074959843	1.07301960646837	58	92	1
SPAC24B11.09	50	2298	222	100	2741	300	0.5	66.2714590297911	0.838380153228749	111.121351952178	0.0162659981036916	0.0290226415686719	0.59638816362054	0.445851008022186	0.795510605397298	68	82	1
SPAC24B11.14	14	56	369	100	596	300	0.14	18.5560085283415	0.0939597315436242	12.4536969988869	0.133065846679274	0.462114551247996	1.49	0.793072446208476	2.75420272543806	9	105	1
SPAC24B11.13	186	2366	210	100	2075	300	1.86	246.529827590823	1.14024096385542	151.130864640468	0.067514525669372	0.091503132843419	1.63123415046492	1.40092640763947	1.89869000650095	152	134	0.40607608469491
SPNCRNA.625	6	53	5	100	1669	300	0.06	7.95257508357494	0.0317555422408628	4.20897223316828	0.0438667414769213	0.273879853612026	1.88943396226415	0.732135915249817	4.57105475678472	3	103	1
SPNCRNA.627	8	590	62	100	761	300	0.08	10.6034334447666	0.775295663600526	102.759949612554	0.00627266970115208	0.0280315050818813	0.103186440677966	0.0477350164257673	0.213319753673117	47	61	1
SPNCRNA.144	25	568	56	100	431	300	0.25	33.1357295148956	1.31786542923434	174.673729600563	0.0288387107272075	0.0666457133248858	0.189700704225352	0.124294843234264	0.287243024430258	71	54	1
SPNCRNA.628	24	150	32	100	1566	300	0.24	31.8103003342998	0.0957854406130268	12.6956818064734	0.101434597656314	0.250419307001826	2.5056	1.58846579929787	3.92156634764859	10	114	1
SPNCRNA.145	18	43	29	100	719	300	0.18	23.8577252507248	0.0598052851182197	7.92676700495416	0.23258576855966	0.746492022057669	3.00976744186047	1.67229167594395	5.36727763859464	6	112	1
SPAC806.05	7	251	5	100	2921	300	0.07	9.27800426417076	0.0859294762067785	11.3893435237779	0.0120844539863167	0.0609727038589671	0.814621513944223	0.352986900940312	1.78101267972043	8	99	1
SPAC806.07	167	284	171	100	469	300	1.67	221.346673159502	0.605543710021322	80.2605303388515	0.483505870998468	0.714973663523045	2.75785211267606	2.26764253498282	3.35322648192308	100	167	1.25283495203694e-08
SPNCRNA.630	1	581	6	100	2184	300	0.01	1.32542918059582	0.266025641025641	35.2598147402094	8.97055426451192e-05	0.0112067617866549	0.0375903614457831	0.0019591690513694	0.244755677420543	21	80	1
SPNCRNA.631	7	5	2	100	863	300	0.07	9.27800426417076	0.00579374275782155	0.76791957160824	0.40054612467788	5.06088099943021	12.082	3.4567130559701	43.6754030250827	0	107	0.521511877994762
SPAC1F5.11c	38	2694	71	100	11254	300	0.38	50.3663088626413	0.23938155322552	31.7283295941456	0.0100968822718701	0.0196213182747945	1.58742390497402	1.13630313087626	2.20818315864537	26	112	1
SPNCRNA.633	6	62	8	100	947	300	0.06	7.95257508357494	0.0654699049630412	8.67757224888501	0.037753824816887	0.232375224760094	0.916451612903226	0.35752872101592	2.20059337847809	6	100	1
SPAC1F5.09c	12	70	41	100	1569	300	0.12	15.9051501671499	0.0446144040790312	5.91332330412413	0.0883090447797623	0.325566310931445	2.68971428571429	1.38556891259447	5.10813541851437	4	108	1
SPAC1F5.08c	22	419	127	100	1608	300	0.22	29.1594419731081	0.260572139303483	34.5369917083116	0.0333371875262906	0.0819111797706962	0.844295942720764	0.536061975422753	1.31713177071279	25	97	1
SPAC1F5.07c	65	211	42	100	1526	300	0.65	86.1528967387285	0.13826998689384	18.3267075429698	0.230974349938094	0.410240158539043	4.70094786729858	3.52466858005532	6.26026481930579	20	145	5.4877564930403e-13
SPAC1F5.05c	52	159	30	100	731	300	0.52	68.9223173909828	0.217510259917921	28.8294445574194	0.236144403552094	0.451990764468316	2.39069182389937	1.72621558996581	3.30405248826339	27	125	0.0552757626190843
SPAC1F5.04c	71	1444	60	100	5667	300	0.71	94.1054718223034	0.254808540674078	33.7730675274461	0.0384499843828468	0.0627735437930444	2.78640581717452	2.17896061497593	3.55737672675183	34	137	2.71796109226816e-06
SPAC1F5.03c	109	1552	31	100	1926	300	1.09	144.471780684945	0.805815160955348	106.805092849674	0.057544749728462	0.0856439546134545	1.3526675257732	1.10831187977018	1.64950256585513	93	116	1
SPNCRNA.148	1	1	7	100	18	300	0.01	1.32542918059582	0.0555555555555556	7.36349544775457	0.027408528703162	36.4849938072245	0.18	0.00493353516656916	6.56729888530041	5	96	1
SPNCRNA.635	2	12	3	100	506	300	0.02	2.65085836119165	0.0237154150197628	3.14331030971341	0.0257876390551737	0.780923056209107	0.843333333333333	0.130485453619179	3.95147066441808	2	100	1
SPAC18B11.09c	20	197	66	100	960	300	0.2	26.5085836119165	0.205208333333333	27.1989113101434	0.0622580569350184	0.163790465398914	0.974619289340101	0.597677346576177	1.57238846782957	20	100	1
SPAC18B11.08c	106	262	234	100	553	300	1.06	140.495493143157	0.47377938517179	62.7961022271439	0.320781177544063	0.509939582260963	2.23732824427481	1.77391991181867	2.81996588990313	66	140	0.00187264807074781
SPAC18B11.07c	522	795	93	100	957	300	5.22	691.87403227102	0.830721003134796	110.106185848869	0.587054728468798	0.734365359970686	6.28369811320755	5.6181137514464	7.02787649491947	282	340	2.56359394962792e-63
SPAC18B11.03c	52	525	158	100	1723	300	0.52	68.9223173909828	0.3047011027278	40.3859732915152	0.0736828583259959	0.132806850288357	1.70659047619048	1.26955564895691	2.28826203046839	35	117	1
SPAC18B11.02c	86	437	33	100	1187	300	0.86	113.986909531241	0.3681550126369	48.7963396731571	0.155082416005797	0.249454612677055	2.33597254004577	1.84082827798881	2.96102625247665	50	136	0.000562137262685117
SPAC12G12.16c	15	240	42	100	1991	300	0.15	19.8814377089373	0.12054244098443	15.9770468781013	0.0357016865961606	0.107580943011328	1.244375	0.710820580129558	2.14193657535554	12	103	1
SPNCRNA.637	9	66	31	100	1253	300	0.09	11.9288626253624	0.0526735833998404	6.98151044846962	0.0634999065664601	0.282862170224527	1.70863636363636	0.795653829277745	3.54426299291332	5	104	1
SPAC12G12.14c	2	309	220	100	1844	300	0.02	2.65085836119165	0.167570498915401	22.2102829069474	0.00111590488103827	0.0262596032753725	0.119352750809062	0.0205772860063458	0.484227084397869	14	88	1
SPAC12G12.13c	70	915	70	100	2129	300	0.7	92.7800426417076	0.42977923907938	56.9641944690079	0.0595222170533867	0.098166096841479	1.62874316939891	1.2672280010666	2.08995620175509	51	119	1
SPAC12G12.11c	4	232	32	100	1362	300	0.04	5.30171672238329	0.170337738619677	22.5770609323224	0.0054730736156454	0.0479058025450732	0.234827586206897	0.0745432626450904	0.652477030663897	15	89	1
SPAC12G12.17	12	78	31	100	508	300	0.12	15.9051501671499	0.153543307086614	20.3510779697784	0.0796487143555159	0.290632333080766	0.781538461538462	0.404615468926021	1.47641225205029	14	98	1
SPAC12G12.07c	76	370	141	100	1327	300	0.76	100.732617725283	0.278824415975885	36.9562017197027	0.159202551681596	0.264666829897708	2.72572972972973	2.11261786081478	3.51212883274258	38	138	1.21717037707505e-05
SPAC12G12.06c	89	709	261	100	1638	300	0.89	117.963197073028	0.432844932844933	57.3705304665713	0.10005203806703	0.157318815841808	2.05616361071932	1.63885238353795	2.57688220348881	57	132	0.0144258495981135
SPAC12G12.05c	124	322	5	100	1251	300	1.24	164.353218393882	0.257394084732214	34.115763081683	0.311331800552921	0.476080348248989	4.81751552795031	3.89476082491705	5.95576515659485	45	179	3.37750145748741e-22
SPNCRNA.639	1	16	1	100	1545	300	0.01	1.32542918059582	0.0103559870550162	1.3726127436591	0.00308778638028139	0.444289421552728	0.965625	0.0477062995753474	6.86427156298965	1	100	1
SPNCRNA.640	5	19	8	100	565	300	0.05	6.62714590297911	0.0336283185840708	4.45719547457002	0.0862005679327238	0.745398693468459	1.48684210526316	0.48703320881989	4.2115026180968	3	102	1
SPAC12G12.01c	16	820	47	100	3100	300	0.16	21.2068668895332	0.264516129032258	35.0597396157605	0.0114881058222993	0.0326245823239898	0.604878048780488	0.356131280491278	1.01136205204368	24	92	1
SPAC630.03	65	1150	127	100	1646	300	0.65	86.1528967387285	0.698663426488457	92.6028892882865	0.0436555136133947	0.0730440364754342	0.930347826086957	0.718569754076477	1.20230484038565	67	98	1
SPAC630.05	100	749	25	100	2562	300	1	132.542918059582	0.292349726775956	38.7488858808068	0.107744369656124	0.165287725679287	3.42056074766355	2.76041075058989	4.23467153190334	45	155	2.00693669420011e-12
SPNCRNA.641	4	30	37	100	428	300	0.04	5.30171672238329	0.0700934579439252	9.29039145277446	0.0399036842115003	0.396477875317764	0.570666666666667	0.170787768425221	1.69692530636003	6	98	1
SPAC630.15	9	123	18	100	2081	300	0.09	11.9288626253624	0.059106198942816	7.83410808329102	0.0348080002911037	0.148353371271937	1.52268292682927	0.724354486057868	3.08723365616901	6	103	1
SPAC630.10	5665	133	61	100	1094	300	56.65	7508.55630807534	0.121572212065814	16.1135357421613	35.7468870075414	50.7852473601229	465.978195488722	391.070943862503	555.590606119745	624	5141	0
SPAC630.11	23	296	95	100	944	300	0.23	30.4848711537039	0.313559322033898	41.5600675271572	0.0495930062299374	0.120679307441044	0.733513513513513	0.468157978810609	1.13921266224345	29	94	1
SPAC630.12	64	386	67	100	1506	300	0.64	84.8274675581327	0.256308100929615	33.9718236195211	0.126095692489466	0.217629132923052	2.49699481865285	1.89900112889135	3.27749474182117	33	131	0.00102207658514986
SPAC1751.04	1	1065	118	100	1652	300	0.01	1.32542918059582	0.644673123486683	85.4468569815104	4.89725845101037e-05	0.00610686557536577	0.0155117370892019	0.000809027096106913	0.100885419305043	39	62	1
SPAC1751.03	405	2014	185	100	1374	300	4.05	536.798818141308	1.46579330422125	194.280521813682	0.180466149202745	0.224052127677552	2.76300893743793	2.47960489004571	3.07847623428957	300	205	5.12416202340318e-17
SPAC31A2.02	46	171	169	100	783	300	0.46	60.9697423074078	0.218390804597701	28.9461545187594	0.191613091023541	0.376653338021354	2.10631578947368	1.50033050271432	2.9491956367072	26	120	1
SPAC31A2.03	122	411	45	100	898	300	1.22	161.70236003269	0.457683741648107	60.6627386664681	0.241250964764021	0.365013290202677	2.66559610705596	2.16643366358091	3.27781934602004	69	153	1.48458884654892e-07
SPAC31A2.06	117	943	2	100	4811	257	1.17	155.075214129711	0.196009145707753	25.9796241384714	0.101888007747818	0.150975533537429	5.96910922587487	4.90183205274752	7.26343291848571	35	182	5.47401480970562e-31
SPAC31A2.08	31	199	61	100	777	300	0.31	41.0883045984705	0.256113256113256	33.9459983189921	0.104676927461729	0.230598612259601	1.21040201005025	0.813339726377631	1.7917512172571	26	105	1
SPAC31A2.10	6	216	17	100	1783	300	0.06	7.95257508357494	0.121144139091419	16.0567977009926	0.0111567560828216	0.0646065792881209	0.495277777777778	0.198924960956709	1.1519353087072	11	95	1
SPAC31A2.12	49	1365	130	100	2450	300	0.49	64.9460298491953	0.557142857142857	73.8453400617673	0.0266989463300507	0.0481262594734566	0.879487179487179	0.654124185086243	1.17909335709969	53	96	1
SPAC31A2.14	122	1115	47	100	3306	300	1.22	161.70236003269	0.337265577737447	44.7021638343721	0.0903453081504187	0.13242260587509	3.61732735426009	2.98681588745284	4.37789135023047	55	167	3.31103219208827e-16
SPAC31A2.16	25	614	12	100	3850	300	0.25	33.1357295148956	0.159480519480519	21.1380134256061	0.0266962861243858	0.0616099445550917	1.56758957654723	1.02780701578885	2.37198286537103	17	108	1
SPAC13C5.02	357	535	95	100	1441	300	3.57	473.178217472709	0.371269951422623	49.2092027493938	0.582316708559698	0.764613740299147	9.61564485981308	8.39118377034525	11.0180839977107	123	334	4.97209963101279e-87
SPAC13C5.03	34	318	284	100	2441	300	0.34	45.064592140258	0.130274477673085	17.2669594194786	0.0738132358618745	0.154130965974614	2.60987421383648	1.80178108738836	3.76233687944033	15	119	0.0837941720085766
SPAC13C5.04	191	171	593	100	743	300	1.91	253.156973493802	0.230148048452221	30.5044939275755	0.904043205098782	1.38010890174682	8.29900584795322	6.71704101388395	10.2542091399789	54	237	2.91910917808238e-45
SPNCRNA.05	1	1	2	100	539	300	0.01	1.32542918059582	0.00185528756957328	0.245905228310913	0.027408528703162	36.4849938072245	5.39	0.147731969710043	196.65411662094	0	101	1
SPAC13C5.07	0	3045	57	100	4610	300	0	0	0.660520607375271	87.5473287400061	2.98512094735306e-05	0.00157329496181796	0	0.00137614075672976	0.0725288977398082	39	61	1
SPAC23E2.01	90	3666	431	100	3301	300	0.9	119.288626253624	1.11057255377158	147.198526993768	0.0198002664329269	0.0304036806154306	0.810392798690671	0.653606794950916	1.00362549711537	99	91	1
SPAC23E2.02	51	847	39	100	3817	300	0.51	67.596888210387	0.221902017291066	29.4115408950658	0.0449018595252938	0.0805281823895027	2.29831168831169	1.71390397808046	3.07376072180732	27	124	0.0331003647227459
SPNCRNA.650	0	17	3	100	1924	300	0	0	0.00883575883575884	1.17111725936221	0.00541762860743838	0.297388981119444	0	0.104235174407114	5.72176399673809	0	100	1
SPRRNA.11	2	0	0	47	4	300	0.0425531914893617	5.64012417274818	0	0	0.246676758328458	19.4460633145857	NA	0.0209937666662517	1.65498411187964	0	49	1
SPNCRNA.651	1	68	101	100	759	300	0.01	1.32542918059582	0.0895915678524374	11.8747278366951	0.000757562010617742	0.0975577263096236	0.111617647058824	0.00574989566058867	0.740463142690043	8	93	1
SPAC24H6.12c	32	495	53	100	1684	300	0.32	42.4137337790663	0.293942992874109	38.9600620187014	0.0444315522057132	0.0935531516196995	1.08864646464646	0.74822733914421	1.57543507327574	29	103	1
SPAC24H6.11c	4	1179	303	100	4261	300	0.04	5.30171672238329	0.276695611358836	36.6740437437802	0.00108487253164383	0.00934940231118698	0.144563189143342	0.0462264185733437	0.398378032479677	22	82	1
SPAC24H6.10c	206	971	121	100	992	300	2.06	273.038411202739	0.97883064516129	129.737069995821	0.182000824919179	0.24722687092917	2.10455200823893	1.80544818319825	2.45249055961737	151	155	2.04421090211625e-05
SPNCRNA.653	2	115	3	100	1202	300	0.02	2.65085836119165	0.0956738768718802	12.6808948226722	0.00297516225977818	0.0712606126986887	0.20904347826087	0.0357614503625337	0.856552564638238	8	94	1
SPNCRNA.551	4	60	19	100	427	300	0.04	5.30171672238329	0.140515222482436	18.6242976196134	0.0206281308405525	0.190713393890283	0.284666666666667	0.088082118689159	0.81434619191151	12	92	1
SPAC24H6.02c	2	117	14	100	943	300	0.02	2.65085836119165	0.12407211028632	16.4448795471592	0.00292492154773235	0.0700236140004911	0.161196581196581	0.027582010195116	0.660322680024631	11	91	1
SPAC24H6.01c	27	290	109	100	2002	300	0.27	35.7865878760872	0.144855144855145	19.1995235950444	0.0614453605669169	0.140110961258748	1.86393103448276	1.23013611854968	2.80502144440013	16	111	1
SPAPB21F2.02	91	2059	120	100	5340	300	0.91	120.61405543422	0.385580524344569	51.105967843573	0.0356150568148637	0.0547831652470312	2.36007770762506	1.90184403391372	2.92542102419147	53	138	5.15525729556654e-05
SPAPB21F2.03	34	220	82	100	758	300	0.34	45.064592140258	0.29023746701847	38.4689208088497	0.1058401125827	0.224621360278764	1.17145454545455	0.802268053376866	1.70262991091303	30	104	1
SPNCRNA.655	27	369	24	100	2648	300	0.27	35.7865878760872	0.139350453172205	18.4699156963693	0.0484776805485518	0.109679525022381	1.93756097560976	1.28368898092565	2.90431382259265	15	112	1
SPNCRNA.656	17	39	135	100	301	300	0.17	22.532296070129	0.129568106312292	17.1733348980854	0.236967066181348	0.794009939261028	1.31205128205128	0.713270869205857	2.38996991717569	13	104	1
SPAC227.04	36	251	96	100	726	300	0.36	47.7154505014496	0.345730027548209	45.8240667120594	0.0995067048693657	0.205847257324759	1.04127490039841	0.722418677351595	1.49445108817775	34	102	1
SPAC227.05	52	52	170	100	247	300	0.52	68.9223173909828	0.210526315789474	27.90377222307	0.669448161423808	1.49376763971263	2.47	1.6535369587168	3.68960607009019	26	126	0.431172787832769
SPAC227.06	137	344	127	100	873	300	1.37	181.583797741628	0.394043528064147	52.2276790521149	0.325083911971494	0.487681147379413	3.47677325581395	2.83798255151114	4.25745641662227	66	171	5.23781447707686e-14
