ePRO_Lsk1as_Cdk9as_3MBPP1_combined_pr_counts	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_counts	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedterm_counts	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpr_map	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_map	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedterm_map	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpr_density	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpr_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_density	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedgb_densityRPKM	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_low	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_high	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	ePRO_Lsk1as_Cdk9as_3MBPP1_combined_ExpPR	ePRO_Lsk1as_Cdk9as_3MBPP1_combined_ExpGB	ePRO_Lsk1as_Cdk9as_3MBPP1_combinedFexact_Pval
SPAC11D3.09	1	38	11	100	1729	300	0.01	1.39003624797524	0.021978021978022	3.0550247208247	0.0013417190345932	0.177523570277566	0.455	0.0231983221081164	3.06938253009912	2	99	1
SPAC11D3.10	0	139	4	100	4126	300	0	0	0.0336888027144935	4.68286569240325	0.000654934454020204	0.0346807157130145	0	0.0270225955728736	1.43092633031898	3	97	1
SPAC11D3.13	0	309	234	100	920	300	0	0	0.335869565217391	46.6870870243857	0.000294355059708387	0.0155447430120645	0	0.00270806654931716	0.143011635710993	25	75	1
SPNCRNA.609	154	547	8	100	4138	300	1.54	214.065582188187	0.132189463508942	18.3748145877829	0.234470150600213	0.337904985001294	11.6499451553931	9.7023748318368	13.9825082793535	29	225	5.66968342440814e-67
SPNCRNA.147	9	10	18	100	333	300	0.09	12.5103262317771	0.03003003003003	4.17428302695267	0.33711075098798	2.3903856313557	2.997	1.12257880078997	7.95998415241448	3	106	1
SPAC11D3.15	42	870	8	100	3921	300	0.42	58.38152241496	0.221882172915073	30.8424263131461	0.0349602785442551	0.0664229198543957	1.89289655172414	1.37079252172024	2.60444268749085	25	117	1
SPAC11D3.17	24	583	44	100	3291	300	0.24	33.3608699514057	0.177149802491644	24.6244646785039	0.0267412570990871	0.0628411950393257	1.35478559176672	0.880054771130956	2.06810372874421	18	106	1
SPNCRNA.611	21	81	25	100	1474	300	0.21	29.19076120748	0.0549525101763908	7.63859810624113	0.155697228198494	0.42793894438216	3.82148148148148	2.2949771436458	6.30782004019304	6	115	0.0306343509432342
SPAC5H10.01	5	18	17	100	687	300	0.05	6.95018123987619	0.0262008733624454	3.6420163702408	0.090442291502021	0.792422818262202	1.90833333333333	0.621338542618884	5.44394476146132	2	103	1
SPNCRNA.613	0	12	16	100	416	300	0	0	0.0288461538461538	4.00971994608242	0.00771806013949717	0.431135285113533	0	0.0321071301803082	1.7935227860723	2	98	1
SPAC5H10.03	0	768	537	100	3193	300	0	0	0.240526150955215	33.4340068413712	0.000118380994448103	0.00624337305104838	0	0.00377990515272792	0.199350901519975	19	81	1
SPAC5H10.04	142	737	12	100	2498	300	1.42	197.385147212484	0.295036028823058	41.0110774522718	0.160316561738765	0.231439385204884	4.81297150610583	4.00470771223436	5.781355842418	55	187	1.22565656968725e-26
SPAC5H10.07	7	50	16	100	453	300	0.07	9.73025373582667	0.11037527593819	15.3425634434353	0.0580900547711172	0.320842054033737	0.6342	0.263147948113161	1.45341450477283	10	97	1
SPNCRNA.614	26	167	44	100	1475	300	0.26	36.1409424473562	0.113220338983051	15.7380375194485	0.100662920075704	0.239129530634103	2.29640718562874	1.48477807111664	3.52716057685302	12	114	1
SPAC5H10.10	12	197	15	100	1554	300	0.12	16.6804349757029	0.126769626769627	17.6214376352073	0.0324026186465648	0.111835625255255	0.946598984771574	0.503536693767617	1.73792561646667	12	100	1
SPAC5H10.11	15	56	10	100	1565	300	0.15	20.8505437196286	0.0357827476038339	4.97393162214782	0.145240410288305	0.486920341080925	4.19196428571429	2.27301242101197	7.62030333791648	3	112	0.216862873509503
SPNCRNA.616	5	24	12	100	497	300	0.05	6.95018123987619	0.0482897384305835	6.7124486823754	0.0698308803258869	0.574457008750159	1.03541666666667	0.347059475219658	2.85505133348829	4	101	1
SPNCRNA.617	33	265	17	100	3975	300	0.33	45.8711961831829	0.0666666666666667	9.26690831983492	0.0852108672971033	0.181088832936942	4.95	3.38713197505986	7.19828110924345	8	125	1.4600771962116e-07
SPSNORNA.49	9	19	70	100	159	300	0.09	12.5103262317771	0.119496855345912	16.6104960449871	0.198774750790078	1.10201789708992	0.753157894736842	0.316051853756224	1.75220845637297	11	98	1
SPNCRNA.141	29	377	116	100	604	300	0.29	40.3110511912819	0.624172185430464	86.7621962726267	0.0517078878687451	0.113726697286806	0.464615384615385	0.31231564272722	0.68690925161231	49	80	1
SPAC13G6.03	29	1048	53	100	3896	300	0.29	40.3110511912819	0.268993839835729	37.3911187853709	0.0187757505390845	0.0405233133236611	1.07809160305344	0.731503241002731	1.57878828708984	27	102	1
SPAC13G6.04	36	207	520	100	505	300	0.36	50.0413049271086	0.40990099009901	56.9777234318563	0.120064367711413	0.250860399277554	0.878260869565217	0.606325056942638	1.26684501635165	39	97	1
SPAC13G6.08	0	65	29	100	2130	300	0	0	0.0305164319248826	4.24189465344556	0.00140311402199916	0.074718813971507	0	0.0298863286685822	1.5915107375931	2	98	1
SPAC13G6.09	18	393	10	100	1572	300	0.18	25.0206524635543	0.25	34.750906199381	0.0276744436608826	0.0748258033682502	0.72	0.435042254349074	1.17626162894889	23	95	1
SPAC13G6.13	7	2	3	100	147	300	0.07	9.73025373582667	0.0136054421768707	1.89120577955815	0.671987337533149	24.3386630014342	5.145	0.987821386173728	35.7778346121082	1	106	1
SPAC13G6.14	35	1382	109	100	1272	300	0.35	48.6512686791333	1.08647798742138	151.024378514291	0.017829024276426	0.0358016434349268	0.322141823444284	0.226785188796139	0.455396904492269	70	65	1
SPAC24B11.05	18	737	61	100	1489	300	0.18	25.0206524635543	0.494963062458026	68.8016598225487	0.0148347589904408	0.0396856528863352	0.363663500678426	0.220889561367664	0.590919371477531	39	79	1
SPNCRNA.622	22	608	7	100	2388	300	0.22	30.5807974554552	0.254606365159129	35.3912076536409	0.0230567792110577	0.0562414127645272	0.864078947368421	0.550595887560057	1.34304493681691	24	98	1
SPNCRNA.142	6	163	43	100	597	300	0.06	8.34021748785143	0.273031825795645	37.9524134706807	0.0147272633368594	0.0859753514657976	0.219754601226994	0.0879217621210508	0.513272848250812	22	84	1
SPAC24B11.09	6	1081	333	100	2741	300	0.06	8.34021748785143	0.394381612550164	54.8204736979654	0.00225082727042432	0.0127754015386383	0.15213691026827	0.0616951754823306	0.350173756174075	29	77	1
SPAC24B11.14	5	10	117	100	596	300	0.05	6.95018123987619	0.0167785234899329	2.33227558385107	0.149264175161072	1.58487800229192	2.98	0.889614483959989	9.44587289365983	1	104	1
SPAC24B11.13	26	2050	78	100	2075	300	0.26	36.1409424473562	0.987951807228916	137.328882330084	0.0084359163204203	0.0189240383192853	0.263170731707317	0.175045263648721	0.392673795125169	62	64	1
SPNCRNA.625	1	56	4	100	1669	300	0.01	1.39003624797524	0.0335530257639305	4.66399220411104	0.000917313851770373	0.11900199898102	0.298035714285714	0.0153099681860475	1.98614336299322	3	98	1
SPNCRNA.627	3	44	18	100	761	300	0.03	4.17010874392572	0.0578186596583443	8.03700327344422	0.0169120754400022	0.227932083585079	0.518863636363636	0.128700894098417	1.73456315608245	5	98	1
SPNCRNA.144	4	31	18	100	431	300	0.04	5.56014499190095	0.0719257540603248	9.99794053068037	0.0386981194862039	0.382738982869067	0.556129032258064	0.166788894985539	1.64960501616568	6	98	1
SPNCRNA.628	6	64	14	100	1566	300	0.06	8.34021748785143	0.0408684546615581	5.68086333782984	0.0366198682201537	0.22480233952159	1.468125	0.573467136327606	3.5204046369081	4	102	1
SPNCRNA.145	3	23	13	100	719	300	0.03	4.17010874392572	0.0319888734353268	4.44656936069965	0.0312294740718594	0.455248489725081	0.937826086956522	0.224539918576669	3.27323664112333	3	100	1
SPAC806.05	1	341	8	100	2921	300	0.01	1.39003624797524	0.116740842177337	16.2274002245654	0.00015267420717228	0.0191275009351397	0.0856598240469208	0.0044596135915023	0.558714302315429	10	91	1
SPAC806.07	46	178	209	100	469	300	0.46	63.941667406861	0.37953091684435	52.7561731640922	0.18434367782785	0.361309358978839	1.21202247191011	0.864571849012619	1.69454089361076	40	106	1
SPNCRNA.630	3	221	1	100	2184	300	0.03	4.17010874392572	0.101190476190476	14.0658429854637	0.00347727629466796	0.0436753917885814	0.296470588235294	0.0759437142755483	0.953870556662618	9	94	1
SPNCRNA.631	0	5	9	100	863	300	0	0	0.00579374275782155	0.805351244481598	0.0190383591688732	1.16008855872718	0	0.164301039627376	10.0115642618156	0	100	1
SPAC1F5.11c	17	2090	43	100	11254	300	0.17	23.6306162155791	0.185711746934423	25.8146059913653	0.00488496558651615	0.0133500536290019	0.915397129186603	0.549754027106527	1.50241503540788	18	99	1
SPNCRNA.633	0	49	9	100	947	300	0	0	0.0517423442449842	7.1923734055741	0.00186336651256467	0.0995730739938508	0	0.0176460808739874	0.942957010721767	4	96	1
SPAC1F5.09c	5	87	76	100	1569	300	0.05	6.95018123987619	0.0554493307839388	7.70765797156442	0.020595364687552	0.146875213149307	0.901724137931034	0.323141271947691	2.30447209431262	5	100	1
SPAC1F5.08c	16	678	133	100	1608	300	0.16	22.2405799676038	0.421641791044776	58.609737321344	0.0138792798490502	0.0395011263999633	0.379469026548673	0.223178819972727	0.635178112511409	34	82	1
SPAC1F5.07c	48	228	31	100	1526	300	0.48	66.7217399028114	0.149410222804718	20.7685625516615	0.152271025313268	0.29030329614049	3.21263157894737	2.32365584628046	4.43002829910388	19	129	3.84180459063261e-05
SPAC1F5.05c	25	172	42	100	731	300	0.25	34.750906199381	0.235294117647059	32.7067352464762	0.0933137393570013	0.224728807426007	1.0625	0.682123434699679	1.64276758228411	23	102	1
SPAC1F5.04c	38	1739	25	100	5667	300	0.38	52.8213774230591	0.306864302099876	42.6552503128452	0.015621451799513	0.0304366989876046	1.23833237492812	0.885267673478402	1.72484773162755	32	106	1
SPAC1F5.03c	13	1743	45	100	1926	300	0.13	18.0704712236781	0.904984423676013	125.796115276264	0.00413887878129489	0.0131532073231342	0.143648881239243	0.0797148053277396	0.253330773043564	53	60	1
SPNCRNA.148	0	0	5	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	2	18	7	100	506	300	0.02	2.78007249595048	0.0355731225296443	4.94479297698701	0.017824798022405	0.495388811964686	0.562222222222222	0.0901934779933693	2.50666738854131	3	99	1
SPAC18B11.09c	2	153	11	100	960	300	0.02	2.78007249595048	0.159375	22.1537027021054	0.00224310582080674	0.0533525777857075	0.125490196078431	0.0215338158797447	0.512184746742792	14	88	1
SPAC18B11.08c	41	312	208	100	553	300	0.41	56.9914861669848	0.564195298372514	78.4251915674999	0.0935568167177595	0.183925156963983	0.726698717948718	0.51736919644921	1.01710611801082	50	91	1
SPAC18B11.07c	62	975	141	100	957	300	0.62	86.1822473744648	1.01880877742947	141.61811303823	0.048757871483753	0.0827687085560809	0.608553846153846	0.466612830099516	0.792096540881694	81	81	1
SPAC18B11.03c	33	448	149	100	1723	300	0.33	45.8711961831829	0.260011607661056	36.1425559543184	0.0508511010959169	0.106157325369791	1.26917410714286	0.876164471882648	1.8290907161215	27	106	1
SPAC18B11.02c	40	608	79	100	1187	300	0.4	55.6014499190095	0.512215669755687	71.1998347741318	0.0471161795003542	0.0915109083115722	0.780921052631579	0.559269050669204	1.08623448165836	47	93	1
SPAC12G12.16c	48	228	35	100	1991	300	0.48	66.7217399028114	0.114515318935208	15.9180444268385	0.152271025313268	0.29030329614049	4.19157894736842	3.03171611398716	5.77993862615716	15	133	1.5919945599511e-08
SPNCRNA.637	20	63	43	100	1253	300	0.2	27.8007249595048	0.0502793296089385	6.98900906803193	0.185858231311051	0.53744747752254	3.97777777777778	2.32880363832748	6.73421689335743	5	115	0.0368902160839106
SPAC12G12.14c	7	383	143	100	1844	300	0.07	9.73025373582667	0.207700650759219	28.871143328336	0.00795003999963611	0.0397942558979324	0.337023498694517	0.14659873759329	0.733806078757873	18	89	1
SPAC12G12.13c	17	1339	60	100	2129	300	0.17	23.6306162155791	0.628933771723814	87.4240740271886	0.00761588937643971	0.0208626697659832	0.270298730395818	0.162142284824401	0.444166239317782	45	72	1
SPAC12G12.11c	7	291	27	100	1362	300	0.07	9.73025373582667	0.213656387665198	29.6990123466075	0.0104393076347274	0.052505283061353	0.327628865979381	0.142183369984987	0.715121955295628	18	89	1
SPAC12G12.17	2	79	28	100	508	300	0.02	2.78007249595048	0.155511811023622	21.616705431111	0.00430672637634489	0.104481113335973	0.128607594936709	0.0218781699918321	0.530764055746741	13	89	1
SPAC12G12.07c	20	578	182	100	1327	300	0.2	27.8007249595048	0.435568952524491	60.5456632501649	0.0215464703559218	0.0549534077254017	0.45916955017301	0.285921661623083	0.729231720516081	36	84	1
SPAC12G12.06c	66	999	189	100	1638	300	0.66	91.7423923663657	0.60989010989011	84.7769360028854	0.0510708268585514	0.085309936346433	1.08216216216216	0.836540143943072	1.39737675735457	62	104	1
SPAC12G12.05c	79	194	4	100	1251	300	0.79	109.812863590044	0.155075939248601	21.5561176744362	0.310780076762893	0.533040738475923	5.09427835051546	3.88785876030379	6.6683396383338	24	155	1.60707878819374e-16
SPNCRNA.639	2	36	2	100	1545	300	0.02	2.78007249595048	0.0233009708737864	3.23891941275784	0.00925365154988372	0.235628337171256	0.858333333333333	0.142968916445703	3.64045780929591	2	100	1
SPNCRNA.640	5	36	20	100	565	300	0.05	6.95018123987619	0.063716814159292	8.85686812869178	0.047976302371859	0.369952422653469	0.784722222222222	0.271066108401003	2.0902311879921	6	99	1
SPAC12G12.01c	17	876	31	100	3100	300	0.17	23.6306162155791	0.28258064516129	39.2797339750422	0.0116212825746665	0.0319456055829326	0.601598173515982	0.360259759814661	0.990313773070909	25	92	1
SPAC630.03	20	1612	247	100	1646	300	0.2	27.8007249595048	0.979343863912515	136.132347007053	0.00776586044586868	0.019599708686788	0.204218362282878	0.127826062938999	0.322611204984531	59	61	1
SPAC630.05	41	722	23	100	2562	300	0.41	56.9914861669848	0.281811085089774	39.172762335602	0.0409009476964649	0.0785493505387009	1.45487534626039	1.04788227998343	2.01243436080152	30	111	1
SPNCRNA.641	0	14	30	100	428	300	0	0	0.0327102803738318	4.54684754010592	0.0065974714867639	0.365411596620526	0	0.0282371779633495	1.56396163353585	3	97	1
SPAC630.15	1	123	12	100	2081	300	0.01	1.39003624797524	0.059106198942816	8.21597590105499	0.000421290135410667	0.0534261867289411	0.169186991869919	0.00876704771789599	1.11179894582926	5	96	1
SPAC630.10	1142	122	58	100	1094	300	11.42	1587.42139518772	0.111517367458867	15.5013183046599	7.73621002607399	11.3340991312741	102.405573770492	84.6341376852495	123.995044496139	124	1118	0
SPAC630.11	31	209	104	100	944	300	0.31	43.0911236872324	0.221398305084746	30.7751669308077	0.0997987702791469	0.219272058631478	1.40019138755981	0.942100391435146	2.06992823348115	23	108	1
SPAC630.12	66	396	46	100	1506	300	0.66	91.7423923663657	0.262948207171315	36.550753930823	0.127288385182526	0.217859242056475	2.51	1.91696308084884	3.28096018537052	34	132	0.000643478750154351
SPAC1751.04	2	783	82	100	1652	300	0.02	2.78007249595048	0.473970944309927	65.8836793077852	0.000441613686597187	0.0103261852690189	0.0421966794380587	0.00729545810258552	0.170588580644193	32	70	1
SPAC1751.03	161	2420	283	100	1374	300	1.61	223.795835924013	1.76128093158661	244.824433777298	0.0565279440285432	0.078262452686192	0.914107438016529	0.776693950952184	1.07532609990828	166	95	1
SPAC31A2.02	38	135	121	100	783	300	0.38	52.8213774230591	0.172413793103448	23.9661422064696	0.193140733982796	0.40879154189734	2.204	1.51229194708529	3.20083777305617	20	118	1
SPAC31A2.03	82	483	34	100	898	300	0.82	113.98297233397	0.537861915367483	74.7647558766192	0.133373293294153	0.215842862580942	1.52455486542443	1.19769217378149	1.93826890597686	63	119	1
SPAC31A2.06	6	956	4	100	4811	257	0.06	8.34021748785143	0.198711286634795	27.6215891304163	0.00254432612943775	0.0144507645719474	0.301945606694561	0.12240753008725	0.69522628355639	17	89	1
SPAC31A2.08	16	220	92	100	777	300	0.16	22.2405799676038	0.283140283140283	39.3575256826966	0.0422327003332959	0.123347235512835	0.565090909090909	0.328148081589709	0.958408019934729	25	91	1
SPAC31A2.10	1	291	9	100	1783	300	0.01	1.39003624797524	0.163208076275939	22.6865141985863	0.000178825518043588	0.022430257590166	0.0612714776632302	0.00318845898671718	0.39993149283266	14	87	1
SPAC31A2.12	9	1399	170	100	2450	300	0.09	12.5103262317771	0.571020408163265	79.3739065680554	0.00313244192227332	0.0127252520423501	0.157612580414582	0.0767448270956964	0.311768675037578	39	70	1
SPAC31A2.14	57	1414	41	100	3306	300	0.57	79.2320661345886	0.427707199032063	59.4528510174527	0.0306408897303804	0.0529122736573019	1.3326874115983	1.01298781448638	1.7492797671104	47	110	1
SPAC31A2.16	9	646	5	100	3850	300	0.09	12.5103262317771	0.167792207792208	23.3237250958962	0.00676571475413769	0.0276356265654685	0.536377708978328	0.260480018034301	1.06397162277054	15	94	1
SPAC13C5.02	336	536	73	100	1441	300	3.36	467.05217931968	0.371963913948647	51.7043323327361	0.545660575741582	0.720100318523619	9.03313432835821	7.8629688964362	10.3766455899253	118	318	5.38654077564972e-80
SPAC13C5.03	21	198	133	100	2441	300	0.21	29.19076120748	0.0811142974190905	11.275181364158	0.0657942202611785	0.169285184107493	2.58893939393939	1.60603691657537	4.13225134406391	9	112	1
SPAC13C5.04	38	244	580	100	743	300	0.38	52.8213774230591	0.328398384925976	45.6485658823632	0.10894256828776	0.221763919106616	1.15713114754098	0.80944328237806	1.64770591896216	34	104	1
SPNCRNA.05	0	2	4	100	539	300	0	0	0.00371057513914657	0.515783394424949	0.0514242900386907	4.05388820080272	0	0.277176923308543	21.8504574023267	0	100	1
SPAC13C5.07	0	1940	111	100	4610	300	0	0	0.420824295010846	58.4961024093701	4.68560365972017e-05	0.00246984269535685	0	0.002160063287131	0.113859748255951	29	71	1
SPAC23E2.01	19	2837	129	100	3301	300	0.19	26.4106887115295	0.85943653438352	119.464793562731	0.00414363021073	0.0106932212385508	0.221075079309129	0.136781233256197	0.352983233084563	55	64	1
SPAC23E2.02	14	1025	11	100	3817	300	0.14	19.4605074716533	0.26853549908305	37.327407759356	0.00774327201247368	0.0236331703371728	0.521346341463415	0.29556069271612	0.902078111769887	24	90	1
SPNCRNA.650	0	15	2	100	1924	300	0	0	0.0077962577962578	1.08370809353579	0.00615095181701504	0.339527058120729	0	0.118344312959369	6.53250059824283	0	100	1
SPRRNA.11	2	0	5	47	4	300	0.0425531914893617	5.91504786372442	0	0	0.246676758328458	19.4460633145857	NA	0.0209937666662517	1.65498411187964	0	49	1
SPNCRNA.651	2	43	44	100	759	300	0.02	2.78007249595048	0.0566534914361001	7.87504066705339	0.00779588264304348	0.195667063440159	0.353023255813953	0.0591707492607	1.48511301151081	5	97	1
SPAC24H6.12c	20	471	25	100	1684	300	0.2	27.8007249595048	0.279691211401425	38.8780922088086	0.0263931858183952	0.0675637547917835	0.715074309978769	0.444461249181776	1.13777363069363	26	94	1
SPAC24H6.11c	7	1086	227	100	4261	300	0.07	9.73025373582667	0.254869748885238	35.4278189462828	0.00281710355225656	0.0139629601786498	0.274650092081031	0.120036782361652	0.594961733212269	21	86	1
SPAC24H6.10c	85	1019	205	100	992	300	0.85	118.153081077895	1.02721774193548	142.78698958536	0.0664211590995927	0.104629248152482	0.82747791952895	0.658897898267959	1.03792214167262	93	92	1
SPNCRNA.653	0	46	0	100	1202	300	0	0	0.0382695507487521	5.31960627344933	0.00198548220405956	0.106196341353302	0	0.0238654960927959	1.27648002306669	3	97	1
SPNCRNA.551	1	27	4	100	427	300	0.01	1.39003624797524	0.063231850117096	8.78945636893008	0.00187061064467936	0.253746874604382	0.158148148148148	0.00798750745278085	1.08349915456071	6	95	1
SPAC24H6.02c	0	83	22	100	943	300	0	0	0.088016967126193	12.2346774742253	0.00109800574614357	0.0583369154812046	0	0.0103541941861339	0.550117112987759	8	92	1
SPAC24H6.01c	8	162	84	100	2002	300	0.08	11.1202899838019	0.0809190809190809	11.2480455630364	0.0225425186486181	0.103550023111564	0.988641975308642	0.451301223345334	2.07307146269351	8	100	1
SPAPB21F2.02	67	2330	88	100	5340	300	0.67	93.132428614341	0.436329588014981	60.6513943404926	0.02237551683752	0.0368876996946797	1.5355364806867	1.19485259912357	1.96980316369589	50	117	1
SPAPB21F2.03	6	250	82	100	758	300	0.06	8.34021748785143	0.329815303430079	45.8455226904762	0.00965512174966633	0.0557215205811188	0.18192	0.0731858228624708	0.42236912600488	26	80	1
SPNCRNA.655	43	289	7	100	2648	300	0.43	59.7715586629353	0.109138972809668	15.1707128272222	0.106540079746789	0.207114698481167	3.93993079584775	2.82118131169498	5.4843972157813	14	129	4.47712798047277e-07
SPNCRNA.656	3	26	70	100	301	300	0.03	4.17010874392572	0.0863787375415282	12.0069576237064	0.0278597747971146	0.39856526485022	0.347307692307692	0.0838579221393149	1.19968144719916	8	95	1
SPAC227.04	12	239	88	100	726	300	0.12	16.6804349757029	0.329201101928375	45.7601464553832	0.0267940859137404	0.0918741966162544	0.364518828451883	0.194525063733756	0.667006667434007	27	85	1
SPAC227.05	25	38	95	100	247	300	0.25	34.750906199381	0.153846153846154	21.3851730457729	0.385486003514535	1.11879586244475	1.625	0.952150428680902	2.76342578023853	16	109	1
