Cdk9as_3MBPP1_18C_combined_pr_counts	Cdk9as_3MBPP1_18C_combinedgb_counts	Cdk9as_3MBPP1_18C_combinedterm_counts	Cdk9as_3MBPP1_18C_combinedpr_map	Cdk9as_3MBPP1_18C_combinedgb_map	Cdk9as_3MBPP1_18C_combinedterm_map	Cdk9as_3MBPP1_18C_combinedpr_density	Cdk9as_3MBPP1_18C_combinedpr_densityRPKM	Cdk9as_3MBPP1_18C_combinedgb_density	Cdk9as_3MBPP1_18C_combinedgb_densityRPKM	Cdk9as_3MBPP1_18C_combinedpause_index_CI_low	Cdk9as_3MBPP1_18C_combinedpause_index_CI_high	Cdk9as_3MBPP1_18C_combinedpause_index_scaled	Cdk9as_3MBPP1_18C_combinedpause_index_CI_low_scaled	Cdk9as_3MBPP1_18C_combinedpause_index_CI_high_scaled	Cdk9as_3MBPP1_18C_combined_ExpPR	Cdk9as_3MBPP1_18C_combined_ExpGB	Cdk9as_3MBPP1_18C_combinedFexact_Pval
SPAC977.10	0	920	21	100	2712	300	0	0	0.339233038348083	44.1758520372998	9.88176702127146e-05	0.00521084346711572	0	0.00267993521616882	0.141318074828178	25	75	1
SPNCRNA.19	2	8	7	100	225	300	0.02	2.60445458098167	0.0355555555555556	4.63014147730075	0.0367281083767776	1.26151517249186	0.5625	0.0826382438477497	2.83840913810668	3	99	1
SPAC977.11	14	49	0	100	105	0	0.14	18.2311820668717	0.466666666666667	60.7706068895724	0.150717422098163	0.533184421373039	0.3	0.158253293203071	0.559843642441691	36	78	1
SPAC977.12	0	69	29	0	377	300	NA	NA	0.183023872679045	23.8338681813973	0.00132151069990568	0.0703300097572749	NA	NA	NA	0	0	1
SPAC977.15	8	35	3	100	712	300	0.08	10.4178183239267	0.0491573033707865	6.40139819763754	0.09795681106216	0.513268899062203	1.62742857142857	0.697452494762579	3.65447456132288	5	103	1
SPAC977.17	95	1895	36	100	3396	300	0.95	123.71159259663	0.558009422850412	72.6655098786848	0.0405647192446947	0.0618903942237986	1.70248021108179	1.37757786554983	2.1017977878402	69	126	1
SPNCRNA.137	3	5	10	100	155	300	0.03	3.90668187147251	0.032258064516129	4.20073319513173	0.114091922497598	2.86178388725642	0.93	0.176842479871277	4.43576502524744	3	100	1
SPAC1F8.01	0	9	1	100	1598	300	0	0	0.00563204005006258	0.733419625432887	0.0103569347612096	0.590306163886248	0	0.165503817484129	9.43309249890224	0	100	1
SPNCRNA.139	0	1	17	100	685	300	0	0	0.00145985401459854	0.190106173794283	0.120791776113059	17.3080587281839	0	0.827423666374453	118.56020228806	0	100	1
SPNCRNA.605	0	308	27	100	2889	300	0	0	0.106611284181378	13.8832123735264	0.00029531144817397	0.0155953615902028	0	0.00853154773774601	0.450549996340958	9	91	1
SPAC1F8.05	0	104	51	100	977	300	0	0	0.106448311156602	13.8619895814787	0.000875817578746582	0.0464543008536173	0	0.0085567377443541	0.453858519339841	9	91	1
SPAC1F8.06	12	549	51	100	1314	300	0.12	15.62672748589	0.417808219178082	54.4081265205076	0.0117647785377524	0.0396402466484316	0.287213114754098	0.154589189986067	0.520872840960391	33	79	1
SPAC1F8.08	4	189	25	100	957	300	0.04	5.20890916196335	0.197492163009404	25.7179684328911	0.00670445668115039	0.0589420538271481	0.202539682539683	0.0641616504386093	0.564075455125808	17	87	1
SPAC11D3.19	88	460	3	100	1210	300	0.88	114.596001563194	0.380165289256198	49.5061614566764	0.151260833377855	0.241689363327581	2.31478260869565	1.83025608387205	2.92444129626373	51	137	0.000585574082471004
SPNCRNA.608	0	559	10	100	2549	300	0	0	0.219301686936053	28.5580641578806	0.000162659111399727	0.00858144248919399	0	0.00414618074957904	0.218740969049555	17	83	1
SPAC11D3.05	98	2058	11	100	1753	300	0.98	127.618274468102	1.17398745008557	152.879849619518	0.0386707237468201	0.0585790554488077	0.834761904761905	0.677897787281756	1.0268908420176	106	92	1
SPAC11D3.06	10	1006	25	100	1521	300	0.1	13.0222729049084	0.661406969099277	86.1302205281908	0.00503451865153368	0.0190088071639688	0.151192842942346	0.0765750286898272	0.289123956963965	43	67	1
SPAC11D3.09	1	269	38	100	1729	300	0.01	1.30222729049084	0.155581260844419	20.2602163760576	0.000193401590187762	0.0242745102415946	0.064275092936803	0.0033439134943464	0.419706282077171	13	88	1
SPAC11D3.10	8	344	1	100	4126	300	0.08	10.4178183239267	0.0833737275811924	10.8571543366177	0.0107193535197459	0.0482633168172477	0.95953488372093	0.442280526224716	1.99134445187964	8	100	1
SPAC11D3.13	0	164	40	100	920	300	0	0	0.178260869565217	23.2136169174453	0.000554961309371332	0.029364742413766	0	0.00510564404621626	0.270155630206647	15	85	1
SPNCRNA.609	28	256	8	100	4138	300	0.28	36.4623641337434	0.0618656355727405	8.05631189863833	0.0725320210770737	0.163879326984169	4.5259375	3.00137503216931	6.78132655060493	7	121	1.81777971713674e-05
SPNCRNA.147	4	8	15	100	333	300	0.04	5.20890916196335	0.024024024024024	3.12847397114916	0.127050858421533	1.82191715979488	1.665	0.423079358543704	6.06698414211694	2	102	1
SPAC11D3.15	148	3173	19	100	3921	300	1.48	192.729638992644	0.80923233868911	105.380443578868	0.0394128272424527	0.0551710155772273	1.82889379136464	1.54537695617657	2.16325552078308	110	138	0.0156970507451016
SPAC11D3.17	35	1780	68	100	3291	300	0.35	45.5779551671793	0.54086903676694	70.4334420259401	0.0138562259049409	0.0277686925517402	0.647106741573034	0.456008394531606	0.91386767187777	47	88	1
SPNCRNA.611	39	272	23	100	1474	300	0.39	50.7868643291426	0.184531886024423	24.0302457946749	0.100977914027862	0.202822609329799	2.11345588235294	1.48841445277069	2.98960526152124	21	118	1
SPAC5H10.01	8	73	12	100	687	300	0.08	10.4178183239267	0.106259097525473	13.8373496660598	0.0489452278447411	0.235251333153775	0.752876712328767	0.336253715293372	1.61617665876644	10	98	1
SPNCRNA.613	1	48	21	100	416	300	0.01	1.30222729049084	0.115384615384615	15.0256995056635	0.00106736907725647	0.139432529750916	0.0866666666666667	0.00444025536138692	0.58003932376381	10	91	1
SPAC5H10.03	1	2825	504	100	3193	300	0.01	1.30222729049084	0.884747886000626	115.214284235409	1.84720069922183e-05	0.00230029939427906	0.0113026548672566	0.00058981118326153	0.0734485596593305	47	54	1
SPAC5H10.04	240	493	16	100	2498	300	2.4	312.534549717801	0.197357886309047	25.7004825545229	0.41596023653469	0.569644584762555	12.1606490872211	10.3906867086366	14.2297217273686	56	284	1.32002129986744e-89
SPAC5H10.07	4	68	27	100	453	300	0.04	5.20890916196335	0.150110375275938	19.5477827270148	0.0182743894999811	0.167504599733104	0.266470588235294	0.0827829844349144	0.758795836790959	13	91	1
SPNCRNA.614	24	386	107	100	1475	300	0.24	31.2534549717801	0.261694915254237	34.0786260426755	0.0402116022249713	0.0953413137400486	0.917098445595855	0.593121132818326	1.40628437766572	25	99	1
SPAC5H10.10	28	683	14	100	1554	300	0.28	36.4623641337434	0.43951093951094	57.2343139900413	0.0275441614713967	0.0606100265243868	0.637071742313324	0.428036269265505	0.941879812188971	39	89	1
SPAC5H10.11	6	47	3	100	1565	300	0.06	7.81336374294502	0.0300319488817891	3.91084234204916	0.0491753658257342	0.310875657263293	1.99787234042553	0.76959447517274	4.86520403617054	3	103	1
SPNCRNA.616	3	0	0	100	497	300	0.03	3.90668187147251	0	0	0.449250381531113	30.4904450141133	NA	2.23277439620963	151.537511720143	0	103	1
SPNCRNA.617	52	219	2	100	3975	300	0.52	67.7158191055235	0.0550943396226415	7.17453526081744	0.173411978255615	0.32437653942538	9.43835616438356	6.89312613566069	12.8939674421589	7	145	9.98614796564338e-23
SPSNORNA.49	18	62	64	100	159	300	0.18	23.4400912288351	0.389937106918239	50.7786742203974	0.165792327398531	0.502970141660104	0.461612903225807	0.263609800563664	0.799722525239565	33	85	1
SPNCRNA.141	21	115	35	100	604	300	0.21	27.3467731003076	0.190397350993377	24.7940626500739	0.111429593537006	0.296465274651261	1.10295652173913	0.673034744963519	1.79065025889361	19	102	1
SPAC13G6.03	21	739	14	100	3896	300	0.21	27.3467731003076	0.189681724845996	24.700871860183	0.0179360098967264	0.0445571914471404	1.10711772665765	0.698786945576459	1.73594817878059	19	102	1
SPAC13G6.04	38	539	194	100	505	300	0.38	49.4846370386518	1.06732673267327	138.990199915755	0.0499962824750095	0.0990040126271975	0.356029684601113	0.252481226498798	0.499970263767347	71	67	1
SPAC13G6.08	0	23	19	100	2130	300	0	0	0.0107981220657277	1.40616092400419	0.00399043342974737	0.216691035021888	0	0.0849962320536189	4.61551904596622	1	99	1
SPAC13G6.09	7	451	5	100	1572	300	0.07	9.11559103343586	0.286895674300254	37.3603376597562	0.00675882511946557	0.0337542359829773	0.243991130820399	0.106248730877999	0.530616589652403	23	84	1
SPAC13G6.13	0	0	2	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	56	2421	26	100	1272	300	0.56	72.9247282674869	1.90330188679245	247.853165902383	0.0175787083444594	0.0303647729899404	0.294225526641884	0.223601170141524	0.386239912432041	102	54	1
SPAC24B11.05	133	1865	59	100	1489	300	1.33	173.196229635281	1.25251846877099	163.106373187737	0.05956491841277	0.0853263674210826	1.06186058981233	0.886921635166145	1.27050961089992	129	104	1
SPNCRNA.622	5	272	4	100	2388	300	0.05	6.51113645245418	0.113902847571189	14.8327396571821	0.00670882608660977	0.0460372198109307	0.438970588235294	0.160206766948241	1.09936880908502	10	95	1
SPNCRNA.142	6	349	92	100	597	300	0.06	7.81336374294502	0.584589614740369	76.1268550052432	0.00693663088645099	0.0397879768392104	0.102636103151862	0.0414116863921124	0.237534221730086	39	67	1
SPAC24B11.09	6	2151	252	100	2741	300	0.06	7.81336374294502	0.784750091207588	102.192298498569	0.00113253051910718	0.00641201710799716	0.0764574616457462	0.0310426615287279	0.175753388930202	46	60	1
SPAC24B11.14	9	18	248	100	596	300	0.09	11.7200456144175	0.0302013422818792	3.93290121289179	0.20824467416958	1.17320221410224	2.98	1.2411382580507	6.99228519604936	3	106	1
SPAC24B11.13	66	3241	27	100	2075	300	0.66	85.9470011723952	1.56192771084337	203.398489083412	0.0158316519061153	0.0261456192035564	0.422554767047208	0.328506777051893	0.542521598473795	101	65	1
SPNCRNA.625	4	46	1	100	1669	300	0.04	5.20890916196335	0.0275614140203715	3.58912255018445	0.0266310116248603	0.25172176112893	1.45130434782609	0.444471584018919	4.20123619324184	2	102	1
SPNCRNA.627	4	69	26	100	761	300	0.04	5.20890916196335	0.0906701708278581	11.8073170885503	0.0180174113340661	0.164994420857262	0.441159420289855	0.137112500252243	1.25560754272376	8	96	1
SPNCRNA.144	2	61	24	100	431	300	0.02	2.60445458098167	0.1415313225058	18.4305950626313	0.00554834001928696	0.136229324244619	0.141311475409836	0.0239133454831268	0.587148387494309	12	90	1
SPNCRNA.628	7	59	7	100	1566	300	0.07	9.11559103343586	0.0376756066411239	4.90622031538693	0.0496274982626036	0.269507574431861	1.85796610169492	0.777166622792372	4.22048861560295	3	104	1
SPNCRNA.145	4	25	7	100	719	300	0.04	5.20890916196335	0.0347705146036161	4.52791130212391	0.047266808660168	0.483109237625183	1.1504	0.339848354266608	3.47355541852506	3	101	1
SPAC806.05	3	340	8	100	2921	300	0.03	3.90668187147251	0.116398493666553	15.157729502461	0.00226669434954749	0.0282939287584639	0.257735294117647	0.0662101419502821	0.82646565903473	10	93	1
SPAC806.07	143	957	478	100	469	300	1.43	186.21850254019	2.04051172707889	265.721005756872	0.124837902484456	0.17876004423348	0.70080459770115	0.585489762652096	0.838384607455021	163	80	1
SPNCRNA.630	3	401	0	100	2184	300	0.03	3.90668187147251	0.183608058608059	23.9099424673455	0.00192344000523858	0.0239671230700461	0.163391521197007	0.0420079297144106	0.523441967849807	15	88	1
SPNCRNA.631	1	5	2	100	863	300	0.01	1.30222729049084	0.00579374275782155	0.754476993331887	0.00883974757390515	1.74105855180368	1.726	0.0762870215628015	15.0253353020658	0	101	1
SPAC1F5.11c	18	2816	90	100	11254	300	0.18	23.4400912288351	0.25022214323796	32.5846103609578	0.00389990727398402	0.0103389387480698	0.719360795454546	0.438895564614162	1.16354416670778	23	95	1
SPNCRNA.633	8	38	3	100	947	300	0.08	10.4178183239267	0.0401267159450898	5.22541045814697	0.0907765236511633	0.469579382325183	1.99368421052632	0.859653678976516	4.44691675061948	4	104	1
SPAC1F5.09c	4	122	104	100	1569	300	0.04	5.20890916196335	0.0777565328234544	10.1256679056649	0.0103235628176443	0.0919424426820205	0.514426229508197	0.161976700608839	1.4425769256809	7	97	1
SPAC1F5.08c	34	453	45	100	1608	300	0.34	44.2757278766884	0.281716417910448	36.6858807582307	0.0521000956838229	0.107597204199286	1.20688741721854	0.837769538595873	1.73016304352451	29	105	1
SPAC1F5.07c	22	423	16	100	1526	300	0.22	28.6490003907984	0.277195281782438	36.0971260732388	0.0330255353282983	0.0811275578802904	0.793664302600473	0.503969669109831	1.23800653325323	26	96	1
SPAC1F5.05c	37	363	33	100	731	300	0.37	48.182409748161	0.496580027359781	64.6660063540593	0.0715642538158675	0.144563140296149	0.745096418732782	0.523134695393991	1.05675655556485	45	92	1
SPAC1F5.04c	30	1724	58	100	5667	300	0.3	39.0668187147251	0.304217398976531	39.6160199189378	0.0119114500882025	0.0252671355658288	0.986136890951276	0.675021876498434	1.43188857251552	30	100	1
SPAC1F5.03c	17	1818	3	100	1926	300	0.17	22.1378639383442	0.94392523364486	122.920519943528	0.00561408088309025	0.0153523385751722	0.18009900990099	0.108127197808318	0.295686040957816	56	61	1
SPNCRNA.148	0	0	1	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	1	5	6	100	506	300	0.01	1.30222729049084	0.00988142292490119	1.28678586016881	0.00883974757390515	1.74105855180368	1.012	0.0447291227239601	8.80975627212663	0	101	1
SPAC18B11.09c	4	250	20	100	960	300	0.04	5.20890916196335	0.260416666666667	33.9121690231989	0.00508232694639611	0.0444238220881105	0.1536	0.0487903386854027	0.42646869204586	21	83	1
SPAC18B11.08c	31	414	135	100	553	300	0.31	40.3690460052159	0.748643761301989	97.4904336823158	0.0510461933572491	0.109224478791692	0.414082125603865	0.282285449265587	0.604011367718058	56	75	1
SPAC18B11.07c	124	1169	115	100	957	300	1.24	161.476184020864	1.22152560083595	159.070397344179	0.0877494095328233	0.128137019132392	1.01512403763901	0.839761849229119	1.22627127309699	123	101	1
SPAC18B11.03c	54	601	206	100	1723	300	0.54	70.3202736865052	0.34881021474173	45.4230180838649	0.0673087150811154	0.119652269500552	1.54811980033278	1.15972916084762	2.06160860349451	39	115	1
SPAC18B11.02c	37	912	17	100	1187	300	0.37	48.182409748161	0.76832350463353	100.053183565935	0.028775656599285	0.0569485773613123	0.48156798245614	0.341567043833513	0.675979613278777	59	78	1
SPAC12G12.16c	11	198	10	100	1991	300	0.11	14.3245001953992	0.0994475138121547	12.9503266457652	0.0287099904171457	0.104636058322512	1.10611111111111	0.571615909205371	2.08330392120122	10	101	1
SPNCRNA.637	3	54	61	100	1253	300	0.03	3.90668187147251	0.043096568236233	5.61215272837232	0.0138817681280433	0.184093203713225	0.696111111111111	0.173938554644383	2.30668784252671	4	99	1
SPAC12G12.14c	7	496	190	100	1844	300	0.07	9.11559103343586	0.268980477223427	35.0273718049596	0.00614909872536847	0.0306732732959234	0.260241935483871	0.113389380495795	0.565615159576827	22	85	1
SPAC12G12.13c	23	1110	15	100	2129	300	0.23	29.9512276812892	0.521371535932363	67.8944242576246	0.0133874091583784	0.0317810543411988	0.441144144144144	0.285017940981877	0.676618646924122	42	81	1
SPAC12G12.11c	2	412	13	100	1362	300	0.02	2.60445458098167	0.302496328928047	39.3918974803396	0.000837898223928238	0.0196657946095406	0.0661165048543689	0.0114121738099026	0.267848122581942	23	79	1
SPAC12G12.17	4	133	27	100	508	300	0.04	5.20890916196335	0.261811023622047	34.0937459911971	0.00948311688047801	0.0842030473375023	0.152781954887218	0.0481742337528283	0.427751480474512	21	83	1
SPAC12G12.07c	16	1085	43	100	1327	300	0.16	20.8356366478534	0.817633760361718	106.474499636967	0.00869314202796963	0.0246245254738696	0.1956866359447	0.115357994711157	0.32676745303825	52	64	1
SPAC12G12.06c	13	731	86	100	1638	300	0.13	16.9289547763809	0.446275946275946	58.115271633016	0.00983891308050814	0.0314613365822202	0.291299589603283	0.161161396258723	0.515336693216767	34	79	1
SPAC12G12.05c	37	545	9	100	1251	300	0.37	48.182409748161	0.435651478816946	56.7317244858118	0.0479337435751993	0.0957399427381382	0.849302752293578	0.599651132125744	1.19770668365411	41	96	1
SPNCRNA.639	1	24	5	100	1545	300	0.01	1.30222729049084	0.0155339805825243	2.02287734445179	0.00209593717773238	0.287382877405496	0.64375	0.0323822293959653	4.44006545591491	1	100	1
SPNCRNA.640	6	6	3	100	565	300	0.06	7.81336374294502	0.0106194690265487	1.38289623768938	0.286781544887712	3.48697472981235	5.65	1.62031572861558	19.7014072234398	1	105	1
SPAC12G12.01c	7	694	11	100	3100	300	0.07	9.11559103343586	0.223870967741935	29.1530883742142	0.00440186170823412	0.0218841413715811	0.312680115273775	0.136457712955258	0.678408382519013	19	88	1
SPAC630.03	42	2329	27	100	1646	300	0.42	54.6935462006151	1.41494532199271	184.258041285125	0.0131219788790981	0.0246926174248589	0.296831258050666	0.215987772349956	0.406440482813177	83	59	1
SPAC630.05	30	1126	12	100	2562	300	0.3	39.0668187147251	0.439500390320062	57.232940245616	0.0182055609049837	0.0387549475617179	0.68259325044405	0.466426470385682	0.992901756531211	39	91	1
SPNCRNA.641	1	7	13	100	428	300	0.01	1.30222729049084	0.0163551401869159	2.12981098912053	0.00660323359662749	1.14229470290644	0.611428571428571	0.0282618397935657	4.88902132843954	1	100	1
SPAC630.15	1	175	11	100	2081	300	0.01	1.30222729049084	0.0840941854877463	10.9509743313742	0.000296751141286199	0.0374206976906264	0.118914285714286	0.00617539125016581	0.778724718941936	7	94	1
SPAC630.10	942	126	31	100	1094	300	9.42	1226.69810764237	0.115173674588665	14.9982302195471	6.18357924294783	9.04490199929199	81.7895238095238	67.6483569178493	98.9512278722543	107	935	0
SPAC630.11	3	327	57	100	944	300	0.03	3.90668187147251	0.346398305084746	45.1089326261127	0.00235630991649296	0.0294260550625715	0.086605504587156	0.0222435656116936	0.277781959790675	26	77	1
SPAC630.12	24	359	25	100	1506	300	0.24	31.2534549717801	0.238379814077025	31.0424699393234	0.0431937912363643	0.102614068420223	1.00679665738162	0.650498496019646	1.54536787040856	23	101	1
SPAC1751.04	1	948	49	100	1652	300	0.01	1.30222729049084	0.573849878934625	74.7282972993531	5.50109019167405e-05	0.00686170386107706	0.0174261603375527	0.000908780099664554	0.113355347784993	36	65	1
SPAC1751.03	185	2914	66	100	1374	300	1.85	240.912048740805	2.12081513828239	276.178335115742	0.054559748965808	0.0738458230160326	0.872306108442004	0.749650950790202	1.01464160824029	193	92	1
SPAC31A2.02	8	175	69	100	783	300	0.08	10.4178183239267	0.223499361430396	29.1046967861937	0.0208961817575426	0.0957192621613817	0.357942857142857	0.163617103161559	0.749481822723619	19	89	1
SPAC31A2.03	42	617	24	100	898	300	0.42	54.6935462006151	0.687082405345212	89.4737459056622	0.0491435867230386	0.0939533146650328	0.61128038897893	0.441309408772886	0.843700765691995	57	85	1
SPAC31A2.06	14	787	2	100	4811	257	0.14	18.2311820668717	0.163583454583247	21.3022838831072	0.0100732100897445	0.0308173179781821	0.855832274459975	0.484622137417606	1.48262116793034	16	98	1
SPAC31A2.08	10	351	33	100	777	300	0.1	13.0222729049084	0.451737451737452	58.8264837789297	0.0143401807976579	0.0548372740331083	0.221367521367521	0.111423204797802	0.426085619237251	34	76	1
SPAC31A2.10	2	309	3	100	1783	300	0.02	2.60445458098167	0.173303421200224	22.568044462236	0.00111590488103827	0.0262596032753725	0.115404530744337	0.0198965840289124	0.468208726399892	15	87	1
SPAC31A2.12	16	1125	19	100	2450	300	0.16	20.8356366478534	0.459183673469388	59.796151093967	0.00838521008074095	0.0237456068941898	0.348444444444444	0.205437646978153	0.581767368907649	36	80	1
SPAC31A2.14	102	1771	46	100	3306	300	1.02	132.827183630065	0.535692679975802	69.7593627180663	0.0469238362653817	0.0706253928872569	1.90407679277245	1.55130202693352	2.33487548885271	70	132	0.0385986924794143
SPAC31A2.16	4	409	5	100	3850	300	0.04	5.20890916196335	0.106233766233766	13.8340509561234	0.0031167520916203	0.027053695753862	0.376528117359413	0.119994955527382	1.04156728652369	9	95	1
SPAC13C5.02	45	400	74	100	1441	300	0.45	58.6002280720877	0.277585010409438	36.1478775986353	0.0816181171444983	0.154582753585123	1.621125	1.17611706805222	2.22753747916162	31	114	1
SPAC13C5.03	25	226	346	100	2441	300	0.25	32.5556822622709	0.0925850061450225	12.056672169231	0.0715077097231512	0.169829271426526	2.70022123893805	1.74550319434212	4.14553251552151	10	115	0.501983075098417
SPAC13C5.04	101	556	413	100	743	300	1.01	131.524956339575	0.748317631224764	97.4479641336346	0.146088643155962	0.225681257982842	1.34969424460432	1.08543861864879	1.67681174681252	86	115	1
SPNCRNA.05	1	0	4	100	539	300	0.01	1.30222729049084	0	0	0.0577765545925511	8.27870929775896	NA	0.311415629253851	44.6222431149208	0	101	1
SPAC13C5.07	0	1946	34	100	4610	300	0	0	0.422125813449024	54.9703754293963	4.67115513341186e-05	0.00246222401429477	0	0.00215340251650287	0.113508527058989	29	71	1
SPAC23E2.01	45	3596	108	100	3301	300	0.45	58.6002280720877	1.08936685852772	141.860325253107	0.00921627504918859	0.01693520607958	0.413083982202447	0.304229239373715	0.559031152686935	75	70	1
SPAC23E2.02	22	901	46	100	3817	300	0.22	28.6490003907984	0.23604925334032	30.738977959975	0.0155994468834339	0.0378509330489179	0.932008879023308	0.595430887540672	1.4447701144772	23	99	1
SPNCRNA.650	0	76	13	100	1924	300	0	0	0.0395010395010395	5.14393316410102	0.00119943495785576	0.0637745380674321	0	0.0230771285891448	1.22702211241739	3	97	1
SPRRNA.11	1	0	1	47	4	300	0.0212765957446809	2.77069636274646	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	1	31	69	100	759	300	0.01	1.30222729049084	0.0408432147562582	5.31871488869775	0.00163609062693161	0.219484423903823	0.244838709677419	0.012417927858411	1.66588677743002	3	98	1
SPAC24H6.12c	9	529	13	100	1684	300	0.09	11.7200456144175	0.314133016627078	40.9072587095993	0.00825310657768008	0.0337866811428151	0.286502835538752	0.138982314768133	0.568967710445006	26	83	1
SPAC24H6.11c	0	2925	251	100	4261	300	0	0	0.686458577798639	89.3925093800915	3.10759675081136e-05	0.0016378603806889	0	0.00132414697552072	0.0697892308211541	40	60	1
SPAC24H6.10c	108	1871	118	100	992	300	1.08	140.64054737301	1.88608870967742	245.611619002858	0.0473073793314669	0.0703713692333953	0.572613575628006	0.469289202968152	0.698083982795281	135	73	1
SPNCRNA.653	1	42	3	100	1202	300	0.01	1.30222729049084	0.0349417637271215	4.55021183033404	0.00121663271361786	0.160036851469115	0.286190476190476	0.0146239252176866	1.92364295465876	3	98	1
SPNCRNA.551	0	22	6	100	427	300	0	0	0.0515222482435597	6.70936777302071	0.00417368066078422	0.226956323474185	0	0.0178216164215486	0.96910350123477	4	96	1
SPAC24H6.02c	0	119	23	100	943	300	0	0	0.126193001060445	16.4331969849851	0.000765213614500503	0.0405539692697729	0	0.00721596438473974	0.382423930213958	11	89	1
SPAC24H6.01c	5	213	47	100	2002	300	0.05	6.51113645245418	0.106393606393606	13.8548657779495	0.00854659348362134	0.0589453458034842	0.469953051643192	0.171102801542099	1.18008582298575	10	95	1
SPAPB21F2.02	46	2062	166	100	5340	300	0.46	59.9024553625785	0.386142322097378	50.2845069848709	0.0164625417674574	0.030133925232939	1.19127061105723	0.879099730382224	1.60915160743894	40	106	1
SPAPB21F2.03	15	413	92	100	758	300	0.15	19.5334093573626	0.544854881266491	70.9524895742369	0.0208925713580202	0.062064582178354	0.275302663438257	0.158365690893793	0.470449532911923	40	75	1
SPNCRNA.655	113	313	9	100	2648	300	1.13	147.151683825465	0.118202416918429	15.3926413113154	0.289431137296379	0.450041905956232	9.55987220447284	7.66413651560813	11.917109669721	22	191	9.8689912972167e-44
SPNCRNA.656	5	22	43	100	301	300	0.05	6.51113645245418	0.0730897009966777	9.51794032916891	0.0755704612119276	0.63255218317964	0.684090909090909	0.227467088247902	1.90398207137072	7	98	1
SPAC227.04	15	108	60	100	726	300	0.15	19.5334093573626	0.148760330578512	19.3719762221777	0.0777705690168833	0.244085517492819	1.00833333333333	0.564614331062573	1.77206085699787	14	101	1
SPAC227.05	18	100	148	100	247	300	0.18	23.4400912288351	0.404858299595142	52.7217526514509	0.105364062134132	0.303886009550129	0.4446	0.260249233471307	0.75059844358882	34	84	1
SPAC227.06	90	967	138	100	873	300	0.9	117.200456144175	1.10767468499427	144.244420378538	0.0745264536744464	0.116101653160652	0.812512926577042	0.650615940577917	1.01356743209249	99	91	1
SPNCRNA.657	5	42	12	100	607	300	0.05	6.51113645245418	0.0691927512355848	9.01046889631222	0.0414862004069887	0.313946647192531	0.722619047619048	0.251821236470421	1.90565614845866	6	99	1
SPAC227.09	7	315	9	100	2018	300	0.07	9.11559103343586	0.15609514370664	20.3271356047876	0.00965099406334382	0.048466775409281	0.448444444444444	0.194757060198278	0.978059527759291	14	93	1
