WT_3MBPP1_combined_pr_counts	WT_3MBPP1_combinedgb_counts	WT_3MBPP1_combinedterm_counts	WT_3MBPP1_combinedpr_map	WT_3MBPP1_combinedgb_map	WT_3MBPP1_combinedterm_map	WT_3MBPP1_combinedpr_density	WT_3MBPP1_combinedpr_densityRPKM	WT_3MBPP1_combinedgb_density	WT_3MBPP1_combinedgb_densityRPKM	WT_3MBPP1_combinedpause_index_CI_low	WT_3MBPP1_combinedpause_index_CI_high	WT_3MBPP1_combinedpause_index_scaled	WT_3MBPP1_combinedpause_index_CI_low_scaled	WT_3MBPP1_combinedpause_index_CI_high_scaled	WT_3MBPP1_combined_ExpPR	WT_3MBPP1_combined_ExpGB	WT_3MBPP1_combinedFexact_Pval
SPNCRNA.631	80	26	7	100	863	300	0.8	41.5659536598848	0.0301274623406721	1.56534587942788	1.9395203864393	4.91042104561654	26.5538461538462	16.7380609349711	42.3769336236707	5	175	3.51474194694949e-43
SPAC1F5.11c	70	8039	263	100	11254	300	0.7	36.3702094523992	0.71432379598365	37.1144372525118	0.00683044111787413	0.0110816018948461	0.979947754695858	0.768697843405554	1.24712347724599	70	100	1
SPNCRNA.633	9	114	22	100	947	300	0.09	4.67616978673704	0.120380147835269	6.25464455811361	0.0374817616303272	0.160403272134238	0.747631578947368	0.354952282639199	1.51901898711123	11	98	1
SPAC1F5.09c	12	224	93	100	1569	300	0.12	6.23489304898272	0.1427660930529	7.41776101004955	0.0285595444641488	0.0981298350338591	0.840535714285714	0.448099252642494	1.53965711168125	13	99	1
SPAC1F5.08c	62	995	465	100	1608	300	0.62	32.2136140864107	0.618781094527363	32.1502828759215	0.047785583164573	0.0810917078024722	1.00196984924623	0.768392177286333	1.30395466146375	61	101	1
SPAC1F5.07c	155	491	168	100	1526	300	1.55	80.5340352160268	0.32175622542595	16.7176304447931	0.262422997731463	0.379596355888335	4.8173116089613	4.00457494538213	5.79264039085599	62	193	8.71138958051927e-27
SPAC1F5.05c	63	332	109	100	731	300	0.63	32.7331885071593	0.454172366621067	23.5976344307144	0.143578445952292	0.250347815390539	1.38713855421687	1.04955843991125	1.83004253050484	50	113	1
SPAC1F5.04c	78	4746	220	100	5667	300	0.78	40.5268048183877	0.837480148226575	43.5133262903241	0.0130513519334698	0.0206657675745198	0.931365360303413	0.739620114069736	1.17112904844803	81	97	1
SPAC1F5.03c	68	4042	61	100	1926	300	0.68	35.3310606109021	2.09865005192108	109.040488508083	0.0131352282878885	0.0215088380997727	0.324017812963879	0.252984496824732	0.414260221801622	113	55	1
SPNCRNA.148	4	0	9	100	18	300	0.04	2.07829768299424	0	0	0.655007235805828	41.512102956422	NA	0.117901302445049	7.47217853215595	0	104	1
SPNCRNA.635	2	18	14	100	506	300	0.02	1.03914884149712	0.0355731225296443	1.84828845325575	0.017824798022405	0.495388811964686	0.562222222222222	0.0901934779933693	2.50666738854131	3	99	1
SPAC18B11.09c	12	672	140	100	960	300	0.12	6.23489304898272	0.7	36.3702094523992	0.00962312246704754	0.032343573820171	0.171428571428571	0.0923819756836564	0.310498308673642	46	66	1
SPAC18B11.08c	313	951	920	100	553	300	3.13	162.626793694299	1.71971066907776	89.3517674741195	0.289055357807393	0.374702254264337	1.82007360672976	1.59847612867488	2.07210346608178	261	152	0.00507445866612652
SPAC18B11.07c	274	1653	314	100	957	300	2.74	142.363391285105	1.72727272727273	89.7446726747513	0.145554986101758	0.188730710281878	1.58631578947368	1.39296121699383	1.80615289739757	236	138	0.555108132953625
SPAC18B11.03c	68	1185	394	100	1723	300	0.68	35.3310606109021	0.687753917585607	35.7339343347095	0.0445814024573908	0.0737350059317542	0.988725738396625	0.768137564340844	1.27045415220413	68	100	1
SPAC18B11.02c	347	1299	237	100	1187	300	3.47	180.29232399975	1.09435551811289	56.8599134416495	0.236860446557382	0.3012264079235	3.17081601231717	2.81153350063613	3.57555746205195	233	214	5.92242675800712e-21
SPAC12G12.16c	158	416	135	100	1991	300	1.58	82.0927584782725	0.208940231039679	10.8559999513511	0.314885946139736	0.457946816741355	7.56197115384615	6.26937918764214	9.11772112132037	44	214	4.64748181302265e-45
SPNCRNA.637	47	85	60	100	1253	300	0.47	24.4199977751823	0.0678371907422187	3.52464690850979	0.381241495996487	0.800569492733378	6.92835294117647	4.77695594483599	10.0311357439492	9	138	6.94386674855105e-14
SPAC12G12.14c	12	964	560	100	1844	300	0.12	6.23489304898272	0.522776572668113	27.1621334924952	0.00671932182798008	0.0225078150364029	0.22954356846473	0.123904294507953	0.41504410927127	38	74	1
SPAC12G12.13c	68	3282	209	100	2129	300	0.68	35.3310606109021	1.54156881164866	80.09597223564	0.0161691024382436	0.0265024295089331	0.441109079829372	0.344240190910206	0.564236724245187	101	67	1
SPAC12G12.11c	5	745	117	100	1362	300	0.05	2.5978721037428	0.546989720998532	28.4201867443229	0.00246298162950415	0.016706138091314	0.0914093959731544	0.0335458097938465	0.227537600803697	37	68	1
SPAC12G12.17	11	168	108	100	508	300	0.11	5.71531862823416	0.330708661417323	17.1827761192437	0.0337322345480653	0.123722877555361	0.332619047619048	0.171359751504172	0.628512217981233	27	84	1
SPAC12G12.07c	69	857	432	100	1327	300	0.69	35.8506350316507	0.645817633760362	33.5550322970246	0.0624956002833257	0.103552351646503	1.06841306884481	0.829316615759732	1.3741397063491	66	103	1
SPAC12G12.06c	151	1924	942	100	1638	300	1.51	78.4557375330326	1.17460317460317	61.0293764053864	0.0662604254833745	0.0929107674498007	1.28554054054054	1.08534576941767	1.52187837082774	135	116	1
SPAC12G12.05c	193	602	7	100	1251	300	1.93	100.277863204472	0.481215027977618	25.0027019416973	0.271692646831964	0.378196590697354	4.01068106312292	3.39887501186787	4.7312393496239	95	198	2.37062424930083e-23
SPNCRNA.639	3	16	9	100	1545	300	0.03	1.55872326224568	0.0103559870550162	0.538070597538962	0.0435109966500877	0.680481866290363	2.896875	0.672244898243855	10.5134448341861	1	102	1
SPNCRNA.640	11	52	16	100	565	300	0.11	5.71531862823416	0.0920353982300885	4.78192387237613	0.104301619507013	0.418782307249152	1.19519230769231	0.589304150214624	2.36612003595771	9	102	1
SPAC12G12.01c	82	2790	71	100	3100	300	0.82	42.6051025013819	0.9	46.7616978673704	0.0234430175629984	0.0367983692256068	0.911111111111111	0.72673354445295	1.14074944599381	86	96	1
SPAC630.03	38	2989	649	100	1646	300	0.38	19.7438279884453	1.81591737545565	94.3504218479615	0.00910249686150757	0.0176805986587593	0.2092606222817	0.149827098340415	0.291022653923178	88	50	1
SPAC630.05	105	1918	166	100	2562	300	1.05	54.5553141785988	0.748633879781421	38.8971014440179	0.0447493808171062	0.066911746838204	1.40255474452555	1.14647913653426	1.71427895399479	87	118	1
SPNCRNA.641	1	22	50	100	428	300	0.01	0.51957442074856	0.0514018691588785	2.67070963936176	0.0022789459676721	0.315231910448174	0.194545454545455	0.00975388874163657	1.34919257671818	4	97	1
SPAC630.15	3	264	18	100	2081	300	0.03	1.55872326224568	0.1268620855358	6.59142946072176	0.00291477007774631	0.0365045808258241	0.236477272727273	0.0606563653179007	0.7596603269854	11	92	1
SPAC630.10	1474	189	181	100	1094	300	14.74	765.852696183378	0.172760511882998	8.97619428898335	6.68518527813042	9.10148258559282	85.3204232804233	73.1359269427468	99.5702194863854	231	1343	0
SPAC630.11	111	380	310	100	944	300	1.11	57.6727607030902	0.402542372881356	20.9150720216581	0.235068363695125	0.362731519543714	2.75747368421053	2.21904535328198	3.42418554449266	60	151	1.10548406990803e-07
SPAC630.12	178	706	186	100	1506	300	1.78	92.4842468932437	0.468791500664011	24.3572072409352	0.213157175925595	0.298110972815915	3.79699716713881	3.21014706943946	4.48955125060768	88	190	5.16146094762424e-21
SPAC1751.04	3	2345	274	100	1652	300	0.03	1.55872326224568	1.41949152542373	73.7531487079524	0.000330146549181122	0.00408049127756733	0.021134328358209	0.00545402099247213	0.0674097159054123	60	43	1
SPAC1751.03	560	4455	656	100	1374	300	5.6	290.961675619194	3.24235807860262	168.464632054937	0.115010465358762	0.137376729516429	1.72713804713805	1.58024379402939	1.88755626355574	504	156	0.00155323408594087
SPAC31A2.02	146	331	312	100	783	300	1.46	75.8578654292898	0.422733077905492	21.9641294084002	0.361297174142699	0.538294507429097	3.45371601208459	2.82895687353733	4.21484599316983	73	173	3.89162712625444e-14
SPAC31A2.03	211	959	83	100	898	300	2.11	109.630202777946	1.06792873051225	55.4868451556647	0.189008655409602	0.256049765168631	1.97578727841502	1.69729772557823	2.29932689121431	160	151	0.000370413535107677
SPAC31A2.06	25	1712	2	100	4811	257	0.25	12.989360518714	0.355851174392018	18.4891167807428	0.00962650572378386	0.0219742364581111	0.702540887850467	0.463131190371241	1.05718051599972	32	93	1
SPAC31A2.08	70	483	206	100	777	300	0.7	36.3702094523992	0.621621621621622	32.2978693978835	0.111860957684668	0.187474344995286	1.12608695652174	0.869159641209873	1.45667566061337	65	105	1
SPAC31A2.10	4	456	31	100	1783	300	0.04	2.07829768299424	0.255748738081884	13.288050244607	0.00279699601715942	0.0242507133855865	0.15640350877193	0.0498704389859525	0.432390219665007	21	83	1
SPAC31A2.12	46	3136	1052	100	2450	300	0.46	23.9004233544338	1.28	66.5055258558157	0.0108370950685025	0.0197906206790951	0.359375	0.265508829178311	0.484870206637829	81	65	1
SPAC31A2.14	134	2738	287	100	3306	300	1.34	69.6229723803071	0.828191167574108	43.0306946161391	0.0409843978691149	0.0584052460799076	1.61798392987582	1.35494419355294	1.93087743540175	106	128	1
SPAC31A2.16	26	1399	69	100	3850	300	0.26	13.5089349394626	0.363376623376623	18.8801198604477	0.0123465116285379	0.0277641335696706	0.715511079342387	0.47534069769871	1.06891914243232	33	93	1
SPAC13C5.02	650	1638	420	100	1441	300	6.5	337.723373486564	1.13671061762665	59.0605760712104	0.361974563076486	0.435013124505592	5.71825396825397	5.21605345393216	6.26853912412558	398	352	6.50883905508842e-67
SPAC13C5.03	178	537	460	100	2441	300	1.78	92.4842468932437	0.219991806636624	11.4302115502653	0.278753259595646	0.394031256569535	8.0912104283054	6.80436706672973	9.61830297286235	50	228	2.74202679160403e-53
SPAC13C5.04	122	901	1095	100	743	300	1.22	63.3880793313243	1.21265141318977	63.0062655577998	0.111550375817734	0.164248797000208	1.00605993340733	0.828819292325764	1.22036856171154	121	101	1
SPNCRNA.05	2	3	6	100	539	300	0.02	1.03914884149712	0.00556586270871985	0.289187989284913	0.0782648165603505	4.86773260028688	3.59333333333333	0.421847361260289	26.2370787155463	0	102	1
SPAC13C5.07	2	8249	175	100	4610	300	0.02	1.03914884149712	1.78937093275488	92.9711365890428	4.19878544915864e-05	0.000978111569416657	0.0111771123772579	0.00193564009206213	0.0450909433501079	65	37	1
SPAC23E2.01	125	8587	555	100	3301	300	1.25	64.94680259357	2.60133292941533	135.158604997512	0.0121496832669482	0.0174286635579908	0.480522883428438	0.40106104464196	0.575320184049276	162	63	1
SPAC23E2.02	63	1982	98	100	3817	300	0.63	32.7331885071593	0.51925596017815	26.97921147298	0.0245245032576777	0.0411164548317965	1.21327447023209	0.936100289345556	1.56941508092967	55	108	1
SPNCRNA.650	1	38	7	100	1924	300	0.01	0.51957442074856	0.0197505197505198	1.02618648588593	0.0013417190345932	0.177523570277566	0.506315789473684	0.0258146742255731	3.41555349214037	1	100	1
SPRRNA.11	2	0	1	47	4	300	0.0425531914893617	2.21095498190877	0	0	0.246676758328458	19.4460633145857	NA	0.0209937666662517	1.65498411187964	0	49	1
SPNCRNA.651	2	124	122	100	759	300	0.02	1.03914884149712	0.163372859025033	8.48843585939677	0.00276169571656912	0.0660129067319185	0.12241935483871	0.0209612704887596	0.501037962095261	14	88	1
SPAC24H6.12c	44	754	170	100	1684	300	0.44	22.8612745129366	0.447743467933492	23.2636052995495	0.042522040425951	0.0798171052265574	0.982705570291777	0.716071160773014	1.34412005201523	44	100	1
SPAC24H6.11c	9	4343	996	100	4261	300	0.09	4.67616978673704	1.01924430884769	52.9573271370804	0.00101061206431024	0.00409246048879956	0.0883007137923095	0.0430621800602594	0.174379741427749	55	54	1
SPAC24H6.10c	595	2106	504	100	992	300	5.95	309.146780345393	2.12298387096774	110.30481150166	0.257675429449686	0.309756269150543	2.80265906932574	2.55614026014088	3.07278218997339	472	223	7.04270868486914e-19
SPNCRNA.653	3	202	29	100	1202	300	0.03	1.55872326224568	0.168053244592346	8.73161672139843	0.00380143374255943	0.0478265396362182	0.178514851485149	0.0456932335855644	0.574875006427343	14	89	1
SPNCRNA.551	9	90	47	100	427	300	0.09	4.67616978673704	0.210772833723653	10.95121729915	0.047138051667472	0.204737075175364	0.427	0.201279480620105	0.874227310998804	18	91	1
SPAC24H6.02c	0	179	48	100	943	300	0	0	0.189819724284199	9.86254732916143	0.000508398325743237	0.0268915258638412	0	0.00479419621175873	0.253587088896023	15	85	1
SPAC24H6.01c	53	644	357	100	2002	300	0.53	27.5374442996737	0.321678321678322	16.7135827653383	0.0615414295919735	0.10978198104321	1.64760869565217	1.23205942043131	2.19783526048506	37	116	1
SPAPB21F2.02	263	6161	475	100	5340	300	2.63	136.648072656871	1.15374531835206	59.9456555474135	0.0376558228807455	0.0483813532033748	2.27953254341828	2.01082094183181	2.58356426106022	194	169	1.86537999543883e-09
SPAPB21F2.03	47	410	513	100	758	300	0.47	24.4199977751823	0.54089709762533	28.1036296183258	0.0837399657130361	0.156468096152555	0.868926829268293	0.634748940104814	1.18602816883636	51	96	1
SPNCRNA.655	162	1135	45	100	2648	300	1.62	84.1710561612667	0.428625377643505	22.2702782307257	0.12063715653038	0.168796968179557	3.77952422907489	3.19447190492447	4.46974371739467	78	184	7.8478646472312e-21
SPNCRNA.656	14	57	221	100	301	300	0.14	7.27404189047984	0.18936877076412	9.83911693776343	0.130876641106225	0.453473216861599	0.739298245614035	0.393938689729737	1.36495438275341	18	96	1
SPAC227.04	28	537	417	100	726	300	0.28	14.5480837809597	0.739669421487603	38.4313311214844	0.0349572817857792	0.077258698055134	0.37854748603352	0.253789865764757	0.560898147880273	54	74	1
SPAC227.05	163	105	238	100	247	300	1.63	84.6906305820153	0.425101214574899	22.0871717322262	1.20625638497089	1.99867366779655	3.83438095238095	2.97945327087809	4.93672395945747	78	185	8.08075364067808e-12
SPAC227.06	192	625	231	100	873	300	1.92	99.7582887837236	0.715922107674685	37.1974814396163	0.260447140812703	0.362237874998854	2.681856	2.2737035392949	3.16233664873999	121	171	2.2307788068045e-10
