V4	CDK9as_dis2ts_3MBPP1_30Cr2_pr_counts	CDK9as_dis2ts_3MBPP1_30Cr2gb_counts	CDK9as_dis2ts_3MBPP1_30Cr2term_counts	CDK9as_dis2ts_3MBPP1_30Cr2pr_map	CDK9as_dis2ts_3MBPP1_30Cr2gb_map	CDK9as_dis2ts_3MBPP1_30Cr2term_map	CDK9as_dis2ts_3MBPP1_30Cr2pr_density	CDK9as_dis2ts_3MBPP1_30Cr2pr_densityRPKM	CDK9as_dis2ts_3MBPP1_30Cr2gb_density	CDK9as_dis2ts_3MBPP1_30Cr2gb_densityRPKM	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_low	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_high	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_scaled	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_low_scaled	CDK9as_dis2ts_3MBPP1_30Cr2pause_index_CI_high_scaled	CDK9as_dis2ts_3MBPP1_30Cr2_ExpPR	CDK9as_dis2ts_3MBPP1_30Cr2_ExpGB	CDK9as_dis2ts_3MBPP1_30Cr2Fexact_Pval
SPAC1006.03c	21	366	10	100	2770	300	0.21	94.4333347873069	0.132129963898917	59.4165386490533	0.0359793171561704	0.0905711457294932	1.58934426229508	0.996627085225919	2.50882073670696	14	107	1
SPAC1006.04c	0	75	28	100	3993	300	0	0	0.0187828700225394	8.44632882430923	0.00121547503949483	0.0646352056966976	0	0.0485339183270286	2.58088376346913	1	99	1
SPAC1006.05c	66	256	6	100	2032	300	0.66	296.790480760107	0.125984251968504	56.652919257477	0.194837066179069	0.340610727160458	5.23875	3.95908918475869	6.9212099759005	18	148	1.50996544554703e-15
SPAC1006.06	39	765	9	100	4139	300	0.39	175.376193176427	0.184827252959652	83.113589793129	0.036436052452054	0.0710436254377065	2.11007843137255	1.50808821099052	2.94049565686667	21	118	1
SPAC1006.07	138	1191	121	100	1302	300	1.38	620.561914316588	0.914746543778802	411.345555305693	0.0967482139353528	0.13868893745098	1.50861460957179	1.25966174543829	1.80572996561176	113	125	1
SPAC1006.08	4	143	78	100	1457	300	0.04	17.9873018642489	0.0981468771448181	44.13493765593	0.00882964175235916	0.0782173156740131	0.407552447552448	0.128647880331873	1.13962628937037	9	95	1
SPAC1006.09	61	608	14	100	4844	300	0.61	274.306353429796	0.125516102394715	56.442400564943	0.0763976457553994	0.131494556098451	4.85993421052632	3.70070196039155	6.36959629740898	17	144	4.00458618449095e-14
SPAC1039.01	0	61	3	100	2977	300	0	0	0.0204904266039637	9.21418721631832	0.00149545868574188	0.0796917976497406	0	0.0445198050745357	2.37242481603278	2	98	1
SPAC1039.02	0	326	40	100	2733	300	0	0	0.119282839370655	53.6394109746172	0.000278994782791394	0.0147318724313739	0	0.00762492741368881	0.402622073549448	10	90	1
SPAC1039.03	7	158	4	100	1499	300	0.07	31.4777782624356	0.105403602401601	47.3981603494218	0.0190728818992973	0.0975427835561827	0.664113924050633	0.285902499670467	1.46216632550718	10	97	1
SPAC1039.04	12	104	6	100	1844	300	0.12	53.9619055927468	0.0563991323210412	25.3617054485072	0.0604017139140002	0.215440292688093	2.12769230769231	1.11380760457416	3.97271899716843	5	107	1
SPAC1039.05c	3	141	10	100	3153	300	0.03	13.4904763981867	0.0447193149381541	20.1094954238749	0.00542512669864915	0.0688284810004342	0.670851063829787	0.171054244808408	2.17016200594369	4	99	1
SPAC1039.06	5	99	2	100	1966	300	0.05	22.4841273303112	0.0503560528992879	22.6442381047895	0.0181573778684818	0.12860976239496	0.992929292929293	0.356974048894351	2.52846792868491	5	100	1
SPAC1039.07c	3	113	8	100	1430	300	0.03	13.4904763981867	0.079020979020979	35.5343550814708	0.00674816527677862	0.0862026439994144	0.379646017699115	0.0964987634579343	1.23269780919163	7	96	1
SPAC1039.08	4	54	3	100	995	300	0.04	17.9873018642489	0.0542713567839196	24.4048819263679	0.0228339397599397	0.212824030747002	0.737037037037037	0.2271977006114	2.11759910593267	5	99	1
SPAC1039.09	0	68	3	100	3060	300	0	0	0.0222222222222222	9.9929454801383	0.00134100853295958	0.071378156983176	0	0.0410348611085632	2.18417160368519	2	98	1
SPAC1039.10	1	7	5	100	888	300	0.01	4.49682546606223	0.00788288288288288	3.54479484937338	0.00660323359662749	1.14229470290644	1.26857142857143	0.0586367143380521	10.1435769618091	0	101	1
SPAC1039.11c	1	257	4	100	3471	300	0.01	4.49682546606223	0.0740420628061078	33.2954233586285	0.000202400310597646	0.0254142929815074	0.135058365758755	0.0070253147808443	0.882130109388123	6	95	1
SPAC105.01c	24	250	2	100	3151	300	0.24	107.923811185494	0.0793398920977468	35.6777647259777	0.0616538723973464	0.14826592004032	3.02496	1.94271351924039	4.67185914047047	9	115	0.122311204743528
SPAC105.02c	20	500	42	100	1418	300	0.2	89.9365093212447	0.352609308885755	158.562251976807	0.0248765585344258	0.0636078169041109	0.5672	0.352749600018158	0.901958843700293	31	89	1
SPAC105.03c	15	286	2	100	2487	294	0.15	67.4523819909335	0.114997989545637	51.712588793478	0.0300398211932007	0.0900272309145814	1.30437062937063	0.7470903530749	2.23897723284564	11	104	1
SPAC1071.01c	43	299	4	100	2319	300	0.43	193.363495040676	0.128934885726606	57.9797677599227	0.103052872680756	0.200037768670107	3.33501672240803	2.38979611746674	4.63887585545978	16	127	3.82561011718082e-05
SPAC1071.02	7	117	9	100	3405	300	0.07	31.4777782624356	0.0343612334801762	15.4516469758967	0.0255997973108939	0.132595411056678	2.03717948717949	0.871673098435937	4.51487374647989	3	104	1
SPAC1071.03c	10	146	2	100	1677	300	0.1	44.9682546606223	0.0870602265951103	39.1494644034041	0.0340240602129133	0.133679857064242	1.1486301369863	0.570583489770557	2.24181120296733	8	102	1
SPAC1071.04c	12	48	44	100	331	300	0.12	53.9619055927468	0.145015105740181	65.2107620456155	0.125999857034699	0.485967373759443	0.8275	0.417059526784855	1.60855200714376	14	98	1
SPAC1071.05	15	198	29	100	1458	300	0.15	67.4523819909335	0.135802469135802	61.0680001564007	0.0431230126395309	0.130877668218336	1.10454545454545	0.628733524284361	1.90819640262334	13	102	1
SPAC1071.06	39	182	4	100	1678	300	0.39	175.376193176427	0.108462455303933	48.7736731122364	0.149274641492129	0.306507618336184	3.59571428571429	2.50482848423793	5.14319783568117	13	126	4.17976657132422e-05
SPAC1071.07c	92	379	52	100	468	300	0.92	413.707942877725	0.80982905982906	364.165993939655	0.191994339778763	0.306614150829414	1.13604221635884	0.898533510164612	1.43495422588166	85	107	1
SPAC1071.08	30	239	79	100	320	300	0.3	134.904763981867	0.746875	335.856651996523	0.0842212875331579	0.186013663375278	0.401673640167364	0.269508120106105	0.595243722800888	55	75	1
SPAC1071.09c	32	61	239	100	2232	300	0.32	143.898414913991	0.0273297491039427	12.2897111751701	0.334455704189287	0.820115291739434	11.7088524590164	7.4650513175049	18.3049733116242	3	129	3.20063637821586e-15
SPAC1071.10c	132	6758	129	100	4273	300	1.32	593.580961520215	1.58155862391762	711.199309610311	0.016376503104493	0.0232813029097498	0.834619709973365	0.699767977654986	0.994810073333607	142	90	1
SPAC1071.11	4	246	15	100	2136	300	0.04	17.9873018642489	0.115168539325843	51.7892820529639	0.00516426005193594	0.0451531375215411	0.347317073170732	0.110308594709352	0.964471017460118	10	94	1
SPAC1071.12c	1	49	5	100	736	300	0.01	4.49682546606223	0.0665760869565217	29.9381043256861	0.00104598122796186	0.136503271149038	0.150204081632653	0.0076984218377993	1.00466407565692	6	95	1
SPAC1071.13	2	404	15	100	3378	300	0.02	8.99365093212447	0.11959739490823	53.7808611098029	0.000854431464082864	0.0200569665721571	0.167227722772277	0.0288626948567191	0.677524330807467	10	92	1
SPAC1093.01	41	571	8	100	5223	300	0.41	184.369844108552	0.109324143212713	49.1611591254362	0.0515948530448501	0.0995602689630821	3.75031523642732	2.69479917453252	5.20003284794178	13	128	1.89903688116901e-06
SPAC1093.02	45	284	7	100	992	300	0.45	202.357145972801	0.286290322580645	128.739761326782	0.11418913121286	0.219204601762884	1.57183098591549	1.13275618163157	2.17450964948781	32	113	1
SPAC1093.03	6	243	4	100	3353	300	0.06	26.9809527963734	0.0724724127646883	32.5895791307224	0.0099302952419378	0.0573452210549935	0.827901234567901	0.332962799462174	1.92278526197393	7	99	1
SPAC1093.04c	7	152	2	100	4949	300	0.07	31.4777782624356	0.0307132754091736	13.8112239006155	0.0198120806360908	0.101468633726352	2.27914473684211	0.980499870680134	5.02168268311717	3	104	1
SPAC1093.05	23	242	7	100	2479	300	0.23	103.426985719431	0.0976200080677693	43.8980138276345	0.0604379771374915	0.148162192647708	2.35607438016529	1.49825745323841	3.67294075573668	10	113	1
SPAC1093.06c	5	241	5	100	12942	300	0.05	22.4841273303112	0.0186215422654922	8.37378254768195	0.00756334235923529	0.0520230421135817	2.6850622406639	0.978847768132231	6.73282211033974	1	104	1
SPAC1093.07	0	63	5	100	1791	300	0	0	0.0351758793969849	15.8179790263496	0.00144781535823982	0.0771252286017842	0	0.0259303730660751	1.38131284425795	3	97	1
SPAC10F6.01c	101	1692	20	100	4905	300	1.01	454.179372072286	0.344954128440367	155.119850939394	0.0485726125081333	0.0732885486136804	2.92792553191489	2.38248664352394	3.59480330950102	51	150	1.2969522172226e-09
SPAC10F6.02c	15	326	6	100	3591	300	0.15	67.4523819909335	0.0907825118351434	40.8233111093369	0.0263993699443197	0.0788401298427193	1.65230061349693	0.948001374700521	2.83114906265205	9	106	1
SPAC10F6.03c	107	849	52	100	2113	300	1.07	481.160324868659	0.401798390913393	180.681723648218	0.102526041173229	0.154793893283621	2.66302709069494	2.16637524999032	3.2707949650829	59	148	1.1566976095393e-07
SPAC10F6.04	0	206	8	100	2665	300	0	0	0.0772983114446529	34.7597015387925	0.000441691591756431	0.0233513775206741	0	0.0117710809203089	0.622314210925964	7	93	1
SPAC10F6.05c	1	215	33	100	2025	300	0.01	4.49682546606223	0.106172839506173	47.7440728495496	0.00024177316066714	0.0304121704677968	0.0941860465116279	0.00489590650350958	0.615846451972886	9	92	1
SPAC10F6.06	84	703	92	100	890	300	0.84	377.733339149228	0.789887640449438	355.198685690084	0.0946472244824857	0.150665250728013	1.06344238975818	0.842360297894123	1.34092073147932	81	103	1
SPAC10F6.07c	8	8	5	100	366	300	0.08	35.9746037284979	0.0218579234972678	9.82912670177537	0.342538949259731	2.91937603639272	3.66	1.25369255429062	10.6849162931973	2	106	1
SPAC10F6.08c	17	201	22	100	983	300	0.17	76.446032923058	0.204476093591048	91.9493304861149	0.0498278022695994	0.141591981585723	0.831393034825871	0.489807296310162	1.39184917898766	19	98	1
SPAC10F6.09c	53	453	42	100	3689	300	0.53	238.331749701298	0.122797506099214	55.2198952595877	0.0870782248016173	0.15681531116854	4.31604856512141	3.21231571293166	5.78491682900746	16	137	2.24939344841725e-10
SPAC10F6.10	6	107	9	100	1670	300	0.06	26.9809527963734	0.0640718562874251	28.8119955011173	0.0222518626115412	0.132149334440371	0.936448598130841	0.371606105612738	2.20689388515419	6	100	1
SPAC10F6.11c	13	167	1	100	2545	300	0.13	58.458731058809	0.0656188605108055	29.5076562998976	0.0423282079977608	0.140220294377481	1.9811377245509	1.07725289354301	3.5686064919069	6	107	1
SPAC10F6.12c	20	29	6	100	987	300	0.2	89.9365093212447	0.0293819655521783	13.2125570937999	0.375882272627381	1.25957025668257	6.80689655172414	3.70995803083225	12.4319584334569	3	117	9.06800735376397e-05
SPAC10F6.13c	104	712	52	100	1199	300	1.04	467.669848470472	0.593828190158465	267.034172797023	0.11824254553628	0.180284410015803	1.75134831460674	1.41772812098	2.16161007608947	76	128	0.686823045926501
SPAC10F6.14c	17	172	92	100	1579	300	0.17	76.446032923058	0.108929702343255	48.9837859507729	0.0580252703717202	0.166066803245196	1.56063953488372	0.916219019169462	2.62219482324164	11	106	1
SPAC10F6.15	0	6	0	100	1234	300	0	0	0.00486223662884927	2.186462949463	0.0157393406208896	0.93492067967121	0	0.194223463261777	11.5369211871427	0	100	1
SPAC10F6.16	24	458	36	100	1061	300	0.24	107.923811185494	0.431668237511781	194.113672333318	0.0339594156479216	0.0801854091449074	0.555982532751092	0.360309400024449	0.850767191027468	37	87	1
SPAC10F6.17c	0	186	3	100	1801	300	0	0	0.103275957801222	46.4413957072502	0.000489242154341431	0.0258745383281726	0	0.00881125119968917	0.466000435290389	9	91	1
SPAC110.01	2	750	64	100	5792	300	0.02	8.99365093212447	0.129488950276243	58.2289209175876	0.00046100752963069	0.0107816378197149	0.154453333333333	0.0267015561162095	0.624472462517889	11	91	1
SPAC110.02	16	216	162	100	3853	300	0.16	71.9492074569957	0.0560602128211783	25.2092992647143	0.0429999711775729	0.12567630322783	2.85407407407407	1.65678888947188	4.8423079633683	6	110	1
SPAC110.03	41	320	11	100	1448	300	0.41	184.369844108552	0.220994475138122	99.3773583660162	0.0912637801692617	0.179235405886214	1.85525	1.32149953685091	2.59532867723237	25	116	1
SPAC110.04c	45	971	30	100	2755	300	0.45	202.357145972801	0.352450090744102	158.490654357402	0.0339557210195388	0.0630463220440964	1.27677651905252	0.935480114088295	1.73692617231486	37	108	1
SPAC110.05	0	17	71	100	1707	300	0	0	0.00995899238429994	4.47838505700398	0.00541762860743838	0.297388981119444	0	0.0924789203289732	5.0764299077089	0	100	1
SPAC1142.01	47	206	4	100	1904	300	0.47	211.350796904925	0.108193277310924	48.6526284668498	0.164036868253402	0.316487972099687	4.34407766990291	3.12326197154478	6.02593098877804	14	133	9.7630409594152e-09
SPAC1142.02c	63	252	17	100	1080	300	0.63	283.300004361921	0.233333333333333	104.925927541452	0.187819525348213	0.332205345888886	2.7	2.0284508737607	3.58781773559996	30	133	0.000238811706637647
SPAC1142.03c	2	291	175	100	2243	300	0.02	8.99365093212447	0.129736959429336	58.340446305132	0.00118459078617223	0.0278940429368689	0.154158075601375	0.0265703713338431	0.62566338307397	11	91	1
SPAC1142.04	13	433	17	100	2169	300	0.13	58.458731058809	0.199631166436146	89.7706513049768	0.0165510724642242	0.0533111288822614	0.651200923787529	0.358992761749024	1.15631838545625	18	95	1
SPAC1142.05	45	318	31	100	969	300	0.45	202.357145972801	0.328173374613003	147.573838824333	0.102230325884663	0.195281310704927	1.37122641509434	0.990611857822383	1.89227590073074	35	110	1
SPAC1142.06	6	278	13	100	1508	300	0.06	26.9809527963734	0.184350132625995	82.8990371064523	0.00869171645946522	0.0500525880639486	0.325467625899281	0.131071084208735	0.754793028004345	16	90	1
SPAC1142.07c	13	199	24	100	1016	300	0.13	58.458731058809	0.195866141732283	88.0775854081087	0.0356485428581725	0.117234870332112	0.663718592964824	0.362189195439033	1.19110628257426	18	95	1
SPAC1142.08	37	523	29	100	2324	300	0.37	166.382542244303	0.225043029259897	101.197922493569	0.0499264175634842	0.0998152597661611	1.64413001912046	1.16028994417537	2.31970663696558	25	112	1
SPAC1142.09	3	0	42	100	3	300	0.03	13.4904763981867	0	0	0.449250381531113	30.4904450141133	NA	0.0134775114459334	0.914713350423399	0	103	1
SPAC11D3.01c	2	2	9	100	130	300	0.02	8.99365093212447	0.0153846153846154	6.91819302471113	0.101199373606884	9.88148408788154	1.3	0.131559185688949	12.845929314246	1	101	1
SPAC11D3.02c	11	85	44	100	450	300	0.11	49.4650801266846	0.188888888888889	84.9400365811755	0.0653778142652239	0.249645017405388	0.582352941176471	0.294200164193508	1.12340257832424	17	94	1
SPAC11D3.03c	1	13	19	100	1284	300	0.01	4.49682546606223	0.0101246105919003	4.55286067436207	0.00375396436557918	0.55840707127902	0.987692307692308	0.0482009024540367	7.16994679522262	1	100	1
SPAC11D3.04c	0	53	4	100	1836	300	0	0	0.0288671023965142	12.9810321188071	0.00172214121145853	0.0919284576549814	0	0.0316185126423787	1.68780648254546	2	98	1
SPAC11D3.05	40	366	1	100	1753	300	0.4	179.873018642489	0.208784940102681	93.8869435584015	0.0777334197822934	0.153082377261408	1.91584699453552	1.3626668487836	2.68353407339249	24	116	1
SPAC11D3.06	8	130	8	100	1521	300	0.08	35.9746037284979	0.0854700854700855	38.4344056928396	0.0279663207211492	0.12965712245268	0.936	0.42536773816868	1.97208483250526	8	100	1
SPAC11D3.07c	20	225	2	100	4030	300	0.2	89.9365093212447	0.0558312655086849	25.1063456541936	0.0546659982476305	0.142986949290824	3.58222222222222	2.20303972937951	5.76237405642019	6	114	0.0530514989710572
SPAC11D3.08c	17	337	63	100	3214	300	0.17	76.446032923058	0.104853764779091	47.1509079671118	0.0299725266357273	0.0837134665758614	1.6213056379822	0.963317006072275	2.69055081574819	11	106	1
SPAC11D3.09	2	59	5	100	1729	300	0.02	8.99365093212447	0.0341237709658762	15.3448642277427	0.00573195183624123	0.14098889810648	0.586101694915254	0.0991054472486108	2.43769804826104	3	99	1
SPAC11D3.10	1	93	0	100	4126	300	0.01	4.49682546606223	0.0225399903053805	10.1358402410031	0.00055587983277834	0.070927644740107	0.443655913978495	0.0229356019004343	2.92647462197681	2	99	1
SPAC11D3.11c	5	140	6	100	2151	300	0.05	22.4841273303112	0.0650860065086006	29.2680411552168	0.0129285718790565	0.0902527886333606	0.768214285714286	0.278093581118506	1.94133748350359	6	99	1
SPAC11D3.13	1	60	17	100	920	300	0.01	4.49682546606223	0.0652173913043478	29.3271226047537	0.000857068701558265	0.11087817119528	0.153333333333333	0.00788503205433603	1.02007917499657	6	95	1
SPAC11D3.14c	11	126	2	100	4308	300	0.11	49.4650801266846	0.0292479108635097	13.1522750400149	0.0446735684552444	0.166141634696447	3.76095238095238	1.92453732905193	7.15738162272294	3	108	1
SPAC11D3.15	13	230	4	100	3921	300	0.13	58.458731058809	0.0586585054832951	26.3777061258433	0.0309215989452516	0.101167187748586	2.21621739130435	1.21243589464331	3.96676543162205	6	107	1
SPAC11D3.16c	7	259	9	100	945	300	0.07	31.4777782624356	0.274074074074074	123.246327588372	0.0117152095235734	0.0590675879696904	0.255405405405405	0.110708729997768	0.558188706313574	23	84	1
SPAC11D3.17	9	155	12	100	3291	300	0.09	40.4714291945601	0.0470981464600425	21.1792144405848	0.0277658974150905	0.117075946211009	1.91090322580645	0.913775683930628	3.85296938980431	4	105	1
SPAC11D3.18c	10	74	11	100	2031	300	0.1	44.9682546606223	0.0364352535696701	16.3842976114527	0.0657089268574111	0.269805006637557	2.74459459459459	1.33454830447402	5.47973968480878	3	107	1
SPAC11D3.19	21	87	2	100	1210	300	0.21	94.4333347873069	0.071900826446281	32.3325467394557	0.145493684070742	0.396904723489129	2.92068965517241	1.76047357725598	4.80254715421846	8	113	0.982455956214947
SPAC11E3.01c	5	452	9	100	3812	300	0.05	22.4841273303112	0.118572927597062	53.3201760404021	0.00405118133906199	0.027598233743179	0.421681415929203	0.154431032645043	1.05204467028998	11	94	1
SPAC11E3.02c	3	320	4	100	3850	300	0.03	13.4904763981867	0.0831168831168831	37.3762116659718	0.00240756334826165	0.0300740132274365	0.3609375	0.0926911889080734	1.1578495092563	7	96	1
SPAC11E3.03	1	44	3	100	987	300	0.01	4.49682546606223	0.0445795339412361	20.0466383492136	0.00116244621996113	0.152524184436484	0.224318181818182	0.0114733441910164	1.50541370038809	4	97	1
SPAC11E3.04c	23	143	14	100	714	300	0.23	103.426985719431	0.200280112044818	90.0624708188935	0.100897246118317	0.254270688087051	1.14839160839161	0.720406337284786	1.81549271294155	20	103	1
SPAC11E3.05	5	127	8	100	3997	300	0.05	22.4841273303112	0.0317738303727796	14.2881369574657	0.0142276573122991	0.0996797821223748	1.57362204724409	0.568679462772593	3.98420089143132	3	102	1
SPAC11E3.06	3	48	40	100	1847	300	0.03	13.4904763981867	0.0259880887926367	11.6863899497015	0.0155539315870732	0.208111576518362	1.154375	0.287281116413243	3.84382081829414	2	101	1
SPAC11E3.07	103	398	12	100	1208	300	1.03	463.17302300441	0.329470198675497	148.156997971256	0.207113915289382	0.323111831075667	3.12623115577889	2.50193609669574	3.90319091939406	50	153	6.9668518214166e-10
SPAC11E3.08c	16	56	2	100	1531	300	0.16	71.9492074569957	0.0365774003919007	16.4482185564654	0.157514042832496	0.511636815208729	4.37428571428571	2.41153999576551	7.83315964084565	4	112	0.0824672902399773
SPAC11E3.09	5	56	3	100	1333	300	0.05	22.4841273303112	0.0420105026256564	18.8913898049126	0.0315339672071874	0.231929730515963	1.19017857142857	0.420347782871808	3.09162330777779	4	101	1
SPAC11E3.10	12	184	9	100	1069	300	0.12	53.9619055927468	0.172123479887746	77.4009247666465	0.0346474717262829	0.119897975995959	0.697173913043478	0.370381472753964	1.2817093633968	16	96	1
SPAC11E3.11c	9	330	6	100	3255	300	0.09	40.4714291945601	0.101382488479263	45.5899356006309	0.0131822528066279	0.0543682995232092	0.887727272727273	0.429082328855739	1.76968814948046	10	99	1
SPAC11E3.12	7	80	3	100	2724	300	0.07	31.4777782624356	0.0293685756240822	13.2065358768348	0.0370391894100321	0.196195188211891	2.3835	1.00894751952927	5.34435692689191	3	104	1
SPAC11E3.13c	85	1123	34	100	2103	300	0.85	382.23016461529	0.533999048977651	240.130052229571	0.0603198833022417	0.0948604959989282	1.59176313446126	1.26852714584614	1.99491623085746	64	121	1
SPAC11E3.14	12	173	7	100	2681	300	0.12	53.9619055927468	0.0645281611339053	29.0171878265112	0.0368050772207382	0.1276864123388	1.85965317919075	0.98674412028799	3.42327271480324	6	106	1
SPAC11E3.15	66	526	295	100	406	300	0.66	296.790480760107	1.29556650246305	582.593644125304	0.0962990061480353	0.163207289444918	0.509429657794677	0.390973964961023	0.662621595146367	93	73	1
SPAC11G7.01	83	1475	92	100	2966	300	0.83	373.236513683165	0.497302764666217	223.62837364942	0.0448138673035942	0.0705669575831061	1.66900338983051	1.3291793042246	2.09301596191493	60	123	1
SPAC11G7.02	48	765	22	100	2923	300	0.48	215.847622370987	0.261717413616148	117.689753046104	0.046336169677759	0.0847166620708606	1.83403921568627	1.3544062396809	2.47626803233125	30	118	1
SPAC11G7.03	16	343	41	100	1164	300	0.16	71.9492074569957	0.2946735395189	132.509547668329	0.0272705491444658	0.0785668396456461	0.542973760932945	0.317429192041582	0.914518013475321	26	90	1
SPAC11G7.04	21	363	185	93	363	300	0.225806451612903	101.541220201405	1	449.682546606223	0.0362728152713236	0.0913296218911905	0.225806451612903	0.141580988639682	0.356480137059163	57	57	1
SPAC11G7.05c	1	136	0	100	1975	296	0.01	4.49682546606223	0.0688607594936709	30.9654816903526	0.000381286087926348	0.0482652736722331	0.145220588235294	0.00753040023654538	0.953239155026604	6	95	1
