CDK9as_dis2ts_3MBPP1_18Cr2_pr_counts	CDK9as_dis2ts_3MBPP1_18Cr2gb_counts	CDK9as_dis2ts_3MBPP1_18Cr2term_counts	CDK9as_dis2ts_3MBPP1_18Cr2pr_map	CDK9as_dis2ts_3MBPP1_18Cr2gb_map	CDK9as_dis2ts_3MBPP1_18Cr2term_map	CDK9as_dis2ts_3MBPP1_18Cr2pr_density	CDK9as_dis2ts_3MBPP1_18Cr2pr_densityRPKM	CDK9as_dis2ts_3MBPP1_18Cr2gb_density	CDK9as_dis2ts_3MBPP1_18Cr2gb_densityRPKM	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_low	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_high	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_scaled	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_low_scaled	CDK9as_dis2ts_3MBPP1_18Cr2pause_index_CI_high_scaled	CDK9as_dis2ts_3MBPP1_18Cr2_ExpPR	CDK9as_dis2ts_3MBPP1_18Cr2_ExpGB	CDK9as_dis2ts_3MBPP1_18Cr2Fexact_Pval
SPAC24B11.14	8	16	109	100	596	300	0.08	25.1323453598936	0.0268456375838926	8.43367293956162	0.196552066877981	1.2375093142326	2.98	1.17145031859277	7.3755555128263	2	106	1
SPAC24B11.13	31	1228	24	100	2075	300	0.31	97.3878382695878	0.591807228915663	185.918795794876	0.017366887942979	0.0364834065597268	0.523819218241042	0.360362924816815	0.757030686114331	48	83	1
SPNCRNA.625	2	34	3	100	1669	300	0.02	6.2830863399734	0.0203714799281007	6.39978836306458	0.00977594851961347	0.25022499125925	0.981764705882353	0.163160580792349	4.17625510411688	2	100	1
SPNCRNA.627	1	42	15	100	761	300	0.01	3.1415431699867	0.0551905387647832	17.3383460104391	0.00121663271361786	0.160036851469115	0.181190476190476	0.0092585749506319	1.21788043967996	5	96	1
SPNCRNA.144	2	35	15	100	431	300	0.02	6.2830863399734	0.0812064965197216	25.511371450008	0.00950763214357373	0.242707696571695	0.246285714285714	0.0409778945388028	1.046070172224	7	95	1
SPNCRNA.628	0	32	4	100	1566	300	0	0	0.0204342273307791	6.41950073049645	0.00286022979559656	0.15399674612007	0	0.0447911985990422	2.41158904424029	2	98	1
SPNCRNA.145	2	13	5	100	719	300	0.02	6.2830863399734	0.0180806675938804	5.68011977883548	0.0240005686740661	0.712651641747209	1.10615384615385	0.172564088766535	5.12396530416243	1	101	1
SPAC806.05	0	170	1	100	2921	300	0	0	0.0581992468332763	18.2835446387449	0.000535348784141332	0.0283228022488608	0	0.0156375379847683	0.827309053689224	5	95	1
SPAC806.07	22	264	138	100	469	300	0.22	69.1139497397075	0.562899786780384	176.837398054689	0.0525565528484052	0.130900491996415	0.390833333333333	0.24649023285902	0.613923307463185	43	79	1
SPNCRNA.630	1	137	0	100	2184	300	0.01	3.1415431699867	0.0627289377289377	19.7065665882865	0.000378521250794351	0.0479092728317716	0.159416058394161	0.00826690411734863	1.04633851864589	5	96	1
SPNCRNA.631	0	4	2	100	863	300	0	0	0.00463499420625724	1.45610343915954	0.0240893601812892	1.52670069174082	0	0.207891178364526	13.1754269697233	0	100	1
SPAC1F5.11c	14	1053	81	100	11254	300	0.14	43.9816043798138	0.0935667318286831	29.3943927314377	0.00753814576560343	0.0230023065647387	1.49625830959164	0.84834292446101	2.58867958079569	9	105	1
SPNCRNA.633	7	59	4	100	947	300	0.07	21.9908021899069	0.0623020063357973	19.5724442480692	0.0496274982626036	0.269507574431861	1.1235593220339	0.469972408546856	2.55223672986973	6	101	1
SPAC1F5.09c	4	68	39	100	1569	300	0.04	12.5661726799468	0.0433397068196303	13.6153559948436	0.0182743894999811	0.167504599733104	0.922941176470588	0.286725171254703	2.6281471698124	4	100	1
SPAC1F5.08c	22	147	11	100	1608	300	0.22	69.1139497397075	0.0914179104477612	28.719331218162	0.0930649191163334	0.238525344296926	2.4065306122449	1.49648389939064	3.83548753629457	10	112	1
SPAC1F5.07c	7	165	12	100	1526	300	0.07	21.9908021899069	0.108125819134993	33.9681928602756	0.0182772947137903	0.0933298877917029	0.647393939393939	0.278911517332441	1.42421408770139	10	97	1
SPAC1F5.05c	4	95	14	100	731	300	0.04	12.5661726799468	0.129958960328317	40.8271684197998	0.0131936813436752	0.118724768920135	0.307789473684211	0.0964458106222658	0.867878060806187	11	93	1
SPAC1F5.04c	10	861	11	100	5667	300	0.1	31.415431699867	0.151932239280042	47.7301688611002	0.00587906903604841	0.0222231665336429	0.658188153310104	0.333166842272864	1.25938684746154	14	96	1
SPAC1F5.03c	20	607	6	100	1926	300	0.2	62.830863399734	0.315160955347871	99.0091746719589	0.0205249483223842	0.0523073388517118	0.634596375617792	0.39531050468912	1.00743934628397	28	92	1
SPNCRNA.148	0	0	1	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	4	13	7	100	506	300	0.04	12.5661726799468	0.0256916996047431	8.07115834186307	0.0848707622678806	1.00958058009583	1.55692307692308	0.429446057075476	5.1084777352849	2	102	1
SPAC18B11.09c	3	85	7	100	960	300	0.03	9.42462950996011	0.0885416666666667	27.8157468175906	0.00892465873441193	0.11530530193966	0.338823529411765	0.0856767238503545	1.10693089862074	8	95	1
SPAC18B11.08c	16	125	45	100	553	300	0.16	50.2646907197872	0.226039783001808	71.0113736434607	0.073299096339879	0.220262164350735	0.70784	0.405344002759531	1.21804976885956	21	95	1
SPAC18B11.07c	68	411	39	100	957	300	0.68	213.624935559096	0.429467084639498	134.918938648332	0.126899639698589	0.215363784502129	1.58335766423358	1.2144295519155	2.06103141768537	50	118	1
SPAC18B11.03c	11	244	123	100	1723	300	0.11	34.5569748698537	0.141613464886825	44.4884813393358	0.0233740766938377	0.0846173667952595	0.776762295081967	0.402735341434823	1.45795722988232	13	98	1
SPAC18B11.02c	28	372	19	100	1187	300	0.28	87.9632087596277	0.313395113732098	98.4544279052277	0.0502386155611567	0.112033834531492	0.893440860215054	0.59633236671093	1.32984161588881	30	98	1
SPAC12G12.16c	10	104	14	100	1991	300	0.1	31.415431699867	0.0522350577599196	16.4098688939536	0.0473386358632659	0.189455601625756	1.91442307692308	0.942512240037625	3.77206102836879	5	105	1
SPNCRNA.637	3	39	20	100	1253	300	0.03	9.42462950996011	0.0311252992817239	9.77814713722916	0.0189841980592871	0.258723898903967	0.963846153846154	0.237872001682867	3.2418104532667	3	100	1
SPAC12G12.14c	5	202	89	100	1844	300	0.05	15.7077158499335	0.109544468546638	34.4138676972513	0.00900658142377655	0.0621965720198358	0.456435643564357	0.16608136145444	1.14690478804577	10	95	1
SPAC12G12.13c	17	480	16	100	2129	300	0.17	53.4062338897739	0.225457961484265	70.8285919020017	0.0211229280048405	0.0585450364463833	0.754020833333333	0.449707137223055	1.2464238259435	21	96	1
SPAC12G12.11c	2	213	10	100	1362	300	0.02	6.2830863399734	0.156387665198238	49.1298601473691	0.00161547812579536	0.0381958977792599	0.127887323943662	0.0220028120733327	0.520228127753519	13	89	1
SPAC12G12.17	1	53	4	100	508	300	0.01	3.1415431699867	0.104330708661417	32.7759425215148	0.000968365163577685	0.125921257823647	0.0958490566037736	0.00491929503097464	0.639679989744125	9	92	1
SPAC12G12.07c	12	616	19	100	1327	300	0.12	37.6985180398404	0.464204973624717	145.831996436459	0.0104927594723812	0.0353020899346928	0.258506493506494	0.139238918198499	0.468458733433374	35	77	1
SPAC12G12.06c	8	370	53	100	1638	300	0.08	25.1323453598936	0.225885225885226	70.9628188580635	0.00997219077030454	0.0448426884831199	0.354162162162162	0.163344484817588	0.734523237353504	19	89	1
SPAC12G12.05c	18	200	7	100	1251	300	0.18	56.5477770597606	0.159872102318145	50.2245111108985	0.0538032715012933	0.148659982475197	1.1259	0.673078926481179	1.85973638076471	16	102	1
SPNCRNA.639	0	25	3	100	1545	300	0	0	0.0161812297734628	5.08340318768075	0.00366831680942558	0.19871450933181	0	0.0566754947056252	3.07013916917647	1	99	1
SPNCRNA.640	1	1	0	100	565	300	0.01	3.1415431699867	0.00176991150442478	0.556025339820655	0.027408528703162	36.4849938072245	5.65	0.154858187172865	206.140215010818	0	101	1
SPAC12G12.01c	6	326	5	100	3100	300	0.06	18.8492590199202	0.105161290322581	33.0368733359892	0.00742213197115145	0.0426193474905729	0.570552147239264	0.230086091105695	1.32119977220776	10	96	1
SPAC630.03	8	691	29	100	1646	300	0.08	25.1323453598936	0.419805589307412	131.883738181094	0.00535981519838262	0.0239153550507329	0.190564399421129	0.088222558165378	0.393646744135064	31	77	1
SPAC630.05	15	437	9	100	2562	300	0.15	47.1231475498005	0.170569867291179	53.5852601594141	0.0197557667458443	0.0586233851649083	0.879405034324943	0.506142744028532	1.50193112792495	16	99	1
SPNCRNA.641	0	7	6	100	428	300	0	0	0.0163551401869159	5.13803789483806	0.0134151780994594	0.782741335671289	0	0.0574169622656864	3.35013291667312	1	99	1
SPAC630.15	3	95	4	100	2081	300	0.03	9.42462950996011	0.0456511292647765	14.3414993343939	0.00800281390840163	0.102899050646916	0.657157894736842	0.166538557433838	2.14132924396231	4	99	1
SPAC630.10	197	83	12	100	1094	300	1.97	618.88400448738	0.0758683729433272	23.8343768838114	1.82298109653994	3.09308763714738	25.9660240963855	19.943413196147	33.8383787503924	20	277	1.88709474625724e-96
SPAC630.11	4	125	22	100	944	300	0.04	12.5661726799468	0.132415254237288	41.5988237551205	0.0100799247228649	0.0896940889225344	0.30208	0.0951544893838447	0.846712199428724	12	92	1
SPAC630.12	10	161	14	100	1506	300	0.1	31.415431699867	0.106905710491368	33.5848904626732	0.0309184848135216	0.120958424412754	0.935403726708075	0.465632381291635	1.82163387165608	10	100	1
SPAC1751.04	1	350	23	100	1652	300	0.01	3.1415431699867	0.211864406779661	66.5581180081928	0.000148758429198699	0.0186336305529594	0.0472	0.0024574892503625	0.307827576734889	17	84	1
SPAC1751.03	93	1180	51	100	1374	300	0.93	292.163514808763	0.858806404657933	269.797739489397	0.0634367046252631	0.0978131505089138	1.08289830508475	0.871620321551115	1.34395268799248	89	104	1
SPAC31A2.02	2	64	20	100	783	300	0.02	6.2830863399734	0.0817369093231162	25.6780029219858	0.00529396749921369	0.129663211239235	0.2446875	0.0414517655188432	1.01526294400321	7	95	1
SPAC31A2.03	9	257	13	100	898	300	0.09	28.2738885298803	0.28619153674833	89.9083067579713	0.0168807194861438	0.0700123441841661	0.314474708171206	0.151588860985572	0.628710850773811	24	85	1
SPAC31A2.06	8	296	1	100	4811	257	0.08	25.1323453598936	0.0615256703388069	19.3285549431732	0.0124401055594812	0.0561738997025949	1.30027027027027	0.598493478466641	2.70252631469184	6	102	1
SPAC31A2.08	0	132	9	100	777	300	0	0	0.16988416988417	53.3698453588474	0.000689724450334573	0.0365325128277514	0	0.00535915897909963	0.283857624671628	14	86	1
SPAC31A2.10	1	160	3	100	1783	300	0.01	3.1415431699867	0.089736399326977	28.1910772404864	0.000324415009699036	0.0409604394139384	0.1114375	0.00578431962293381	0.730324634750521	8	93	1
SPAC31A2.12	9	388	13	100	2450	300	0.09	28.2738885298803	0.158367346938776	49.7517857124425	0.0112277962813306	0.0461710441435928	0.568298969072165	0.275081008892599	1.13119058151802	14	95	1
SPAC31A2.14	21	595	17	100	3306	300	0.21	65.9724065697207	0.179975801572898	56.5401750194219	0.0222421190633713	0.0554292755543307	1.16682352941176	0.735324456235056	1.83249184982617	18	103	1
SPAC31A2.16	6	207	1	100	3850	300	0.06	18.8492590199202	0.0537662337662338	16.890894446422	0.0116357915984721	0.0674536289656269	1.11594202898551	0.447977976541175	2.59696471517663	5	101	1
SPAC13C5.02	14	240	27	100	1441	300	0.14	43.9816043798138	0.166551006245663	52.3227176125474	0.0326604643416748	0.102247590842733	0.840583333333333	0.470637291163534	1.47338778404378	16	98	1
SPAC13C5.03	11	57	120	100	2441	300	0.11	34.5569748698537	0.0233510856206473	7.33584435433191	0.0956686965822437	0.379840898609665	4.71070175438596	2.33527288357257	9.27191633506192	2	109	0.65728700141174
SPAC13C5.04	39	159	152	100	743	300	0.39	122.520183629481	0.21399730820996	67.2281782002538	0.170071680653187	0.352521851014103	1.82245283018868	1.26363258725318	2.61923735303478	24	115	1
SPNCRNA.05	0	5	1	100	539	300	0	0	0.00927643784786642	2.91423299627709	0.0190383591688732	1.16008855872718	0	0.102616755920227	6.25287733153951	0	100	1
SPAC13C5.07	0	792	32	100	4610	300	0	0	0.171800433839479	53.9718479529169	0.000114792684812317	0.00605396348417203	0	0.0052919427698478	0.279087716620331	14	86	1
SPAC23E2.01	13	1362	28	100	3301	300	0.13	40.8400612098271	0.412602241744926	129.620775447497	0.00529342289512383	0.0168433441303769	0.31507342143906	0.174735889768038	0.555998789743742	33	80	1
SPAC23E2.02	6	374	8	100	3817	300	0.06	18.8492590199202	0.0979827089337176	30.7816910027515	0.00647617130901146	0.0371083340941638	0.612352941176471	0.247195458864968	1.41642511237423	9	97	1
SPNCRNA.650	1	27	8	100	1924	300	0.01	3.1415431699867	0.014033264033264	4.40861047763207	0.00187061064467936	0.253746874604382	0.712592592592592	0.0359905488036308	4.88208986738832	1	100	1
SPRRNA.11	1	0	0	47	4	300	0.0212765957446809	6.68413440422703	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	1	22	56	100	759	300	0.01	3.1415431699867	0.0289855072463768	9.10592223184551	0.0022789459676721	0.315231910448174	0.345	0.0172971998946312	2.39261020030164	2	99	1
SPAC24H6.12c	9	280	10	100	1684	300	0.09	28.2738885298803	0.166270783847981	52.234684536596	0.0155097025066084	0.0641928551725662	0.541285714285714	0.261183390211286	1.08100768110601	15	94	1
SPAC24H6.11c	1	915	88	100	4261	300	0.01	3.1415431699867	0.21473832433701	67.4609716155323	5.69929402741995e-05	0.00710956391211148	0.046568306010929	0.00242846918508364	0.30293851829507	17	84	1
SPAC24H6.10c	25	572	57	100	992	300	0.25	78.5385792496675	0.576612903225806	181.145432785524	0.0286388561290127	0.0661753756457722	0.433566433566434	0.284097452799806	0.65645972640606	45	80	1
SPNCRNA.653	1	39	5	100	1202	300	0.01	3.1415431699867	0.0324459234608985	10.1930269242497	0.00130809652203615	0.172803354535776	0.308205128205128	0.0157233201948745	2.07709632152003	3	98	1
SPNCRNA.551	0	20	4	100	427	300	0	0	0.0468384074941452	14.7144879156286	0.00459577388787386	0.250708753220746	0	0.0196239545012214	1.07052637625259	4	96	1
SPAC24H6.02c	2	81	9	100	943	300	0.02	6.2830863399734	0.0858960763520679	26.9846231992495	0.00420223975367544	0.10184368249538	0.232839506172839	0.0396271208771594	0.960385925931429	8	94	1
SPAC24H6.01c	5	111	27	100	2002	300	0.05	15.7077158499335	0.0554445554445554	17.4181464469792	0.016235521176553	0.114383183978181	0.901801801801802	0.325035133954591	2.28995134324318	5	100	1
SPAPB21F2.02	26	633	45	100	5340	300	0.26	81.6801224196543	0.118539325842697	37.2396409475952	0.0271628098727536	0.0616483142542692	2.19336492890995	1.45049404720504	3.29201998117797	13	113	1
SPAPB21F2.03	15	127	46	100	758	300	0.15	47.1231475498005	0.16754617414248	52.6353539034711	0.066490656635581	0.206411658233267	0.895275590551181	0.503999177297704	1.56460036940816	16	99	1
SPNCRNA.655	43	189	5	100	2648	300	0.43	135.086356309428	0.0713746223564955	22.4226457374428	0.161052619557002	0.320416764012076	6.02455026455026	4.26467336586941	8.48463591103976	9	134	2.76949957554555e-12
SPNCRNA.656	3	15	26	100	301	300	0.03	9.42462950996011	0.0498338870431894	15.655530747442	0.046101519525487	0.73204421859004	0.602	0.138765573771716	2.20345309795602	4	99	1
SPAC227.04	11	49	29	100	726	300	0.11	34.5569748698537	0.0674931129476584	21.2032528001857	0.110273047721871	0.446212930399309	1.62979591836735	0.800582326460782	3.23950587469899	7	104	1
SPAC227.05	13	63	48	100	247	300	0.13	40.8400612098271	0.255060728744939	80.1284290320495	0.108299291739124	0.385809171761594	0.50968253968254	0.267499250595637	0.952948654251138	22	91	1
SPAC227.06	28	383	47	100	873	300	0.28	87.9632087596277	0.438717067583047	137.824860722212	0.0488159196390296	0.108770213722184	0.63822454308094	0.426162978448728	0.949563965794663	39	89	1
SPNCRNA.657	7	29	7	100	607	300	0.07	21.9908021899069	0.0477759472817133	15.0090200872511	0.096502847735673	0.576435985986173	1.4651724137931	0.585772285755535	3.49896643493607	4	103	1
