CDK9as_dis2ts_3MBPP1_30C_combined_pr_counts	CDK9as_dis2ts_3MBPP1_30C_combinedgb_counts	CDK9as_dis2ts_3MBPP1_30C_combinedterm_counts	CDK9as_dis2ts_3MBPP1_30C_combinedpr_map	CDK9as_dis2ts_3MBPP1_30C_combinedgb_map	CDK9as_dis2ts_3MBPP1_30C_combinedterm_map	CDK9as_dis2ts_3MBPP1_30C_combinedpr_density	CDK9as_dis2ts_3MBPP1_30C_combinedpr_densityRPKM	CDK9as_dis2ts_3MBPP1_30C_combinedgb_density	CDK9as_dis2ts_3MBPP1_30C_combinedgb_densityRPKM	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_low	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_high	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_scaled	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_low_scaled	CDK9as_dis2ts_3MBPP1_30C_combinedpause_index_CI_high_scaled	CDK9as_dis2ts_3MBPP1_30C_combined_ExpPR	CDK9as_dis2ts_3MBPP1_30C_combined_ExpGB	CDK9as_dis2ts_3MBPP1_30C_combinedFexact_Pval
SPNCRNA.147	2	3	13	100	333	300	0.02	4.31908445775298	0.00900900900900901	1.94553353952837	0.0782648165603505	4.86773260028688	2.22	0.260621839145967	16.2095495589553	0	102	1
SPAC11D3.15	26	507	8	100	3921	300	0.26	56.1480979507888	0.129303749043611	27.9236906411727	0.0338436474158944	0.0771309791266872	2.01076923076923	1.32700941517722	3.0243056915574	14	112	1
SPAC11D3.17	13	314	25	100	3291	300	0.13	28.0740489753944	0.0954117289577636	20.6045657814408	0.0227484385774566	0.0737678235176468	1.36251592356688	0.748651113584095	2.42769907196575	9	104	1
SPNCRNA.611	14	86	15	100	1474	300	0.14	30.2335912042709	0.0583446404341927	12.5997714846254	0.0886177504467408	0.293855704904207	2.39953488372093	1.30622564158496	4.33143309028801	6	108	1
SPAC5H10.01	5	25	8	100	687	300	0.05	10.7977111443825	0.0363901018922853	7.85859617495084	0.0672763464351095	0.549212697171498	1.374	0.462188500009202	3.77309122956819	3	102	1
SPNCRNA.613	2	22	6	100	416	300	0.02	4.31908445775298	0.0528846153846154	11.4206560180968	0.0147820536946115	0.398037829225762	0.378181818181818	0.061493343369584	1.65583736957917	5	97	1
SPAC5H10.03	1	788	109	100	3193	300	0.01	2.15954222887649	0.246789852803007	53.2953108786306	6.61678081643951e-05	0.00825748503149985	0.0405203045685279	0.00211273811468914	0.26366149705579	19	82	1
SPAC5H10.04	49	155	6	100	2498	300	0.49	105.817569214948	0.0620496397117694	13.3998817244138	0.226264196564536	0.440667451811111	7.89690322580645	5.65207963018211	11.0078729462415	8	141	6.88768419218984e-18
SPAC5H10.07	1	23	6	100	453	300	0.01	2.15954222887649	0.0507726269315673	10.9645631929712	0.00218361377637716	0.300664882990147	0.19695652173913	0.00989177040698853	1.36201191994537	4	97	1
SPNCRNA.614	11	123	51	100	1475	300	0.11	23.7549645176414	0.0833898305084746	18.0083860441904	0.045733200848449	0.170311520509196	1.31910569105691	0.674564712514623	2.51209492751064	8	103	1
SPAC5H10.10	15	183	9	100	1554	300	0.15	32.3931334331474	0.117760617760618	25.4309026952637	0.0465813342361385	0.141846572389579	1.27377049180328	0.723873934029592	2.20429573493405	12	103	1
SPAC5H10.11	7	26	6	100	1565	300	0.07	15.1167956021354	0.0166134185303514	3.58773788822932	0.106577846309068	0.650129905786559	4.21346153846154	1.66794329473692	10.1745330255597	1	106	1
SPNCRNA.616	4	6	3	100	497	300	0.04	8.63816891550597	0.0120724346076459	2.60709323405613	0.158655326760933	2.65404002692664	3.31333333333333	0.788516974001836	13.1905789338254	1	103	1
SPNCRNA.617	28	150	5	100	3975	300	0.28	60.4671824085418	0.0377358490566038	8.1492159580245	0.122029179523221	0.28381858609642	7.42	4.85065988604804	11.2817887973327	4	124	7.85676500384553e-10
SPSNORNA.49	13	35	33	100	159	300	0.13	28.0740489753944	0.220125786163522	47.5370930884762	0.186794026617674	0.726870488251413	0.590571428571429	0.297002502322102	1.15572407631975	20	93	1
SPNCRNA.141	27	77	11	100	604	300	0.27	58.3076401796653	0.127483443708609	27.5305880171341	0.220758141646243	0.553938905569643	2.11792207792208	1.3333791755433	3.34579098964064	14	113	1
SPAC13G6.03	27	577	21	100	3896	300	0.27	58.3076401796653	0.148100616016427	31.9829534410096	0.0311631305082734	0.0697719138284884	1.8230849220104	1.21411556460233	2.71831376275791	16	111	1
SPAC13G6.04	26	281	111	100	505	300	0.26	56.1480979507888	0.556435643564356	120.16462699293	0.0605637547296344	0.140338199131115	0.467259786476868	0.305846961384654	0.708707905612133	45	81	1
SPAC13G6.08	3	30	10	100	2130	300	0.03	6.47862668662948	0.0140845070422535	3.04160877306548	0.0243559280368764	0.341769974278403	2.13	0.518781267185468	7.27970045212999	1	102	1
SPAC13G6.09	2	393	5	100	1572	300	0.02	4.31908445775298	0.25	53.9885557219123	0.000878259726644217	0.0206209513410588	0.08	0.0138062429028471	0.324161355081444	20	82	1
SPAC13G6.13	0	0	2	100	147	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC13G6.14	45	997	30	100	1272	300	0.45	97.1794002994421	0.783805031446541	169.266006461467	0.0330762707485216	0.0613908091594573	0.574122367101304	0.420730163921195	0.780891092508297	63	82	1
SPAC24B11.05	51	598	31	100	1489	300	0.51	110.136653672701	0.401611820013432	86.7297684934951	0.0633753323618524	0.114465311301783	1.26988294314381	0.943658698867983	1.70438848528354	43	108	1
SPNCRNA.622	10	352	0	100	2388	300	0.1	21.5954222887649	0.147403685092127	31.8324482648461	0.0142998268417968	0.0546799370679382	0.678409090909091	0.341479864982108	1.30575689718236	14	96	1
SPNCRNA.142	9	214	22	100	597	300	0.09	19.4358800598884	0.358458961474037	77.4107264622394	0.0202228833283169	0.0842994034699747	0.25107476635514	0.120730613470052	0.503267438715749	28	81	1
SPAC24B11.09	9	1087	138	100	2741	300	0.09	19.4358800598884	0.396570594673477	85.6410945928036	0.00402889983051	0.0163890863784989	0.226945722171113	0.110432144354279	0.449224857634656	30	79	1
SPAC24B11.14	6	14	103	100	596	300	0.06	12.957253373259	0.023489932885906	5.07275020205887	0.147303254432612	1.18965535934529	2.55428571428571	0.877927396418367	7.09034594169796	2	104	1
SPAC24B11.13	40	1426	21	100	2075	300	0.4	86.3816891550597	0.687228915662651	148.40998642785	0.0202112192043238	0.0387777512191469	0.582047685834502	0.41938279848972	0.804638337797297	57	83	1
SPNCRNA.625	4	39	0	100	1669	300	0.04	8.63816891550597	0.0233672857998802	5.04626404590672	0.0311660505073445	0.299608362779633	1.71179487179487	0.52016138296758	5.00046357479208	2	102	1
SPNCRNA.627	1	44	18	100	761	300	0.01	2.15954222887649	0.0578186596583443	12.4861837149232	0.00116244621996113	0.152524184436484	0.172954545454545	0.00884621573390423	1.16070904356164	5	96	1
SPNCRNA.144	1	41	18	100	431	300	0.01	2.15954222887649	0.0951276102088167	20.5432091378042	0.00124566556371821	0.164077576536788	0.105121951219512	0.00536881857962551	0.707174354873557	8	93	1
SPNCRNA.628	6	33	7	100	1566	300	0.06	12.957253373259	0.0210727969348659	4.5507594861382	0.06853064272522	0.453668342297276	2.84727272727273	1.07318986507695	7.10444624037534	2	104	1
SPNCRNA.145	3	15	8	100	719	300	0.03	6.47862668662948	0.0208623087621697	4.50530367637655	0.046101519525487	0.73204421859004	1.438	0.331469925388252	5.26339793166239	2	101	1
SPAC806.05	3	179	2	100	2921	300	0.03	6.47862668662948	0.0612803834303321	13.2337575819545	0.00428498278654318	0.0540445387517484	0.489553072625698	0.125164347194926	1.57864097693857	5	98	1
SPAC806.07	62	401	135	100	469	300	0.62	133.891618190342	0.85501066098081	184.643162852766	0.117213721699711	0.203565243090298	0.725137157107232	0.549732354771646	0.9547209900935	74	88	1
SPNCRNA.630	3	174	2	100	2184	300	0.03	6.47862668662948	0.0796703296703297	17.2051441311589	0.00440684336367598	0.0556164253145262	0.376551724137931	0.0962454590626835	1.21466272886925	7	96	1
SPNCRNA.631	2	4	1	100	863	300	0.02	4.31908445775298	0.00463499420625724	1.00094657190104	0.0638181358093923	3.14803144559117	4.315	0.550750512035055	27.1675113754518	0	102	1
SPAC1F5.11c	31	1021	40	100	11254	300	0.31	66.9458090951712	0.0907232983827972	19.5920794000613	0.0208680714342235	0.0439225124219688	3.4169833496572	2.34849275920752	4.94303954796837	10	121	0.000709672983375164
SPNCRNA.633	3	30	7	100	947	300	0.03	6.47862668662948	0.0316789862724393	6.84121086233313	0.0243559280368764	0.341769974278403	0.947	0.23065063850922	3.23656165641648	3	100	1
SPAC1F5.09c	3	102	75	100	1569	300	0.03	6.47862668662948	0.0650095602294455	14.0390890596177	0.00746319461956088	0.0956914855348051	0.461470588235294	0.11709752358091	1.50139940804109	6	97	1
SPAC1F5.08c	26	261	32	100	1608	300	0.26	56.1480979507888	0.162313432835821	35.0522712522863	0.0651137035891789	0.151308121875862	1.60183908045977	1.047028353714	2.43303459976386	17	109	1
SPAC1F5.07c	16	172	7	100	1526	300	0.16	34.5526756620239	0.112712975098296	24.3408429467075	0.0537401085088393	0.158617687390534	1.41953488372093	0.820074055844888	2.42050590957954	11	105	1
SPAC1F5.05c	16	134	20	100	731	300	0.16	34.5526756620239	0.183310533515732	39.5866838125102	0.0685230426179157	0.205009590097175	0.872835820895522	0.500903441536964	1.49862010361035	17	99	1
SPAC1F5.04c	29	1294	29	100	5667	300	0.29	62.6267246374183	0.228339509440621	49.3108813157964	0.015221717936511	0.0327857296495105	1.27003863987635	0.862614755462081	1.85796729923776	23	106	1
SPAC1F5.03c	24	890	11	100	1926	300	0.24	51.8290134930358	0.462097611630322	99.7919306178649	0.0175696611530632	0.0410385052069438	0.519370786516854	0.338391673807997	0.790401610285738	39	85	1
SPNCRNA.148	0	0	3	100	18	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.635	2	16	2	100	506	300	0.02	4.31908445775298	0.0316205533596838	6.82859202806796	0.0198698862921535	0.564288735510909	0.6325	0.100541624638297	2.8553010016852	3	99	1
SPAC18B11.09c	6	70	4	100	960	300	0.06	12.957253373259	0.0729166666666667	15.7466620855578	0.0335929980770936	0.204778247038997	0.822857142857143	0.322492781540099	1.96587117157437	7	99	1
SPAC18B11.08c	23	151	57	100	553	300	0.23	49.6694712641593	0.273056057866184	58.9676087812568	0.0957181080817039	0.240367980010634	0.842317880794702	0.529321137691823	1.3292349294588	26	97	1
SPAC18B11.07c	113	546	51	100	957	300	1.13	244.028271863044	0.570532915360502	123.208992368502	0.168107431402924	0.254606463524741	1.9806043956044	1.60878811852598	2.43658385593177	77	136	0.0166242238666247
SPAC18B11.03c	15	215	175	100	1723	300	0.15	32.3931334331474	0.124782356355194	26.9472767967757	0.03977626165061	0.12033100085375	1.20209302325581	0.68534498824001	2.07330314471012	12	103	1
SPAC18B11.02c	45	608	34	100	1187	300	0.45	97.1794002994421	0.512215669755687	110.615136912966	0.054003320075263	0.101112822869421	0.878536184210526	0.641019409293371	1.20020920746003	49	96	1
SPAC12G12.16c	19	117	11	100	1991	300	0.19	41.0313023486533	0.0587644399799096	12.6904289692893	0.0968946554552928	0.269172386236352	3.23324786324786	1.92917259011488	5.35922220996576	6	113	0.423872600806682
SPNCRNA.637	2	36	23	100	1253	300	0.02	4.31908445775298	0.028731045490822	6.20459060172017	0.00925365154988372	0.235628337171256	0.696111111111111	0.115948253920043	2.95242306475584	2	100	1
SPAC12G12.14c	1	309	115	100	1844	300	0.01	2.15954222887649	0.167570498915401	36.1875568721711	0.000168438933184394	0.0211175614918769	0.0596763754045308	0.00310601392792022	0.389407833910211	14	87	1
SPAC12G12.13c	25	722	19	100	2129	300	0.25	53.9885557219123	0.339126350399248	73.2357674611943	0.022731505941358	0.0523268084783258	0.73718836565097	0.483953761491511	1.11403775250356	31	94	1
SPAC12G12.11c	5	224	14	100	1362	300	0.05	10.7977111443825	0.164464023494861	35.5167003868087	0.00813130850205606	0.0560171052606571	0.304017857142857	0.110748421798004	0.76295297365015	14	91	1
SPAC12G12.17	2	80	15	100	508	300	0.02	4.31908445775298	0.15748031496063	34.0085390374251	0.00425384153375414	0.103145545644734	0.127	0.021609514991471	0.523979371875249	13	89	1
SPAC12G12.07c	18	754	60	100	1327	300	0.18	38.8717601197769	0.568198944988696	122.704961610616	0.0145022568653754	0.0387854690805353	0.316790450928382	0.192444948603532	0.514683174698704	42	76	1
SPAC12G12.06c	18	613	102	100	1638	300	0.18	38.8717601197769	0.374236874236874	80.8180333517271	0.0178139110443729	0.0477731442422707	0.480978792822186	0.291791862906828	0.782524102688394	32	86	1
SPAC12G12.05c	37	199	5	100	1251	300	0.37	79.9030624684302	0.159072741806555	34.3524303394422	0.128793676228643	0.2673466487896	2.32597989949749	1.61120888962032	3.3445065763579	18	119	0.526672800283489
SPNCRNA.639	3	42	7	100	1545	300	0.03	6.47862668662948	0.0271844660194175	5.87060023383901	0.0176841597743658	0.239326683558914	1.10357142857143	0.273220268513952	3.69759726098523	2	101	1
SPNCRNA.640	3	3	1	100	565	300	0.03	6.47862668662948	0.00530973451327434	1.14665959055389	0.162070833932487	6.17014163335868	5.65	0.915700211718552	34.8613002284766	0	103	1
SPAC12G12.01c	8	455	8	100	3100	300	0.08	17.2763378310119	0.146774193548387	31.6965069077033	0.00812152459731358	0.0364068939149281	0.545054945054945	0.251767262516721	1.12861371136277	13	95	1
SPAC630.03	22	1127	84	100	1646	300	0.22	47.5099290352828	0.684690157958688	147.86173098079	0.0124848391138726	0.0302269073476914	0.32131322094055	0.205500451814343	0.497534894943	49	73	1
SPAC630.05	40	464	17	100	2562	300	0.4	86.3816891550597	0.181108508977361	39.1111473145469	0.0615385690611393	0.120306031867017	2.20862068965517	1.57661813934639	3.08224053643297	21	119	0.505644212736234
SPNCRNA.641	1	13	7	100	428	300	0.01	2.15954222887649	0.0303738317757009	6.55935723724168	0.00375396436557918	0.55840707127902	0.329230769230769	0.0160669674846789	2.38998226507421	2	99	1
SPAC630.15	5	94	5	100	2081	300	0.05	10.7977111443825	0.0451705910619894	9.75477989016772	0.0190994155370435	0.135638425489623	1.10691489361702	0.397458837325875	2.82263563443904	4	101	1
SPAC630.10	489	101	19	100	1094	300	4.89	1056.0161499206	0.0923217550274223	19.9372728625709	3.88796258361836	6.03429378217418	52.9669306930693	42.5343106647848	66.0151739769856	49	540	7.93688449319941e-223
SPAC630.11	3	176	41	100	944	300	0.03	6.47862668662948	0.186440677966102	40.2626517248159	0.00435727674121276	0.0549768254948499	0.160909090909091	0.0411326924370485	0.518981232671383	16	87	1
SPAC630.12	25	185	9	100	1506	300	0.25	53.9885557219123	0.122841965471448	26.5282411913779	0.0869312816360118	0.208505721965906	2.03513513513514	1.30918510143834	3.14009617280654	13	112	1
SPAC1751.04	1	531	35	100	1652	300	0.01	2.15954222887649	0.321428571428571	69.4138573567444	9.81380131692438e-05	0.0122648695485121	0.0311111111111111	0.00162123997755591	0.20261564494142	24	77	1
SPAC1751.03	149	1534	91	100	1374	300	1.49	321.771792102597	1.11644832605531	241.101730647492	0.0817887361028037	0.115293004066124	1.33458930899609	1.12377723405252	1.58412587586855	131	118	1
SPAC31A2.02	8	97	44	100	783	300	0.08	17.2763378310119	0.123882503192848	26.7529497063882	0.0371960218796589	0.175194414129887	0.645773195876289	0.291244851317729	1.37177226263702	11	97	1
SPAC31A2.03	27	348	13	100	898	300	0.27	58.3076401796653	0.387527839643653	83.6882734575745	0.051358842354288	0.116400406998289	0.696724137931034	0.461202404341506	1.04527565484463	35	92	1
SPAC31A2.06	17	451	2	100	4811	257	0.17	36.7122178909004	0.0937435044689254	20.2443056583516	0.0224682474970904	0.0623465075481298	1.81345898004435	1.08094738708502	2.99949047814053	10	107	1
SPAC31A2.08	10	201	14	100	777	300	0.1	21.5954222887649	0.258687258687259	55.8646059207432	0.0248662051129154	0.0964730810185953	0.386567164179104	0.193210413727353	0.749595839514485	22	88	1
SPAC31A2.10	5	189	7	100	1783	300	0.05	10.7977111443825	0.106001121704992	22.8913898630206	0.00961837760829955	0.0665334956836302	0.471693121693122	0.171495672755981	1.18629222803913	10	95	1
SPAC31A2.12	6	690	32	100	2450	300	0.06	12.957253373259	0.281632653061224	60.8197607316236	0.00352147502065541	0.0200444580303778	0.21304347826087	0.0862761380060574	0.491089221744257	23	83	1
SPAC31A2.14	44	714	31	100	3306	300	0.44	95.0198580705656	0.215970961887477	46.6398412407083	0.0448818824710093	0.0843311542217132	2.03731092436975	1.48379503449157	2.78798795856984	25	119	1
SPAC31A2.16	4	333	7	100	3850	300	0.04	8.63816891550597	0.0864935064935065	18.678637979633	0.00382357905480194	0.0332722624208098	0.462462462462462	0.147207793609875	1.28098210320118	8	96	1
SPAC13C5.02	54	266	41	100	1441	300	0.54	116.615280359331	0.184594031922276	39.8638607134731	0.149826706608164	0.274455264794603	2.92533834586466	2.15900284222365	3.95490036569022	23	131	0.000102039247812493
SPAC13C5.03	11	76	200	100	2441	300	0.11	23.7549645176414	0.0311347808275297	6.72368739838646	0.072783948990501	0.280576443448021	3.53302631578947	1.77665619485813	6.8488709845662	3	108	1
SPAC13C5.04	71	236	264	100	743	300	0.71	153.327498250231	0.317631224764468	68.593804308863	0.228661567045518	0.395291566207067	2.23529661016949	1.6989554431482	2.9370163369185	41	130	0.0225803451320233
SPNCRNA.05	0	1	2	100	539	300	0	0	0.00185528756957328	0.400657185320314	0.120791776113059	17.3080587281839	0	0.651067673249387	93.2904365449114	0	100	1
SPAC13C5.07	2	982	13	100	4610	300	0.02	4.31908445775298	0.213015184381779	46.0015286064363	0.000352252476612973	0.00822973824475519	0.0938900203665988	0.0162388391718581	0.379390933083214	17	85	1
SPAC23E2.01	29	1207	65	100	3301	300	0.29	62.6267246374183	0.365646773704938	78.962964866826	0.0163138191525525	0.0351600318430334	0.793115161557581	0.538519170225757	1.16063265113853	34	95	1
SPAC23E2.02	12	675	26	100	3817	300	0.12	25.9145067465179	0.176840450615667	38.189442087808	0.00958058485386453	0.0321990129339562	0.678577777777778	0.365690923872009	1.22903632368911	16	96	1
SPNCRNA.650	0	9	3	100	1924	300	0	0	0.00467775467775468	1.01018087629358	0.0103569347612096	0.590306163886248	0	0.199267424805672	11.3574905931714	0	100	1
SPRRNA.11	1	0	0	47	4	300	0.0212765957446809	4.59477069973722	0	0	0.0577765545925511	8.27870929775896	NA	0.00491715358234478	0.704571004064592	0	48	1
SPNCRNA.651	0	24	79	100	759	300	0	0	0.0316205533596838	6.82859202806796	0.0038226010111885	0.207313917589234	0	0.0290135416749207	1.57351263450229	3	97	1
SPAC24H6.12c	9	384	19	100	1684	300	0.09	19.4358800598884	0.228028503562945	49.2437182831694	0.0113437875337631	0.046656186600018	0.3946875	0.191029382068571	0.785690182344304	20	89	1
SPAC24H6.11c	2	560	93	100	4261	300	0.02	4.31908445775298	0.131424548228115	28.381686180963	0.000617020459089587	0.0144515622612282	0.152178571428571	0.0262912417618073	0.615781067950936	11	91	1
SPAC24H6.10c	46	778	78	100	992	300	0.46	99.3389425283186	0.784274193548387	169.36732399858	0.0433915917313779	0.080314344380415	0.586529562982005	0.430444589975269	0.796718296253717	64	82	1
SPNCRNA.653	1	44	2	100	1202	300	0.01	2.15954222887649	0.0366056572379368	7.90514626211029	0.00116244621996113	0.152524184436484	0.273181818181818	0.0139726035639328	1.83334069692654	3	98	1
SPNCRNA.551	4	28	5	100	427	300	0.04	8.63816891550597	0.0655737704918033	14.1609326483704	0.0425552322368373	0.427130257209975	0.61	0.181710841651295	1.82384619828659	6	98	1
SPAC24H6.02c	0	145	10	100	943	300	0	0	0.153764581124072	33.2061106242939	0.000627792083890632	0.0332366573016508	0	0.00592007935108866	0.313421678354567	13	87	1
SPAC24H6.01c	4	122	56	100	2002	300	0.04	8.63816891550597	0.0609390609390609	13.160047548598	0.0103235628176443	0.0919424426820205	0.656393442622951	0.206677727609239	1.84068770249405	5	99	1
SPAPB21F2.02	54	1086	72	100	5340	300	0.54	116.615280359331	0.203370786516854	43.9187801602972	0.0374533350318385	0.0658514815158656	2.65524861878453	2.00000809070018	3.51646911294722	26	128	0.000426742787581678
SPAPB21F2.03	18	221	71	100	758	300	0.18	38.8717601197769	0.29155672823219	62.9629066730481	0.0487904966043324	0.134249725444232	0.61737556561086	0.36983196426084	1.01761291886728	26	92	1
SPNCRNA.655	46	217	6	100	2648	300	0.46	99.3389425283186	0.0819486404833837	17.6971549722885	0.152185163340093	0.294446245112462	5.61327188940092	4.02986312524565	7.79693657057799	11	135	3.40111893417695e-12
SPNCRNA.656	4	21	38	100	301	300	0.04	8.63816891550597	0.0697674418604651	15.066573689836	0.0554542706831016	0.585207244627966	0.573333333333333	0.166917354756136	1.76147380633018	6	98	1
SPAC227.04	19	72	41	100	726	300	0.19	41.0313023486533	0.0991735537190083	21.416947724395	0.153977372343487	0.447692955448753	1.91583333333333	1.11787572321371	3.25025085655794	10	109	1
SPAC227.05	13	92	144	100	247	300	0.13	28.0740489753944	0.37246963562753	80.4363907111892	0.0754830402657366	0.259313231451382	0.349021739130435	0.186443109456369	0.640503681684914	30	83	1
